dep(sent-2, Congress-1)
pobj(of-4, announcement-7)
punct(is-13, ,-8)
nn(Corp.-12, International-9)
nn(Corp.-12, Business-10)
nn(Corp.-12, Machines-11)
nsubj(is-13, Corp.-12)
root(ROOT-0, is-13)
aux(introduce-15, to-14)
xcomp(is-13, introduce-15)
poss(mainframe-19, its-16)
amod(mainframe-19, own-17)
amod(mainframe-19, new-18)
dobj(introduce-15, mainframe-19)
punct(is-13, .-20)

punct(says-20, ``-1)
poss(attitude-3, Their-2)
nsubj(is-4, attitude-3)
ccomp(says-20, is-4)
punct(is-4, ,-5)
punct(is-4, `-6)
dep(want-8, You-7)
dep(is-4, want-8)
aux(talk-10, to-9)
xcomp(want-8, talk-10)
dep(talk-10, mainframes-11)
punct(want-8, ,-12)
dep(talk-15, we-13)
aux(talk-15, 'll-14)
parataxis(want-8, talk-15)
dep(talk-15, mainframes-16)
punct(want-8, ,-17)
punct(is-4, '-18)
punct(says-20, ''-19)
root(ROOT-0, says-20)
num(executive-24, one-21)
nn(executive-24, computer-22)
nn(executive-24, industry-23)
nsubj(says-20, executive-24)
punct(says-20, .-25)

punct(complains-15, ``-1)
dep(trying-5, They-2)
aux(trying-5, 're-3)
advmod(trying-5, deliberately-4)
ccomp(complains-15, trying-5)
aux(steal-7, to-6)
xcomp(trying-5, steal-7)
poss(thunder-9, our-8)
dobj(steal-7, thunder-9)
punct(complains-15, ,-10)
punct(complains-15, ''-11)
det(executive-14, a-12)
nn(executive-14, Digital-13)
nsubj(complains-15, executive-14)
root(ROOT-0, complains-15)
punct(complains-15, .-16)

punct(take-5, ``-1)
advmod(take-5, Maybe-2)
dep(take-5, we-3)
aux(take-5, should-4)
root(ROOT-0, take-5)
dep(take-5, it-6)
prep(take-5, as-7)
det(compliment-9, a-8)
pobj(as-7, compliment-9)
punct(take-5, .-10)
punct(take-5, ''-11)

poss(target-3, Digital-1)
possessive(Digital-1, 's-2)
nsubj(market-9, target-3)
cop(market-9, is-4)
det(market-9, the-5)
amod(market-9, $-6)
number(billion-8, 40-7)
num($-6, billion-8)
root(ROOT-0, market-9)
prep(market-9, for-10)
nn(computers-12, mainframe-11)
pobj(for-10, computers-12)
punct(computers-12, ,-13)
det(number-crunchers-16, the-14)
amod(number-crunchers-16, closet-sized-15)
appos(computers-12, number-crunchers-16)
mark(needs-22, that-17)
advmod(company-21, nearly-18)
det(company-21, every-19)
amod(company-21, big-20)
nsubj(needs-22, company-21)
dep(number-crunchers-16, needs-22)
aux(run-24, to-23)
xcomp(needs-22, run-24)
poss(business-26, its-25)
dobj(run-24, business-26)
punct(market-9, .-27)

nsubj(dominated-10, IBM-1)
punct(IBM-1, ,-2)
vmod(IBM-1, based-3)
prep(based-3, in-4)
nn(N.Y.-7, Armonk-5)
punct(N.Y.-7, ,-6)
pobj(in-4, N.Y.-7)
punct(IBM-1, ,-8)
aux(dominated-10, has-9)
root(ROOT-0, dominated-10)
det(market-12, the-11)
dobj(dominated-10, market-12)
prep(dominated-10, for-13)
dep(for-13, decades-14)
punct(dominated-10, .-15)

dep(scare-4, That-1)
aux(scare-4, does-2)
neg(scare-4, n't-3)
root(ROOT-0, scare-4)
dobj(scare-4, Digital-5)
punct(Digital-5, ,-6)
dep(grown-9, which-7)
aux(grown-9, has-8)
dep(Digital-5, grown-9)
aux(maker-17, to-10)
cop(maker-17, be-11)
det(world-13, the-12)
poss(maker-17, world-13)
possessive(world-13, 's-14)
amod(maker-17, second-largest-15)
nn(maker-17, computer-16)
xcomp(grown-9, maker-17)
prep(grown-9, by-18)
pcomp(by-18, poaching-19)
dobj(poaching-19, customers-20)
prep(customers-20, of-21)
poss(machines-25, IBM-22)
possessive(IBM-22, 's-23)
amod(machines-25, mid-range-24)
pobj(of-21, machines-25)
punct(scare-4, .-26)

nsubj(hopes-9, Digital-1)
punct(Digital-1, ,-2)
vmod(Digital-1, based-3)
prep(based-3, in-4)
nn(Mass.-7, Maynard-5)
punct(Mass.-7, ,-6)
pobj(in-4, Mass.-7)
punct(Mass.-7, ,-8)
root(ROOT-0, hopes-9)
aux(stage-11, to-10)
xcomp(hopes-9, stage-11)
det(performance-14, a-12)
nn(performance-14, repeat-13)
dobj(stage-11, performance-14)
prep(performance-14, in-15)
dep(in-15, mainframes-16)
punct(hopes-9, ,-17)
cc(hopes-9, and-18)
dep(spent-21, it-19)
aux(spent-21, has-20)
conj(hopes-9, spent-21)
quantmod($-23, almost-22)
dobj(spent-21, $-23)
number(billion-25, 1-24)
num($-23, billion-25)
xcomp(spent-21, developing-26)
det(technology-29, the-27)
amod(technology-29, new-28)
dobj(developing-26, technology-29)
punct(hopes-9, .-30)

det(spoiler-2, A-1)
nsubj(jumped-13, spoiler-2)
punct(spoiler-2, ,-3)
amod(Inc.-7, nimble-4)
nn(Inc.-7, Tandem-5)
nn(Inc.-7, Computers-6)
appos(spoiler-2, Inc.-7)
prep(Inc.-7, in-8)
nn(Calif.-11, Cupertino-9)
punct(Calif.-11, ,-10)
pobj(in-8, Calif.-11)
punct(Calif.-11, ,-12)
root(ROOT-0, jumped-13)
prep(jumped-13, into-14)
det(fray-16, the-15)
pobj(into-14, fray-16)
advmod(week-19, earlier-17)
det(week-19, this-18)
tmod(jumped-13, week-19)
prep(jumped-13, with-20)
det(entry-24, an-21)
advmod(priced-23, aggressively-22)
amod(entry-24, priced-23)
pobj(with-20, entry-24)
punct(jumped-13, .-25)

dep(appears-2, IBM-1)
root(ROOT-0, appears-2)
advmod(worried-4, more-3)
acomp(appears-2, worried-4)
prep(worried-4, about-5)
pobj(about-5, Digital-6)
punct(Digital-6, ,-7)
dep(has-9, which-8)
dep(Digital-6, has-9)
det(base-12, a-10)
amod(base-12, broad-11)
dobj(has-9, base-12)
prep(base-12, of-13)
pobj(of-13, customers-14)
dep(customers-14, waiting-15)
prep(waiting-15, for-16)
det(line-19, the-17)
amod(line-19, new-18)
pobj(for-16, line-19)
punct(line-19, ,-20)
vmod(line-19, dubbed-21)
det(VAX-23, the-22)
dep(dubbed-21, VAX-23)
num(VAX-23, 9000-24)
punct(appears-2, .-25)

punct(says-11, ``-1)
dep(going-4, It-2)
aux(going-4, 's-3)
ccomp(says-11, going-4)
aux(war-8, to-5)
cop(war-8, be-6)
amod(war-8, nuclear-7)
xcomp(going-4, war-8)
punct(says-11, ,-9)
punct(says-11, ''-10)
root(ROOT-0, says-11)
nn(Willmott-13, Thomas-12)
nsubj(says-11, Willmott-13)
punct(Willmott-13, ,-14)
det(consultant-16, a-15)
appos(Willmott-13, consultant-16)
prep(consultant-16, with-17)
nn(Inc-20, Aberdeen-18)
nn(Inc-20, Group-19)
pobj(with-17, Inc-20)
punct(says-11, .-21)

det(surge-2, The-1)
nsubjpass(expected-6, surge-2)
prep(surge-2, in-3)
dep(in-3, competition-4)
auxpass(expected-6, is-5)
root(ROOT-0, expected-6)
aux(stir-8, to-7)
xcomp(expected-6, stir-8)
amod(life-10, new-9)
dobj(stir-8, life-10)
prep(stir-8, into-11)
det(market-15, the-12)
amod(market-15, huge-13)
nn(market-15, mainframe-14)
pobj(into-11, market-15)
punct(market-15, ,-16)
advmod(slowed-20, where-17)
dep(slowed-20, growth-18)
aux(slowed-20, has-19)
dep(market-15, slowed-20)
prep(slowed-20, to-21)
amod(digits-23, single-22)
pobj(to-21, digits-23)
prep(slowed-20, in-24)
amod(years-26, recent-25)
pobj(in-24, years-26)
punct(expected-6, .-27)

poss(rivals-5, IBM-1)
possessive(IBM-1, 's-2)
amod(rivals-5, traditional-3)
nn(rivals-5, mainframe-4)
nsubj(struggled-19, rivals-5)
punct(rivals-5, ,-6)
prep(rivals-5, including-7)
nn(Corp.-9, Unisys-8)
pobj(including-7, Corp.-9)
punct(Corp.-9, ,-10)
nn(Corp.-13, Control-11)
nn(Corp.-13, Data-12)
conj(Corp.-9, Corp.-13)
cc(Corp.-9, and-14)
nn(Corp.-16, NCR-15)
conj(Corp.-9, Corp.-16)
punct(rivals-5, ,-17)
aux(struggled-19, have-18)
root(ROOT-0, struggled-19)
advmod(struggled-19, recently-20)
punct(struggled-19, .-21)

dep(promising-3, Digital-1)
aux(promising-3, is-2)
root(ROOT-0, promising-3)
det(approach-6, a-4)
amod(approach-6, new-5)
dobj(promising-3, approach-6)
punct(promising-3, .-7)

nn(Glorioso-3, Robert-1)
nn(Glorioso-3, M.-2)
nsubj(says-14, Glorioso-3)
punct(Glorioso-3, ,-4)
poss(president-8, Digital-5)
possessive(Digital-5, 's-6)
nn(president-8, vice-7)
appos(Glorioso-3, president-8)
prep(president-8, for-9)
amod(systems-12, high-10)
nn(systems-12, performance-11)
pobj(for-9, systems-12)
punct(Glorioso-3, ,-13)
root(ROOT-0, says-14)
poss(mainframe-17, Digital-15)
possessive(Digital-15, 's-16)
nsubjpass(designed-19, mainframe-17)
auxpass(designed-19, is-18)
ccomp(says-14, designed-19)
neg(as-21, not-20)
prep(designed-19, as-21)
det(computer-24, a-22)
amod(computer-24, central-23)
pobj(as-21, computer-24)
prep(revolves-28, around-25)
dep(around-25, which-26)
dep(revolves-28, everything-27)
rcmod(computer-24, revolves-28)
punct(as-21, ,-29)
cc(as-21, but-30)
conj(as-21, as-31)
pobj(as-31, part-32)
prep(part-32, of-33)
det(network-36, a-34)
amod(network-36, decentralized-35)
pobj(of-33, network-36)
vmod(network-36, weaving-37)
advmod(weaving-37, together-38)
dobj(weaving-37, hundreds-39)
prep(hundreds-39, of-40)
nn(printers-46, workstations-41)
punct(printers-46, ,-42)
amod(computers-44, personal-43)
conj(printers-46, computers-44)
punct(printers-46, ,-45)
pobj(of-40, printers-46)
cc(printers-46, and-47)
amod(devices-49, other-48)
conj(printers-46, devices-49)
punct(says-14, .-50)

cc(need-11, And-1)
prep(need-11, unlike-2)
poss(mainframes-6, IBM-3)
possessive(IBM-3, 's-4)
amod(mainframes-6, water-cooled-5)
pobj(unlike-2, mainframes-6)
punct(need-11, ,-7)
dep(need-11, it-8)
aux(need-11, does-9)
neg(need-11, n't-10)
root(ROOT-0, need-11)
det(plumbing-13, any-12)
dobj(need-11, plumbing-13)
punct(need-11, .-14)

det(challengers-2, The-1)
nsubj(have-4, challengers-2)
aux(have-4, will-3)
root(ROOT-0, have-4)
det(advantage-8, a-5)
amod(advantage-8, big-6)
nn(advantage-8, price-7)
dobj(have-4, advantage-8)
punct(have-4, .-9)

dep(expected-3, Digital-1)
auxpass(expected-3, is-2)
root(ROOT-0, expected-3)
aux(tag-5, to-4)
xcomp(expected-3, tag-5)
poss(line-8, its-6)
amod(line-8, new-7)
dobj(tag-5, line-8)
prep(tag-5, from-9)
quantmod($-11, about-10)
pobj(from-9, $-11)
number(million-13, 1.24-12)
num($-11, million-13)
prep(from-9, to-14)
pobj(to-14, $-15)
number(million-17, 4.4-16)
num($-15, million-17)
cc($-15, and-18)
conj($-15, up-19)
punct(tag-5, ,-20)
vmod(tag-5, depending-21)
prep(depending-21, on-22)
dep(on-22, configuration-23)
punct(expected-3, .-24)

dep(price-6, That-1)
cop(price-6, 's-2)
quantmod(half-4, about-3)
num(price-6, half-4)
det(price-6, the-5)
root(ROOT-0, price-6)
prep(price-6, of-7)
advmod(equipped-9, comparably-8)
amod(mainframes-11, equipped-9)
nn(mainframes-11, IBM-10)
pobj(of-7, mainframes-11)
punct(price-6, .-12)

poss(pricing-3, Tandem-1)
possessive(Tandem-1, 's-2)
nsubj(aggressive-7, pricing-3)
cop(aggressive-7, is-4)
advmod(as-6, just-5)
advmod(aggressive-7, as-6)
root(ROOT-0, aggressive-7)
punct(aggressive-7, .-8)

det(competition-3, The-1)
amod(competition-3, heightened-2)
nsubj(hit-5, competition-3)
aux(hit-5, will-4)
root(ROOT-0, hit-5)
dep(hit-5, IBM-6)
prep(hit-5, at-7)
det(time-10, a-8)
amod(time-10, difficult-9)
pobj(at-7, time-10)
punct(hit-5, .-11)

det(giant-3, The-1)
nn(giant-3, computer-2)
poss(line-7, giant-3)
possessive(giant-3, 's-4)
amod(line-7, current-5)
nn(line-7, mainframe-6)
nsubj(starting-20, line-7)
punct(line-7, ,-8)
dep(sold-11, which-9)
aux(sold-11, has-10)
dep(line-7, sold-11)
advmod(sold-11, well-12)
cc(sold-11, and-13)
conj(sold-11, has-14)
amod(margins-17, huge-15)
nn(margins-17, profit-16)
dobj(has-14, margins-17)
punct(line-7, ,-18)
aux(starting-20, is-19)
root(ROOT-0, starting-20)
aux(show-22, to-21)
xcomp(starting-20, show-22)
poss(age-24, its-23)
dobj(show-22, age-24)
punct(starting-20, .-25)

det(3090s-3, The-1)
amod(3090s-3, new-2)
nsubj(boost-8, 3090s-3)
amod(3090s-3, due-4)
amod(week-6, next-5)
tmod(due-4, week-6)
aux(boost-8, will-7)
root(ROOT-0, boost-8)
dep(boost-8, performance-9)
prep(boost-8, by-10)
advmod(about-12, only-11)
quantmod(%-17, about-12)
number(%-17, 8-13)
dep(%-17, %-14)
dep(%-17, to-15)
number(%-17, 10-16)
pobj(by-10, %-17)
punct(boost-8, .-18)

cc(expected-5, And-1)
dep(expected-5, IBM-2)
auxpass(expected-5, is-3)
neg(expected-5, n't-4)
root(ROOT-0, expected-5)
aux(deliver-7, to-6)
xcomp(expected-5, deliver-7)
det(generation-10, a-8)
amod(generation-10, new-9)
dobj(deliver-7, generation-10)
prep(generation-10, of-11)
dep(of-11, mainframes-12)
prep(deliver-7, until-13)
dep(until-13, 1991-14)
punct(expected-5, .-15)

advmod(expects-5, Still-1)
punct(expects-5, ,-2)
neg(one-4, no-3)
nsubj(expects-5, one-4)
root(ROOT-0, expects-5)
poss(rivals-8, IBM-6)
possessive(IBM-6, 's-7)
dobj(expects-5, rivals-8)
aux(deliver-10, to-9)
xcomp(expects-5, deliver-10)
det(knockout-12, a-11)
dobj(deliver-10, knockout-12)
punct(expects-5, .-13)

dep(has-2, IBM-1)
root(ROOT-0, has-2)
det(near-monopoly-4, a-3)
dobj(has-2, near-monopoly-4)
prep(near-monopoly-4, on-5)
dep(on-5, mainframes-6)
punct(has-2, ,-7)
prep(has-2, with-8)
det(share-13, an-9)
dep(70-11, estimated-10)
dep(%-12, 70-11)
dep(share-13, %-12)
pobj(with-8, share-13)
prep(share-13, of-14)
det(market-16, the-15)
pobj(of-14, market-16)
punct(has-2, .-17)

dep(size-6, IBM-1)
cop(size-6, is-2)
number(times-4, five-3)
num(size-6, times-4)
det(size-6, the-5)
root(ROOT-0, size-6)
prep(size-6, of-7)
dep(of-7, Digital-8)
punct(size-14, ---9)
cc(size-14, and-10)
number(times-12, 40-11)
num(size-14, times-12)
det(size-14, the-13)
dep(size-6, size-14)
prep(size-14, of-15)
dep(of-15, Tandem-16)
punct(size-14, ---17)
cc(size-6, and-18)
conj(size-6, wields-19)
amod(power-22, enormous-20)
nn(power-22, market-21)
dobj(wields-19, power-22)
punct(size-6, .-23)

dep(counts-2, It-1)
root(ROOT-0, counts-2)
prep(counts-2, among-3)
poss(customers-5, its-4)
pobj(among-3, customers-5)
det(majority-7, a-6)
dobj(counts-2, majority-7)
prep(majority-7, of-8)
det(world-10, the-9)
poss(corporations-13, world-10)
possessive(world-10, 's-11)
amod(corporations-13, largest-12)
pobj(of-8, corporations-13)
punct(corporations-13, ,-14)
dep(entrust-16, which-15)
dep(corporations-13, entrust-16)
poss(information-21, their-17)
advmod(critical-19, most-18)
amod(information-21, critical-19)
nn(information-21, business-20)
dobj(entrust-16, information-21)
prep(entrust-16, to-22)
nn(computers-24, IBM-23)
pobj(to-22, computers-24)
punct(counts-2, .-25)

punct(concedes-28, ``-1)
dep(going-5, We-2)
aux(going-5, 're-3)
neg(going-5, not-4)
ccomp(concedes-28, going-5)
aux(walk-7, to-6)
xcomp(going-5, walk-7)
advmod(walk-7, in-8)
cc(walk-7, and-9)
conj(walk-7, replace-10)
det(company-12, a-11)
poss(system-16, company-12)
possessive(company-12, 's-13)
amod(system-16, corporate-14)
nn(system-16, accounting-15)
dobj(replace-10, system-16)
mark(running-21, if-17)
dep(running-21, it-18)
aux(running-21, 's-19)
advmod(running-21, already-20)
advcl(walk-7, running-21)
prep(running-21, on-22)
det(mainframe-25, an-23)
nn(mainframe-25, IBM-24)
pobj(on-22, mainframe-25)
punct(concedes-28, ,-26)
punct(concedes-28, ''-27)
root(ROOT-0, concedes-28)
nn(Olsen-31, Kenneth-29)
nn(Olsen-31, H.-30)
nsubj(concedes-28, Olsen-31)
punct(Olsen-31, ,-32)
poss(president-35, Digital-33)
possessive(Digital-33, 's-34)
appos(Olsen-31, president-35)
punct(concedes-28, .-36)

dep(says-2, He-1)
root(ROOT-0, says-2)
dep(target-5, Digital-3)
aux(target-5, will-4)
ccomp(says-2, target-5)
amod(segments-8, faster-growing-6)
nn(segments-8, market-7)
dobj(target-5, segments-8)
mwe(as-10, such-9)
prep(segments-8, as-10)
amod(processing-13, on-line-11)
nn(processing-13, transaction-12)
pobj(as-10, processing-13)
punct(processing-13, ,-14)
dep(includes-16, which-15)
dep(processing-13, includes-16)
nn(tracking-18, retail-sales-17)
dobj(includes-16, tracking-18)
punct(tracking-18, ,-19)
nn(reservations-21, airline-20)
conj(tracking-18, reservations-21)
cc(tracking-18, and-22)
nn(networks-24, bank-teller-23)
conj(tracking-18, networks-24)
punct(says-2, .-25)

nsubj(competitor-14, Tandem-1)
punct(Tandem-1, ,-2)
dep(specializes-5, which-3)
advmod(specializes-5, already-4)
dep(Tandem-1, specializes-5)
prep(specializes-5, in-6)
amod(processing-9, on-line-7)
nn(processing-9, transaction-8)
pobj(in-6, processing-9)
punct(Tandem-1, ,-10)
cop(competitor-14, is-11)
det(competitor-14, a-12)
amod(competitor-14, potent-13)
root(ROOT-0, competitor-14)
prep(competitor-14, in-15)
det(market-17, that-16)
pobj(in-15, market-17)
punct(competitor-14, .-18)

det(target-4, A-1)
nn(target-4, key-2)
nn(target-4, marketing-3)
nsubj(number-11, target-4)
prep(target-4, for-5)
dep(for-5, Digital-6)
aux(number-11, will-7)
cop(number-11, be-8)
det(number-11, the-9)
amod(number-11, large-10)
root(ROOT-0, number-11)
prep(number-11, of-12)
amod(customers-14, big-13)
pobj(of-12, customers-14)
dep(own-17, who-15)
advmod(own-17, already-16)
dep(customers-14, own-17)
preconj(systems-22, both-18)
nn(systems-22, Digital-19)
cc(Digital-19, and-20)
conj(Digital-19, IBM-21)
dobj(own-17, systems-22)
punct(number-11, .-23)

num(company-3, One-1)
amod(company-3, such-2)
nsubj(Co-7, company-3)
cop(Co-7, is-4)
nn(Co-7, Bankers-5)
nn(Co-7, Trust-6)
root(ROOT-0, Co-7)
punct(Co-7, .-8)

nn(Rose-2, Stanley-1)
nsubj(says-16, Rose-2)
punct(Rose-2, ,-3)
det(president-6, a-4)
nn(president-6, vice-5)
appos(Rose-2, president-6)
punct(president-6, ,-7)
amod(planning-11, technological-8)
cc(technological-8, and-9)
conj(technological-8, strategic-10)
appos(president-6, planning-11)
prep(president-6, at-12)
nn(Trust-14, Bankers-13)
pobj(at-12, Trust-14)
punct(Rose-2, ,-15)
root(ROOT-0, says-16)
mark(about-28, that-17)
prep(about-28, despite-18)
poss(prices-22, Digital-19)
possessive(Digital-19, 's-20)
amod(prices-22, low-21)
pobj(despite-18, prices-22)
punct(about-28, ,-23)
punct(about-28, ``-24)
dep(about-28, we-25)
aux(about-28, are-26)
neg(about-28, n't-27)
ccomp(says-16, about-28)
aux(unplug-30, to-29)
xcomp(about-28, unplug-30)
poss(mainframes-33, our-31)
nn(mainframes-33, IBM-32)
dobj(unplug-30, mainframes-33)
prep(unplug-30, for-34)
det(machine-37, a-35)
nn(machine-37, DEC-36)
pobj(for-34, machine-37)
punct(says-16, .-38)

det(costs-4, The-1)
nn(costs-4, software-2)
nn(costs-4, conversion-3)
nsubj(dwarf-6, costs-4)
aux(dwarf-6, would-5)
root(ROOT-0, dwarf-6)
det(savings-8, any-7)
dobj(dwarf-6, savings-8)
punct(dwarf-6, .-9)
punct(dwarf-6, ''-10)

cc(looking-6, But-1)
nn(Rose-3, Mr.-2)
nsubj(looking-6, Rose-3)
aux(looking-6, is-4)
advmod(looking-6, still-5)
root(ROOT-0, looking-6)
advmod(looking-6, seriously-7)
prep(looking-6, at-8)
det(9000-10, the-9)
pobj(at-8, 9000-10)
punct(looking-6, .-11)

nn(Trust-2, Bankers-1)
nsubj(uses-3, Trust-2)
ccomp(says-27, uses-3)
poss(VAX-6, Digital-4)
possessive(Digital-4, 's-5)
dobj(uses-3, VAX-6)
aux(run-8, to-7)
vmod(uses-3, run-8)
poss(accounts-15, its-9)
amod(accounts-15, huge-10)
nn(markets-14, money-transfer-11)
cc(money-transfer-11, and-12)
conj(money-transfer-11, capital-13)
nn(accounts-15, markets-14)
dobj(run-8, accounts-15)
punct(uses-3, ,-16)
xcomp(uses-3, juggling-17)
dobj(juggling-17, hundreds-18)
prep(hundreds-18, of-19)
pobj(of-19, billions-20)
prep(billions-20, of-21)
dep(of-21, dollars-22)
det(day-24, each-23)
tmod(juggling-17, day-24)
punct(says-27, ,-25)
dep(says-27, he-26)
root(ROOT-0, says-27)
punct(says-27, .-28)

mark(system-3, As-1)
det(system-3, that-2)
advcl(needed-10, system-3)
dep(system-3, grows-4)
punct(needed-10, ,-5)
amod(computers-7, larger-6)
nsubjpass(needed-10, computers-7)
aux(needed-10, may-8)
auxpass(needed-10, be-9)
root(ROOT-0, needed-10)
punct(needed-10, .-11)

punct(had-7, ``-1)
prep(had-7, In-2)
det(past-4, the-3)
pobj(In-2, past-4)
punct(had-7, ,-5)
dep(had-7, customers-6)
root(ROOT-0, had-7)
aux(go-9, to-8)
xcomp(had-7, go-9)
prep(go-9, to-10)
dep(to-10, IBM-11)
advmod(outgrew-14, when-12)
dep(outgrew-14, they-13)
ccomp(go-9, outgrew-14)
det(VAX-16, the-15)
dobj(outgrew-14, VAX-16)
punct(had-7, .-17)

advmod(have-5, Now-1)
dep(have-5, they-2)
aux(have-5, do-3)
neg(have-5, n't-4)
ccomp(says-10, have-5)
xcomp(have-5, to-6)
punct(says-10, ,-7)
punct(says-10, ''-8)
dep(says-10, he-9)
root(ROOT-0, says-10)
punct(says-10, .-11)

punct(going-4, ``-1)
dep(going-4, That-2)
aux(going-4, 's-3)
root(ROOT-0, going-4)
aux(cost-6, to-5)
xcomp(going-4, cost-6)
dep(cost-6, IBM-7)
dep(cost-6, revenue-8)
punct(going-4, .-9)
punct(going-4, ''-10)

dep(say-2, Analysts-1)
root(ROOT-0, say-2)
dep(expect-5, Digital-3)
aux(expect-5, can-4)
ccomp(say-2, expect-5)
det(demand-8, this-6)
amod(demand-8, pent-up-7)
dobj(expect-5, demand-8)
prep(demand-8, for-9)
det(VAX-12, the-10)
amod(VAX-12, new-11)
pobj(for-9, VAX-12)
aux(fuel-14, to-13)
xcomp(expect-5, fuel-14)
amod(sales-16, strong-15)
dobj(fuel-14, sales-16)
amod(year-18, next-17)
tmod(fuel-14, year-18)
punct(say-2, .-19)

nn(Willman-3, Barry-1)
nn(Willman-3, F.-2)
nsubj(estimates-14, Willman-3)
punct(Willman-3, ,-4)
det(analyst-6, an-5)
appos(Willman-3, analyst-6)
prep(analyst-6, at-7)
nn(Bernstein-10, Sanford-8)
nn(Bernstein-10, C.-9)
pobj(at-7, Bernstein-10)
cc(Bernstein-10, &-11)
conj(Bernstein-10, Co.-12)
punct(Willman-3, ,-13)
root(ROOT-0, estimates-14)
det(9000-16, the-15)
nsubj(boost-18, 9000-16)
aux(boost-18, could-17)
ccomp(estimates-14, boost-18)
dep(boost-18, sales-19)
prep(boost-18, by-20)
quantmod($-23, more-21)
quantmod($-23, than-22)
pobj(by-20, $-23)
number(billion-25, 1-24)
num($-23, billion-25)
prep(boost-18, in-26)
det(year-29, the-27)
amod(year-29, fiscal-28)
pobj(in-26, year-29)
vmod(year-29, beginning-30)
prep(beginning-30, in-31)
dep(in-31, July-32)
punct(estimates-14, .-33)

dep(bases-2, He-1)
root(ROOT-0, bases-2)
det(estimate-4, the-3)
dobj(bases-2, estimate-4)
prep(bases-2, on-5)
det(survey-7, a-6)
pobj(on-5, survey-7)
prep(survey-7, of-8)
pobj(of-8, hundreds-9)
prep(hundreds-9, of-10)
poss(customers-14, Digital-11)
possessive(Digital-11, 's-12)
amod(customers-14, largest-13)
pobj(of-10, customers-14)
punct(bases-2, .-15)

mark(announce-4, Although-1)
dep(announce-4, Digital-2)
aux(announce-4, will-3)
advcl(expected-16, announce-4)
det(family-7, a-5)
amod(family-7, full-6)
dobj(announce-4, family-7)
prep(family-7, of-8)
dep(of-8, mainframes-9)
amod(week-11, next-10)
tmod(announce-4, week-11)
punct(expected-16, ,-12)
dep(expected-16, it-13)
auxpass(expected-16, is-14)
neg(expected-16, n't-15)
root(ROOT-0, expected-16)
aux(begin-18, to-17)
xcomp(expected-16, begin-18)
xcomp(begin-18, shipping-19)
prep(shipping-19, in-20)
dep(in-20, volume-21)
prep(begin-18, until-22)
amod(year-24, next-23)
pobj(until-22, year-24)
punct(expected-16, .-25)

det(model-3, The-1)
amod(model-3, first-2)
nsubj(210-8, model-3)
amod(model-3, available-4)
aux(210-8, will-5)
cop(210-8, be-6)
det(210-8, the-7)
ccomp(says-31, 210-8)
punct(210-8, ,-9)
dep(likely-12, which-10)
cop(likely-12, is-11)
dep(210-8, likely-12)
aux(appeal-14, to-13)
xcomp(likely-12, appeal-14)
prep(appeal-14, to-15)
amod(buyers-20, many-16)
amod(buyers-20, technical-17)
cc(technical-17, and-18)
conj(technical-17, scientific-19)
pobj(to-15, buyers-20)
vmod(buyers-20, interested-21)
prep(interested-21, in-22)
det(super-charger-25, the-23)
amod(super-charger-25, optional-24)
pobj(in-22, super-charger-25)
punct(super-charger-25, ,-26)
cc(super-charger-25, or-27)
nn(processor-29, vector-28)
conj(super-charger-25, processor-29)
punct(says-31, ,-30)
root(ROOT-0, says-31)
nn(Shannon-33, Terry-32)
nsubj(says-31, Shannon-33)
prep(Shannon-33, of-34)
nn(Corp.-37, International-35)
nn(Corp.-37, Data-36)
pobj(of-34, Corp.-37)
punct(Corp.-37, ,-38)
det(concern-42, a-39)
nn(concern-42, market-40)
nn(concern-42, research-41)
appos(Corp.-37, concern-42)
punct(says-31, .-43)

num(models-3, Four-1)
amod(models-3, more-2)
nsubjpass(expected-14, models-3)
punct(models-3, ,-4)
vmod(models-3, aimed-5)
advmod(aimed-5, squarely-6)
prep(aimed-5, at-7)
poss(customers-11, IBM-8)
possessive(IBM-8, 's-9)
amod(customers-11, commercial-10)
pobj(at-7, customers-11)
punct(models-3, ,-12)
auxpass(expected-14, are-13)
root(ROOT-0, expected-14)
aux(begin-16, to-15)
xcomp(expected-14, begin-16)
dep(begin-16, shipping-17)
prep(begin-16, in-18)
amod(June-20, late-19)
pobj(in-18, June-20)
punct(expected-14, .-21)

amod(analysts-2, Most-1)
nsubj(expect-5, analysts-2)
aux(expect-5, do-3)
neg(expect-5, n't-4)
root(ROOT-0, expect-5)
det(mainframes-8, the-6)
amod(mainframes-8, new-7)
dobj(expect-5, mainframes-8)
aux(begin-10, to-9)
xcomp(expect-5, begin-10)
xcomp(begin-10, contributing-11)
advmod(contributing-11, significantly-12)
prep(contributing-11, to-13)
dep(to-13, revenue-14)
prep(begin-10, before-15)
det(quarter-19, the-16)
amod(quarter-19, fiscal-17)
amod(quarter-19, first-18)
pobj(before-15, quarter-19)
punct(quarter-19, ,-20)
dep(begins-22, which-21)
dep(quarter-19, begins-22)
amod(July-24, next-23)
tmod(begins-22, July-24)
num(July-24, 1-25)
punct(expect-5, .-26)

poss(line-4, Digital-1)
possessive(Digital-1, 's-2)
amod(line-4, new-3)
nsubj(time-9, line-4)
aux(time-9, has-5)
