advmod(comes-3, When-1)
prep(gain-36, from-37)
det(sale-39, the-38)
pobj(from-37, sale-39)
prep(sale-39, of-40)
det(business-45, an-41)
amod(business-45, institutional-42)
nn(business-45, money-43)
nn(business-45, management-44)
pobj(of-40, business-45)
punct(had-11, .-46)

nn(Express-2, American-1)
poss(share-4, Express-2)
possessive(Express-2, 's-3)
nsubj($-10, share-4)
prep(share-4, of-5)
poss(earnings-8, Shearson-6)
possessive(Shearson-6, 's-7)
pobj(of-5, earnings-8)
cop($-10, was-9)
root(ROOT-0, $-10)
number(million-12, 41-11)
num($-10, million-12)
punct($-10, ,-13)
prep($-10, after-14)
amod(dividends-17, preferred-15)
nn(dividends-17, stock-16)
pobj(after-14, dividends-17)
punct($-10, ;-18)
dep(owns-20, it-19)
parataxis($-10, owns-20)
quantmod(68-22, about-21)
num(%-23, 68-22)
dobj(owns-20, %-23)
prep(%-23, of-24)
poss(common-27, Shearson-25)
possessive(Shearson-25, 's-26)
pobj(of-24, common-27)
punct($-10, .-28)

prep(said-8, For-1)
det(months-4, the-2)
num(months-4, nine-3)
pobj(For-1, months-4)
punct(said-8, ,-5)
nn(Express-7, American-6)
nsubj(said-8, Express-7)
root(ROOT-0, said-8)
dep(rose-10, net-9)
ccomp(said-8, rose-10)
num(%-12, 11-11)
dobj(rose-10, %-12)
prep(rose-10, to-13)
pobj(to-13, $-14)
number(million-16, 899.8-15)
num($-14, million-16)
punct($-14, ,-17)
cc($-14, or-18)
conj($-14, $-19)
num($-19, 2.09-20)
det(share-22, a-21)
dep($-19, share-22)
punct($-14, ,-23)
prep(rose-10, from-24)
pobj(from-24, $-25)
number(million-27, 807.5-26)
num($-25, million-27)
punct($-25, ,-28)
cc($-25, or-29)
conj($-25, $-30)
num($-30, 1.89-31)
det(share-33, a-32)
dep($-30, share-33)
punct(said-8, .-34)

dep(rose-2, Revenue-1)
root(ROOT-0, rose-2)
num(%-4, 24-3)
dobj(rose-2, %-4)
prep(rose-2, to-5)
pobj(to-5, $-6)
number(billion-8, 18.73-7)
num($-6, billion-8)
prep(rose-2, from-9)
pobj(from-9, $-10)
number(billion-12, 15.09-11)
num($-10, billion-12)
punct(rose-2, .-13)

nn(Inc.-2, Textron-1)
nsubj(reported-13, Inc.-2)
punct(reported-13, ,-3)
vmod(reported-13, hampered-4)
prep(hampered-4, by-5)
det(slowdown-7, a-6)
pobj(by-5, slowdown-7)
prep(slowdown-7, in-8)
poss(sales-11, its-9)
nn(sales-11, defense-10)
pobj(in-8, sales-11)
punct(reported-13, ,-12)
root(ROOT-0, reported-13)
det(decline-17, an-14)
number(%-16, 8-15)
amod(decline-17, %-16)
dobj(reported-13, decline-17)
prep(decline-17, in-18)
amod(earnings-20, per-share-19)
pobj(in-18, earnings-20)
prep(decline-17, on-21)
advmod(revenue-24, nearly-22)
amod(revenue-24, flat-23)
pobj(on-21, revenue-24)
prep(reported-13, for-25)
poss(quarter-28, its-26)
amod(quarter-28, third-27)
pobj(for-25, quarter-28)
punct(reported-13, .-29)

det(aerospace-2, The-1)
nsubj(said-7, aerospace-2)
cc(aerospace-2, and-3)
amod(concern-6, financial-4)
nn(concern-6, services-5)
conj(aerospace-2, concern-6)
root(ROOT-0, said-7)
amod(income-9, net-8)
nsubj(fell-10, income-9)
ccomp(said-7, fell-10)
num(%-12, 5-11)
dobj(fell-10, %-12)
prep(fell-10, to-13)
pobj(to-13, $-14)
number(million-16, 59.5-15)
num($-14, million-16)
prep(fell-10, from-17)
pobj(from-17, $-18)
number(million-20, 62.8-19)
num($-18, million-20)
punct(said-7, .-21)

nsubj(unchanged-8, Revenue-1)
prep(Revenue-1, of-2)
pobj(of-2, $-3)
number(billion-5, 1.73-4)
num($-3, billion-5)
cop(unchanged-8, was-6)
advmod(unchanged-8, almost-7)
root(ROOT-0, unchanged-8)
prep(unchanged-8, from-9)
amod(year-11, last-10)
pobj(from-9, year-11)
possessive(year-11, 's-12)
num(year-11, $-13)
number(billion-15, 1.72-14)
num($-13, billion-15)
punct(unchanged-8, .-16)

amod(net-2, Per-share-1)
nsubj(fell-12, net-2)
prep(net-2, of-3)
num(cents-5, 66-4)
pobj(of-3, cents-5)
punct(fell-12, ,-6)
advmod(fell-12, down-7)
prep(down-7, from-8)
num(cents-10, 72-9)
pobj(from-8, cents-10)
punct(fell-12, ,-11)
root(ROOT-0, fell-12)
prep(fell-12, by-13)
pobj(by-13, more-14)
prep(more-14, than-15)
amod(net-17, overall-16)
pobj(than-15, net-17)
mwe(of-19, because-18)
prep(fell-12, of-19)
amod(shares-21, more-20)
pobj(of-19, shares-21)
amod(shares-21, outstanding-22)
punct(fell-12, .-23)

det(company-2, The-1)
nsubj(said-3, company-2)
root(ROOT-0, said-3)
mark(negated-12, that-4)
amod(results-6, improved-5)
nsubjpass(negated-12, results-6)
prep(results-6, in-7)
poss(sector-10, its-8)
amod(sector-10, financial-services-9)
pobj(in-7, sector-10)
auxpass(negated-12, were-11)
ccomp(said-3, negated-12)
prep(negated-12, by-13)
amod(costs-15, increased-14)
pobj(by-13, costs-15)
prep(costs-15, in-16)
poss(business-20, its-17)
nn(business-20, government-18)
nn(business-20, contract-19)
pobj(in-16, business-20)
punct(costs-15, ,-21)
amod(earnings-24, lower-22)
nn(earnings-24, operating-23)
conj(costs-15, earnings-24)
prep(earnings-24, in-25)
poss(sector-28, its-26)
amod(sector-28, commercial-products-27)
pobj(in-25, sector-28)
cc(costs-15, and-29)
amod(markets-32, soft-30)
amod(markets-32, automotive-31)
conj(costs-15, markets-32)
punct(said-3, .-33)

dep(aided-3, Net-1)
auxpass(aided-3, was-2)
root(ROOT-0, aided-3)
prep(aided-3, by-4)
det(rate-9, a-5)
amod(rate-9, lower-6)
nn(rate-9, income-7)
nn(rate-9, tax-8)
pobj(by-4, rate-9)
punct(aided-3, .-10)

nsubj(fell-4, Profit-1)
prep(Profit-1, before-2)
dep(before-2, taxes-3)
root(ROOT-0, fell-4)
num(%-6, 17-5)
dobj(fell-4, %-6)
prep(fell-4, to-7)
pobj(to-7, $-8)
number(million-10, 84.4-9)
num($-8, million-10)
prep(fell-4, from-11)
pobj(from-11, $-12)
number(million-14, 101.4-13)
num($-12, million-14)
punct(fell-4, .-15)

prep(reported-7, For-1)
det(months-4, the-2)
num(months-4, nine-3)
pobj(For-1, months-4)
punct(reported-7, ,-5)
dep(reported-7, Textron-6)
root(ROOT-0, reported-7)
dobj(reported-7, net-8)
prep(net-8, of-9)
pobj(of-9, $-10)
number(million-12, 182.1-11)
num($-10, million-12)
punct($-10, ,-13)
cc($-10, or-14)
conj($-10, $-15)
num($-15, 2.06-16)
det(share-18, a-17)
dep($-15, share-18)
punct($-10, ,-19)
prep(reported-7, on-20)
pobj(on-20, revenue-21)
prep(revenue-21, of-22)
pobj(of-22, $-23)
number(billion-25, 5.41-24)
num($-23, billion-25)
punct(reported-7, .-26)

det(year-2, A-1)
npadvmod(ago-3, year-2)
advmod($-7, ago-3)
punct($-7, ,-4)
dep($-7, net-5)
cop($-7, was-6)
root(ROOT-0, $-7)
number(million-9, 170.4-8)
num($-7, million-9)
punct($-7, ,-10)
cc($-7, or-11)
conj($-7, $-12)
num($-12, 1.93-13)
det(share-15, a-14)
dep($-12, share-15)
punct($-7, ,-16)
prep($-7, on-17)
pobj(on-17, revenue-18)
prep(revenue-18, of-19)
pobj(of-19, $-20)
number(billion-22, 5.3-21)
num($-20, billion-22)
punct($-7, .-23)

det(results-3, The-1)
amod(results-3, nine-month-2)
nsubj(included-4, results-3)
root(ROOT-0, included-4)
det(charge-10, a-5)
amod(charge-10, $-6)
number(million-8, 9.5-7)
num($-6, million-8)
amod(charge-10, special-9)
dobj(included-4, charge-10)
prep(charge-10, in-11)
dep(in-11, 1989-12)
prep(charge-10, for-13)
det(settlement-16, an-14)
nn(settlement-16, arbitration-15)
pobj(for-13, settlement-16)
vmod(settlement-16, related-17)
prep(related-17, to-18)
amod(sales-21, past-19)
nn(sales-21, export-20)
pobj(to-18, sales-21)
punct(charge-10, ,-22)
cc(charge-10, and-23)
conj(charge-10, $-24)
number(million-26, 29.7-25)
num($-24, million-26)
prep($-24, in-27)
amod(charges-29, extraordinary-28)
pobj(in-27, charges-29)
prep($-24, in-30)
dep(in-30, 1988-31)
vmod($-24, related-32)
prep(related-32, to-33)
det(line-36, a-34)
amod(line-36, former-35)
pobj(to-33, line-36)
prep(line-36, of-37)
dep(of-37, business-38)
cc(line-36, and-39)
amod(redemption-41, early-40)
conj(line-36, redemption-41)
prep(redemption-41, of-42)
dep(of-42, debt-43)
punct(included-4, .-44)

dep(said-2, Textron-1)
root(ROOT-0, said-2)
mark(include-9, that-3)
poss(results-6, nine-months-4)
possessive(nine-months-4, '-5)
nsubj(include-9, results-6)
aux(include-9, do-7)
neg(include-9, n't-8)
ccomp(said-2, include-9)
dobj(include-9, earnings-10)
prep(earnings-10, of-11)
nn(PLC-13, Avdel-12)
pobj(of-11, PLC-13)
punct(PLC-13, ,-14)
det(maker-17, a-15)
amod(maker-17, British-16)
appos(PLC-13, maker-17)
prep(maker-17, of-18)
amod(fasteners-20, industrial-19)
pobj(of-18, fasteners-20)
punct(PLC-13, ,-21)
cc(include-9, but-22)
aux(include-24, do-23)
conj(include-9, include-24)
nn(costs-26, interest-25)
dobj(include-24, costs-26)
prep(costs-26, of-27)
pobj(of-27, $-28)
number(million-30, 16.4-29)
num($-28, million-30)
prep(costs-26, on-31)
pobj(on-31, borrowings-32)
dep(borrowings-32, related-33)
prep(related-33, to-34)
det(purchase-37, the-35)
amod(purchase-37, proposed-36)
pobj(to-34, purchase-37)
prep(purchase-37, of-38)
dep(of-38, Avdel-39)
punct(said-2, .-40)

det(judge-3, A-1)
amod(judge-3, federal-2)
nsubj(issued-5, judge-3)
aux(issued-5, has-4)
root(ROOT-0, issued-5)
det(injunction-8, a-6)
amod(injunction-8, preliminary-7)
dobj(issued-5, injunction-8)
prep(injunction-8, against-9)
det(purchase-11, the-10)
pobj(against-9, purchase-11)
mwe(of-13, because-12)
prep(issued-5, of-13)
nn(concerns-17, Federal-14)
nn(concerns-17, Trade-15)
nn(concerns-17, Commission-16)
pobj(of-13, concerns-17)
mark(reduce-22, that-18)
det(transaction-20, the-19)
nsubj(reduce-22, transaction-20)
aux(reduce-22, would-21)
ccomp(concerns-17, reduce-22)
dobj(reduce-22, competition-23)
prep(competition-23, in-24)
det(production-26, the-25)
pobj(in-24, production-26)
prep(production-26, of-27)
num(kinds-29, two-28)
pobj(of-27, kinds-29)
prep(kinds-29, of-30)
dep(of-30, rivets-31)
punct(issued-5, .-32)

prep(said-6, For-1)
det(quarter-3, the-2)
pobj(For-1, quarter-3)
punct(said-6, ,-4)
dep(said-6, Textron-5)
root(ROOT-0, said-6)
nn(revenue-8, aerospace-7)
nsubj(declined-17, revenue-8)
punct(revenue-8, ,-9)
prep(revenue-8, including-10)
nn(helicopter-12, Bell-11)
pobj(including-10, helicopter-12)
cc(helicopter-12, and-13)
nn(manufacture-15, jet-engine-14)
conj(helicopter-12, manufacture-15)
punct(revenue-8, ,-16)
ccomp(said-6, declined-17)
num(%-19, 9.8-18)
dobj(declined-17, %-19)
prep(declined-17, to-20)
pobj(to-20, $-21)
number(million-23, 755.9-22)
num($-21, million-23)
prep(declined-17, from-24)
pobj(from-24, $-25)
number(million-27, 838.3-26)
num($-25, million-27)
punct(declined-17, ,-28)
det(indication-30, an-29)
dobj(declined-17, indication-30)
prep(indication-30, of-31)
amod(work-35, slowing-32)
nn(work-35, government-33)
nn(work-35, defense-34)
pobj(of-31, work-35)
punct(said-6, .-36)

mark(sputter-9, As-1)
det(brothers-4, the-2)
nn(brothers-4, Hunt-3)
poss(cases-8, brothers-4)
possessive(brothers-4, '-5)
amod(cases-8, personal-6)
nn(cases-8, bankruptcy-7)
nsubj(sputter-9, cases-8)
advcl(proposed-18, sputter-9)
prep(sputter-9, into-10)
poss(year-13, their-11)
amod(year-13, second-12)
pobj(into-10, year-13)
punct(proposed-18, ,-14)
nn(S.A.-16, Minpeco-15)
nsubj(proposed-18, S.A.-16)
aux(proposed-18, has-17)
root(ROOT-0, proposed-18)
det(deal-20, a-19)
dobj(proposed-18, deal-20)
aux(settle-22, to-21)
vmod(deal-20, settle-22)
poss(claim-25, its-23)
amod(claim-25, huge-24)
dobj(settle-22, claim-25)
prep(claim-25, against-26)
det(men-31, the-27)
amod(men-31, troubled-28)
nn(men-31, Texas-29)
nn(men-31, oil-30)
pobj(against-26, men-31)
punct(proposed-18, .-32)

cc(threatens-5, But-1)
det(plan-3, the-2)
nsubj(threatens-5, plan-3)
advmod(threatens-5, only-4)
root(ROOT-0, threatens-5)
aux(heighten-7, to-6)
xcomp(threatens-5, heighten-7)
det(tension-9, the-8)
dobj(heighten-7, tension-9)
cc(tension-9, and-10)
conj(tension-9, confusion-11)
advmod(surrounding-13, already-12)
vmod(tension-9, surrounding-13)
det(cases-15, the-14)
dobj(surrounding-13, cases-15)
dep(filed-18, that-16)
auxpass(filed-18, were-17)
dep(cases-15, filed-18)
prep(filed-18, in-19)
pobj(in-19, September-20)
num(September-20, 1988-21)
punct(threatens-5, .-22)

det(concern-4, The-1)
amod(concern-4, Peruvian-2)
nn(concern-4, mineral-3)
poss(claim-9, concern-4)
possessive(concern-4, 's-5)
amod(claim-9, $-6)
number(million-8, 251-7)
num($-6, million-8)
nsubj(stems-10, claim-9)
root(ROOT-0, stems-10)
prep(stems-10, from-11)
num(award-14, 1988-12)
nn(award-14, jury-13)
pobj(from-11, award-14)
prep(award-14, in-15)
det(case-17, a-16)
pobj(in-15, case-17)
vmod(case-17, stemming-18)
prep(stemming-18, from-19)
det(brothers-21, the-20)
poss(attempts-24, brothers-21)
possessive(brothers-21, '-22)
amod(attempts-24, alleged-23)
pobj(from-19, attempts-24)
aux(corner-26, to-25)
vmod(attempts-24, corner-26)
det(market-30, the-27)
num(market-30, 1979-80-28)
nn(market-30, silver-29)
dobj(corner-26, market-30)
punct(stems-10, .-31)

dep(says-3, Minpeco-1)
advmod(says-3, now-2)
root(ROOT-0, says-3)
dep(willing-6, it-4)
cop(willing-6, is-5)
ccomp(says-3, willing-6)
aux(settle-8, to-7)
xcomp(willing-6, settle-8)
prep(settle-8, for-9)
quantmod($-12, up-10)
dep($-12, to-11)
dep(for-9, $-12)
number(million-14, 65.7-13)
num($-12, million-14)
prep($-12, from-15)
det(brother-17, each-16)
pobj(from-15, brother-17)
punct(says-3, ,-18)
mark(less-27, although-19)
det(amount-22, the-20)
amod(amount-22, actual-21)
nsubj(less-27, amount-22)
aux(less-27, would-23)
advmod(less-27, probably-24)
cop(less-27, be-25)
advmod(less-27, much-26)
advcl(says-3, less-27)
punct(says-3, .-28)

mark(approved-6, Although-1)
det(proposal-3, the-2)
nsubjpass(approved-6, proposal-3)
aux(approved-6, must-4)
auxpass(approved-6, be-5)
advcl(agreed-18, approved-6)
prep(approved-6, by-7)
amod(Abramson-12, federal-8)
nn(Abramson-12, Judge-9)
nn(Abramson-12, Harold-10)
nn(Abramson-12, C.-11)
pobj(by-7, Abramson-12)
punct(agreed-18, ,-13)
nn(Hunt-16, W.-14)
nn(Hunt-16, Herbert-15)
nsubj(agreed-18, Hunt-16)
aux(agreed-18, has-17)
root(ROOT-0, agreed-18)
prep(agreed-18, to-19)
det(concern-23, the-20)
amod(concern-23, Peruvian-21)
nn(concern-23, mineral-22)
poss(proposal-25, concern-23)
possessive(concern-23, 's-24)
pobj(to-19, proposal-25)
punct(agreed-18, .-26)

nn(Hunt-3, Nelson-1)
nn(Hunt-3, Bunker-2)
nsubj(considering-5, Hunt-3)
aux(considering-5, is-4)
root(ROOT-0, considering-5)
dep(considering-5, it-6)
punct(considering-5, ,-7)
mark(says-11, although-8)
poss(attorney-10, his-9)
nsubj(says-11, attorney-10)
advcl(considering-5, says-11)
dep(do-15, he-12)
aux(do-15, wo-13)
neg(do-15, n't-14)
ccomp(says-11, do-15)
dep(do-15, it-16)
mark(jeopardizes-20, if-17)
det(proposal-19, the-18)
nsubj(jeopardizes-20, proposal-19)
advcl(do-15, jeopardizes-20)
det(settlement-23, a-21)
amod(settlement-23, tentative-22)
dobj(jeopardizes-20, settlement-23)
dep(reached-26, he-24)
aux(reached-26, has-25)
rcmod(settlement-23, reached-26)
prep(reached-26, with-27)
det(Service-31, the-28)
nn(Service-31, Internal-29)
nn(Service-31, Revenue-30)
pobj(with-27, Service-31)
punct(Service-31, ,-32)
dep(claims-34, which-33)
dep(Service-31, claims-34)
det(brothers-36, the-35)
nsubj(owe-37, brothers-36)
ccomp(claims-34, owe-37)
dobj(owe-37, $-38)
number(billion-40, 1-39)
num($-38, billion-40)
prep($-38, in-41)
amod(taxes-43, back-42)
pobj(in-41, taxes-43)
cc(claims-34, and-44)
cop(creditor-50, is-45)
prep(creditor-50, by-46)
dep(by-46, far-47)
det(creditor-50, the-48)
amod(creditor-50, biggest-49)
conj(claims-34, creditor-50)
prep(creditor-50, in-51)
det(cases-53, both-52)
pobj(in-51, cases-53)
punct(considering-5, .-54)

det(agreement-3, The-1)
nn(agreement-3, tentative-2)
nsubj(awaiting-12, agreement-3)
prep(agreement-3, between-4)
det(IRS-6, the-5)
pobj(between-4, IRS-6)
cc(IRS-6, and-7)
nn(Hunt-10, Nelson-8)
nn(Hunt-10, Bunker-9)
conj(IRS-6, Hunt-10)
aux(awaiting-12, is-11)
root(ROOT-0, awaiting-12)
nn(approval-16, U.S.-13)
nn(approval-16, Justice-14)
nn(approval-16, Department-15)
dobj(awaiting-12, approval-16)
punct(awaiting-12, .-17)

prep(liquidated-11, Under-1)
dep(Under-1, it-2)
punct(liquidated-11, ,-3)
det(billionaire-6, the-4)
amod(billionaire-6, former-5)
poss(assets-8, billionaire-6)
possessive(billionaire-6, 's-7)
nsubjpass(liquidated-11, assets-8)
aux(liquidated-11, would-9)
auxpass(liquidated-11, be-10)
root(ROOT-0, liquidated-11)
prep(liquidated-11, with-12)
det(IRS-14, the-13)
nsubj(getting-15, IRS-14)
pcomp(with-12, getting-15)
num(%-17, 80-16)
dobj(getting-15, %-17)
prep(%-17, of-18)
det(proceeds-20, the-19)
pobj(of-18, proceeds-20)
cc(getting-15, and-21)
det(rest-23, the-22)
nsubj(divided-25, rest-23)
dep(divided-25, being-24)
conj(getting-15, divided-25)
prep(divided-25, among-26)
amod(creditors-28, other-27)
pobj(among-26, creditors-28)
punct(creditors-28, ,-29)
prep(creditors-28, including-30)
pobj(including-30, Minpeco-31)
cc(Minpeco-31, and-32)
nn(Co.-36, Manufacturers-33)
nn(Co.-36, Hanover-34)
nn(Co.-36, Trust-35)
conj(Minpeco-31, Co.-36)
punct(Co.-36, ,-37)
dep(seeking-40, which-38)
aux(seeking-40, is-39)
dep(Co.-36, seeking-40)
dobj(seeking-40, repayment-41)
prep(repayment-41, of-42)
det(loan-47, a-43)
amod(loan-47, $-44)
number(million-46, 36-45)
num($-44, million-46)
pobj(of-42, loan-47)
punct(liquidated-11, .-48)

det(proposal-3, A-1)
amod(proposal-3, similiar-2)
nsubjpass(made-6, proposal-3)
aux(made-6, has-4)
auxpass(made-6, been-5)
root(ROOT-0, made-6)
prep(made-6, in-7)
det(case-12, the-8)
nn(case-12, W.-9)
nn(case-12, Herbert-10)
nn(case-12, Hunt-11)
pobj(in-7, case-12)
mark(are-18, although-13)
nsubj(are-18, he-14)
cc(he-14, and-15)
det(IRS-17, the-16)
conj(he-14, IRS-17)
advcl(made-6, are-18)
prep(are-18, at-19)
dep(at-19, odds-20)
prep(are-18, over-21)
det(size-23, the-22)
pobj(over-21, size-23)
prep(size-23, of-24)
det(debt-27, the-25)
amod(debt-27, non-dischargable-26)
pobj(of-24, debt-27)
dep(have-30, he-28)
aux(have-30, would-29)
rcmod(debt-27, have-30)
aux(pay-32, to-31)
xcomp(have-30, pay-32)
prep(pay-32, to-33)
det(government-35, the-34)
pobj(to-33, government-35)
prep(pay-32, from-36)
amod(earnings-38, future-37)
pobj(from-36, earnings-38)
punct(made-6, .-39)

prep(fighting-11, In-1)
det(cases-3, both-2)
pobj(In-1, cases-3)
punct(fighting-11, ,-4)
nsubj(fighting-11, Minpeco-5)
cc(Minpeco-5, and-6)
nn(Hanover-8, Manufacturers-7)
conj(Minpeco-5, Hanover-8)
aux(fighting-11, have-9)
aux(fighting-11, been-10)
root(ROOT-0, fighting-11)
advmod(fighting-11, ferociously-12)
prep(fighting-11, over-13)
poss(shares-15, their-14)
pobj(over-13, shares-15)
prep(shares-15, of-16)
det(pie-18, the-17)
pobj(of-16, pie-18)
punct(fighting-11, .-19)

prep(filed-10, With-1)
pobj(With-1, support-2)
prep(support-2, from-3)
det(IRS-5, the-4)
pobj(from-3, IRS-5)
punct(filed-10, ,-6)
nn(Hanover-8, Manufacturers-7)
nsubj(filed-10, Hanover-8)
aux(filed-10, has-9)
root(ROOT-0, filed-10)
dep(filed-10, suit-11)
xcomp(filed-10, asking-12)
nn(Abramson-14, Judge-13)
dobj(asking-12, Abramson-14)
aux(subordinate-16, to-15)
xcomp(asking-12, subordinate-16)
poss(claim-19, Minpeco-17)
possessive(Minpeco-17, 's-18)
dobj(subordinate-16, claim-19)
prep(subordinate-16, to-20)
pobj(to-20, those-21)
prep(those-21, of-22)
nn(Hanover-24, Manufacturer-23)
pobj(of-22, Hanover-24)
cc(Hanover-24, and-25)
det(IRS-27, the-26)
conj(Hanover-24, IRS-27)
punct(filed-10, .-28)

dep(threatened-3, Minpeco-1)
aux(threatened-3, has-2)
root(ROOT-0, threatened-3)
det(volcano-6, a-4)
punct(volcano-6, ``-5)
dobj(threatened-3, volcano-6)
punct(volcano-6, ''-7)
prep(volcano-6, of-8)
dep(of-8, litigation-9)
mark(attempts-16, if-10)
det(unit-15, the-11)
nn(unit-15, Manufacturers-12)
nn(unit-15, Hanover-13)
nn(unit-15, Corp.-14)
nsubj(attempts-16, unit-15)
rcmod(volcano-6, attempts-16)
aux(force-18, to-17)
xcomp(attempts-16, force-18)
amod(plan-21, such-19)
det(plan-21, a-20)
dobj(force-18, plan-21)
prep(force-18, through-22)
det(court-24, the-23)
pobj(through-22, court-24)
punct(threatened-3, .-25)

dep(said-2, Minpeco-1)
root(ROOT-0, said-2)
dep(pursue-6, it-3)
aux(pursue-6, would-4)
neg(pursue-6, n't-5)
ccomp(said-2, pursue-6)
amod(litigation-8, such-7)
dobj(pursue-6, litigation-8)
mark(approved-20, if-9)
poss(plan-12, its-10)
nn(plan-12, settlement-11)
nsubjpass(approved-20, plan-12)
prep(plan-12, in-13)
det(case-18, the-14)
nn(case-18, W.-15)
nn(case-18, Herbert-16)
nn(case-18, Hunt-17)
pobj(in-13, case-18)
auxpass(approved-20, is-19)
advcl(pursue-6, approved-20)
prep(approved-20, by-21)
nn(Abramson-23, Judge-22)
pobj(by-21, Abramson-23)
punct(Abramson-23, ,-24)
dep(consider-27, who-25)
aux(consider-27, will-26)
dep(Abramson-23, consider-27)
det(proposal-29, the-28)
dobj(consider-27, proposal-29)
prep(consider-27, at-30)
det(hearing-32, a-31)
pobj(at-30, hearing-32)
amod(week-34, next-33)
tmod(consider-27, week-34)
punct(said-2, .-35)

nn(Gorman-4, Minpeco-1)
nn(Gorman-4, attorney-2)
nn(Gorman-4, Thomas-3)
nsubj(decribed-5, Gorman-4)
root(ROOT-0, decribed-5)
det(plan-7, the-6)
dobj(decribed-5, plan-7)
prep(decribed-5, as-8)
num(step-10, one-9)
pobj(as-8, step-10)
prep(step-10, toward-11)
det(settlement-14, an-12)
amod(settlement-14, overall-13)
pobj(toward-11, settlement-14)
prep(settlement-14, of-15)
det(case-20, the-16)
nn(case-20, W.-17)
nn(case-20, Herbert-18)
nn(case-20, Hunt-19)
pobj(of-15, case-20)
cc(decribed-5, but-21)
nn(Ray-23, Hugh-22)
nsubj(called-30, Ray-23)
punct(Ray-23, ,-24)
appos(Ray-23, attorney-25)
prep(attorney-25, for-26)
nn(Hanover-28, Manufacturers-27)
pobj(for-26, Hanover-28)
punct(Ray-23, ,-29)
conj(decribed-5, called-30)
dep(silly-33, it-31)
punct(silly-33, ``-32)
dep(called-30, silly-33)
punct(silly-33, ''-34)
cc(called-30, and-35)
conj(called-30, said-36)
dep(fight-39, he-37)
aux(fight-39, would-38)
ccomp(said-36, fight-39)
dep(fight-39, it-40)
prep(fight-39, in-41)
dep(in-41, court-42)
punct(decribed-5, .-43)

punct(says-22, ``-1)
det(thing-3, The-2)
nsubj(fluid-6, thing-3)
cop(fluid-6, is-4)
advmod(fluid-6, so-5)
ccomp(says-22, fluid-6)
advmod(now-8, right-7)
advmod(fluid-6, now-8)
mark('s-11, that-9)
dep('s-11, there-10)
ccomp(fluid-6, 's-11)
advmod(way-14, really-12)
neg(way-14, no-13)
dep('s-11, way-14)
aux(say-16, to-15)
vmod(way-14, say-16)
dep(will-18, what-17)
ccomp(say-16, will-18)
dep(will-18, happen-19)
punct(says-22, ,-20)
punct(says-22, ''-21)
root(ROOT-0, says-22)
nn(III-28, Justice-23)
nn(III-28, Department-24)
nn(III-28, attorney-25)
nn(III-28, Grover-26)
nn(III-28, Hartt-27)
nsubj(says-22, III-28)
punct(III-28, ,-29)
dep(represents-31, who-30)
dep(III-28, represents-31)
det(IRS-33, the-32)
dobj(represents-31, IRS-33)
prep(represents-31, in-34)
det(case-36, the-35)
pobj(in-34, case-36)
punct(says-22, .-37)

punct(hard-6, ``-1)
nsubj(hard-6, Developments-2)
prep(Developments-2, like-3)
dep(like-3, this-4)
cop(hard-6, are-5)
root(ROOT-0, hard-6)
aux(predict-8, to-7)
ccomp(hard-6, predict-8)
punct(hard-6, .-9)

nn(Corp.-3, Banc-1)
num(Corp.-3, One-2)
nsubj(said-4, Corp.-3)
root(ROOT-0, said-4)
dep(agreed-6, it-5)
ccomp(said-4, agreed-6)
prep(agreed-6, in-7)
dep(in-7, principle-8)
aux(buy-10, to-9)
xcomp(agreed-6, buy-10)
num(offices-13, five-11)
nn(offices-13, branch-12)
dobj(buy-10, offices-13)
prep(buy-10, from-14)
nn(Inc.-16, Trustcorp-15)
pobj(from-14, Inc.-16)
punct(Inc.-16, ,-17)
nn(Ohio-20, Toledo-18)
punct(Ohio-20, ,-19)
appos(Inc.-16, Ohio-20)
punct(Inc.-16, ,-21)
prep(buy-10, following-22)
det(merger-25, the-23)
amod(merger-25, planned-24)
pobj(following-22, merger-25)
prep(merger-25, of-26)
dep(of-26, Trustcorp-27)
prep(merger-25, into-28)
nn(Corp.-30, Society-29)
nn(Cleveland-32, Corp.-30)
punct(Cleveland-32, ,-31)
pobj(into-28, Cleveland-32)
punct(said-4, .-33)

det(offices-3, The-1)
num(offices-3, five-2)
nsubj(have-12, offices-3)
prep(offices-3, in-4)
nn(counties-8, Erie-5)
cc(Erie-5, and-6)
conj(Erie-5, Ottawa-7)
pobj(in-4, counties-8)
prep(counties-8, in-9)
amod(Ohio-11, northern-10)
pobj(in-9, Ohio-11)
ccomp(said-23, have-12)
amod(assets-14, total-13)
dobj(have-12, assets-14)
prep(assets-14, of-15)
quantmod($-17, about-16)
pobj(of-15, $-17)
number(million-19, 88-18)
num($-17, million-19)
punct(said-23, ,-20)
nsubj(said-23, Banc-21)
num(Banc-21, One-22)
root(ROOT-0, said-23)
punct(said-23, .-24)

det(price-3, The-1)
nn(price-3, purchase-2)
nsubjpass(established-6, price-3)
aux(established-6, will-4)
auxpass(established-6, be-5)
ccomp(said-23, established-6)
mark(has-10, after-7)
nsubj(has-10, Banc-8)
num(Banc-8, One-9)
advcl(established-6, has-10)
det(opportunity-12, an-11)
dobj(has-10, opportunity-12)
aux(study-14, to-13)
vmod(opportunity-12, study-14)
det(quality-16, the-15)
