nn(Cos.-4, Marsh-1)
punct(N.D-7, -LRB--4)
dep(N.D-7, D.-5)
punct(N.D-7, ,-6)
appos(Dorgan-3, N.D-7)
punct(N.D-7, .-8)
punct(N.D-7, -RRB--9)
aux(introduced-11, has-10)
root(ROOT-0, introduced-11)
det(bill-13, a-12)
dobj(introduced-11, bill-13)
prep(introduced-11, in-14)
dep(in-14, Congress-15)
punct(introduced-11, ,-16)
dep(introduced-11, co-sponsored-17)
prep(co-sponsored-17, by-18)
nn(Hamilton-21, Rep.-19)
nn(Hamilton-21, Lee-20)
pobj(by-18, Hamilton-21)
punct(D.-23, -LRB--22)
dep(Hamilton-21, D.-23)
punct(D.-23, ,-24)
dep(D.-23, Ind.-25)
punct(D.-23, -RRB--26)
punct(introduced-11, ,-27)
dep(put-30, that-28)
aux(put-30, would-29)
dep(introduced-11, put-30)
det(secretary-33, the-31)
nn(secretary-33, treasury-32)
dobj(put-30, secretary-33)
advmod(put-30, back-34)
prep(put-30, on-35)
det(board-37, the-36)
pobj(on-35, board-37)
punct(introduced-11, .-38)

dep(is-2, There-1)
root(ROOT-0, is-2)
dep(is-2, doubt-3)
mark(accomplish-8, that-4)
det(change-6, the-5)
nsubj(accomplish-8, change-6)
aux(accomplish-8, would-7)
ccomp(doubt-3, accomplish-8)
advmod(accomplish-8, much-9)
cc(is-2, but-10)
advmod(doing-21, at-11)
pobj(at-11, least-12)
dep(doing-21, Congress-13)
punct(doing-21, ,-14)
prep(doing-21, as-15)
pcomp(as-15, in-16)
dep(in-16, 1935-17)
punct(doing-21, ,-18)
aux(doing-21, would-19)
aux(doing-21, be-20)
conj(is-2, doing-21)
dep(doing-21, something-22)
punct(is-2, .-23)

advmod(suggested-6, So-1)
advmod(So-1, far-2)
neg(one-4, no-3)
nsubj(suggested-6, one-4)
aux(suggested-6, has-5)
root(ROOT-0, suggested-6)
xcomp(suggested-6, putting-7)
det(comptroller-9, the-8)
dobj(putting-7, comptroller-9)
advmod(putting-7, back-10)
prep(putting-7, on-11)
det(board-13, the-12)
pobj(on-11, board-13)
punct(suggested-6, .-14)

nn(Brady-2, Nicholas-1)
nsubj(aware-12, Brady-2)
punct(Brady-2, ,-3)
det(secretary-7, the-4)
amod(secretary-7, incumbent-5)
nn(secretary-7, treasury-6)
appos(Brady-2, secretary-7)
punct(Brady-2, ,-8)
cop(aware-12, is-9)
prep(aware-12, of-10)
dep(of-10, course-11)
root(ROOT-0, aware-12)
prep(aware-12, of-13)
det(proposal-15, the-14)
pobj(of-13, proposal-15)
punct(aware-12, ,-16)
cc(aware-12, and-17)
dep(like-21, he-18)
aux(like-21, does-19)
neg(like-21, n't-20)
conj(aware-12, like-21)
dep(like-21, it-22)
advmod(like-21, much-23)
punct(aware-12, .-24)

nn(Dorgen-2, Mr.-1)
nsubj(changed-4, Dorgen-2)
aux(changed-4, has-3)
root(ROOT-0, changed-4)
dep(changed-4, tactics-5)
punct(changed-4, ,-6)
xcomp(changed-4, dropping-7)
det(idea-10, the-8)
amod(idea-10, seat-for-the-secretary-9)
dobj(dropping-7, idea-10)
punct(changed-4, .-11)

dep(pleased-4, That-1)
aux(pleased-4, may-2)
aux(pleased-4, have-3)
root(ROOT-0, pleased-4)
det(secretary-6, the-5)
dobj(pleased-4, secretary-6)
punct(pleased-4, ,-7)
cc(pleased-4, but-8)
nn(Heinemann-11, H.-9)
nn(Heinemann-11, Erich-10)
nsubj(suggests-26, Heinemann-11)
punct(Heinemann-11, ,-12)
nn(economist-14, chief-13)
appos(Heinemann-11, economist-14)
prep(economist-14, of-15)
det(firm-18, the-16)
nn(firm-18, investment-17)
pobj(of-15, firm-18)
prep(firm-18, of-19)
pobj(of-19, Ladenburg-20)
punct(Ladenburg-20, ,-21)
conj(Ladenburg-20, Thalmann-22)
cc(Ladenburg-20, &-23)
conj(Ladenburg-20, Co.-24)
punct(Heinemann-11, ,-25)
conj(pleased-4, suggests-26)
mark(figure-31, that-27)
nn(Brady-29, Mr.-28)
nsubj(figure-31, Brady-29)
aux(figure-31, may-30)
ccomp(suggests-26, figure-31)
dep(has-34, he-32)
advmod(has-34, already-33)
ccomp(figure-31, has-34)
predet(power-37, all-35)
det(power-37, the-36)
dobj(has-34, power-37)
dep(needs-39, he-38)
rcmod(power-37, needs-39)
punct(pleased-4, .-40)

prep(takes-8, Like-1)
amod(secretaries-4, most-2)
nn(secretaries-4, treasury-3)
pobj(Like-1, secretaries-4)
punct(takes-8, ,-5)
nn(Brady-7, Mr.-6)
nsubj(takes-8, Brady-7)
root(ROOT-0, takes-8)
det(interest-11, a-9)
amod(interest-11, keen-10)
dobj(takes-8, interest-11)
prep(interest-11, in-12)
amod(matters-14, monetary-13)
pobj(in-12, matters-14)
punct(takes-8, ,-15)
prep(takes-8, of-16)
dep(of-16, course-17)
punct(takes-8, .-18)

dep(taking-7, He-1)
aux(taking-7, was-2)
punct(taking-7, ,-3)
prep(taking-7, in-4)
dep(in-4, fact-5)
punct(taking-7, ,-6)
root(ROOT-0, taking-7)
det(interest-11, an-8)
advmod(interest-11, especially-9)
amod(interest-11, keen-10)
dobj(taking-7, interest-11)
prep(interest-11, in-12)
nn(matters-14, board-13)
pobj(in-12, matters-14)
advmod(went-18, even-15)
mark(went-18, before-16)
dep(went-18, he-17)
advcl(taking-7, went-18)
prep(went-18, to-19)
det(treasury-21, the-20)
pobj(to-19, treasury-21)
punct(taking-7, .-22)

prep(headed-14, After-1)
det(crash-6, the-2)
nn(crash-6, October-3)
num(crash-6, 1987-4)
nn(crash-6, market-5)
pobj(After-1, crash-6)
punct(headed-14, ,-7)
nn(Brady-9, Mr.-8)
nsubj(headed-14, Brady-9)
prep(headed-14, as-10)
det(citizen-13, a-11)
amod(citizen-13, private-12)
pobj(as-10, citizen-13)
root(ROOT-0, headed-14)
det(commission-17, a-15)
amod(commission-17, presidential-16)
dobj(headed-14, commission-17)
dobj(decide-21, that-18)
dep(commission-17, tried-19)
aux(decide-21, to-20)
xcomp(tried-19, decide-21)
dep(went-23, what-22)
dep(decide-21, went-23)
dep(went-23, wrong-24)
cc(went-23, and-25)
dep(done-29, what-26)
aux(done-29, should-27)
auxpass(done-29, be-28)
conj(went-23, done-29)
prep(done-29, about-30)
dep(about-30, it-31)
punct(headed-14, .-32)

nsubj(was-7, One-1)
prep(One-1, of-2)
det(commission-4, the-3)
poss(recommendations-6, commission-4)
possessive(commission-4, 's-5)
pobj(of-2, recommendations-6)
root(ROOT-0, was-7)
mark(coordinate-19, that-8)
det(agency-11, a-9)
amod(agency-11, single-10)
nsubj(coordinate-19, agency-11)
punct(agency-11, ,-12)
advmod(Reserve-16, probably-13)
det(Reserve-16, the-14)
nn(Reserve-16, Federal-15)
appos(agency-11, Reserve-16)
punct(agency-11, ,-17)
aux(coordinate-19, should-18)
ccomp(was-7, coordinate-19)
dobj(coordinate-19, regulation-20)
prep(regulation-20, of-21)
det(markets-24, all-22)
amod(markets-24, financial-23)
pobj(of-21, markets-24)
punct(was-7, .-25)

det(recommendation-2, This-1)
nsubj(encouraged-5, recommendation-2)
aux(encouraged-5, might-3)
aux(encouraged-5, have-4)
root(ROOT-0, encouraged-5)
det(bureaucrat-8, a-6)
amod(bureaucrat-8, turf-hungry-7)
dobj(encouraged-5, bureaucrat-8)
aux(try-10, to-9)
xcomp(encouraged-5, try-10)
aux(expand-12, to-11)
xcomp(try-10, expand-12)
poss(power-14, his-13)
dobj(expand-12, power-14)
punct(encouraged-5, ,-15)
cc(encouraged-5, but-16)
advmod(far-18, so-17)
advmod(made-26, far-18)
nn(Greenspan-23, Federal-19)
nn(Greenspan-23, Reserve-20)
nn(Greenspan-23, Chairman-21)
nn(Greenspan-23, Alan-22)
nsubj(made-26, Greenspan-23)
aux(made-26, has-24)
neg(made-26, n't-25)
conj(encouraged-5, made-26)
det(pitch-28, a-27)
dobj(made-26, pitch-28)
prep(pitch-28, for-29)
det(job-31, the-30)
pobj(for-29, job-31)
punct(encouraged-5, .-32)

det(Fed-2, The-1)
nsubj(has-3, Fed-2)
root(ROOT-0, has-3)
dobj(has-3, plenty-4)
prep(plenty-4, of-5)
dep(of-5, responsibilities-6)
prep(has-3, in-7)
pobj(in-7, times-8)
prep(times-8, of-9)
nn(turmoil-11, market-10)
pobj(of-9, turmoil-11)
cc(has-3, and-12)
prep(appears-20, in-13)
dep(in-13, 1987-14)
cc(in-13, and-15)
conj(in-13, again-16)
dep(in-13, in-17)
dep(in-17, 1989-18)
dep(appears-20, it-19)
conj(has-3, appears-20)
aux(handled-23, to-21)
aux(handled-23, have-22)
xcomp(appears-20, handled-23)
dep(handled-23, them-24)
advmod(handled-23, well-25)
punct(has-3, .-26)

nn(Brady-2, Mr.-1)
nsubj(said-4, Brady-2)
aux(said-4, has-3)
root(ROOT-0, said-4)
dep(thought-6, he-5)
ccomp(said-4, thought-6)
nn(agencies-8, government-7)
nsubjpass(prepared-16, agencies-8)
prep(agencies-8, in-9)
det(drop-13, the-10)
amod(drop-13, latest-11)
nn(drop-13, market-12)
pobj(in-9, drop-13)
auxpass(prepared-16, were-14)
advmod(prepared-16, better-15)
ccomp(thought-6, prepared-16)
aux(coordinate-18, to-17)
xcomp(prepared-16, coordinate-18)
poss(actions-20, their-19)
dobj(coordinate-18, actions-20)
punct(said-4, ,-21)
cc(said-4, but-22)
dep(left-25, he-23)
aux(left-25, has-24)
conj(said-4, left-25)
neg(doubt-27, no-26)
dobj(left-25, doubt-27)
mark(likes-31, that-28)
dep(likes-31, he-29)
advmod(likes-31, still-30)
ccomp(doubt-27, likes-31)
det(ideas-33, the-32)
dobj(likes-31, ideas-33)
det(commission-35, the-34)
nsubj(advanced-36, commission-35)
rcmod(ideas-33, advanced-36)
advmod(years-39, nearly-37)
num(years-39, two-38)
npadvmod(ago-40, years-39)
advmod(advanced-36, ago-40)
punct(said-4, .-41)

prep(joined-10, In-1)
amod(weeks-3, recent-2)
pobj(In-1, weeks-3)
punct(joined-10, ,-4)
advmod(joined-10, moreover-5)
punct(joined-10, ,-6)
nn(Brady-8, Mr.-7)
nsubj(joined-10, Brady-8)
aux(joined-10, has-9)
root(ROOT-0, joined-10)
amod(officials-13, other-11)
nn(officials-13, administration-12)
dobj(joined-10, officials-13)
prep(joined-10, in-14)
pcomp(in-14, trying-15)
aux(urge-17, to-16)
xcomp(trying-15, urge-17)
det(Fed-19, the-18)
dobj(urge-17, Fed-19)
prep(urge-17, toward-20)
amod(rates-23, lower-21)
nn(rates-23, interest-22)
pobj(toward-20, rates-23)
punct(joined-10, .-24)

nsubj(been-5, The-1)
amod(The-1, urging-2)
advmod(been-5, admittedly-3)
aux(been-5, has-4)
root(ROOT-0, been-5)
dep(been-5, gentle-6)
punct(been-5, .-7)

prep(said-14, In-1)
det(interview-3, an-2)
pobj(In-1, interview-3)
prep(interview-3, with-4)
det(Post-7, the-5)
nn(Post-7, Washington-6)
pobj(with-4, Post-7)
prep(said-14, in-8)
amod(October-10, early-9)
pobj(in-8, October-10)
punct(said-14, ,-11)
det(secretary-13, the-12)
nsubj(said-14, secretary-13)
root(ROOT-0, said-14)
det(Fed-16, the-15)
nsubj(interested-21, Fed-16)
aux(interested-21, may-17)
cop(interested-21, be-18)
advmod(interested-21, slightly-19)
advmod(interested-21, more-20)
ccomp(said-14, interested-21)
prep(interested-21, in-22)
pcomp(in-22, curbing-23)
dep(curbing-23, inflation-24)
mark(is-28, than-25)
det(administration-27, the-26)
nsubj(is-28, administration-27)
ccomp(interested-21, is-28)
punct(interested-21, ,-29)
mark(put-34, while-30)
det(administration-32, the-31)
nsubj(put-34, administration-32)
aux(put-34, may-33)
advcl(interested-21, put-34)
advmod(more-36, slightly-35)
amod(emphasis-37, more-36)
dobj(put-34, emphasis-37)
prep(put-34, on-38)
pcomp(on-38, spurring-39)
amod(growth-41, economic-40)
dobj(spurring-39, growth-41)
punct(said-14, .-42)

advmod(some-3, At-1)
pobj(At-1, least-2)
amod(economists-4, some-3)
nsubj(argue-10, economists-4)
punct(argue-10, ,-5)
prep(argue-10, of-6)
dep(of-6, course-7)
punct(argue-10, ,-8)
aux(argue-10, would-9)
root(ROOT-0, argue-10)
mark(deserves-13, that-11)
dep(deserves-13, inflation-12)
ccomp(argue-10, deserves-13)
det(lot-15, a-14)
dobj(deserves-13, lot-15)
prep(lot-15, of-16)
dep(of-16, emphasis-17)
punct(argue-10, .-18)

advmod(month-3, Earlier-1)
det(month-3, this-2)
tmod(held-8, month-3)
det(Fed-7, the-4)
nn(Fed-7, St.-5)
nn(Fed-7, Louis-6)
nsubj(held-8, Fed-7)
root(ROOT-0, held-8)
det(conference-10, a-9)
dobj(held-8, conference-10)
aux(assess-12, to-11)
vmod(held-8, assess-12)
det(system-14, the-13)
poss(years-18, system-14)
possessive(system-14, 's-15)
amod(years-18, first-16)
num(years-18, 75-17)
tmod(assess-12, years-18)
punct(held-8, .-19)

nn(Meltzer-2, Allan-1)
nsubj(noted-9, Meltzer-2)
punct(Meltzer-2, ,-3)
det(economist-7, a-4)
nn(economist-7, Carnegie-Mellon-5)
nn(economist-7, University-6)
appos(Meltzer-2, economist-7)
punct(Meltzer-2, ,-8)
root(ROOT-0, noted-9)
mark(included-15, that-10)
det(Fed-12, the-11)
poss(record-14, Fed-12)
possessive(Fed-12, 's-13)
nsubj(included-15, record-14)
ccomp(noted-9, included-15)
det(inflation-23, the-16)
amod(inflation-23, longest-17)
punct(inflation-23, ,-18)
advmod(sustained-20, most-19)
amod(inflation-23, sustained-20)
punct(inflation-23, ,-21)
dep(inflation-23, peacetime-22)
dobj(included-15, inflation-23)
prep(inflation-23, in-24)
poss(history-26, our-25)
pobj(in-24, history-26)
punct(inflation-23, ,-27)
vmod(inflation-23, dating-28)
prep(dating-28, from-29)
advmod(1966-31, either-30)
pobj(from-29, 1966-31)
cc(1966-31, or-32)
conj(1966-31, 1967-33)
prep(from-29, to-34)
dep(to-34, 1989-35)
punct(noted-9, .-36)

det(argument-3, The-1)
nn(argument-3, inflation-growth-2)
nsubj(one-7, argument-3)
cop(one-7, is-4)
det(one-7, an-5)
amod(one-7, old-6)
root(ROOT-0, one-7)
punct(one-7, ,-8)
cc(one-7, but-9)
nn(Brady-11, Mr.-10)
nsubj(trying-21, Brady-11)
punct(trying-21, ,-12)
dep(trying-21, on-13)
det(board-15, the-14)
pobj(on-13, board-15)
cc(on-13, or-16)
conj(on-13, off-17)
punct(trying-21, ,-18)
aux(trying-21, is-19)
advmod(trying-21, surely-20)
conj(one-7, trying-21)
aux(influence-23, to-22)
xcomp(trying-21, influence-23)
nn(policy-25, Fed-24)
dobj(influence-23, policy-25)
punct(one-7, .-26)

advmod(importantly-2, Equally-1)
advmod(spearheaded-8, importantly-2)
punct(spearheaded-8, ,-3)
det(secretary-6, the-4)
nn(secretary-6, treasury-5)
nsubj(spearheaded-8, secretary-6)
aux(spearheaded-8, has-7)
root(ROOT-0, spearheaded-8)
det(effort-11, the-9)
nn(effort-11, administration-10)
dobj(spearheaded-8, effort-11)
aux(bring-13, to-12)
vmod(effort-11, bring-13)
det(dollar-16, the-14)
nn(dollar-16, U.S.-15)
dobj(bring-13, dollar-16)
dep(bring-13, down-17)
prep(bring-13, by-18)
pcomp(by-18, shopping-19)
advmod(shopping-19, avidly-20)
prep(shopping-19, for-21)
amod(German-23, West-22)
amod(marks-24, German-23)
pobj(for-21, marks-24)
cc(marks-24, and-25)
amod(yen-27, Japanese-26)
conj(marks-24, yen-27)
punct(spearheaded-8, .-28)

det(treasury-2, The-1)
nsubj(do-4, treasury-2)
aux(do-4, can-3)
root(ROOT-0, do-4)
dep(do-4, something-5)
prep(do-4, on-6)
poss(own-8, its-7)
pobj(on-6, own-8)
punct(do-4, ,-9)
cc(do-4, but-10)
aux(have-12, to-11)
csubj(needs-18, have-12)
det(hope-14, any-13)
dobj(have-12, hope-14)
prep(hope-14, of-15)
dep(of-15, success-16)
dep(needs-18, it-17)
conj(do-4, needs-18)
dobj(needs-18, help-19)
prep(help-19, from-20)
det(Fed-22, the-21)
pobj(from-20, Fed-22)
punct(do-4, .-23)

det(bank-3, The-1)
amod(bank-3, central-2)
nsubj(helping-6, bank-3)
aux(helping-6, has-4)
aux(helping-6, been-5)
root(ROOT-0, helping-6)
punct(helping-6, ,-7)
cc(eagerly-12, but-8)
dep(eagerly-12, apparently-9)
dep(eagerly-12, not-10)
advmod(eagerly-12, especially-11)
dep(helping-6, eagerly-12)
punct(helping-6, .-13)

det(Fed-2, The-1)
nsubj(intervening-5, Fed-2)
aux(intervening-5, has-3)
aux(intervening-5, been-4)
root(ROOT-0, intervening-5)
prep(intervening-5, in-6)
amod(markets-9, foreign-7)
nn(markets-9, currency-8)
pobj(in-6, markets-9)
punct(intervening-5, ,-10)
advmod(right-12, all-11)
advmod(intervening-5, right-12)
punct(intervening-5, ,-13)
cc(intervening-5, but-14)
prep(appeared-22, through-15)
dep(through-15, August-16)
punct(appeared-22, ,-17)
advmod(appeared-22, at-18)
pobj(at-18, least-19)
punct(appeared-22, ,-20)
dep(appeared-22, it-21)
conj(intervening-5, appeared-22)
aux(sterilizing-26, to-23)
aux(sterilizing-26, be-24)
punct(sterilizing-26, ``-25)
xcomp(appeared-22, sterilizing-26)
punct(sterilizing-26, ''-27)
det(intervention-29, the-28)
dobj(sterilizing-26, intervention-29)
punct(intervening-5, .-30)

prep(offsetting-7, In-1)
amod(words-3, other-2)
pobj(In-1, words-3)
punct(offsetting-7, ,-4)
dep(offsetting-7, it-5)
aux(offsetting-7, was-6)
root(ROOT-0, offsetting-7)
dobj(offsetting-7, purchases-8)
prep(purchases-8, of-9)
pobj(of-9, marks-10)
cc(marks-10, and-11)
conj(marks-10, yen-12)
prep(offsetting-7, by-13)
pcomp(by-13, buying-14)
dep(buying-14, dollars-15)
prep(buying-14, in-16)
det(market-20, the-17)
amod(market-20, domestic-18)
nn(market-20, money-19)
pobj(in-16, market-20)
punct(offsetting-7, .-21)

advmod(have-6, Now-1)
punct(have-6, ,-2)
amod(intervention-4, sterilized-3)
nsubj(have-6, intervention-4)
aux(have-6, may-5)
root(ROOT-0, have-6)
det(effect-8, some-7)
dobj(have-6, effect-8)
punct(have-6, .-9)

advmod(see-3, When-1)
dep(see-3, traders-2)
csubj(make-13, see-3)
det(Fed-5, the-4)
nsubj(is-6, Fed-5)
ccomp(see-3, is-6)
prep(is-6, in-7)
det(market-10, the-8)
nn(market-10, exchange-9)
pobj(in-7, market-10)
dep(make-13, it-11)
aux(make-13, may-12)
root(ROOT-0, make-13)
dep(tread-15, them-14)
ccomp(make-13, tread-15)
det(little-17, a-16)
npadvmod(carefully-18, little-17)
advmod(tread-15, carefully-18)
punct(tread-15, ,-19)
prep(tread-15, for-20)
pobj(for-20, fear-21)
prep(fear-21, of-22)
dep(do-28, what-23)
det(bank-26, the-24)
amod(bank-26, central-25)
nsubj(do-28, bank-26)
aux(do-28, may-27)
pcomp(of-22, do-28)
punct(make-13, .-29)

cc(accepted-5, But-1)
dep(accepted-5, it-2)
auxpass(accepted-5, 's-3)
advmod(accepted-5, generally-4)
root(ROOT-0, accepted-5)
mark(has-9, that-6)
amod(intervention-8, sterilized-7)
nsubj(has-9, intervention-8)
ccomp(accepted-5, has-9)
nn(impact-14, little-10)
cc(little-10, or-11)
conj(little-10, no-12)
amod(impact-14, lasting-13)
dobj(has-9, impact-14)
prep(impact-14, on-15)
nn(values-17, currency-16)
pobj(on-15, values-17)
punct(accepted-5, .-18)

prep(stopped-7, After-1)
dep(After-1, August-2)
det(Fed-4, the-3)
nsubj(stopped-7, Fed-4)
aux(stopped-7, may-5)
aux(stopped-7, have-6)
root(ROOT-0, stopped-7)
dep(stopped-7, sterilizing-8)
punct(stopped-7, ,-9)
cc(stopped-7, but-10)
nsubj('s-12, it-11)
conj(stopped-7, 's-12)
dep('s-12, hard-13)
aux(see-15, to-14)
xcomp('s-12, see-15)
amod(impact-17, much-16)
dobj(see-15, impact-17)
prep(impact-17, on-18)
det(dollar-20, the-19)
pobj(on-18, dollar-20)
punct(stopped-7, .-21)

det(dollar-2, The-1)
nsubj(volatile-6, dollar-2)
cop(volatile-6, is-3)
advmod(volatile-6, still-4)
advmod(volatile-6, highly-5)
root(ROOT-0, volatile-6)
punct(volatile-6, .-7)

det(Fed-2, The-1)
nsubj(let-4, Fed-2)
aux(let-4, has-3)
root(ROOT-0, let-4)
nn(rates-6, interest-5)
nsubj(slip-7, rates-6)
ccomp(let-4, slip-7)
advmod(slip-7, slightly-8)
punct(let-4, ,-9)
cc(let-4, but-10)
mark(intervention-17, whether-11)
det(reason-14, the-12)
amod(reason-14, main-13)
nsubj(intervention-17, reason-14)
cop(intervention-17, was-15)
nn(intervention-17, dollar-16)
advcl(know-39, intervention-17)
punct(intervention-17, ,-18)
det(reports-21, the-19)
amod(reports-21, gloomy-20)
conj(intervention-17, reports-21)
prep(reports-21, on-22)
amod(employment-24, manufacturing-23)
pobj(on-22, employment-24)
punct(intervention-17, ,-25)
cc(intervention-17, or-26)
det(drop-31, the-27)
dep(drop-31, Friday-28)
dep(Friday-28, 13-29)
nn(drop-31, market-30)
conj(intervention-17, drop-31)
punct(know-39, ,-32)
advmod(Greenspan-35, only-33)
nn(Greenspan-35, Mr.-34)
nsubj(know-39, Greenspan-35)
cc(Greenspan-35, and-36)
poss(associates-38, his-37)
conj(Greenspan-35, associates-38)
conj(let-4, know-39)
punct(let-4, .-40)

advmod(year-3, Earlier-1)
det(year-3, this-2)
tmod(argued-17, year-3)
punct(argued-17, ,-4)
nn(Feldstein-6, Martin-5)
nsubj(argued-17, Feldstein-6)
punct(Feldstein-6, ,-7)
appos(Feldstein-6, president-8)
prep(president-8, of-9)
det(Bureau-12, the-10)
nn(Bureau-12, National-11)
pobj(of-9, Bureau-12)
prep(Bureau-12, of-13)
nn(Research-15, Economic-14)
pobj(of-13, Research-15)
punct(Feldstein-6, ,-16)
root(ROOT-0, argued-17)
advmod(argued-17, forcefully-18)
mark(try-30, that-19)
det(government-21, a-20)
nsubj(try-30, government-21)
dep(wants-23, that-22)
dep(government-21, wants-23)
amod(rates-28, steady-24)
punct(rates-28, ,-25)
amod(rates-28, stable-26)
nn(rates-28, exchange-27)
dobj(wants-23, rates-28)
aux(try-30, might-29)
ccomp(argued-17, try-30)
det(policies-35, some-31)
amod(policies-35, steady-32)
amod(policies-35, stable-33)
amod(policies-35, economic-34)
dobj(try-30, policies-35)
punct(argued-17, .-36)

csubj(mean-16, Trying-1)
aux(manage-3, to-2)
xcomp(Trying-1, manage-3)
nn(rates-5, exchange-4)
dobj(manage-3, rates-5)
prep(manage-3, to-6)
det(level-9, some-7)
amod(level-9, desired-8)
pobj(to-6, level-9)
punct(said-12, ,-10)
dep(said-12, he-11)
parataxis(mean-16, said-12)
punct(said-12, ,-13)
punct(mean-16, ``-14)
aux(mean-16, would-15)
root(ROOT-0, mean-16)
ccomp(mean-16, diverting-17)
amod(policies-21, monetary-18)
cc(monetary-18, and-19)
conj(monetary-18, fiscal-20)
dobj(diverting-17, policies-21)
prep(diverting-17, from-22)
poss(roles-25, their-23)
amod(roles-25, customary-24)
pobj(from-22, roles-25)
cc(diverting-17, and-26)
advmod(diverting-17, thereby-27)
dep(diverting-17, risking-28)
amod(inflation-30, excessive-29)
dobj(risking-28, inflation-30)
cc(inflation-30, and-31)
conj(inflation-30, unemployment-32)
cc(inflation-30, and-33)
amod(formation-36, inadequate-34)
nn(formation-36, capital-35)
conj(inflation-30, formation-36)
punct(mean-16, .-37)
punct(mean-16, ''-38)

det(more-2, The-1)
dep(think-4, more-2)
dep(think-4, we-3)
dep(suspect-11, think-4)
prep(think-4, about-5)
dep(about-5, it-6)
punct(suspect-11, ,-7)
det(more-9, the-8)
dep(suspect-11, more-9)
dep(suspect-11, we-10)
root(ROOT-0, suspect-11)
nn(Brady-13, Mr.-12)
nsubj(have-16, Brady-13)
aux(have-16, does-14)
advmod(have-16, indeed-15)
ccomp(suspect-11, have-16)
amod(power-18, enough-17)
dobj(have-16, power-18)
advmod(is-22, where-19)
dep(is-22, he-20)
advmod(is-22, already-21)
dep(have-16, is-22)
punct(suspect-11, .-23)

dep(week-5, This-1)
aux(week-5, has-2)
cop(week-5, been-3)
det(week-5, a-4)
root(ROOT-0, week-5)
prep(week-5, of-6)
amod(events-8, stunning-7)
pobj(of-6, events-8)
prep(events-8, behind-9)
dobj(Curtain-16, what-10)
auxpass(called-13, was-11)
advmod(called-13, once-12)
pcomp(behind-9, called-13)
det(Curtain-16, the-14)
nn(Curtain-16, Iron-15)
xcomp(called-13, Curtain-16)
cc(events-8, and-17)
amod(shifts-19, interesting-18)
conj(events-8, shifts-19)
prep(shifts-19, in-20)
amod(policy-23, official-21)
amod(policy-23, American-22)
pobj(in-20, policy-23)
prep(policy-23, toward-24)
dep(toward-24, Moscow-25)
punct(week-5, .-26)

dep(week-6, It-1)
aux(week-6, has-2)
advmod(week-6, also-3)
cop(week-6, been-4)
det(week-6, a-5)
root(ROOT-0, week-6)
advmod(had-11, when-7)
nn(Washington-9, inside-the-beltway-8)
nsubj(had-11, Washington-9)
aux(had-11, has-10)
dep(week-6, had-11)
det(time-15, a-12)
amod(time-15, high-13)
amod(time-15, old-14)
dobj(had-11, time-15)
dep(had-11, gnawing-16)
prep(gnawing-16, over-17)
amod(Reagan-19, ex-President-18)
poss(junket-22, Reagan-19)
possessive(Reagan-19, 's-20)
amod(junket-22, multimillion-dollar-21)
pobj(over-17, junket-22)
prep(junket-22, in-23)
dep(in-23, Japan-24)
punct(week-6, .-25)

det(latter-2, The-1)
nsubj(seem-4, latter-2)
aux(seem-4, may-3)
root(ROOT-0, seem-4)
advmod(irrelevant-6, oddly-5)
dep(seem-4, irrelevant-6)
punct(irrelevant-6, ,-7)
dep(irrelevant-6, if-8)
neg(trivial-11, not-9)
advmod(trivial-11, downright-10)
dep(irrelevant-6, trivial-11)
punct(irrelevant-6, ,-12)
prep(seem-4, given-13)
det(picture-16, the-14)
amod(picture-16, big-15)
pobj(given-13, picture-16)
cc(seem-4, and-17)
det(way-19, the-18)
nsubj(done-30, way-19)
dep(handled-22, we-20)
aux(handled-22, have-21)
rcmod(way-19, handled-22)
dep(handled-22, it-23)
prep(handled-22, in-24)
det(nation-26, the-25)
poss(capital-28, nation-26)
possessive(nation-26, 's-27)
pobj(in-24, capital-28)
aux(done-30, has-29)
conj(seem-4, done-30)
dep(done-30, nothing-31)
aux(dispel-33, to-32)
xcomp(done-30, dispel-33)
det(impression-35, that-34)
dobj(dispel-33, impression-35)
punct(seem-4, .-36)

prep(raises-18, In-1)
dep(In-1, fact-2)
punct(raises-18, ,-3)
advmod(raises-18, however-4)
punct(raises-18, ,-5)
nn(Reagan-7, Mr.-6)
poss(debasement-10, Reagan-7)
possessive(Reagan-7, 's-8)
amod(debasement-10, casual-9)
nsubj(raises-18, debasement-10)
prep(debasement-10, of-11)
det(office-13, the-12)
pobj(of-11, office-13)
dep(held-17, he-14)
advmod(recently-16, so-15)
advmod(held-17, recently-16)
rcmod(office-13, held-17)
root(ROOT-0, raises-18)
dobj(raises-18, issues-19)
prep(do-25, about-20)
dep(about-20, which-21)
dep(do-25, Americans-22)
aux(do-25, can-23)
advmod(do-25, actually-24)
ccomp(issues-19, do-25)
dobj(do-25, something-26)
punct(raises-18, .-27)

poss(ability-2, Our-1)
nsubj(marginal-19, ability-2)
aux(influence-4, to-3)
vmod(ability-2, influence-4)
det(outcome-6, the-5)
dobj(influence-4, outcome-6)
prep(outcome-6, of-7)
pobj(of-7, events-8)
prep(events-8, in-9)
nn(Europe-11, Eastern-10)
pobj(in-9, Europe-11)
cc(Europe-11, and-12)
