advmod(Monday-7, No-1)
nsubj(name-5, executive-2)
aux(name-5, did-3)
neg(name-5, n't-4)
root(ROOT-0, name-5)
det(price-7, any-6)
dobj(name-5, price-7)
punct(name-5, ,-8)
cc(name-5, but-9)
nn(analysts-11, securities-10)
nsubj(said-13, analysts-11)
aux(said-13, have-12)
conj(name-5, said-13)
dep(fetch-16, Saatchi-14)
aux(fetch-16, would-15)
ccomp(said-13, fetch-16)
quantmod($-19, upward-17)
quantmod($-19, of-18)
dobj(fetch-16, $-19)
number(billion-21, 1.3-20)
num($-19, billion-21)
punct(name-5, .-22)

det(executive-2, The-1)
nsubj(denied-3, executive-2)
root(ROOT-0, denied-3)
dobj(denied-3, speculation-4)
mark(bringing-8, that-5)
dep(bringing-8, Saatchi-6)
aux(bringing-8, was-7)
ccomp(speculation-4, bringing-8)
dep(bringing-8, in-9)
det(officer-14, the-10)
amod(officer-14, new-11)
amod(officer-14, chief-12)
amod(officer-14, executive-13)
dobj(bringing-8, officer-14)
advmod(clean-17, only-15)
aux(clean-17, to-16)
vmod(bringing-8, clean-17)
dep(clean-17, up-18)
det(company-20, the-19)
dobj(clean-17, company-20)
advmod(clean-17, financially-21)
mark(lead-27, so-22)
mark(lead-27, that-23)
det(brothers-25, the-24)
nsubj(lead-27, brothers-25)
aux(lead-27, could-26)
advcl(clean-17, lead-27)
det(buy-back-29, a-28)
dobj(lead-27, buy-back-29)
punct(denied-3, .-30)

det(speculation-2, That-1)
nsubj(abounded-3, speculation-2)
root(ROOT-0, abounded-3)
dep(abounded-3, Friday-4)
mark(analyzed-8, as-5)
nn(executives-7, industry-6)
nsubj(analyzed-8, executives-7)
advcl(abounded-3, analyzed-8)
det(appointment-10, the-9)
dobj(analyzed-8, appointment-10)
prep(appointment-10, of-11)
det(executive-15, the-12)
amod(executive-15, new-13)
amod(executive-15, chief-14)
pobj(of-11, executive-15)
punct(executive-15, ,-16)
nn(Louis-Dreyfus-18, Robert-17)
appos(executive-15, Louis-Dreyfus-18)
punct(executive-15, ,-19)
dep(joins-21, who-20)
dep(executive-15, joins-21)
dep(joins-21, Saatchi-22)
cc(joins-21, and-23)
conj(joins-21, becomes-24)
det(member-26, a-25)
xcomp(becomes-24, member-26)
prep(member-26, of-27)
poss(board-29, its-28)
pobj(of-27, board-29)
prep(joins-21, on-30)
pobj(on-30, Jan.-31)
num(Jan.-31, 1-32)
punct(abounded-3, .-33)

nn(Louis-Dreyfus-2, Mr.-1)
nsubj(has-16, Louis-Dreyfus-2)
punct(Louis-Dreyfus-2, ,-3)
advmod(executive-6, formerly-4)
amod(executive-6, chief-5)
appos(Louis-Dreyfus-2, executive-6)
prep(executive-6, of-7)
det(Inc.-14, the-8)
amod(Inc.-14, pharmaceutical-9)
nn(Inc.-14, research-10)
nn(Inc.-14, firm-11)
nn(Inc.-14, IMS-12)
nn(Inc.-14, International-13)
pobj(of-7, Inc.-14)
punct(Louis-Dreyfus-2, ,-15)
root(ROOT-0, has-16)
det(reputation-18, a-17)
dobj(has-16, reputation-18)
prep(reputation-18, as-19)
det(manager-23, a-20)
amod(manager-23, savvy-21)
amod(manager-23, financial-22)
pobj(as-19, manager-23)
punct(has-16, ,-24)
cc(has-16, and-25)
aux(charged-28, will-26)
auxpass(charged-28, be-27)
conj(has-16, charged-28)
advmod(with-30, largely-29)
prep(charged-28, with-30)
pcomp(with-30, repairing-31)
poss(state-36, Saatchi-32)
possessive(Saatchi-32, 's-33)
amod(state-36, poor-34)
amod(state-36, financial-35)
dobj(repairing-31, state-36)
punct(has-16, .-37)

vmod(replied-24, Asked-1)
prep(Asked-1, about-2)
det(speculation-4, the-3)
pobj(about-2, speculation-4)
mark(hired-10, that-5)
nn(Louis-Dreyfus-7, Mr.-6)
nsubjpass(hired-10, Louis-Dreyfus-7)
aux(hired-10, has-8)
auxpass(hired-10, been-9)
ccomp(speculation-4, hired-10)
aux(pave-12, to-11)
xcomp(hired-10, pave-12)
det(way-14, the-13)
dobj(pave-12, way-14)
prep(pave-12, for-15)
det(buy-out-17, a-16)
pobj(for-15, buy-out-17)
prep(buy-out-17, by-18)
det(brothers-20, the-19)
pobj(by-18, brothers-20)
punct(replied-24, ,-21)
det(executive-23, the-22)
nsubj(replied-24, executive-23)
root(ROOT-0, replied-24)
punct(replied-24, ,-25)
punct(replied-24, ``-26)
dep(reason-31, That-27)
cop(reason-31, is-28)
neg(reason-31, n't-29)
det(reason-31, the-30)
ccomp(replied-24, reason-31)
dep(brought-35, Dreyfus-32)
aux(brought-35, has-33)
auxpass(brought-35, been-34)
rcmod(reason-31, brought-35)
dep(brought-35, in-36)
punct(replied-24, .-37)

dep(brought-3, He-1)
auxpass(brought-3, was-2)
root(ROOT-0, brought-3)
dep(brought-3, in-4)
aux(turn-6, to-5)
xcomp(brought-3, turn-6)
dep(turn-6, around-7)
det(company-9, the-8)
dobj(turn-6, company-9)
punct(brought-3, .-10)
punct(brought-3, ''-11)

advmod(said-7, Separately-1)
punct(said-7, ,-2)
amod(clients-6, several-3)
nn(clients-6, Saatchi-4)
nn(clients-6, agency-5)
nsubj(said-7, clients-6)
root(ROOT-0, said-7)
dep(believe-9, they-8)
ccomp(said-7, believe-9)
det(company-11, the-10)
poss(shakeup-14, company-11)
possessive(company-11, 's-12)
nn(shakeup-14, management-13)
nsubj(have-16, shakeup-14)
aux(have-16, will-15)
ccomp(believe-9, have-16)
amod(affect-18, little-17)
dobj(have-16, affect-18)
prep(affect-18, on-19)
dep(on-19, them-20)
punct(said-7, .-21)

punct(said-19, ``-1)
dep(had-5, It-2)
aux(had-5, has-3)
neg(had-5, n't-4)
ccomp(said-19, had-5)
det(impact-7, any-6)
dobj(had-5, impact-7)
prep(impact-7, on-8)
dep(on-8, us-9)
punct(had-5, ,-10)
cc(had-5, nor-11)
aux(expect-14, do-12)
dep(expect-14, we-13)
conj(had-5, expect-14)
dep(to-16, it-15)
xcomp(expect-14, to-16)
punct(said-19, ,-17)
punct(said-19, ''-18)
root(ROOT-0, said-19)
det(spokeswoman-21, a-20)
nsubj(said-19, spokeswoman-21)
prep(spokeswoman-21, for-22)
nn(Co.-25, Miller-23)
nn(Co.-25, Brewing-24)
pobj(for-22, Co.-25)
punct(Co.-25, ,-26)
det(client-29, a-27)
amod(client-29, major-28)
appos(Co.-25, client-29)
prep(client-29, of-30)
nn(Spielvogel-32, Backer-31)
pobj(of-30, Spielvogel-32)
punct(said-19, .-33)

nn(Lampe-2, John-1)
nsubj(said-18, Lampe-2)
punct(Lampe-2, ,-3)
appos(Lampe-2, director-4)
prep(director-4, of-5)
dep(of-5, advertising-6)
prep(director-4, at-7)
nn(Inc.-9, PaineWebber-8)
pobj(at-7, Inc.-9)
punct(Inc.-9, ,-10)
det(Saatchi-12, a-11)
appos(Inc.-9, Saatchi-12)
cc(Saatchi-12, &-13)
nn(client-16, Saatchi-14)
nn(client-16, Advertising-15)
conj(Saatchi-12, client-16)
punct(Lampe-2, ,-17)
root(ROOT-0, said-18)
punct(said-18, :-19)
punct(have-22, ``-20)
dep(have-22, We-21)
ccomp(said-18, have-22)
neg(problem-24, no-23)
dobj(have-22, problem-24)
prep(problem-24, with-25)
det(announcement-27, the-26)
pobj(with-25, announcement-27)
punct(have-22, ,-28)
mark(know-33, because-29)
dep(know-33, we-30)
aux(know-33, do-31)
neg(know-33, n't-32)
advcl(have-22, know-33)
det(change-35, what-34)
nsubj(going-38, change-35)
dep(going-38, it-36)
aux(going-38, 's-37)
ccomp(know-33, going-38)
aux(bring-40, to-39)
xcomp(going-38, bring-40)
dep(bring-40, about-41)
punct(said-18, .-42)

dep(going-4, We-1)
aux(going-4, are-2)
neg(going-4, n't-3)
root(ROOT-0, going-4)
aux(change-6, to-5)
xcomp(going-4, change-6)
dep(change-6, agencies-7)
mwe(of-9, because-8)
prep(change-6, of-9)
det(change-11, a-10)
pobj(of-9, change-11)
prep(change-11, in-12)
dep(in-12, London-13)
punct(going-4, .-14)
punct(going-4, ''-15)

nsubj(said-20, Executives-1)
prep(Executives-1, at-2)
nn(Inc.-7, Backer-3)
nn(Inc.-7, Spielvogel-4)
nn(Inc.-7, client-5)
nn(Inc.-7, Avis-6)
pobj(at-2, Inc.-7)
punct(at-2, ,-8)
advmod(well-10, as-9)
cc(at-2, well-10)
mwe(well-10, as-11)
conj(at-2, at-12)
nn(Co.-17, Saatchi-13)
nn(Co.-17, client-14)
nn(Co.-17, Philips-15)
nn(Co.-17, Lighting-16)
pobj(at-12, Co.-17)
punct(at-2, ,-18)
advmod(said-20, also-19)
root(ROOT-0, said-20)
dep(saw-22, they-21)
ccomp(said-20, saw-22)
neg(effect-24, no-23)
dobj(saw-22, effect-24)
punct(said-20, .-25)

nsubj(declined-17, Executives-1)
prep(Executives-1, at-2)
nn(Inc.-5, Prudential-Bache-3)
nn(Inc.-5, Securities-4)
pobj(at-2, Inc.-5)
punct(Inc.-5, ,-6)
det(client-10, a-7)
nn(client-10, Backer-8)
nn(client-10, Spielvogel-9)
appos(Inc.-5, client-10)
dep(reviewing-13, that-11)
aux(reviewing-13, is-12)
dep(client-10, reviewing-13)
poss(account-15, its-14)
dobj(reviewing-13, account-15)
punct(Inc.-5, ,-16)
root(ROOT-0, declined-17)
dep(declined-17, comment-18)
punct(declined-17, .-19)

nn(Spielvogel-2, Mr.-1)
nsubj(said-4, Spielvogel-2)
aux(said-4, had-3)
root(ROOT-0, said-4)
mark(prepared-8, that-5)
dep(prepared-8, Prudential-Bache-6)
auxpass(prepared-8, was-7)
ccomp(said-4, prepared-8)
aux(finance-10, to-9)
xcomp(prepared-8, finance-10)
preconj(buy-out-14, either-11)
det(buy-out-14, a-12)
nn(buy-out-14, management-13)
dobj(finance-10, buy-out-14)
cc(buy-out-14, and-15)
conj(buy-out-14, restructuring-16)
punct(buy-out-14, ,-17)
cc(buy-out-14, or-18)
det(buy-out-20, a-19)
conj(buy-out-14, buy-out-20)
prep(buy-out-20, of-21)
nn(Spielvogel-23, Backer-22)
pobj(of-21, Spielvogel-23)
advmod(Spielvogel-23, alone-24)
punct(buy-out-20, ,-25)
vmod(buy-out-20, led-26)
prep(led-26, by-27)
dep(by-27, him-28)
punct(said-4, .-29)

nn(Notes-2, Ad-1)
root(ROOT-0, Notes-2)
punct(Notes-2, ...-3)
punct(Notes-2, .-4)

amod(ACCOUNT-2, NEW-1)
root(ROOT-0, ACCOUNT-2)
punct(ACCOUNT-2, :-3)

poss(Bank-5, California-1)
possessive(California-1, 's-2)
nn(Bank-5, Glendale-3)
nn(Bank-5, Federal-4)
nsubj(awarded-6, Bank-5)
root(ROOT-0, awarded-6)
poss(account-15, its-7)
dep($-12, $-8)
number($-12, 12-9)
number($-12, million-10)
dep($-12, to-11)
amod(account-15, $-12)
number(million-14, 15-13)
num($-12, million-14)
dobj(awarded-6, account-15)
prep(awarded-6, to-16)
det(office-20, the-17)
nn(office-20, Los-18)
nn(office-20, Angeles-19)
pobj(to-16, office-20)
prep(office-20, of-21)
nn(Group-23, Omnicom-22)
poss(agency-26, Group-23)
possessive(Group-23, 's-24)
nn(agency-26, BBDO-25)
pobj(of-21, agency-26)
punct(awarded-6, .-27)

det(account-2, The-1)
nsubjpass(handled-5, account-2)
auxpass(handled-5, was-3)
advmod(handled-5, previously-4)
root(ROOT-0, handled-5)
prep(handled-5, by-6)
nn(Inc.-13, Davis-7)
punct(Davis-7, ,-8)
conj(Davis-7, Ball-9)
cc(Davis-7, &-10)
conj(Davis-7, Colombatto-11)
nn(Inc.-13, Advertising-12)
pobj(by-6, Inc.-13)
punct(Inc.-13, ,-14)
det(agency-18, a-15)
nn(agency-18, Los-16)
nn(agency-18, Angeles-17)
appos(Inc.-13, agency-18)
punct(handled-5, .-19)

nn(REVIEW-2, ACCOUNT-1)
root(ROOT-0, REVIEW-2)
punct(REVIEW-2, :-3)

nn(Co.-4, Royal-1)
nn(Co.-4, Crown-2)
nn(Co.-4, Cola-3)
nsubj(ended-6, Co.-4)
aux(ended-6, has-5)
root(ROOT-0, ended-6)
poss(relationship-8, its-7)
dobj(ended-6, relationship-8)
prep(relationship-8, with-9)
det(office-12, the-10)
nn(office-12, Boston-11)
pobj(with-9, office-12)
prep(office-12, of-13)
nn(Cosmopulos-20, Hill-14)
punct(Cosmopulos-20, ,-15)
appos(Cosmopulos-20, Holliday-16)
punct(Cosmopulos-20, ,-17)
appos(Cosmopulos-20, Connors-18)
punct(Cosmopulos-20, ,-19)
pobj(of-13, Cosmopulos-20)
punct(ended-6, .-21)

det(account-2, The-1)
nsubj(billed-4, account-2)
aux(billed-4, had-3)
root(ROOT-0, billed-4)
quantmod($-6, about-5)
dobj(billed-4, $-6)
number(million-8, 6-7)
num($-6, million-8)
prep(billed-4, in-9)
dep(in-9, 1988-10)
punct(billed-4, ,-11)
prep(billed-4, according-12)
pcomp(according-12, to-13)
nn(Advertisers-16, Leading-14)
nn(Advertisers-16, National-15)
pobj(to-13, Advertisers-16)
punct(billed-4, .-17)

amod(PLEA-2, NOT-GUILTY-1)
root(ROOT-0, PLEA-2)
punct(PLEA-2, :-3)

mark(expected-2, As-1)
advcl(pleaded-18, expected-2)
punct(pleaded-18, ,-3)
nn(Inc.-7, Young-4)
cc(Young-4, &-5)
conj(Young-4, Rubicam-6)
nsubj(pleaded-18, Inc.-7)
advmod(Inc.-7, along-8)
prep(along-8, with-9)
num(executives-12, two-10)
amod(executives-12, senior-11)
pobj(with-9, executives-12)
cc(executives-12, and-13)
det(employee-16, a-14)
amod(employee-16, former-15)
conj(executives-12, employee-16)
punct(pleaded-18, ,-17)
root(ROOT-0, pleaded-18)
neg(guilty-20, not-19)
acomp(pleaded-18, guilty-20)
prep(pleaded-18, in-21)
amod(court-23, federal-22)
pobj(in-21, court-23)
prep(pleaded-18, in-24)
nn(Haven-26, New-25)
nn(Conn.-28, Haven-26)
punct(Conn.-28, ,-27)
pobj(in-24, Conn.-28)
punct(Conn.-28, ,-29)
prep(pleaded-18, to-30)
nn(charges-34, conspiracy-31)
cc(conspiracy-31, and-32)
conj(conspiracy-31, racketeering-33)
pobj(to-30, charges-34)
punct(pleaded-18, .-35)

det(government-2, The-1)
nsubj(charged-4, government-2)
aux(charged-4, has-3)
root(ROOT-0, charged-4)
mark(bribed-7, that-5)
dep(bribed-7, they-6)
ccomp(charged-4, bribed-7)
amod(officials-9, Jamaican-8)
dobj(bribed-7, officials-9)
aux(win-11, to-10)
vmod(bribed-7, win-11)
det(account-17, the-12)
nn(account-17, Jamaica-13)
nn(account-17, Tourist-14)
nn(account-17, Board-15)
nn(account-17, ad-16)
dobj(win-11, account-17)
prep(bribed-7, in-18)
dep(in-18, 1981-19)
punct(charged-4, .-20)

det(spokesman-2, A-1)
nsubj(said-9, spokesman-2)
prep(spokesman-2, for-3)
det(Attorney-6, the-4)
nn(Attorney-6, U.S.-5)
poss(office-8, Attorney-6)
possessive(Attorney-6, 's-7)
pobj(for-3, office-8)
root(ROOT-0, said-9)
nn(proceedings-11, extradition-10)
nsubj(beginning-15, proceedings-11)
aux(beginning-15, are-12)
punct(beginning-15, ``-13)
advmod(beginning-15, just-14)
ccomp(said-9, beginning-15)
punct(beginning-15, ''-16)
prep(beginning-15, for-17)
det(defendants-21, the-18)
amod(defendants-21, other-19)
num(defendants-21, two-20)
pobj(for-17, defendants-21)
prep(defendants-21, in-22)
det(case-24, the-23)
pobj(in-22, case-24)
punct(defendants-21, ,-25)
nn(Abrahams-28, Eric-26)
nn(Abrahams-28, Anthony-27)
appos(defendants-21, Abrahams-28)
punct(Abrahams-28, ,-29)
amod(minister-33, former-30)
amod(minister-33, Jamaican-31)
nn(minister-33, tourism-32)
appos(Abrahams-28, minister-33)
punct(Abrahams-28, ,-34)
cc(Abrahams-28, and-35)
amod(Jr-40, Jamaican-36)
nn(Jr-40, businessman-37)
nn(Jr-40, Arnold-38)
nn(Jr-40, Foote-39)
conj(Abrahams-28, Jr-40)
punct(said-9, .-41)

amod(AGENCY-2, KOREAN-1)
root(ROOT-0, AGENCY-2)
punct(AGENCY-2, :-3)

det(Group-3, The-1)
nn(Group-3, Samsung-2)
nsubj(agreed-7, Group-3)
cc(Group-3, and-4)
nn(Inc.-6, Bozell-5)
conj(Group-3, Inc.-6)
root(ROOT-0, agreed-7)
aux(establish-9, to-8)
xcomp(agreed-7, establish-9)
det(agency-14, a-10)
amod(agency-14, joint-11)
nn(agency-14, venture-12)
nn(agency-14, advertising-13)
dobj(establish-9, agency-14)
prep(establish-9, in-15)
nn(Korea-17, South-16)
pobj(in-15, Korea-17)
punct(agreed-7, .-18)

nn(Corp.-3, Bozell-1)
nn(Corp.-3, Cheil-2)
nsubjpass(based-15, Corp.-3)
punct(Corp.-3, ,-4)
mark(called-11, as-5)
det(agency-8, the-6)
amod(agency-8, new-7)
nsubjpass(called-11, agency-8)
aux(called-11, will-9)
auxpass(called-11, be-10)
dep(Corp.-3, called-11)
punct(based-15, ,-12)
aux(based-15, will-13)
auxpass(based-15, be-14)
root(ROOT-0, based-15)
prep(based-15, in-16)
dep(in-16, Seoul-17)
cc(based-15, and-18)
auxpass(owned-22, is-19)
num(%-21, 70-20)
dobj(owned-22, %-21)
conj(based-15, owned-22)
prep(owned-22, by-23)
dep(by-23, Samsung-24)
cc(owned-22, and-25)
num(%-27, 30-26)
dobj(owned-28, %-27)
conj(owned-22, owned-28)
prep(owned-28, by-29)
dep(by-29, Bozell-30)
punct(based-15, .-31)

dep(owns-3, Samsung-1)
advmod(owns-3, already-2)
root(ROOT-0, owns-3)
nn(Co.-7, Korea-4)
nn(Co.-7, First-5)
nn(Co.-7, Advertising-6)
dobj(owns-3, Co.-7)
punct(Co.-7, ,-8)
det(country-10, that-9)
poss(agency-13, country-10)
possessive(country-10, 's-11)
amod(agency-13, largest-12)
appos(Co.-7, agency-13)
punct(owns-3, .-14)

dep(joins-2, Bozell-1)
root(ROOT-0, joins-2)
nn(Bates-5, Backer-3)
nn(Bates-5, Spielvogel-4)
dobj(joins-2, Bates-5)
cc(Bates-5, and-6)
nn(Group-8, Ogilvy-7)
conj(Bates-5, Group-8)
prep(joins-2, as-9)
nn(agencies-11, U.S.-10)
pobj(as-9, agencies-11)
prep(agencies-11, with-12)
pobj(with-12, interests-13)
prep(interests-13, in-14)
amod(agencies-16, Korean-15)
pobj(in-14, agencies-16)
punct(joins-2, .-17)

vmod(said-17, Citing-1)
det(payment-3, a-2)
dobj(Citing-1, payment-3)
prep(payment-3, from-4)
det(supplier-6, a-5)
pobj(from-4, supplier-6)
cc(payment-3, and-7)
amod(sales-9, strong-8)
conj(payment-3, sales-9)
prep(sales-9, of-10)
amod(products-13, certain-11)
amod(products-13, data-storage-12)
pobj(of-10, products-13)
punct(said-17, ,-14)
nn(Corp.-16, Maxtor-15)
nsubj(said-17, Corp.-16)
root(ROOT-0, said-17)
nsubj(jumped-21, earnings-18)
cc(earnings-18, and-19)
conj(earnings-18, revenue-20)
ccomp(said-17, jumped-21)
prep(jumped-21, in-22)
poss(quarter-25, its-23)
amod(quarter-25, second-24)
pobj(in-22, quarter-25)
vmod(quarter-25, ended-26)
tmod(ended-26, Sept.-27)
num(Sept.-27, 24-28)
punct(said-17, .-29)

det(maker-2, The-1)
nsubj(said-6, maker-2)
prep(maker-2, of-3)
amod(products-5, computer-data-storage-4)
pobj(of-3, products-5)
root(ROOT-0, said-6)
amod(income-8, net-7)
nsubj(rose-9, income-8)
ccomp(said-6, rose-9)
prep(rose-9, to-10)
pobj(to-10, $-11)
number(million-13, 4.8-12)
num($-11, million-13)
punct($-11, ,-14)
cc($-11, or-15)
num(cents-17, 23-16)
conj($-11, cents-17)
det(share-19, a-18)
dep(cents-17, share-19)
punct(rose-9, ,-20)
prep(rose-9, from-21)
amod(net-23, year-earlier-22)
pobj(from-21, net-23)
prep(net-23, of-24)
pobj(of-24, $-25)
number(million-27, 1.1-26)
num($-25, million-27)
punct($-25, ,-28)
cc($-25, or-29)
num(cents-31, five-30)
conj($-25, cents-31)
det(share-33, a-32)
dep(cents-31, share-33)
punct(said-6, .-34)

dep(soared-2, Revenue-1)
root(ROOT-0, soared-2)
prep(soared-2, to-3)
pobj(to-3, $-4)
number(million-6, 117-5)
num($-4, million-6)
prep(soared-2, from-7)
pobj(from-7, $-8)
number(million-10, 81.5-9)
num($-8, million-10)
punct(soared-2, .-11)

dep(said-2, Maxtor-1)
root(ROOT-0, said-2)
poss(results-4, its-3)
nsubjpass(boosted-6, results-4)
auxpass(boosted-6, were-5)
ccomp(said-2, boosted-6)
prep(boosted-6, by-7)
pobj(by-7, $-8)
num($-8, 2-9)
num($-8, million-10)
prep($-8, in-11)
pobj(in-11, payments-12)
dep(payments-12, received-13)
prep(received-13, from-14)
det(supplier-16, a-15)
pobj(from-14, supplier-16)
punct(payments-12, ,-17)
prep(payments-12, for-18)
det(line-21, a-19)
amod(line-21, certain-20)
pobj(for-18, line-21)
prep(line-21, of-22)
dep(of-22, products-23)
mark(going-28, that-24)
dep(going-28, Maxtor-25)
aux(going-28, is-26)
neg(going-28, n't-27)
dep(line-21, going-28)
aux(sell-30, to-29)
xcomp(going-28, sell-30)
advmod(sell-30, anymore-31)
punct(said-2, .-32)

dep(said-2, Maxtor-1)
root(ROOT-0, said-2)
nsubj(have-9, effects-3)
prep(effects-3, from-4)
pcomp(from-4, discontinuing-5)
det(line-7, the-6)
dobj(discontinuing-5, line-7)
aux(have-9, may-8)
ccomp(said-2, have-9)
det(effect-12, a-10)
amod(effect-12, positive-11)
dobj(have-9, effect-12)
prep(effect-12, on-13)
amod(earnings-15, future-14)
pobj(on-13, earnings-15)
cc(earnings-15, and-16)
conj(earnings-15, revenue-17)
punct(said-2, .-18)

det(spokeswoman-2, A-1)
nsubj(would-3, spokeswoman-2)
root(ROOT-0, would-3)
neg(would-3, n't-4)
dep(would-3, elaborate-5)
punct(would-3, ,-6)
cc(would-3, but-7)
det(company-9, the-8)
nsubj(said-10, company-9)
conj(would-3, said-10)
det(product-13, the-11)
amod(product-13, discontinued-12)
nsubj(source-19, product-13)
aux(source-19, has-14)
neg(source-19, never-15)
cop(source-19, been-16)
det(source-19, a-17)
amod(source-19, major-18)
ccomp(said-10, source-19)
prep(source-19, of-20)
pobj(of-20, revenue-21)
cc(revenue-21, or-22)
conj(revenue-21, profit-23)
punct(would-3, .-24)

advmod(benefited-4, Operationally-1)
punct(benefited-4, ,-2)
dep(benefited-4, Maxtor-3)
root(ROOT-0, benefited-4)
prep(benefited-4, from-5)
amod(sales-7, robust-6)
pobj(from-5, sales-7)
prep(sales-7, of-8)
pobj(of-8, products-9)
dep(store-11, that-10)
ccomp(products-9, store-11)
dep(store-11, data-12)
prep(store-11, for-13)
amod(computers-16, high-end-14)
amod(computers-16, personal-15)
pobj(for-13, computers-16)
cc(computers-16, and-17)
nn(workstations-19, computer-18)
conj(computers-16, workstations-19)
punct(benefited-4, .-20)

prep($-9, In-1)
det(half-5, the-2)
amod(half-5, fiscal-3)
amod(half-5, first-4)
pobj(In-1, half-5)
punct($-9, ,-6)
dep($-9, net-7)
cop($-9, was-8)
root(ROOT-0, $-9)
number(million-11, 7-10)
num($-9, million-11)
punct($-9, ,-12)
cc($-9, or-13)
num(cents-15, 34-14)
conj($-9, cents-15)
det(share-17, a-16)
dep(cents-15, share-17)
punct($-9, ,-18)
advmod($-9, up-19)
prep(up-19, from-20)
det($-23, the-21)
amod($-23, year-earlier-22)
pobj(from-20, $-23)
number(million-25, 3.1-24)
num($-23, million-25)
punct($-23, ,-26)
cc($-23, or-27)
num(cents-29, 15-28)
conj($-23, cents-29)
det(share-31, a-30)
dep(cents-29, share-31)
punct($-9, .-32)

dep(rose-2, Revenue-1)
root(ROOT-0, rose-2)
prep(rose-2, to-3)
pobj(to-3, $-4)
number(million-6, 225.5-5)
num($-4, million-6)
prep(rose-2, from-7)
pobj(from-7, $-8)
number(million-10, 161.8-9)
num($-8, million-10)
punct(rose-2, .-11)

nn(Walden-3, Robert-1)
nn(Walden-3, G.-2)
nsubjpass(elected-10, Walden-3)
punct(Walden-3, ,-4)
num(years-6, 62-5)
npadvmod(old-7, years-6)
amod(Walden-3, old-7)
punct(Walden-3, ,-8)
auxpass(elected-10, was-9)
root(ROOT-0, elected-10)
det(director-12, a-11)
xcomp(elected-10, director-12)
prep(director-12, of-13)
det(provider-15, this-14)
pobj(of-13, provider-15)
prep(provider-15, of-16)
amod(systems-19, advanced-17)
nn(systems-19, technology-18)
pobj(of-16, systems-19)
cc(systems-19, and-20)
conj(systems-19, services-21)
punct(elected-10, ,-22)
xcomp(elected-10, increasing-23)
det(board-25, the-24)
dobj(increasing-23, board-25)
prep(increasing-23, to-26)
num(members-28, eight-27)
pobj(to-26, members-28)
punct(elected-10, .-29)

dep(retired-2, He-1)
root(ROOT-0, retired-2)
prep(retired-2, as-3)
amod(president-6, senior-4)
nn(president-6, vice-5)
pobj(as-3, president-6)
punct(president-6, ,-7)
appos(president-6, finance-8)
cc(finance-8, and-9)
conj(finance-8, administration-10)
punct(president-6, ,-11)
cc(president-6, and-12)
amod(officer-15, chief-13)
amod(officer-15, financial-14)
conj(president-6, officer-15)
prep(officer-15, of-16)
det(company-18, the-17)
pobj(of-16, company-18)
tmod(retired-2, Oct.-19)
num(Oct.-19, 1-20)
punct(retired-2, .-21)

nn(Corp.-2, Southmark-1)
nsubj(said-3, Corp.-2)
root(ROOT-0, said-3)
mark(filed-6, that-4)
dep(filed-6, it-5)
ccomp(said-3, filed-6)
dobj(filed-6, part-7)
prep(part-7, of-8)
poss(report-11, its-9)
amod(report-11, 10-K-10)
pobj(of-8, report-11)
prep(filed-6, with-12)
det(Commission-17, the-13)
nn(Commission-17, Securities-14)
cc(Securities-14, and-15)
conj(Securities-14, Exchange-16)
pobj(with-12, Commission-17)
punct(filed-6, ,-18)
cc(filed-6, but-19)
mark(include-25, that-20)
det(filing-22, the-21)
nsubj(include-25, filing-22)
aux(include-25, does-23)
neg(include-25, n't-24)
conj(filed-6, include-25)
poss(statements-29, its-26)
amod(statements-29, audited-27)
amod(statements-29, financial-28)
dobj(include-25, statements-29)
cc(statements-29, and-30)
amod(information-32, related-31)
conj(statements-29, information-32)
punct(said-3, .-33)

det(estate-3, The-1)
amod(estate-3, real-2)
nsubj(said-13, estate-3)
cc(estate-3, and-4)
nn(concern-6, thrift-5)
conj(estate-3, concern-6)
punct(said-13, ,-7)
vmod(said-13, operating-8)
prep(operating-8, under-9)
nn(proceedings-11, bankruptcy-law-10)
pobj(under-9, proceedings-11)
punct(said-13, ,-12)
root(ROOT-0, said-13)
dep(told-15, it-14)
ccomp(said-13, told-15)
det(SEC-17, the-16)
dobj(told-15, SEC-17)
dep(provide-21, it-18)
aux(provide-21, could-19)
neg(provide-21, n't-20)
ccomp(told-15, provide-21)
amod(statements-23, financial-22)
dobj(provide-21, statements-23)
prep(provide-21, by-24)
det(end-26, the-25)
pobj(by-24, end-26)
prep(end-26, of-27)
poss(extension-30, its-28)
amod(extension-30, first-29)
pobj(of-27, extension-30)
punct(provide-21, ``-31)
prep(provide-21, without-32)
amod(burden-34, unreasonable-33)
pobj(without-32, burden-34)
cc(burden-34, or-35)
conj(burden-34, expense-36)
punct(said-13, .-37)
punct(said-13, ''-38)

det(company-2, The-1)
nsubj(asked-3, company-2)
root(ROOT-0, asked-3)
prep(asked-3, for-4)
det(extension-7, a-5)
amod(extension-7, 15-day-6)
pobj(for-4, extension-7)
dobj(asked-3, Sept.-8)
num(Sept.-8, 30-9)
punct(Sept.-8, ,-10)
advmod(were-15, when-11)
det(reports-14, the-12)
amod(reports-14, financial-13)
nsubj(were-15, reports-14)
dep(Sept.-8, were-15)
