aux(suggesting-8, Is-1)
det(hat-19, a-17)
nn(hat-19, cowboy-18)
conj(a-13, hat-19)
punct(come-6, .-20)
punct(come-6, ''-21)

poss(Pact-5, Young-1)
cc(Young-1, &-2)
conj(Young-1, Rubicam-3)
possessive(Young-1, 's-4)
root(ROOT-0, Pact-5)

nsubj(said-23, Young-1)
cc(Young-1, &-2)
conj(Young-1, Rubicam-3)
punct(said-23, ,-4)
vmod(said-23, fighting-5)
dobj(fighting-5, charges-6)
mark(bribed-9, that-7)
dep(bribed-9, it-8)
ccomp(charges-6, bribed-9)
amod(officials-11, Jamaican-10)
dobj(bribed-9, officials-11)
aux(win-13, to-12)
vmod(bribed-9, win-13)
det(account-19, the-14)
nn(account-19, Jamaica-15)
nn(account-19, Tourist-16)
nn(account-19, Board-17)
nn(account-19, ad-18)
dobj(win-13, account-19)
prep(bribed-9, in-20)
dep(in-20, 1981-21)
punct(said-23, ,-22)
root(ROOT-0, said-23)
dep(create-28, it-24)
aux(create-28, will-25)
neg(longer-27, no-26)
advmod(create-28, longer-27)
ccomp(said-23, create-28)
det(board-31, the-29)
nn(board-31, tourist-30)
poss(advertising-33, board-31)
possessive(board-31, 's-32)
dobj(create-28, advertising-33)
punct(said-23, .-34)

prep(said-14, In-1)
det(statement-3, a-2)
pobj(In-1, statement-3)
punct(said-14, ,-4)
nn(Kroll-6, Alex-5)
nsubj(said-14, Kroll-6)
punct(Kroll-6, ,-7)
poss(chairman-12, Young-8)
cc(Young-8, &-9)
conj(Young-8, Rubicam-10)
possessive(Young-8, 's-11)
appos(Kroll-6, chairman-12)
punct(Kroll-6, ,-13)
root(ROOT-0, said-14)
punct(said-14, ``-15)
prep(agreed-24, under-16)
det(circumstances-19, the-17)
amod(circumstances-19, present-18)
pobj(under-16, circumstances-19)
punct(agreed-24, -LCB--20)
dep(agreed-24, we-21)
punct(agreed-24, -RCB--22)
aux(agreed-24, have-23)
ccomp(said-14, agreed-24)
mark(is-27, that-25)
nsubj(is-27, it-26)
ccomp(agreed-24, is-27)
dep(is-27, prudent-28)
aux(discontinue-30, to-29)
xcomp(is-27, discontinue-30)
det(contract-32, that-31)
dobj(discontinue-30, contract-32)
punct(said-14, .-33)
punct(said-14, ''-34)

nsubj(pleaded-5, Young-1)
cc(Young-1, &-2)
conj(Young-1, Rubicam-3)
aux(pleaded-5, has-4)
root(ROOT-0, pleaded-5)
acomp(pleaded-5, innocent-6)
prep(innocent-6, to-7)
det(charges-9, the-8)
pobj(to-7, charges-9)
punct(pleaded-5, .-10)

det(board-2, The-1)
nsubj(comment-5, board-2)
aux(comment-5, would-3)
neg(comment-5, n't-4)
root(ROOT-0, comment-5)
prep(comment-5, on-6)
poss(search-9, its-7)
amod(search-9, impending-8)
pobj(on-6, search-9)
prep(search-9, for-10)
det(agency-14, a-11)
amod(agency-14, new-12)
nn(agency-14, ad-13)
pobj(for-10, agency-14)
aux(handle-16, to-15)
vmod(agency-14, handle-16)
poss(account-26, its-17)
dep($-23, estimated-18)
dep($-23, $-19)
number($-23, 5-20)
number($-23, million-21)
dep($-23, to-22)
amod(account-26, $-23)
number(million-25, 6-24)
num($-23, million-25)
dobj(handle-16, account-26)
punct(comment-5, .-27)

nn(Notes-2, Ad-1)
root(ROOT-0, Notes-2)
punct(Notes-2, ...-3)
punct(Notes-2, .-4)

nn(ACCOUNT-2, NEW-1)
root(ROOT-0, ACCOUNT-2)
punct(ACCOUNT-2, :-3)

nn(Inc.-3, Sunshine-1)
nn(Inc.-3, Biscuits-2)
nsubj(awarded-9, Inc.-3)
punct(Inc.-3, ,-4)
nn(N.J.-7, Woodbridge-5)
punct(N.J.-7, ,-6)
appos(Inc.-3, N.J.-7)
punct(N.J.-7, ,-8)
root(ROOT-0, awarded-9)
poss(account-15, its-10)
dep($-12, estimated-11)
amod(account-15, $-12)
number($-12, 5-13)
number($-12, million-14)
dobj(awarded-9, account-15)
prep(awarded-9, to-16)
pobj(to-16, Waring-17)
cc(Waring-17, &-18)
conj(Waring-17, LaRosa-19)
punct(Waring-17, ,-20)
nn(York-22, New-21)
appos(Waring-17, York-22)
punct(awarded-9, .-23)

det(account-2, The-1)
nsubj(been-4, account-2)
aux(been-4, had-3)
root(ROOT-0, been-4)
prep(been-4, at-5)
nn(WCRS-9, Della-6)
nn(WCRS-9, Femina-7)
nn(WCRS-9, McNamee-8)
pobj(at-5, WCRS-9)
punct(WCRS-9, ,-10)
nn(York-12, New-11)
appos(WCRS-9, York-12)
punct(been-4, .-13)

nn(POLICY-2, MEDIA-1)
root(ROOT-0, POLICY-2)
punct(POLICY-2, :-3)

nn(Clapp-2, MacNamara-1)
nsubj(asking-13, Clapp-2)
cc(Clapp-2, &-3)
conj(Clapp-2, Klein-4)
punct(Clapp-2, ,-5)
det(shop-10, a-6)
amod(shop-10, small-7)
nn(shop-10, New-8)
nn(shop-10, York-9)
appos(Clapp-2, shop-10)
punct(Clapp-2, ,-11)
aux(asking-13, is-12)
root(ROOT-0, asking-13)
nn(representatives-16, magazine-14)
nn(representatives-16, ad-15)
dobj(asking-13, representatives-16)
aux(tell-18, to-17)
xcomp(asking-13, tell-18)
dep(tell-18, it-19)
advmod(run-25, when-20)
amod(inserts-23, major-21)
nn(inserts-23, advertising-22)
nsubj(run-25, inserts-23)
aux(run-25, will-24)
ccomp(tell-18, run-25)
prep(run-25, in-26)
poss(publications-28, their-27)
pobj(in-26, publications-28)
punct(asking-13, .-29)

dep(says-2, It-1)
root(ROOT-0, says-2)
dep(pull-5, it-3)
aux(pull-5, may-4)
ccomp(says-2, pull-5)
poss(clients-7, its-6)
poss(ads-9, clients-7)
possessive(clients-7, '-8)
dobj(pull-5, ads-9)
prep(pull-5, from-10)
det(magazines-12, those-11)
pobj(from-10, magazines-12)
punct(says-2, .-13)

nn(ADS-2, COKE-1)
root(ROOT-0, ADS-2)
punct(ADS-2, :-3)

nn(Co.-2, Coca-Cola-1)
nsubj(said-3, Co.-2)
root(ROOT-0, said-3)
dep(produced-5, it-4)
ccomp(said-3, produced-5)
det(version-8, a-6)
amod(version-8, new-7)
dobj(produced-5, version-8)
prep(version-8, of-9)
poss(commercial-23, its-10)
num(commercial-23, 1971-11)
punct(commercial-23, ``-12)
dep(like-15, I-13)
aux(like-15, 'd-14)
dep(commercial-23, like-15)
aux(teach-17, to-16)
xcomp(like-15, teach-17)
det(world-19, the-18)
dobj(teach-17, world-19)
vmod(teach-17, to-20)
dep(to-20, sing-21)
punct(commercial-23, ''-22)
pobj(of-9, commercial-23)
punct(said-3, .-24)

det(ad-2, The-1)
nsubj(part-4, ad-2)
cop(part-4, is-3)
root(ROOT-0, part-4)
prep(part-4, of-5)
nn(Coke-7, Classic-6)
poss(campaign-11, Coke-7)
possessive(Coke-7, 's-8)
num(campaign-11, 1990-9)
nn(campaign-11, ad-10)
pobj(of-5, campaign-11)
punct(campaign-11, ,-12)
prep(campaign-11, with-13)
det(line-16, the-14)
nn(line-16, tag-15)
pobj(with-13, line-16)
punct(line-16, ,-17)
punct(line-16, ``-18)
aux(beat-21, Ca-19)
neg(beat-21, n't-20)
dep(line-16, beat-21)
det(Thing-24, the-22)
nn(Thing-24, Real-23)
dobj(beat-21, Thing-24)
punct(part-4, .-25)
punct(part-4, ''-26)

nn(Jordan-4, Basketball-1)
nn(Jordan-4, star-2)
nn(Jordan-4, Michael-3)
nsubj(agreed-11, Jordan-4)
cc(Jordan-4, and-5)
nn(Travis-8, singer-6)
nn(Travis-8, Randy-7)
conj(Jordan-4, Travis-8)
aux(agreed-11, have-9)
advmod(agreed-11, also-10)
root(ROOT-0, agreed-11)
aux(appear-13, to-12)
xcomp(agreed-11, appear-13)
prep(appear-13, in-14)
dep(in-14, ads-15)
punct(agreed-11, .-16)

nn(Corp.-3, Dell-1)
nn(Corp.-3, Computer-2)
nsubj(said-21, Corp.-3)
punct(Corp.-3, ,-4)
vmod(Corp.-3, squeezed-5)
prep(squeezed-5, by-6)
nn(pressure-8, price-7)
pobj(by-6, pressure-8)
prep(pressure-8, from-9)
poss(competitors-12, its-10)
amod(competitors-12, larger-11)
pobj(from-9, competitors-12)
cc(pressure-8, and-13)
conj(pressure-8, delays-14)
prep(delays-14, in-15)
poss(line-19, its-16)
amod(line-19, new-17)
nn(line-19, product-18)
pobj(in-15, line-19)
punct(Corp.-3, ,-20)
root(ROOT-0, said-21)
poss(earnings-24, its-22)
amod(earnings-24, per-share-23)
nsubj(forecasts-33, earnings-24)
prep(earnings-24, for-25)
amod(1990-27, fiscal-26)
pobj(for-25, 1990-27)
aux(forecasts-33, will-28)
cop(forecasts-33, be-29)
predet(forecasts-33, half-30)
poss(forecasts-33, its-31)
amod(forecasts-33, previous-32)
ccomp(said-21, forecasts-33)
punct(said-21, .-34)

mark(said-6, Although-1)
det(maker-5, the-2)
amod(maker-5, personal-3)
nn(maker-5, computer-4)
nsubj(said-6, maker-5)
advcl(expected-31, said-6)
dep(expects-8, it-7)
ccomp(said-6, expects-8)
dep(meet-11, revenue-9)
aux(meet-11, to-10)
xcomp(expects-8, meet-11)
cc(meet-11, or-12)
conj(meet-11, exceed-13)
amod(projections-15, previous-14)
dobj(meet-11, projections-15)
prep(projections-15, of-16)
pobj(of-16, $-17)
number(million-19, 385-18)
num($-17, million-19)
prep(projections-15, for-20)
det(year-22, the-21)
pobj(for-20, year-22)
vmod(year-22, ending-23)
tmod(ending-23, Jan.-24)
num(Jan.-24, 28-25)
punct(Jan.-24, ,-26)
num(Jan.-24, 1990-27)
punct(expected-31, ,-28)
dep(expected-31, earnings-29)
auxpass(expected-31, are-30)
root(ROOT-0, expected-31)
aux(cents-35, to-32)
cop(cents-35, be-33)
num(cents-35, 25-34)
xcomp(expected-31, cents-35)
dep(cents-35, to-36)
num(cents-38, 35-37)
dep(cents-35, cents-38)
det(share-40, a-39)
dep(cents-35, share-40)
punct(cents-35, ,-41)
advmod(cents-35, down-42)
prep(down-42, from-43)
amod(estimates-45, previous-44)
pobj(from-43, estimates-45)
prep(estimates-45, of-46)
num(cents-48, 50-47)
pobj(of-46, cents-48)
dep(cents-48, to-49)
num(cents-51, 60-50)
dep(cents-48, cents-51)
punct(expected-31, .-52)

nsubj($-6, Earnings-1)
prep(Earnings-1, for-2)
amod(1989-4, fiscal-3)
pobj(for-2, 1989-4)
cop($-6, were-5)
root(ROOT-0, $-6)
number(million-8, 14.4-7)
num($-6, million-8)
punct($-6, ,-9)
cc($-6, or-10)
num(cents-12, 80-11)
conj($-6, cents-12)
det(share-14, a-13)
dep(cents-12, share-14)
punct($-6, ,-15)
prep($-6, on-16)
pobj(on-16, sales-17)
prep(sales-17, of-18)
pobj(of-18, $-19)
number(million-21, 257.8-20)
num($-19, million-21)
punct($-6, .-22)

nsubjpass(expected-11, Results-1)
prep(Results-1, for-2)
det(quarter-5, the-3)
amod(quarter-5, third-4)
pobj(for-2, quarter-5)
vmod(quarter-5, ending-6)
tmod(ending-6, Oct.-7)
num(Oct.-7, 31-8)
punct(expected-11, ,-9)
auxpass(expected-11, are-10)
root(ROOT-0, expected-11)
aux(released-14, to-12)
auxpass(released-14, be-13)
xcomp(expected-11, released-14)
det(week-17, the-15)
amod(week-17, third-16)
dobj(released-14, week-17)
prep(week-17, of-18)
dep(of-18, November-19)
punct(expected-11, ,-20)
prep(expected-11, according-21)
pcomp(according-21, to-22)
nn(Dell-24, Michael-23)
pobj(to-22, Dell-24)
punct(Dell-24, ,-25)
appos(Dell-24, chairman-26)
cc(chairman-26, and-27)
nn(officer-30, chief-28)
nn(officer-30, executive-29)
conj(chairman-26, officer-30)
punct(expected-11, .-31)

nn(Dell-2, Mr.-1)
nsubj(said-3, Dell-2)
root(ROOT-0, said-3)
dep(expect-7, he-4)
aux(expect-7, does-5)
neg(expect-7, n't-6)
ccomp(said-3, expect-7)
det(loss-9, a-8)
dobj(expect-7, loss-9)
prep(loss-9, in-10)
preconj(third-13, either-11)
det(third-13, the-12)
pobj(in-10, third-13)
cc(third-13, or-14)
amod(quarter-16, fourth-15)
conj(third-13, quarter-16)
punct(said-3, ,-17)
cc(said-3, but-18)
conj(said-3, said-19)
amod(earnings-21, third-quarter-20)
nsubj(low-25, earnings-21)
aux(low-25, could-22)
cop(low-25, be-23)
advmod(low-25, as-24)
ccomp(said-19, low-25)
prep(low-25, as-26)
num(cents-28, four-27)
pobj(as-26, cents-28)
det(share-30, a-29)
dep(cents-28, share-30)
punct(said-3, .-31)

prep(had-9, In-1)
det(quarter-4, the-2)
amod(quarter-4, third-3)
pobj(In-1, quarter-4)
amod(year-6, last-5)
nsubj(had-9, year-6)
punct(had-9, ,-7)
dep(had-9, Dell-8)
root(ROOT-0, had-9)
amod(income-11, net-10)
dobj(had-9, income-11)
prep(income-11, of-12)
pobj(of-12, $-13)
number(million-15, 5-14)
num($-13, million-15)
punct($-13, ,-16)
cc($-13, or-17)
num(cents-19, 26-18)
conj($-13, cents-19)
det(share-21, a-20)
dep(cents-19, share-21)
punct(had-9, ,-22)
prep(had-9, on-23)
pobj(on-23, sales-24)
prep(sales-24, of-25)
pobj(of-25, $-26)
number(million-28, 75.2-27)
num($-26, million-28)
punct(had-9, .-29)

nn(Dell-2, Mr.-1)
nsubj(attributed-3, Dell-2)
root(ROOT-0, attributed-3)
det(slide-6, the-4)
nn(slide-6, earnings-5)
dobj(attributed-3, slide-6)
prep(attributed-3, to-7)
amod(delays-10, new-8)
nn(delays-10, product-9)
pobj(to-7, delays-10)
punct(delays-10, ,-11)
mwe(as-13, such-12)
prep(delays-10, as-13)
det(laptop-15, a-14)
pobj(as-13, laptop-15)
vmod(laptop-15, scheduled-16)
prep(scheduled-16, for-17)
dep(for-17, September-18)
dep(introduced-23, that-19)
aux(introduced-23, wo-20)
neg(introduced-23, n't-21)
auxpass(introduced-23, be-22)
dep(laptop-15, introduced-23)
prep(introduced-23, until-24)
amod(November-26, early-25)
pobj(until-24, November-26)
punct(attributed-3, .-27)

det(delays-2, Some-1)
nsubjpass(caused-5, delays-2)
aux(caused-5, have-3)
auxpass(caused-5, been-4)
root(ROOT-0, caused-5)
prep(caused-5, by-6)
det(shortage-8, a-7)
pobj(by-6, shortage-8)
prep(shortage-8, of-9)
pobj(of-9, micoprocessors-10)
punct(micoprocessors-10, ---11)
advmod(chip-17, notably-12)
nn(Corp.-14, Intel-13)
poss(chip-17, Corp.-14)
possessive(Corp.-14, 's-15)
amod(chip-17, newest-16)
dep(micoprocessors-10, chip-17)
punct(chip-17, ,-18)
det(486-20, the-19)
appos(chip-17, 486-20)
punct(micoprocessors-10, ---21)
cc(caused-5, but-22)
dep(caused-27, others-23)
advmod(caused-27, apparently-24)
aux(caused-27, have-25)
auxpass(caused-27, been-26)
conj(caused-5, caused-27)
prep(caused-27, by-28)
poss(growth-32, Dell-29)
possessive(Dell-29, 's-30)
amod(growth-32, explosive-31)
pobj(by-28, growth-32)
cc(growth-32, and-33)
advmod(stretched-35, thinly-34)
amod(resources-36, stretched-35)
conj(growth-32, resources-36)
punct(caused-5, .-37)

punct(observes-19, ``-1)
dep(got-4, They-2)
aux(got-4, 've-3)
ccomp(observes-19, got-4)
det(lot-6, a-5)
dep(got-4, lot-6)
prep(lot-6, of-7)
amod(balls-9, different-8)
pobj(of-7, balls-9)
dep(lot-6, in-10)
det(air-12, the-11)
pobj(in-10, air-12)
dep(lot-6, at-13)
det(time-16, the-14)
amod(time-16, same-15)
pobj(at-13, time-16)
punct(observes-19, ,-17)
punct(observes-19, ''-18)
root(ROOT-0, observes-19)
nn(Poyner-21, Jim-20)
nsubj(observes-19, Poyner-21)
punct(Poyner-21, ,-22)
det(analyst-26, a-23)
nn(analyst-26, computer-24)
nn(analyst-26, securities-25)
appos(Poyner-21, analyst-26)
prep(analyst-26, with-27)
amod(Woodruff-31, Dallas-based-28)
nn(Woodruff-31, William-29)
nn(Woodruff-31, K.-30)
pobj(with-27, Woodruff-31)
cc(Woodruff-31, &-32)
conj(Woodruff-31, Co-33)
punct(observes-19, .-34)

nn(Dell-2, Mr.-1)
nsubj(concedes-6, Dell-2)
punct(concedes-6, ,-3)
advmod(concedes-6, meanwhile-4)
punct(concedes-6, ,-5)
root(ROOT-0, concedes-6)
det(company-8, the-7)
nsubj(optimistic-13, company-8)
cop(optimistic-13, was-9)
punct(optimistic-13, ``-10)
advmod(optimistic-13, definitely-11)
advmod(optimistic-13, too-12)
ccomp(concedes-6, optimistic-13)
punct(optimistic-13, ''-14)
prep(optimistic-13, in-15)
poss(expectations-17, its-16)
pobj(in-15, expectations-17)
punct(concedes-6, .-18)

nn(delays-2, Product-1)
nsubj(left-7, delays-2)
punct(left-7, ,-3)
advmod(left-7, however-4)
punct(left-7, ,-5)
aux(left-7, have-6)
root(ROOT-0, left-7)
dep(buffeted-9, Dell-8)
dep(left-7, buffeted-9)
prep(buffeted-9, by-10)
amod(competition-12, harsher-11)
pobj(by-10, competition-12)
prep(competition-12, in-13)
poss(line-16, its-14)
amod(line-16, bread-and-butter-15)
pobj(in-13, line-16)
prep(line-16, of-17)
nn(computers-19, desktop-18)
pobj(of-17, computers-19)
punct(left-7, ,-20)
mark(price-32, as-21)
nn(competitors-23, powerhouse-22)
nsubj(price-32, competitors-23)
nn(Corp.-26, Compaq-24)
nn(Corp.-26, Computer-25)
dep(competitors-23, Corp.-26)
cc(Corp.-26, and-27)
nn(Corp.-31, International-28)
nn(Corp.-31, Business-29)
nn(Corp.-31, Machines-30)
conj(Corp.-26, Corp.-31)
advcl(left-7, price-32)
poss(PCs-34, their-33)
dobj(price-32, PCs-34)
advmod(aggressively-36, more-35)
advmod(price-32, aggressively-36)
punct(left-7, .-37)

det(result-2, The-1)
nsubj(margins-6, result-2)
aux(margins-6, has-3)
cop(margins-6, been-4)
amod(margins-6, thinner-5)
root(ROOT-0, margins-6)
punct(margins-6, ,-7)
dep(eroded-12, which-8)
aux(eroded-12, have-9)
auxpass(eroded-12, been-10)
advmod(eroded-12, further-11)
dep(margins-6, eroded-12)
prep(eroded-12, by-13)
det(research-16, an-14)
amod(research-16, ambitious-15)
pobj(by-13, research-16)
cc(research-16, and-17)
nn(effort-19, development-18)
conj(research-16, effort-19)
cc(research-16, and-20)
amod(expansion-23, rapid-21)
advmod(expansion-23, overseas-22)
conj(research-16, expansion-23)
punct(margins-6, .-24)

nn(Weil-3, Analyst-1)
nn(Weil-3, James-2)
nsubj(believes-9, Weil-3)
prep(Weil-3, of-4)
det(Group-8, the-5)
nn(Group-8, Soundview-6)
nn(Group-8, Financial-7)
pobj(of-4, Group-8)
root(ROOT-0, believes-9)
poss(response-12, Dell-10)
possessive(Dell-10, 's-11)
nsubj(been-14, response-12)
aux(been-14, has-13)
ccomp(believes-9, been-14)
aux(place-16, to-15)
xcomp(been-14, place-16)
amod(emphasis-18, increased-17)
dobj(place-16, emphasis-18)
prep(place-16, on-19)
nn(quality-21, product-20)
pobj(on-19, quality-21)
punct(place-16, ,-22)
punct(place-16, ``-23)
prep(place-16, in-24)
det(effort-26, an-25)
pobj(in-24, effort-26)
aux(rise-28, to-27)
vmod(effort-26, rise-28)
prep(rise-28, above-29)
pobj(above-29, some-30)
prep(some-30, of-31)
det(pressure-34, that-32)
nn(pressure-34, price-33)
pobj(of-31, pressure-34)
punct(believes-9, .-35)
punct(believes-9, ''-36)

cc(key-6, But-1)
dep(key-6, that-2)
aux(key-6, has-3)
cop(key-6, been-4)
det(key-6, the-5)
root(ROOT-0, key-6)
prep(key-6, to-7)
poss(success-10, Compaq-8)
possessive(Compaq-8, 's-9)
pobj(to-7, success-10)
punct(adds-13, ,-11)
dep(adds-13, he-12)
parataxis(key-6, adds-13)
punct(adds-13, ,-14)
mark(carved-17, whereas-15)
dep(carved-17, Dell-16)
advcl(key-6, carved-17)
dep(carved-17, out-18)
poss(niche-21, its-19)
nn(niche-21, market-20)
dobj(carved-17, niche-21)
prep(carved-17, as-22)
det(seller-25, a-23)
amod(seller-25, direct-24)
pobj(as-22, seller-25)
prep(seller-25, of-26)
amod(computers-30, low-cost-27)
cc(low-cost-27, but-28)
conj(low-cost-27, reliable-29)
pobj(of-26, computers-30)
punct(carved-17, ---31)
cc(carved-17, and-32)
dep(late-37, it-33)
aux(late-37, might-34)
cop(late-37, be-35)
advmod(late-37, too-36)
conj(carved-17, late-37)
prep(late-37, in-38)
det(game-40, the-39)
pobj(in-38, game-40)
prep(late-37, for-41)
det(shift-43, a-42)
pobj(for-41, shift-43)
prep(shift-43, in-44)
dep(in-44, strategy-45)
punct(key-6, .-46)

prep(closed-7, In-1)
amod(trading-4, national-2)
amod(trading-4, over-the-counter-3)
pobj(In-1, trading-4)
punct(closed-7, ,-5)
dep(closed-7, Dell-6)
root(ROOT-0, closed-7)
dep(closed-7, yesterday-8)
prep(closed-7, at-9)
pobj(at-9, $-10)
num($-10, 6-11)
det(share-13, a-12)
dep($-10, share-13)
punct(closed-7, ,-14)
advmod(closed-7, down-15)
num(cents-17, 87.5-16)
pobj(down-15, cents-17)
punct(closed-7, .-18)

nn(PLC-3, TransAtlantic-1)
nn(PLC-3, Holdings-2)
nsubj(reached-25, PLC-3)
punct(PLC-3, ,-4)
det(group-13, a-5)
amod(group-13, British-based-6)
punct(group-13, ,-7)
nn(group-13, South-8)
amod(group-13, African-controlled-9)
amod(group-13, financial-10)
nn(group-13, services-11)
nn(group-13, investment-12)
appos(PLC-3, group-13)
punct(PLC-3, ,-14)
cc(PLC-3, and-15)
poss(Paris-24, France-16)
possessive(France-16, 's-17)
nn(Paris-24, Societe-18)
nn(Paris-24, Centrale-19)
nn(Paris-24, Union-20)
nn(Paris-24, des-21)
nn(Paris-24, Assurances-22)
amod(Paris-24, de-23)
conj(PLC-3, Paris-24)
root(ROOT-0, reached-25)
det(accord-27, an-26)
dobj(reached-25, accord-27)
advmod(reducing-29, effectively-28)
vmod(accord-27, reducing-29)
dobj(reducing-29, chances-30)
prep(chances-30, of-31)
det(takeover-34, an-32)
amod(takeover-34, unfriendly-33)
pobj(of-31, takeover-34)
prep(takeover-34, for-35)
nn(PLC-40, Sun-36)
nn(PLC-40, Life-37)
nn(PLC-40, Assurance-38)
nn(PLC-40, Society-39)
pobj(for-35, PLC-40)
punct(reached-25, .-41)

prep(said-23, In-1)
det(statement-4, a-2)
amod(statement-4, joint-3)
pobj(In-1, statement-4)
punct(said-23, ,-5)
det(companies-8, the-6)
num(companies-8, two-7)
nsubj(said-23, companies-8)
punct(companies-8, ,-9)
poss(holdings-12, whose-10)
amod(holdings-12, combined-11)
nsubj(equal-13, holdings-12)
rcmod(companies-8, equal-13)
num(%-15, 52.7-14)
dobj(equal-13, %-15)
prep(%-15, of-16)
nn(Life-18, Sun-17)
poss(shares-21, Life-18)
possessive(Life-18, 's-19)
amod(shares-21, ordinary-20)
pobj(of-16, shares-21)
punct(companies-8, ,-22)
root(ROOT-0, said-23)
poss(agreement-25, their-24)
nsubjpass(aimed-27, agreement-25)
auxpass(aimed-27, is-26)
ccomp(said-23, aimed-27)
prep(aimed-27, at-28)
pcomp(at-28, reducing-29)
punct(reducing-29, ``-30)
det(uncertainty-32, the-31)
dobj(reducing-29, uncertainty-32)
cc(uncertainty-32, and-33)
conj(uncertainty-32, instability-34)
prep(uncertainty-32, for-35)
nn(Life-37, Sun-36)
pobj(for-35, Life-37)
dep(resulted-40, that-38)
aux(resulted-40, has-39)
dep(uncertainty-32, resulted-40)
prep(resulted-40, from-41)
num(shareholders-44, two-42)
amod(shareholders-44, major-43)
nsubj(owning-45, shareholders-44)
pcomp(from-41, owning-45)
punct(owning-45, ''-46)
det(interest-49, a-47)
amod(interest-49, controlling-48)
dobj(owning-45, interest-49)
prep(interest-49, in-50)
det(company-52, the-51)
pobj(in-50, company-52)
punct(said-23, .-53)

nsubj(agreed-18, TransAtlantic-1)
punct(TransAtlantic-1, ,-2)
poss(unit-7, whose-3)
nn(unit-7, Transol-4)
nn(unit-7, Investments-5)
nn(unit-7, Ltd.-6)
nsubj(owns-8, unit-7)
dep(TransAtlantic-1, owns-8)
det(stake-12, the-9)
amod(stake-12, largest-10)
nn(stake-12, minority-11)
dobj(owns-8, stake-12)
prep(stake-12, in-13)
nn(Life-15, Sun-14)
pobj(in-13, Life-15)
punct(TransAtlantic-1, ,-16)
aux(agreed-18, has-17)
root(ROOT-0, agreed-18)
neg(make-21, not-19)
aux(make-21, to-20)
xcomp(agreed-18, make-21)
det(bid-24, a-22)
nn(bid-24, takeover-23)
dobj(make-21, bid-24)
prep(bid-24, for-25)
det(insurer-29, the-26)
amod(insurer-29, British-27)
nn(insurer-29, life-28)
pobj(for-25, insurer-29)
prep(make-21, without-30)
det(consent-33, the-31)
amod(consent-33, prior-32)
pobj(without-30, consent-33)
prep(consent-33, of-34)
det(company-37, the-35)
amod(company-37, French-36)
pobj(of-34, company-37)
punct(company-37, ,-38)
vmod(company-37, known-39)
prep(known-39, as-40)
dep(as-40, UAP-41)
punct(agreed-18, .-42)

prep(force-7, In-1)
dep(In-1, return-2)
punct(force-7, ,-3)
det(agreement-5, the-4)
nsubj(force-7, agreement-5)
aux(force-7, would-6)
root(ROOT-0, force-7)
dep(buy-10, UAP-8)
aux(buy-10, to-9)
xcomp(force-7, buy-10)
poss(holding-15, TransAtlantic-11)
possessive(TransAtlantic-11, 's-12)
number(%-14, 29.8-13)
amod(holding-15, %-14)
dobj(buy-10, holding-15)
prep(holding-15, in-16)
nn(Life-18, Sun-17)
pobj(in-16, Life-18)
cc(buy-10, or-19)
conj(buy-10, sell-20)
poss(stake-24, its-21)
number(%-23, 22.9-22)
amod(stake-24, %-23)
dobj(sell-20, stake-24)
prep(sell-20, to-25)
dep(to-25, TransAtlantic-26)
prep(sell-20, at-27)
det(price-29, a-28)
pobj(at-27, price-29)
vmod(price-29, set-30)
prep(set-30, by-31)
dep(by-31, Transatlantic-32)
punct(force-7, .-33)

nn(Inc.-4, Pride-1)
nn(Inc.-4, Petroleum-2)
nn(Inc.-4, Services-3)
nsubj(said-5, Inc.-4)
root(ROOT-0, said-5)
dep(agreed-7, it-6)
ccomp(said-5, agreed-7)
aux(buy-9, to-8)
xcomp(agreed-7, buy-9)
amod(assets-11, well-servicing-10)
dobj(buy-9, assets-11)
prep(assets-11, of-12)
num(companies-14, two-13)
pobj(of-12, companies-14)
cc(agreed-7, and-15)
conj(agreed-7, expects-16)
aux(report-18, to-17)
xcomp(expects-16, report-18)
amod(revenue-21, higher-19)
amod(revenue-21, third-quarter-20)
dobj(report-18, revenue-21)
cc(revenue-21, and-22)
conj(revenue-21, earnings-23)
punct(said-5, .-24)

prep(had-9, In-1)
det(quarter-4, the-2)
amod(quarter-4, year-earlier-3)
pobj(In-1, quarter-4)
punct(had-9, ,-5)
det(contractor-8, the-6)
amod(contractor-8, well-servicing-7)
nsubj(had-9, contractor-8)
root(ROOT-0, had-9)
amod(income-11, net-10)
dobj(had-9, income-11)
prep(income-11, of-12)
pobj(of-12, $-13)
num($-13, 319,000-14)
punct($-13, ,-15)
cc($-13, or-16)
num(cents-18, 3-17)
conj($-13, cents-18)
det(share-20, a-19)
dep(cents-18, share-20)
punct($-13, ,-21)
prep(income-11, on-22)
pobj(on-22, revenue-23)
prep(revenue-23, of-24)
quantmod($-26, about-25)
pobj(of-24, $-26)
number(million-28, 15-27)
num($-26, million-28)
punct(had-9, .-29)

nsubj(included-6, Results-1)
prep(Results-1, for-2)
det(quarter-5, the-3)
amod(quarter-5, earlier-4)
pobj(for-2, quarter-5)
root(ROOT-0, included-6)
det(charge-11, a-7)
amod(charge-11, $-8)
number($-8, 100,000-9)
nn(charge-11, restructuring-10)
dobj(included-6, charge-11)
punct(included-6, .-12)

advmod(said-6, Separately-1)
