poss(production-3, Japan-1)
root(ROOT-0, talks-8)
prep(talks-8, about-9)
det(alliance-12, a-10)
amod(alliance-12, possible-11)
pobj(about-9, alliance-12)
prep(alliance-12, with-13)
nn(AB-15, Saab-Scania-14)
pobj(with-13, AB-15)
prep(AB-15, of-16)
dep(of-16, Sweden-17)
dep(talks-8, collapsed-18)
punct(talks-8, .-19)

poss(interest-3, GM-1)
possessive(GM-1, 's-2)
nsubj(reflects-6, interest-3)
prep(interest-3, in-4)
dep(in-4, Jaguar-5)
root(ROOT-0, reflects-6)
det(desire-8, a-7)
dobj(reflects-6, desire-8)
aux(help-10, to-9)
vmod(desire-8, help-10)
xcomp(help-10, diversify-11)
det(company-14, the-12)
nn(company-14, U.S.-13)
poss(products-16, company-14)
possessive(company-14, 's-15)
dobj(diversify-11, products-16)
prep(products-16, in-17)
det(segment-21, the-18)
amod(segment-21, growing-19)
nn(segment-21, luxury-car-20)
pobj(in-17, segment-21)
prep(segment-21, of-22)
det(market-24, the-23)
pobj(of-22, market-24)
punct(reflects-6, .-25)

poss(line-3, Its-1)
nn(line-3, Opel-2)
nsubj(has-4, line-3)
root(ROOT-0, has-4)
det(image-7, a-5)
amod(image-7, solid-6)
dobj(has-4, image-7)
cc(image-7, and-8)
det(string-11, a-9)
amod(string-11, recent-10)
conj(image-7, string-11)
prep(string-11, of-12)
advmod(successful-14, highly-13)
amod(models-16, successful-14)
amod(models-16, new-15)
pobj(of-12, models-16)
punct(has-4, ,-17)
cc(has-4, but-18)
dep(lacks-20, it-19)
conj(has-4, lacks-20)
poss(cachet-23, Jaguar-21)
possessive(Jaguar-21, 's-22)
dobj(lacks-20, cachet-23)
punct(has-4, .-24)

nn(officials-2, GM-1)
nsubj(see-4, officials-2)
advmod(see-4, also-3)
root(ROOT-0, see-4)
det(lot-6, a-5)
dobj(see-4, lot-6)
prep(lot-6, of-7)
dep(of-7, potential-8)
prep(see-4, in-9)
pcomp(in-9, marrying-10)
poss(cars-13, Jaguar-11)
possessive(Jaguar-11, 's-12)
dobj(marrying-10, cars-13)
prep(marrying-10, to-14)
det(know-how-17, the-15)
amod(know-how-17, technological-16)
pobj(to-14, know-how-17)
prep(know-how-17, of-18)
nn(PLC-21, Group-19)
nn(PLC-21, Lotus-20)
pobj(of-18, PLC-21)
punct(PLC-21, ,-22)
det(engineering-25, a-23)
amod(engineering-25, British-24)
appos(PLC-21, engineering-25)
cc(engineering-25, and-26)
nn(maker-29, specialty-27)
nn(maker-29, car-28)
conj(engineering-25, maker-29)
dep(bought-31, GM-30)
rcmod(engineering-25, bought-31)
prep(bought-31, in-32)
dep(in-32, 1986-33)
punct(see-4, .-34)

nn(Inc.-2, Texaco-1)
nsubj(reported-3, Inc.-2)
root(ROOT-0, reported-3)
det(increase-7, an-4)
number(%-6, 11-5)
amod(increase-7, %-6)
dobj(reported-3, increase-7)
prep(increase-7, in-8)
amod(earnings-10, third-quarter-9)
pobj(in-8, earnings-10)
punct(increase-7, ,-11)
dep(attributed-14, which-12)
dep(attributed-14, it-13)
dep(increase-7, attributed-14)
advmod(to-16, partly-15)
prep(attributed-14, to-16)
det(company-18, the-17)
pobj(to-16, company-18)
possessive(company-18, 's-19)
amod(company-18, massive-20)
amod(company-18, restructuring-21)
prep(company-18, after-22)
dep(emerged-24, it-23)
pcomp(after-22, emerged-24)
prep(emerged-24, from-25)
nn(proceedings-27, bankruptcy-law-26)
pobj(from-25, proceedings-27)
num(months-29, 18-28)
npadvmod(ago-30, months-29)
advmod(emerged-24, ago-30)
punct(reported-3, .-31)

nn(Co.-2, Sun-1)
nsubj(reported-4, Co.-2)
advmod(reported-4, also-3)
root(ROOT-0, reported-4)
amod(earnings-6, higher-5)
dobj(reported-4, earnings-6)
punct(reported-4, .-7)

advmod(reported-23, Meanwhile-1)
punct(reported-23, ,-2)
prep(reported-23, like-3)
amod(companies-7, many-4)
amod(companies-7, other-5)
nn(companies-7, oil-6)
pobj(like-3, companies-7)
vmod(companies-7, hurt-8)
prep(hurt-8, by-9)
amod(businesses-12, less-profitable-10)
amod(businesses-12, downstream-11)
pobj(by-9, businesses-12)
punct(reported-23, ,-13)
nn(Corp.-15, Mobil-14)
nsubj(reported-23, Corp.-15)
punct(Corp.-15, ,-16)
nn(Co.-19, Shell-17)
nn(Co.-19, Oil-18)
conj(Corp.-15, Co.-19)
cc(Corp.-15, and-20)
nn(Corp.-22, Chevron-21)
conj(Corp.-15, Corp.-22)
root(ROOT-0, reported-23)
amod(earnings-26, lower-24)
amod(earnings-26, quarterly-25)
dobj(reported-23, earnings-26)
punct(reported-23, .-27)

root(ROOT-0, Texaco-1)

poss(exploration-3, Texaco-1)
possessive(Texaco-1, 's-2)
nsubj(improved-7, exploration-3)
cc(exploration-3, and-4)
nn(earnings-6, production-5)
conj(exploration-3, earnings-6)
root(ROOT-0, improved-7)
prep(improved-7, as-8)
det(result-10, a-9)
pobj(as-8, result-10)
prep(result-10, of-11)
poss(streamlining-13, its-12)
pobj(of-11, streamlining-13)
prep(streamlining-13, of-14)
det(operations-16, those-15)
pobj(of-14, operations-16)
mark(sold-19, as-17)
dep(sold-19, it-18)
dep(streamlining-13, sold-19)
dobj(sold-19, many-20)
prep(many-20, of-21)
poss(properties-25, its-22)
amod(properties-25, marginal-23)
amod(properties-25, producing-24)
pobj(of-21, properties-25)
prep(sold-19, over-26)
det(months-30, the-27)
amod(months-30, past-28)
num(months-30, 18-29)
pobj(over-26, months-30)
punct(improved-7, .-31)

det(increase-2, An-1)
nsubj(aided-28, increase-2)
prep(increase-2, in-3)
pobj(in-3, production-4)
prep(production-4, at-5)
det(fields-9, some-6)
amod(fields-9, major-7)
nn(fields-9, oil-8)
pobj(at-5, fields-9)
prep(fields-9, in-10)
det(Sea-13, the-11)
nn(Sea-13, North-12)
pobj(in-10, Sea-13)
punct(fields-9, ,-14)
dep(knocked-18, which-15)
aux(knocked-18, had-16)
auxpass(knocked-18, been-17)
dep(fields-9, knocked-18)
dep(knocked-18, out-19)
prep(knocked-18, by-20)
det(explosion-22, an-21)
pobj(by-20, explosion-22)
prep(knocked-18, in-23)
pobj(in-23, July-24)
num(July-24, 1988-25)
punct(aided-28, ,-26)
advmod(aided-28, also-27)
root(ROOT-0, aided-28)
dep(aided-28, results-29)
punct(aided-28, .-30)

det(sale-2, The-1)
nsubj(helped-14, sale-2)
prep(sale-2, of-3)
det(portion-5, a-4)
pobj(of-3, portion-5)
prep(portion-5, of-6)
nn(operations-10, refining-7)
cc(refining-7, and-8)
conj(refining-7, marketing-9)
pobj(of-6, operations-10)
prep(sale-2, to-11)
nn(Arabia-13, Saudi-12)
pobj(to-11, Arabia-13)
root(ROOT-0, helped-14)
xcomp(helped-14, alleviate-15)
det(decline-17, the-16)
dobj(alleviate-15, decline-17)
prep(decline-17, in-18)
pobj(in-18, earnings-19)
prep(earnings-19, from-20)
det(business-22, that-21)
pobj(from-20, business-22)
punct(helped-14, .-23)

punct(said-10, ``-1)
det(company-3, The-2)
nsubjpass(revamped-7, company-3)
aux(revamped-7, has-4)
auxpass(revamped-7, been-5)
advmod(revamped-7, completely-6)
ccomp(said-10, revamped-7)
punct(said-10, ,-8)
punct(said-10, ''-9)
root(ROOT-0, said-10)
nn(Knuettel-12, Frank-11)
nsubj(said-10, Knuettel-12)
punct(Knuettel-12, ,-13)
appos(Knuettel-12, analyst-14)
prep(analyst-14, for-15)
nn(Inc-18, Prudential-Bache-16)
nn(Inc-18, Securities-17)
pobj(for-15, Inc-18)
punct(said-10, .-19)

amod(income-3, Third-quarter-1)
amod(income-3, net-2)
nsubj(rose-6, income-3)
prep(income-3, at-4)
dep(at-4, Texaco-5)
root(ROOT-0, rose-6)
prep(rose-6, to-7)
pobj(to-7, $-8)
number(million-10, 305-9)
num($-8, million-10)
prep(rose-6, from-11)
pobj(from-11, $-12)
number(million-14, 274-13)
num($-12, million-14)
amod(year-16, last-15)
tmod(from-11, year-16)
punct(rose-6, .-17)

dep(declined-2, Revenue-1)
root(ROOT-0, declined-2)
num(%-4, 3.4-3)
dobj(declined-2, %-4)
punct(declined-2, ,-5)
prep(declined-2, to-6)
pobj(to-6, $-7)
number(billion-9, 8.4-8)
num($-7, billion-9)
prep(declined-2, from-10)
pobj(from-10, $-11)
number(billion-13, 8.7-12)
num($-11, billion-13)
punct(declined-2, .-14)

amod(earnings-2, Per-share-1)
nsubj(declined-3, earnings-2)
root(ROOT-0, declined-3)
prep(declined-3, to-4)
pobj(to-4, $-5)
num($-5, 1.10-6)
det(share-8, a-7)
dep($-5, share-8)
prep(declined-3, from-9)
pobj(from-9, $-10)
num($-10, 1.12-11)
det(share-13, a-12)
dep($-10, share-13)
punct(declined-3, ,-14)
advmod(of-17, largely-15)
mwe(of-17, because-16)
prep(declined-3, of-17)
number(million-19, 21-18)
num(shares-21, million-19)
amod(shares-21, additional-20)
pobj(of-17, shares-21)
vmod(shares-21, issued-22)
aux(retire-24, to-23)
xcomp(issued-22, retire-24)
dobj(retire-24, $-25)
number(billion-27, 1-26)
num($-25, billion-27)
prep($-25, of-28)
dep(of-28, debt-29)
punct(declined-3, .-30)

amod(earnings-2, Per-share-1)
nsubj(shrank-4, earnings-2)
advmod(shrank-4, also-3)
root(ROOT-0, shrank-4)
mwe(of-6, because-5)
prep(shrank-4, of-6)
pobj(of-6, dividends-7)
prep(dividends-7, on-8)
det(series-11, a-9)
amod(series-11, new-10)
pobj(on-8, series-11)
prep(series-11, of-12)
amod(stock-14, preferred-13)
pobj(of-12, stock-14)
punct(shrank-4, .-15)

nn(Co.-3, Sun-1)
nn(Co.-3, Sun-2)
poss(income-6, Co.-3)
possessive(Co.-3, 's-4)
amod(income-6, net-5)
nsubj(climbed-7, income-6)
root(ROOT-0, climbed-7)
num(%-9, 18-8)
dobj(climbed-7, %-9)
prep(climbed-7, to-10)
pobj(to-10, $-11)
number(million-13, 85-12)
num($-11, million-13)
punct($-11, ,-14)
cc($-11, or-15)
num(cents-17, 80-16)
conj($-11, cents-17)
det(share-19, a-18)
dep(cents-17, share-19)
punct($-11, ,-20)
prep(climbed-7, from-21)
pobj(from-21, $-22)
number(million-24, 72-23)
num($-22, million-24)
punct($-22, ,-25)
cc($-22, or-26)
num(cents-28, 67-27)
conj($-22, cents-28)
det(share-30, a-29)
dep(cents-28, share-30)
punct(climbed-7, .-31)

dep(increased-2, Revenue-1)
root(ROOT-0, increased-2)
num(%-4, 11-3)
dobj(increased-2, %-4)
punct(increased-2, ,-5)
prep(increased-2, to-6)
pobj(to-6, $-7)
number(billion-9, 2.73-8)
num($-7, billion-9)
prep(increased-2, from-10)
pobj(from-10, $-11)
number(billion-13, 2.46-12)
num($-11, billion-13)
punct(increased-2, .-14)

dep(said-2, Sun-1)
root(ROOT-0, said-2)
nsubj(reflects-7, some-3)
prep(some-3, of-4)
det(growth-6, the-5)
pobj(of-4, growth-6)
ccomp(said-2, reflects-7)
amod(earnings-9, higher-8)
dobj(reflects-7, earnings-9)
prep(earnings-9, in-10)
det(operation-14, the-11)
nn(operation-14, oil-12)
nn(operation-14, sands-13)
pobj(in-10, operation-14)
prep(operation-14, of-15)
pobj(of-15, Suncor-16)
punct(Suncor-16, ,-17)
det(subsidiary-21, a-18)
amod(subsidiary-21, majority-owned-19)
amod(subsidiary-21, Canadian-20)
dep(Suncor-16, subsidiary-21)
punct(said-2, .-22)

nn(Jr.-4, Chairman-1)
nn(Jr.-4, Robert-2)
nn(Jr.-4, McClements-3)
nsubj(said-5, Jr.-4)
root(ROOT-0, said-5)
det(production-10, the-6)
amod(production-10, synthetic-7)
amod(production-10, crude-8)
nn(production-10, oil-9)
nsubj(rose-14, production-10)
prep(production-10, from-11)
det(facility-13, the-12)
pobj(from-11, facility-13)
ccomp(said-5, rose-14)
advmod(price-18, even-15)
mark(price-18, as-16)
det(price-18, the-17)
advcl(rose-14, price-18)
prep(price-18, for-19)
det(oil-21, that-20)
pobj(for-19, oil-21)
dep(price-18, increased-22)
punct(said-5, .-23)

amod(exploration-2, Overseas-1)
nsubj(improved-7, exploration-2)
cc(exploration-2, and-3)
nn(results-5, production-4)
conj(exploration-2, results-5)
advmod(improved-7, also-6)
root(ROOT-0, improved-7)
mwe(of-9, because-8)
prep(improved-7, of-9)
amod(output-11, additional-10)
pobj(of-9, output-11)
prep(output-11, from-12)
det(Field-17, the-13)
nn(Field-17, North-14)
nn(Field-17, Sea-15)
nn(Field-17, Magnus-16)
pobj(from-12, Field-17)
punct(Field-17, ,-18)
det(portion-20, a-19)
nsubjpass(acquired-24, portion-20)
prep(portion-20, of-21)
dep(of-21, which-22)
auxpass(acquired-24, was-23)
rcmod(Field-17, acquired-24)
prep(acquired-24, by-25)
dep(by-25, Sun-26)
advmod(acquired-24, earlier-27)
det(year-29, this-28)
pobj(earlier-27, year-29)
punct(improved-7, .-30)

dep(declined-2, Results-1)
root(ROOT-0, declined-2)
punct(declined-2, ,-3)
advmod(declined-2, however-4)
punct(declined-2, ,-5)
prep(declined-2, in-6)
poss(refining-9, Sun-7)
possessive(Sun-7, 's-8)
pobj(in-6, refining-9)
cc(refining-9, and-10)
conj(refining-9, marketing-11)
cc(refining-9, and-12)
nn(businesses-14, coal-13)
conj(refining-9, businesses-14)
punct(declined-2, .-15)

nn(Oil-2, Shell-1)
root(ROOT-0, Oil-2)

nsubj(tumbled-13, Profits-1)
prep(Profits-1, of-2)
pobj(of-2, Shell-3)
punct(Shell-3, ,-4)
det(subsidiary-6, a-5)
dep(Shell-3, subsidiary-6)
prep(subsidiary-6, of-7)
det(Group-11, the-8)
nn(Group-11, Royal-9)
nn(Group-11, Dutch/Shell-10)
pobj(of-7, Group-11)
punct(Shell-3, ,-12)
root(ROOT-0, tumbled-13)
dobj(tumbled-13, $-14)
number(million-16, 24-15)
num($-14, million-16)
punct($-14, ,-17)
cc($-14, or-18)
num(%-20, 6.6-19)
conj($-14, %-20)
punct($-14, ,-21)
prep(tumbled-13, to-22)
pobj(to-22, $-23)
number(million-25, 340-24)
num($-23, million-25)
punct(tumbled-13, ,-26)
prep(tumbled-13, despite-27)
det(gain-29, a-28)
pobj(despite-27, gain-29)
prep(gain-29, of-30)
pobj(of-30, $-31)
number(million-33, 30-32)
num($-31, million-33)
prep(gain-29, from-34)
det(settlement-37, an-35)
nn(settlement-37, insurance-36)
pobj(from-34, settlement-37)
punct(tumbled-13, .-38)

nn(Richardson-3, President-1)
nn(Richardson-3, Frank-2)
nsubj(attributed-4, Richardson-3)
root(ROOT-0, attributed-4)
det(decline-6, the-5)
dobj(attributed-4, decline-6)
prep(attributed-4, to-7)
amod(prices-11, lower-8)
amod(prices-11, natural-9)
nn(prices-11, gas-10)
pobj(to-7, prices-11)
punct(prices-11, ,-12)
dep(countered-14, which-13)
dep(prices-11, countered-14)
amod(earnings-16, higher-15)
dobj(countered-14, earnings-16)
prep(earnings-16, from-17)
det(sector-21, the-18)
amod(sector-21, crude-19)
nn(sector-21, oil-20)
pobj(from-17, sector-21)
prep(sector-21, of-22)
poss(exploration-25, Shell-23)
possessive(Shell-23, 's-24)
pobj(of-22, exploration-25)
cc(exploration-25, and-26)
nn(operation-28, production-27)
conj(exploration-25, operation-28)
punct(attributed-4, .-29)

root(ROOT-0, Shaving-1)
dep(Shaving-1, away-2)
dobj(Shaving-1, some-3)
prep(some-3, of-4)
det(gain-6, the-5)
pobj(of-4, gain-6)
prep(gain-6, in-7)
det(unit-9, that-8)
pobj(in-7, unit-9)
aux(Shaving-1, was-10)
det(decline-12, a-11)
nsubj(Shaving-1, decline-12)
prep(decline-12, in-13)
nn(production-16, U.S.-14)
nn(production-16, oil-15)
pobj(in-13, production-16)
prep(decline-12, to-17)
num(barrels-19, 502,000-18)
pobj(to-17, barrels-19)
prep(barrels-19, of-20)
dep(of-20, oil-21)
det(day-23, a-22)
dep(barrels-19, day-23)
prep(to-17, during-24)
det(quarter-26, the-25)
pobj(during-24, quarter-26)
prep(decline-12, from-27)
num(barrels-29, 527,000-28)
pobj(from-27, barrels-29)
det(day-31, a-30)
dep(barrels-29, day-31)
amod(year-33, last-32)
tmod(from-27, year-33)
punct(Shaving-1, .-34)

poss(earnings-4, Shell-1)
possessive(Shell-1, 's-2)
nn(earnings-4, chemical-3)
nsubj(fell-5, earnings-4)
root(ROOT-0, fell-5)
prep(fell-5, by-6)
pobj(by-6, $-7)
number(million-9, 67-8)
num($-7, million-9)
punct(fell-5, ,-10)
prep(fell-5, to-11)
pobj(to-11, $-12)
number(million-14, 137-13)
num($-12, million-14)
punct(fell-5, ,-15)
xcomp(fell-5, reflecting-16)
amod(margins-18, lower-17)
dobj(reflecting-16, margins-18)
cc(margins-18, and-19)
amod(demand-21, less-20)
conj(margins-18, demand-21)
prep(demand-21, for-22)
nn(chemicals-24, commodity-23)
pobj(for-22, chemicals-24)
punct(fell-5, .-25)

root(ROOT-0, Mobil-1)

amod(income-2, Net-1)
nsubj(slipped-6, income-2)
prep(income-2, at-3)
nn(Corp.-5, Mobil-4)
pobj(at-3, Corp.-5)
root(ROOT-0, slipped-6)
num(%-8, 4.5-7)
dobj(slipped-6, %-8)
prep(slipped-6, to-9)
pobj(to-9, $-10)
number(million-12, 532-11)
num($-10, million-12)
punct($-10, ,-13)
cc($-10, or-14)
conj($-10, $-15)
num($-15, 1.30-16)
det(share-18, a-17)
dep($-15, share-18)
punct($-10, ,-19)
prep(slipped-6, from-20)
pobj(from-20, $-21)
number(million-23, 557-22)
num($-21, million-23)
punct($-21, ,-24)
cc($-21, or-25)
conj($-21, $-26)
num($-26, 1.36-27)
det(share-29, a-28)
dep($-26, share-29)
punct(slipped-6, .-30)

dep(declined-2, Revenue-1)
root(ROOT-0, declined-2)
dobj(declined-2, $-3)
number(million-5, 518-4)
num($-3, million-5)
punct(declined-2, ,-6)
prep(declined-2, to-7)
pobj(to-7, $-8)
number(billion-10, 13.63-9)
num($-8, billion-10)
punct(declined-2, .-11)

dep(included-2, Earnings-1)
root(ROOT-0, included-2)
det(gain-5, a-3)
amod(gain-5, one-time-4)
dobj(included-2, gain-5)
prep(gain-5, of-6)
pobj(of-6, $-7)
number(million-9, 192-8)
num($-7, million-9)
prep(gain-5, on-10)
det(transaction-13, a-11)
nn(transaction-13, property-12)
pobj(on-10, transaction-13)
prep(transaction-13, in-14)
nn(Kong-16, Hong-15)
pobj(in-14, Kong-16)
punct(included-2, .-17)

nn(profits-4, Exploration-1)
cc(Exploration-1, and-2)
conj(Exploration-1, production-3)
nsubj(slumped-5, profits-4)
root(ROOT-0, slumped-5)
dobj(slumped-5, $-6)
number(million-8, 40-7)
num($-6, million-8)
advmod(slumped-5, due-9)
prep(due-9, to-10)
det(provision-12, a-11)
pobj(to-10, provision-12)
prep(provision-12, for-13)
amod(costs-15, restructuring-14)
pobj(for-13, costs-15)
punct(slumped-5, .-16)

nsubj(take-4, The-1)
amod(The-1, restructuring-2)
aux(take-4, will-3)
root(ROOT-0, take-4)
dep(take-4, place-5)
prep(take-4, over-6)
det(period-9, a-7)
amod(period-9, two-year-8)
pobj(over-6, period-9)
cc(take-4, and-10)
aux(involve-12, will-11)
conj(take-4, involve-12)
det(transfer-14, the-13)
dobj(involve-12, transfer-14)
cc(transfer-14, and-15)
conj(transfer-14, layoff-16)
prep(transfer-14, of-17)
pobj(of-17, employees-18)
prep(employees-18, in-19)
nn(operations-21, U.S.-20)
pobj(in-19, operations-21)
aux(reduce-23, to-22)
vmod(transfer-14, reduce-23)
dep(reduce-23, costs-24)
cc(reduce-23, and-25)
conj(reduce-23, focus-26)
dep(focus-26, efforts-27)
prep(focus-26, in-28)
amod(areas-30, other-29)
pobj(in-28, areas-30)
punct(take-4, .-31)

amod(year-2, Last-1)
tmod(included-6, year-2)
punct(included-6, ,-3)
amod(earnings-5, third-quarter-4)
nsubj(included-6, earnings-5)
root(ROOT-0, included-6)
det(gain-11, a-7)
amod(gain-11, $-8)
number(million-10, 157-9)
num($-8, million-10)
dobj(included-6, gain-11)
prep(gain-11, from-12)
amod(changes-16, foreign-13)
nn(changes-16, tax-14)
nn(changes-16, rate-15)
pobj(from-12, changes-16)
cc(gain-11, and-17)
det(loss-19, a-18)
conj(gain-11, loss-19)
prep(loss-19, from-20)
det(write-off-25, a-21)
amod(write-off-25, $-22)
number(million-24, 65-23)
num($-22, million-24)
pobj(from-20, write-off-25)
prep(write-off-25, of-26)
dep(of-26, reserves-27)
punct(included-6, .-28)

root(ROOT-0, Chevron-1)

poss(income-4, Chevron-1)
possessive(Chevron-1, 's-2)
amod(income-4, net-3)
nsubj(fell-5, income-4)
root(ROOT-0, fell-5)
num(%-7, 0.7-6)
dobj(fell-5, %-7)
punct(fell-5, ,-8)
prep(fell-5, to-9)
pobj(to-9, $-10)
number(million-12, 417-11)
num($-10, million-12)
punct($-10, ,-13)
cc($-10, or-14)
conj($-10, $-15)
num($-15, 1.22-16)
det(share-18, a-17)
dep($-15, share-18)
punct($-10, ,-19)
prep(fell-5, from-20)
pobj(from-20, $-21)
number(million-23, 420-22)
num($-21, million-23)
punct($-21, ,-24)
cc($-21, or-25)
conj($-21, $-26)
num($-26, 1.23-27)
det(share-29, a-28)
dep($-26, share-29)
punct(fell-5, .-30)

dep(included-2, Results-1)
root(ROOT-0, included-2)
det(gain-7, a-3)
amod(gain-7, $-4)
number(million-6, 37-5)
num($-4, million-6)
dobj(included-2, gain-7)
prep(gain-7, from-8)
det(sale-10, the-9)
pobj(from-8, sale-10)
prep(sale-10, of-11)
pobj(of-11, rights-12)
prep(rights-12, from-13)
poss(investment-16, Chevron-14)
possessive(Chevron-14, 's-15)
pobj(from-13, investment-16)
prep(investment-16, in-17)
nn(Inc.-19, Amax-18)
pobj(in-17, Inc.-19)
punct(gain-7, ,-20)
cc(gain-7, and-21)
det(loss-23, a-22)
conj(gain-7, loss-23)
prep(loss-23, of-24)
pobj(of-24, $-25)
number(million-27, 30-26)
num($-25, million-27)
prep(loss-23, from-28)
det(sale-30, the-29)
pobj(from-28, sale-30)
prep(sale-30, of-31)
nn(oil-33, California-32)
pobj(of-31, oil-33)
cc(oil-33, and-34)
nn(properties-36, gas-35)
conj(oil-33, properties-36)
punct(included-2, .-37)

dep(rose-2, Revenue-1)
root(ROOT-0, rose-2)
num(%-4, 11-3)
dobj(rose-2, %-4)
punct(rose-2, ,-5)
prep(rose-2, to-6)
pobj(to-6, $-7)
number(billion-9, 8-8)
num($-7, billion-9)
prep(rose-2, from-10)
pobj(from-10, $-11)
number(billion-13, 7.2-12)
num($-11, billion-13)
punct(rose-2, .-14)

dep(said-2, Chevron-1)
root(ROOT-0, said-2)
amod(prices-6, higher-3)
amod(prices-6, crude-4)
nn(prices-6, oil-5)
nsubj(boosted-7, prices-6)
dep(said-2, boosted-7)
dobj(boosted-7, profits-8)
prep(profits-8, from-9)
nn(operations-11, production-10)
pobj(from-9, operations-11)
punct(boosted-7, ,-12)
cc(boosted-7, but-13)
conj(boosted-7, margins-14)
prep(margins-14, in-15)
pobj(in-15, refining-16)
cc(refining-16, and-17)
conj(refining-16, marketing-18)
dep(margins-14, declined-19)
punct(said-2, .-20)

nsubj(totaled-8, Profits-1)
prep(Profits-1, from-2)
nn(exploration-4, U.S.-3)
pobj(from-2, exploration-4)
cc(exploration-4, and-5)
nn(operations-7, production-6)
conj(exploration-4, operations-7)
root(ROOT-0, totaled-8)
dobj(totaled-8, $-9)
number(million-11, 58-10)
num($-9, million-11)
punct(totaled-8, ,-12)
prep(totaled-8, after-13)
det(loss-17, the-14)
nn(loss-17, property-15)
nn(loss-17, sale-16)
pobj(after-13, loss-17)
punct(totaled-8, ,-18)
prep(totaled-8, compared-19)
pcomp(compared-19, with-20)
det(loss-26, a-21)
amod(loss-26, year-earlier-22)
amod(loss-26, $-23)
number(million-25, 44-24)
num($-23, million-25)
pobj(with-20, loss-26)
dep(included-28, that-27)
dep(loss-26, included-28)
det(charge-34, a-29)
amod(charge-34, $-30)
number(million-32, 16-31)
num($-30, million-32)
nn(charge-34, reorganization-33)
dobj(included-28, charge-34)
punct(totaled-8, .-35)

nn(operations-4, Refining-1)
cc(Refining-1, and-2)
conj(Refining-1, marketing-3)
nsubj(earned-5, operations-4)
root(ROOT-0, earned-5)
dobj(earned-5, $-6)
number(million-8, 130-7)
num($-6, million-8)
prep(earned-5, in-9)
det(quarter-11, the-10)
pobj(in-9, quarter-11)
det(year-13, this-12)
tmod(earned-5, year-13)
punct(earned-5, ,-14)
prep(earned-5, compared-15)
pcomp(compared-15, with-16)
pobj(with-16, earnings-17)
prep(earnings-17, of-18)
pobj(of-18, $-19)
number(million-21, 186-20)
num($-19, million-21)
det(year-23, a-22)
npadvmod(earlier-24, year-23)
advmod(earnings-17, earlier-24)
mark(included-26, that-25)
ccomp(earnings-17, included-26)
dobj(included-26, $-27)
number(million-29, 18-28)
num($-27, million-29)
prep($-27, in-30)
pobj(in-30, charges-31)
prep(charges-31, for-32)
amod(programs-34, environmental-33)
pobj(for-32, programs-34)
punct(earned-5, .-35)

amod(earnings-2, Foreign-1)
nsubj(fell-3, earnings-2)
root(ROOT-0, fell-3)
prep(fell-3, to-4)
pobj(to-4, $-5)
number(million-7, 180-6)
num($-5, million-7)
prep(fell-3, from-8)
pobj(from-8, $-9)
number(million-11, 182-10)
num($-9, million-11)
dep(included-13, that-12)
dep($-9, included-13)
det(gain-18, a-14)
amod(gain-18, $-15)
number(million-17, 48-16)
num($-15, million-17)
dobj(included-13, gain-18)
prep(gain-18, from-19)
amod(taxes-24, lower-20)
amod(taxes-24, Canadian-21)
cc(Canadian-21, and-22)
conj(Canadian-21, Australian-23)
pobj(from-19, taxes-24)
punct(fell-3, .-25)

nn(profits-2, Chemical-1)
nsubj(fell-3, profits-2)
root(ROOT-0, fell-3)
prep(fell-3, to-4)
pobj(to-4, $-5)
number(million-7, 78-6)
num($-5, million-7)
prep(fell-3, from-8)
pobj(from-8, $-9)
number(million-11, 98-10)
num($-9, million-11)
punct(fell-3, .-12)

nn(Rowe-2, Jeff-1)
nsubj(contributed-3, Rowe-2)
root(ROOT-0, contributed-3)
prep(contributed-3, to-4)
det(article-6, this-5)
pobj(to-4, article-6)
punct(contributed-3, .-7)

nn(Inc.-2, Asarco-1)
nsubj(ended-12, Inc.-2)
punct(ended-12, ,-3)
vmod(ended-12, continuing-4)
poss(effort-6, its-5)
dobj(continuing-4, effort-6)
aux(refocus-8, to-7)
vmod(effort-6, refocus-8)
poss(business-10, its-9)
dobj(refocus-8, business-10)
punct(ended-12, ,-11)
root(ROOT-0, ended-12)
poss(involvement-14, its-13)
dobj(ended-12, involvement-14)
prep(involvement-14, in-15)
nn(mining-17, asbestos-16)
pobj(in-15, mining-17)
prep(ended-12, in-18)
det(quarter-21, the-19)
amod(quarter-21, third-20)
pobj(in-18, quarter-21)
cc(ended-12, and-22)
conj(ended-12, said-23)
dep(stop-26, it-24)
aux(stop-26, would-25)
ccomp(said-23, stop-26)
xcomp(stop-26, mining-27)
cc(mining-27, and-28)
conj(mining-27, selling-29)
dep(mining-27, coal-30)
prep(stop-26, by-31)
nn(end-33, year-32)
pobj(by-31, end-33)
punct(ended-12, .-34)

det(concern-7, The-1)
nn(concern-7, mining-2)
punct(mining-2, ,-3)
conj(mining-2, metal-4)
cc(mining-2, and-5)
conj(mining-2, specialty-chemical-6)
nsubj(said-8, concern-7)
root(ROOT-0, said-8)
amod(revenue-10, combined-9)
nsubj($-17, revenue-10)
prep(revenue-10, for-11)
pobj(for-11, asbestos-12)
cc(asbestos-12, and-13)
conj(asbestos-12, coal-14)
cop($-17, was-15)
quantmod($-17, about-16)
ccomp(said-8, $-17)
number(million-19, 40-18)
num($-17, million-19)
