amod(members-2, Influential-1)
punct(continues-4, .-14)

cc(said-23, And-1)
prep(working-20, at-2)
det(company-4, the-3)
poss(plant-10, company-4)
possessive(company-4, 's-5)
dep(plant-10, Wichita-6)
punct(Wichita-6, ,-7)
dep(Wichita-6, Kan.-8)
punct(Wichita-6, ,-9)
pobj(at-2, plant-10)
punct(working-20, ,-11)
quantmod(2,400-13, about-12)
nsubj(working-20, 2,400-13)
prep(2,400-13, of-14)
det(machinists-17, the-15)
num(machinists-17, 11,700-16)
pobj(of-14, machinists-17)
advmod(working-20, still-18)
dep(working-20, are-19)
dep(said-23, working-20)
punct(said-23, ,-21)
dep(said-23, Boeing-22)
root(ROOT-0, said-23)
punct(said-23, .-24)

prep(require-9, Under-1)
nn(laws-4, Kansas-2)
amod(laws-4, right-to-work-3)
pobj(Under-1, laws-4)
punct(require-9, ,-5)
dep(require-9, contracts-6)
aux(require-9, can-7)
neg(require-9, not-8)
root(ROOT-0, require-9)
dep(members-14, workers-10)
aux(members-14, to-11)
cop(members-14, be-12)
nn(members-14, union-13)
xcomp(require-9, members-14)
punct(require-9, .-15)

dep(declined-3, Boeing-1)
aux(declined-3, has-2)
root(ROOT-0, declined-3)
aux(say-5, to-4)
xcomp(declined-3, say-5)
advmod(many-7, how-6)
advmod(employees-8, many-7)
nsubj(working-10, employees-8)
aux(working-10, are-9)
ccomp(say-5, working-10)
prep(working-10, at-11)
poss(plant-18, its-12)
amod(plant-18, giant-13)
dep(plant-18, Renton-14)
punct(Renton-14, ,-15)
dep(Renton-14, Wash.-16)
punct(Renton-14, ,-17)
pobj(at-11, plant-18)
punct(declined-3, .-19)

nn(officials-2, Union-1)
nsubjpass(reached-6, officials-2)
aux(reached-6, could-3)
neg(reached-6, n't-4)
auxpass(reached-6, be-5)
root(ROOT-0, reached-6)
prep(reached-6, for-7)
dep(for-7, comment-8)
punct(reached-6, .-9)

nn(Partners-3, DPC-1)
nn(Partners-3, Acquisition-2)
nsubj(said-12, Partners-3)
punct(Partners-3, ,-4)
det(suitor-7, a-5)
amod(suitor-7, hostile-6)
appos(Partners-3, suitor-7)
prep(suitor-7, for-8)
nn(Corp.-10, Dataproducts-9)
pobj(for-8, Corp.-10)
punct(Partners-3, ,-11)
root(ROOT-0, said-12)
dep(intends-14, it-13)
ccomp(said-12, intends-14)
aux(launch-16, to-15)
xcomp(intends-14, launch-16)
det(offer-19, a-17)
nn(offer-19, tender-18)
dobj(launch-16, offer-19)
prep(offer-19, for-20)
det(maker-24, the-21)
nn(maker-24, computer-22)
nn(maker-24, printer-23)
poss(stock-27, maker-24)
possessive(maker-24, 's-25)
amod(stock-27, common-26)
pobj(for-20, stock-27)
punct(said-12, .-28)

nsubj(said-16, DPC-1)
punct(DPC-1, ,-2)
det(group-4, a-3)
dep(DPC-1, group-4)
vmod(group-4, led-5)
prep(led-5, by-6)
det(Inc.-13, the-7)
nn(Inc.-13, New-8)
nn(Inc.-13, York-9)
nn(Inc.-13, investment-10)
nn(Inc.-13, firm-11)
nn(Inc.-13, Crescott-12)
pobj(by-6, Inc.-13)
punct(DPC-1, ,-14)
advmod(said-16, also-15)
root(ROOT-0, said-16)
dep(plans-18, it-17)
ccomp(said-16, plans-18)
aux(file-20, to-19)
xcomp(plans-18, file-20)
amod(materials-22, preliminary-21)
dobj(file-20, materials-22)
prep(file-20, with-23)
det(Commission-28, the-24)
nn(Commission-28, Securities-25)
cc(Securities-25, and-26)
conj(Securities-25, Exchange-27)
pobj(with-23, Commission-28)
dep(file-20, regarding-29)
det(solicitation-32, a-30)
nn(solicitation-32, shareholder-31)
dobj(regarding-29, solicitation-32)
aux(oust-34, to-33)
vmod(solicitation-32, oust-34)
poss(board-37, Dataproducts-35)
possessive(Dataproducts-35, '-36)
dobj(oust-34, board-37)
punct(said-16, .-38)

dep(holds-2, DPC-1)
root(ROOT-0, holds-2)
det(stake-6, a-3)
number(%-5, 7.8-4)
amod(stake-6, %-5)
dobj(holds-2, stake-6)
prep(stake-6, in-7)
dep(in-7, Dataproducts-8)
cc(holds-2, and-9)
conj(holds-2, made-10)
det(bid-14, a-11)
amod(bid-14, $-12)
dep($-12, 15-a-share-13)
dobj(made-10, bid-14)
prep(bid-14, for-15)
det(company-17, the-16)
pobj(for-15, company-17)
prep(made-10, in-18)
dep(in-18, May-19)
punct(holds-2, ,-20)
cc(holds-2, but-21)
nn(management-23, Dataproducts-22)
nsubj(considered-24, management-23)
conj(holds-2, considered-24)
det(proposal-29, the-25)
amod(proposal-29, $-26)
number(million-28, 283.7-27)
num($-26, million-28)
dep(considered-24, proposal-29)
dep(proposal-29, unacceptable-30)
punct(holds-2, .-31)

det(spokesman-3, A-1)
nn(spokesman-3, DPC-2)
nsubj(declined-4, spokesman-3)
root(ROOT-0, declined-4)
aux(elaborate-6, to-5)
xcomp(declined-4, elaborate-6)
prep(elaborate-6, on-7)
det(group-9, the-8)
poss(plan-12, group-9)
possessive(group-9, 's-10)
amod(plan-12, new-11)
pobj(on-7, plan-12)
punct(declined-4, .-13)

prep(jumped-11, In-1)
nn(trading-6, American-2)
nn(trading-6, Stock-3)
nn(trading-6, Exchange-4)
nn(trading-6, composite-5)
pobj(In-1, trading-6)
dep(jumped-11, yesterday-7)
punct(jumped-11, ,-8)
nn(shares-10, Dataproducts-9)
nsubj(jumped-11, shares-10)
root(ROOT-0, jumped-11)
num(cents-13, 62.5-12)
dobj(jumped-11, cents-13)
aux(close-15, to-14)
vmod(jumped-11, close-15)
prep(close-15, at-16)
pobj(at-16, $-17)
num($-17, 9.375-18)
punct(jumped-11, .-19)

nsubj(announced-13, Dataproducts-1)
punct(Dataproducts-1, ,-2)
dep(seeking-6, which-3)
aux(seeking-6, had-4)
aux(seeking-6, been-5)
dep(Dataproducts-1, seeking-6)
det(buyer-8, a-7)
dobj(seeking-6, buyer-8)
prep(seeking-6, for-9)
amod(months-11, several-10)
pobj(for-9, months-11)
punct(Dataproducts-1, ,-12)
root(ROOT-0, announced-13)
det(plan-16, a-14)
nn(plan-16, restructuring-15)
dobj(announced-13, plan-16)
prep(announced-13, in-17)
dep(in-17, September-18)
cc(announced-13, and-19)
conj(announced-13, took-20)
dep(took-20, itself-21)
prep(took-20, off-22)
det(block-25, the-23)
nn(block-25, auction-24)
pobj(off-22, block-25)
punct(announced-13, .-26)

det(company-2, The-1)
poss(restructuring-4, company-2)
possessive(company-2, 's-3)
nsubj(includes-5, restructuring-4)
root(ROOT-0, includes-5)
dobj(includes-5, plans-6)
aux(split-8, to-7)
dep(plans-6, split-8)
prep(split-8, into-9)
num(sectors-11, three-10)
pobj(into-9, sectors-11)
punct(split-8, ,-12)
aux(phase-14, to-13)
conj(split-8, phase-14)
dep(phase-14, out-15)
amod(operations-19, domestic-16)
nn(operations-19, printer-17)
amod(operations-19, manufacturing-18)
dobj(phase-14, operations-19)
cc(split-8, and-20)
aux(sell-22, to-21)
conj(split-8, sell-22)
poss(subsidiary-26, its-23)
nn(subsidiary-26, New-24)
nn(subsidiary-26, England-25)
dobj(sell-22, subsidiary-26)
punct(includes-5, .-27)

prep(announced-8, As-1)
pobj(As-1, part-2)
prep(part-2, of-3)
det(plan-5, the-4)
pobj(of-3, plan-5)
punct(announced-8, ,-6)
dep(announced-8, Dataproducts-7)
root(ROOT-0, announced-8)
det(pact-10, a-9)
dobj(announced-8, pact-10)
aux(sell-12, to-11)
vmod(pact-10, sell-12)
dobj(sell-12, $-13)
number(million-15, 63-14)
num($-13, million-15)
prep($-13, of-16)
poss(holdings-20, its-17)
amod(holdings-20, real-18)
nn(holdings-20, estate-19)
pobj(of-16, holdings-20)
prep(sell-12, to-21)
nn(Inc.-24, Trizec-22)
nn(Inc.-24, Properties-23)
pobj(to-21, Inc.-24)
punct(Inc.-24, ,-25)
det(unit-27, a-26)
appos(Inc.-24, unit-27)
prep(unit-27, of-28)
poss(Corp-32, Canada-29)
possessive(Canada-29, 's-30)
nn(Corp-32, Trizec-31)
pobj(of-28, Corp-32)
punct(announced-8, .-33)

nn(Davis-2, Jack-1)
nsubj(said-14, Davis-2)
punct(Davis-2, ,-3)
poss(president-6, Dataproducts-4)
possessive(Dataproducts-4, '-5)
appos(Davis-2, president-6)
punct(president-6, ,-7)
conj(president-6, chairman-8)
cc(president-6, and-9)
amod(officer-12, chief-10)
amod(officer-12, executive-11)
conj(president-6, officer-12)
punct(Davis-2, ,-13)
root(ROOT-0, said-14)
det(company-16, the-15)
nsubj(is-18, company-16)
punct(is-18, ``-17)
ccomp(said-14, is-18)
prep(is-18, at-19)
det(loss-21, a-20)
pobj(at-19, loss-21)
aux(understand-23, to-22)
xcomp(is-18, understand-23)
poss(intentions-26, DPC-24)
possessive(DPC-24, 's-25)
dobj(understand-23, intentions-26)
punct(said-14, .-27)
punct(said-14, ''-28)

dep(called-2, He-1)
root(ROOT-0, called-2)
poss(announcement-5, today-3)
possessive(today-3, 's-4)
dep(opportunistic-7, announcement-5)
punct(opportunistic-7, ``-6)
dep(called-2, opportunistic-7)
cc(opportunistic-7, and-8)
conj(opportunistic-7, disruptive-9)
punct(opportunistic-7, ''-10)
cc(called-2, and-11)
conj(called-2, said-12)
det(company-14, the-13)
nsubj(intends-15, company-14)
ccomp(said-12, intends-15)
aux(proceed-17, to-16)
xcomp(intends-15, proceed-17)
prep(proceed-17, with-18)
poss(restructuring-20, its-19)
pobj(with-18, restructuring-20)
punct(called-2, .-21)

nn(prices-2, Share-1)
nsubj(plummeted-3, prices-2)
root(ROOT-0, plummeted-3)
prep(plummeted-3, across-4)
dep(across-4, Europe-5)
dep(plummeted-3, yesterday-6)
prep(plummeted-3, in-7)
pobj(in-7, response-8)
prep(response-8, to-9)
poss(sell-off-14, Friday-10)
possessive(Friday-10, 's-11)
nn(sell-off-14, New-12)
nn(sell-off-14, York-13)
pobj(to-9, sell-off-14)
punct(plummeted-3, ,-15)
cc(plummeted-3, but-16)
det(issues-18, some-17)
nsubj(staged-19, issues-18)
conj(plummeted-3, staged-19)
det(comeback-22, a-20)
amod(comeback-22, late-21)
dobj(staged-19, comeback-22)
mark(opened-26, after-23)
nn(Street-25, Wall-24)
nsubj(opened-26, Street-25)
advcl(staged-19, opened-26)
prep(opened-26, without-27)
det(rout-29, another-28)
pobj(without-27, rout-29)
punct(plummeted-3, .-30)

amod(investors-2, European-1)
nsubj(have-3, investors-2)
root(ROOT-0, have-3)
amod(reason-5, further-4)
dobj(have-3, reason-5)
prep(reason-5, for-6)
dep(for-6, optimism-7)
dep(have-3, today-8)
punct(have-3, ,-9)
prep(have-3, after-10)
det(rebound-13, the-11)
nn(rebound-13, U.S.-12)
pobj(after-10, rebound-13)
punct(have-3, .-14)

det(Exchange-4, The-1)
nn(Exchange-4, Frankfurt-2)
nn(Exchange-4, Stock-3)
nsubj(hit-18, Exchange-4)
punct(Exchange-4, ,-5)
dep(closed-7, which-6)
dep(Exchange-4, closed-7)
mark(exchanges-12, before-8)
det(exchanges-12, the-9)
nn(exchanges-12, New-10)
nn(exchanges-12, York-11)
advcl(closed-7, exchanges-12)
dep(exchanges-12, opened-13)
punct(Exchange-4, ,-14)
cop(hit-18, was-15)
det(hit-18, the-16)
amod(hit-18, hardest-17)
root(ROOT-0, hit-18)
prep(hit-18, of-19)
det(markets-23, the-20)
amod(markets-23, major-21)
amod(markets-23, European-22)
pobj(of-19, markets-23)
punct(hit-18, ,-24)
prep(hit-18, with-25)
det(Index-28, the-26)
nn(Index-28, DAX-27)
nsubj(dropping-29, Index-28)
pcomp(with-25, dropping-29)
num(%-31, 12.8-30)
dobj(dropping-29, %-31)
punct(hit-18, .-32)

prep(plummeted-5, In-1)
dep(In-1, London-2)
punct(plummeted-5, ,-3)
dep(plummeted-5, prices-4)
root(ROOT-0, plummeted-5)
prep(plummeted-5, in-6)
amod(trading-8, early-7)
pobj(in-6, trading-8)
cc(plummeted-5, and-9)
cop(off-11, were-10)
conj(plummeted-5, off-11)
advmod(as-14, as-12)
advmod(as-14, much-13)
quantmod(9-15, as-14)
num(%-16, 9-15)
dep(off-11, %-16)
prep(off-11, before-17)
pcomp(before-17, coming-18)
advmod(coming-18, back-19)
dep(coming-18, strong-20)
prep(coming-18, after-21)
det(opening-25, the-22)
nn(opening-25, New-23)
nn(opening-25, York-24)
pobj(after-21, opening-25)
aux(close-27, to-26)
xcomp(coming-18, close-27)
advmod(close-27, down-28)
quantmod(3.2-30, only-29)
num(%-31, 3.2-30)
pobj(down-28, %-31)
punct(plummeted-5, .-32)

amod(Haussmann-6, West-1)
amod(Haussmann-6, German-2)
nn(Haussmann-6, Economics-3)
nn(Haussmann-6, Minister-4)
nn(Haussmann-6, Helmut-5)
nsubj(said-7, Haussmann-6)
root(ROOT-0, said-7)
punct(said-7, ,-8)
punct(said-7, ``-9)
prep(stabilize-18, In-10)
poss(view-12, my-11)
pobj(In-10, view-12)
punct(stabilize-18, ,-13)
det(market-16, the-14)
nn(market-16, stock-15)
nsubj(stabilize-18, market-16)
aux(stabilize-18, will-17)
ccomp(said-7, stabilize-18)
advmod(quickly-20, relatively-19)
advmod(stabilize-18, quickly-20)
punct(said-7, .-21)

dep(reactions-10, There-1)
aux(reactions-10, may-2)
cop(reactions-10, be-3)
number(psychological-7, one-4)
cc(psychological-7, or-5)
conj(psychological-7, other-6)
amod(reactions-10, psychological-7)
cc(psychological-7, or-8)
conj(psychological-7, technical-9)
root(ROOT-0, reactions-10)
punct(reactions-10, ,-11)
cc(reactions-10, but-12)
dep(based-16, they-13)
auxpass(based-16, are-14)
neg(based-16, n't-15)
conj(reactions-10, based-16)
prep(based-16, on-17)
dep(on-17, fundamentals-18)
punct(reactions-10, .-19)

det(economy-2, The-1)
nsubj(stable-15, economy-2)
prep(economy-2, of-3)
nn(Germany-5, West-4)
pobj(of-3, Germany-5)
cc(Germany-5, and-6)
det(EC-8, the-7)
conj(Germany-5, EC-8)
punct(Community-11, -LCB--9)
nn(Community-11, European-10)
appos(EC-8, Community-11)
punct(Community-11, -RCB--12)
cop(stable-15, is-13)
advmod(stable-15, highly-14)
root(ROOT-0, stable-15)
punct(stable-15, .-16)
punct(stable-15, ''-17)

nsubjpass(hit-18, Paris-1)
punct(Paris-1, ,-2)
dep(center-7, which-3)
aux(center-7, has-4)
cop(center-7, been-5)
det(center-7, the-6)
dep(Paris-1, center-7)
prep(center-7, of-8)
nn(fever-10, speculation-9)
pobj(of-8, fever-10)
prep(center-7, in-11)
amod(weeks-13, recent-12)
pobj(in-11, weeks-13)
punct(Paris-1, ,-14)
advmod(hit-18, also-15)
auxpass(hit-18, was-16)
advmod(hit-18, hard-17)
root(ROOT-0, hit-18)
punct(hit-18, .-19)

nn(prices-2, Share-1)
nsubj(fell-3, prices-2)
root(ROOT-0, fell-3)
prep(fell-3, in-4)
pobj(in-4, Milan-5)
punct(Milan-5, ,-6)
conj(Milan-5, Amsterdam-7)
punct(Milan-5, ,-8)
conj(Milan-5, Zurich-9)
punct(Milan-5, ,-10)
conj(Milan-5, Madrid-11)
cc(Milan-5, and-12)
conj(Milan-5, Stockholm-13)
punct(fell-3, .-14)

root(ROOT-0, Prices-1)
prep(Prices-1, in-2)
pobj(in-2, Brussels-3)
punct(Brussels-3, ,-4)
advmod(disrupted-9, where-5)
det(breakdown-8, a-6)
nn(breakdown-8, computer-7)
nsubj(disrupted-9, breakdown-8)
dep(Brussels-3, disrupted-9)
dep(disrupted-9, trading-10)
punct(Brussels-3, ,-11)
advmod(Prices-1, also-12)
dep(Prices-1, tumbled-13)
punct(Prices-1, .-14)

dep(breakdown-4, Following-1)
dep(breakdown-4, is-2)
det(breakdown-4, a-3)
root(ROOT-0, breakdown-4)
prep(breakdown-4, of-5)
amod(activity-8, major-6)
nn(activity-8, market-7)
pobj(of-5, activity-8)
punct(breakdown-4, :-9)

root(ROOT-0, FRANKFURT-1)
punct(FRANKFURT-1, :-2)

nsubj(came-6, One-1)
prep(One-1, of-2)
det(declines-5, the-3)
amod(declines-5, sharpest-4)
pobj(of-2, declines-5)
root(ROOT-0, came-6)
prep(came-6, in-7)
det(center-10, the-8)
amod(center-10, financial-9)
pobj(in-7, center-10)
prep(center-10, of-11)
poss(economy-15, Europe-12)
possessive(Europe-12, 's-13)
amod(economy-15, strongest-14)
pobj(of-11, economy-15)
punct(came-6, .-16)

det(Index-3, The-1)
nn(Index-3, DAX-2)
nsubj(plunged-10, Index-3)
prep(Index-3, of-4)
num(chips-9, 30-5)
amod(chips-9, West-6)
amod(chips-9, German-7)
amod(chips-9, blue-8)
pobj(of-4, chips-9)
root(ROOT-0, plunged-10)
num(%-12, 12.8-11)
dobj(plunged-10, %-12)
punct(%-12, ,-13)
det(record-16, a-14)
amod(record-16, one-day-15)
appos(%-12, record-16)
punct(%-12, ,-17)
xcomp(plunged-10, wiping-18)
dep(wiping-18, out-19)
det(summer-21, the-20)
poss(gains-23, summer-21)
possessive(summer-21, 's-22)
dobj(wiping-18, gains-23)
punct(plunged-10, .-24)

det(index-2, The-1)
nsubj(closed-3, index-2)
root(ROOT-0, closed-3)
prep(closed-3, at-4)
dep(at-4, 1385.72-5)
punct(closed-3, ,-6)
advmod(closed-3, down-7)
num(points-9, 203.56-8)
pobj(down-7, points-9)
punct(closed-3, .-10)

prep(dropped-16, By-1)
dep(By-1, comparison-2)
punct(dropped-16, ,-3)
num(years-5, two-4)
npadvmod(ago-6, years-5)
advmod(dropped-16, ago-6)
prep(dropped-16, on-7)
nn(Monday-9, Black-8)
pobj(on-7, Monday-9)
punct(dropped-16, ,-10)
det(index-13, the-11)
amod(index-13, new-12)
nsubj(dropped-16, index-13)
aux(dropped-16, would-14)
aux(dropped-16, have-15)
root(ROOT-0, dropped-16)
num(%-18, 9.4-17)
dobj(dropped-16, %-18)
punct(dropped-16, ,-19)
prep(dropped-16, according-20)
pcomp(according-20, to-21)
det(projection-23, a-22)
pobj(to-21, projection-23)
prep(projection-23, by-24)
det(exchange-26, the-25)
pobj(by-24, exchange-26)
punct(dropped-16, .-27)

dep(reacted-4, Investors-1)
aux(reacted-4, may-2)
aux(reacted-4, have-3)
root(ROOT-0, reacted-4)
advmod(strongly-6, so-5)
advmod(reacted-4, strongly-6)
prep(reacted-4, to-7)
poss(loss-13, Friday-8)
possessive(Friday-8, 's-9)
nn(loss-13, U.S.-10)
nn(loss-13, stock-11)
nn(loss-13, market-12)
pobj(to-7, loss-13)
mark(had-16, because-14)
dep(had-16, they-15)
advcl(reacted-4, had-16)
amod(memories-18, vivid-17)
dobj(had-16, memories-18)
prep(memories-18, of-19)
det(exchange-22, the-20)
nn(exchange-22, Frankfurt-21)
pobj(of-19, exchange-22)
possessive(exchange-22, 's-23)
dep(exchange-22, losing-24)
num(%-26, 35-25)
dobj(losing-24, %-26)
prep(%-26, of-27)
poss(value-29, its-28)
pobj(of-27, value-29)
prep(losing-24, in-30)
det(crash-33, the-31)
num(crash-33, 1987-32)
pobj(in-30, crash-33)
cc(crash-33, and-34)
poss(wake-36, its-35)
conj(crash-33, wake-36)
punct(reacted-4, .-37)

det(time-2, This-1)
nsubjpass(hurt-12, time-2)
punct(hurt-12, ,-3)
advmod(hurt-12, however-4)
punct(hurt-12, ,-5)
amod(investors-8, many-6)
amod(investors-8, small-7)
nsubjpass(hurt-12, investors-8)
aux(hurt-12, may-9)
aux(hurt-12, have-10)
auxpass(hurt-12, been-11)
root(ROOT-0, hurt-12)
prep(hurt-12, by-13)
pcomp(by-13, acting-14)
advmod(swiftly-16, so-15)
advmod(acting-14, swiftly-16)
punct(hurt-12, .-17)

punct(said-11, ``-1)
nsubj(went-4, They-2)
det(They-2, all-3)
ccomp(said-11, went-4)
prep(went-4, in-5)
det(direction-8, the-6)
amod(direction-8, wrong-7)
pobj(in-5, direction-8)
punct(said-11, ,-9)
punct(said-11, ''-10)
root(ROOT-0, said-11)
nn(Insam-13, Andreas-12)
nsubj(said-11, Insam-13)
punct(Insam-13, ,-14)
det(adviser-17, an-15)
nn(adviser-17, investment-16)
appos(Insam-13, adviser-17)
prep(adviser-17, for-18)
det(Bank-20, the-19)
pobj(for-18, Bank-20)
prep(adviser-17, in-21)
poss(branch-25, Liechtenstein-22)
possessive(Liechtenstein-22, 's-23)
nn(branch-25, Frankfurt-24)
pobj(in-21, branch-25)
punct(said-11, .-26)

dep(said-2, He-1)
root(ROOT-0, said-2)
dep(told-4, he-3)
ccomp(said-2, told-4)
dep(told-4, clients-5)
aux(buy-7, to-6)
xcomp(told-4, buy-7)
amod(chips-12, selected-8)
amod(chips-12, West-9)
amod(chips-12, German-10)
amod(chips-12, blue-11)
dobj(buy-7, chips-12)
mark(fell-15, after-13)
dep(fell-15, they-14)
advcl(buy-7, fell-15)
prep(fell-15, by-16)
quantmod(10-18, about-17)
num(%-19, 10-18)
pobj(by-16, %-19)
punct(said-2, .-20)

mark(delayed-5, After-1)
det(opening-3, the-2)
nsubjpass(delayed-5, opening-3)
auxpass(delayed-5, was-4)
advcl(extended-23, delayed-5)
num(minutes-7, 30-6)
dobj(delayed-5, minutes-7)
advmod(of-9, because-8)
prep(delayed-5, of-9)
det(crush-11, the-10)
pobj(of-9, crush-11)
prep(crush-11, of-12)
nn(orders-14, sell-13)
pobj(of-12, orders-14)
punct(extended-23, ,-15)
poss(session-21, Frankfurt-16)
possessive(Frankfurt-16, 's-17)
amod(session-21, normal-18)
amod(session-21, two-hour-19)
nn(session-21, trading-20)
nsubjpass(extended-23, session-21)
auxpass(extended-23, was-22)
root(ROOT-0, extended-23)
num(minutes-25, 75-24)
dobj(extended-23, minutes-25)
aux(handle-27, to-26)
vmod(extended-23, handle-27)
det(volume-30, the-28)
amod(volume-30, heavy-29)
dobj(handle-27, volume-30)
punct(extended-23, .-31)

punct(said-8, ``-1)
det(beginning-3, The-2)
nsubj(was-4, beginning-3)
ccomp(said-8, was-4)
dep(was-4, chaotic-5)
punct(said-8, ,-6)
punct(said-8, ''-7)
root(ROOT-0, said-8)
nn(Longley-10, Nigel-9)
nsubj(said-8, Longley-10)
punct(Longley-10, ,-11)
det(broker-13, a-12)
appos(Longley-10, broker-13)
prep(broker-13, for-14)
nn(AG-16, Commerzbank-15)
pobj(for-14, AG-16)
punct(said-8, .-17)

punct(took-3, ``-1)
dep(took-3, It-2)
root(ROOT-0, took-3)
dobj(took-3, three-quarters-4)
prep(three-quarters-4, of-5)
det(hour-7, an-6)
pobj(of-5, hour-7)
mark(worked-13, before-8)
amod(prices-10, enough-9)
nsubjpass(worked-13, prices-10)
aux(worked-13, could-11)
auxpass(worked-13, be-12)
advcl(took-3, worked-13)
dep(worked-13, out-14)
aux(get-16, to-15)
xcomp(worked-13, get-16)
det(reading-18, a-17)
dobj(get-16, reading-18)
prep(reading-18, on-19)
det(market-21, the-20)
pobj(on-19, market-21)
punct(took-3, .-22)
punct(took-3, ''-23)

amod(investors-2, Institutional-1)
nsubj(optimistic-23, investors-2)
cc(investors-2, and-3)
conj(investors-2, bankers-4)
punct(investors-2, ,-5)
dep(of-7, many-6)
nsubj(spent-9, of-7)
dep(of-7, whom-8)
rcmod(investors-2, spent-9)
det(night-11, the-10)
dobj(spent-9, night-11)
advmod(night-11, before-12)
prep(spent-9, in-13)
poss(offices-15, their-14)
pobj(in-13, offices-15)
xcomp(spent-9, watching-16)
amod(markets-19, Far-17)
amod(markets-19, Eastern-18)
dobj(watching-16, markets-19)
punct(investors-2, ,-20)
cop(optimistic-23, were-21)
advmod(optimistic-23, cautiously-22)
root(ROOT-0, optimistic-23)
prep(optimistic-23, after-24)
det(decline-29, the-25)
amod(decline-29, mild-26)
number(%-28, 1.8-27)
amod(decline-29, %-28)
pobj(after-24, decline-29)
prep(decline-29, in-30)
nn(prices-33, Tokyo-31)
nn(prices-33, stock-32)
pobj(in-30, prices-33)
punct(optimistic-23, .-34)

punct(was-3, ``-1)
nsubj(was-3, Everybody-2)
root(ROOT-0, was-3)
advmod(was-3, still-4)
dep(was-3, confident-5)
punct(was-3, ,-6)
prep(was-3, including-7)
amod(investors-10, most-8)
amod(investors-10, institutional-9)
pobj(including-7, investors-10)
punct(was-3, .-11)

dep(is-2, That-1)
ccomp(said-21, is-2)
advmod(surprised-8, why-3)
dep(surprised-8, everybody-4)
auxpass(surprised-8, was-5)
det(little-7, a-6)
dobj(surprised-8, little-7)
ccomp(is-2, surprised-8)
prep(surprised-8, by-9)
det(storm-11, the-10)
pobj(by-9, storm-11)
prep(storm-11, of-12)
nn(orders-14, sell-13)
pobj(of-12, orders-14)
prep(orders-14, from-15)
amod(investors-18, small-16)
amod(investors-18, private-17)
pobj(from-15, investors-18)
punct(said-21, ,-19)
punct(said-21, ''-20)
root(ROOT-0, said-21)
nn(Braeuer-23, Norbert-22)
nsubj(said-21, Braeuer-23)
punct(Braeuer-23, ,-24)
det(trader-27, a-25)
amod(trader-27, senior-26)
appos(Braeuer-23, trader-27)
prep(trader-27, for-28)
nn(Landesbank-30, Hessische-29)
pobj(for-28, Landesbank-30)
punct(said-21, .-31)

det(institutions-3, Some-1)
amod(institutions-3, big-2)
nsubj(began-8, institutions-3)
punct(institutions-3, ,-4)
prep(institutions-3, including-5)
dep(including-5, banks-6)
punct(institutions-3, ,-7)
root(ROOT-0, began-8)
xcomp(began-8, picking-9)
dep(picking-9, up-10)
amod(shares-12, lower-priced-11)
dobj(picking-9, shares-12)
advmod(began-8, late-13)
dep(late-13, yesterday-14)
punct(began-8, ,-15)
cc(began-8, but-16)
amod(investors-18, most-17)
nsubj(wanted-19, investors-18)
conj(began-8, wanted-19)
aux(see-21, to-20)
xcomp(wanted-19, see-21)
dep(happen-24, what-22)
aux(happen-24, would-23)
ccomp(see-21, happen-24)
prep(happen-24, in-25)
nn(York-27, New-26)
pobj(in-25, York-27)
prep(see-21, before-28)
pcomp(before-28, acting-29)
punct(began-8, .-30)

cc(say-12, But-1)
advmod(continues-6, even-2)
mark(continues-6, if-3)
nn(Street-5, Wall-4)
nsubj(continues-6, Street-5)
advcl(say-12, continues-6)
xcomp(continues-6, to-7)
dep(to-7, stabilize-8)
punct(say-12, ,-9)
nsubj(say-12, analysts-10)
advmod(analysts-10, here-11)
root(ROOT-0, say-12)
det(blow-15, the-13)
amod(blow-15, latest-14)
nsubj(inhibit-20, blow-15)
prep(blow-15, to-16)
nn(confidence-18, investor-17)
pobj(to-16, confidence-18)
aux(inhibit-20, could-19)
ccomp(say-12, inhibit-20)
det(recovery-23, a-21)
nn(recovery-23, swift-22)
dobj(inhibit-20, recovery-23)
prep(recovery-23, for-24)
det(exchange-27, the-25)
nn(exchange-27, Frankfurt-26)
pobj(for-24, exchange-27)
punct(exchange-27, ,-28)
dep(showing-32, which-29)
advmod(showing-32, already-30)
aux(showing-32, was-31)
dep(exchange-27, showing-32)
dobj(showing-32, signs-33)
prep(signs-33, of-34)
dep(of-34, weakness-35)
mark(slipped-40, after-36)
det(DAX-38, the-37)
nsubj(slipped-40, DAX-38)
aux(slipped-40, had-39)
advcl(showing-32, slipped-40)
prep(slipped-40, from-41)
det(high-44, a-42)
num(high-44, 1989-43)
pobj(from-41, high-44)
prep(high-44, of-45)
dep(of-45, 1657.61-46)
prep(slipped-40, on-47)
pobj(on-47, Sept.-48)
num(Sept.-48, 8-49)
punct(say-12, .-50)

nsubj(took-8, Some-1)
prep(Some-1, of-2)
nn(Germany-4, West-3)
poss(chips-7, Germany-4)
possessive(Germany-4, 's-5)
amod(chips-7, bluest-6)
pobj(of-2, chips-7)
root(ROOT-0, took-8)
dobj(took-8, some-9)
prep(some-9, of-10)
det(hits-13, the-11)
amod(hits-13, biggest-12)
pobj(of-10, hits-13)
punct(took-8, .-14)

det(drop-4, A-1)
number(%-3, 16.3-2)
