nsubj(continue-15, Efforts-1)
nsubjpass(committed-16, government-4)
punct(government-4, ,-5)
dep(holds-8, which-6)
advmod(holds-8, currently-7)
dep(government-4, holds-8)
det(council-10, the-9)
poss(presidency-13, council-10)
possessive(council-10, 's-11)
amod(presidency-13, rotating-12)
dobj(holds-8, presidency-13)
punct(government-4, ,-14)
auxpass(committed-16, is-15)
root(ROOT-0, committed-16)
prep(committed-16, to-17)
pcomp(to-17, having-18)
det(charter-20, the-19)
nsubj(adopted-21, charter-20)
ccomp(having-18, adopted-21)
prep(adopted-21, by-22)
det(states-26, all-23)
num(states-26, 12-24)
nn(states-26, EC-25)
pobj(by-22, states-26)
prep(adopted-21, before-27)
det(end-29, the-28)
pobj(before-27, end-29)
prep(end-29, of-30)
num(bicentennial-34, 1989-31)
punct(bicentennial-34, ---32)
det(bicentennial-34, the-33)
pobj(of-30, bicentennial-34)
prep(bicentennial-34, of-35)
det(revolution-38, the-36)
amod(revolution-38, French-37)
pobj(of-35, revolution-38)
cc(revolution-38, and-39)
poss(Declaration-43, its-40)
punct(Declaration-43, ``-41)
nn(Declaration-43, Universal-42)
conj(revolution-38, Declaration-43)
prep(Declaration-43, of-44)
nn(Rights-46, Human-45)
pobj(of-44, Rights-46)
punct(committed-16, .-47)

nn(DeGol-2, Bruno-1)
nsubjpass(named-15, DeGol-2)
punct(DeGol-2, ,-3)
appos(DeGol-2, chairman-4)
prep(chairman-4, of-5)
nn(Lumber-8, DeGol-6)
nn(Lumber-8, Brothers-7)
pobj(of-5, Lumber-8)
punct(Lumber-8, ,-9)
nn(Pa.-12, Gallitzin-10)
punct(Pa.-12, ,-11)
appos(Lumber-8, Pa.-12)
punct(DeGol-2, ,-13)
auxpass(named-15, was-14)
root(ROOT-0, named-15)
det(director-17, a-16)
xcomp(named-15, director-17)
prep(director-17, of-18)
det(company-21, this-19)
amod(company-21, bank-holding-20)
pobj(of-18, company-21)
punct(named-15, ,-22)
xcomp(named-15, expanding-23)
det(board-25, the-24)
dobj(expanding-23, board-25)
prep(expanding-23, to-26)
num(members-28, 11-27)
pobj(to-26, members-28)
punct(named-15, .-29)

nn(Ramirez-2, Sam-1)
nsubj(are-6, Ramirez-2)
cc(Ramirez-2, and-3)
poss(men-5, his-4)
conj(Ramirez-2, men-5)
root(ROOT-0, are-6)
dep(are-6, late-7)
punct(are-6, .-8)

dep(pile-2, They-1)
root(ROOT-0, pile-2)
prep(pile-2, out-3)
pcomp(out-3, of-4)
poss(truck-6, their-5)
pobj(of-4, truck-6)
cc(pile-2, and-7)
advmod(begin-9, furiously-8)
conj(pile-2, begin-9)
xcomp(begin-9, twisting-10)
dep(twisting-10, together-11)
nn(pipes-13, steel-12)
dobj(twisting-10, pipes-13)
vmod(pipes-13, linking-14)
det(tank-18, a-15)
amod(tank-18, giant-16)
nn(tank-18, storage-17)
dobj(linking-14, tank-18)
prep(linking-14, to-19)
det(Sharpshooter-21, the-20)
pobj(to-19, Sharpshooter-21)
punct(Sharpshooter-21, ,-22)
det(well-27, a-23)
advmod(well-27, freshly-24)
amod(well-27, drilled-25)
nn(well-27, oil-26)
appos(Sharpshooter-21, well-27)
num(miles-29, two-28)
npadvmod(deep-30, miles-29)
amod(well-27, deep-30)
punct(pile-2, .-31)

mark(finish-3, If-1)
dep(finish-3, they-2)
advcl(pump-9, finish-3)
dep(finish-3, today-4)
punct(pump-9, ,-5)
det(Sharpshooter-7, the-6)
nsubj(pump-9, Sharpshooter-7)
aux(pump-9, can-8)
root(ROOT-0, pump-9)
dep(pump-9, tomorrow-10)
punct(pump-9, .-11)

num(roustabout-2, One-1)
nsubj(bounces-12, roustabout-2)
punct(bounces-12, ,-3)
vmod(bounces-12, hanging-4)
prep(hanging-4, by-5)
poss(hands-7, his-6)
pobj(by-5, hands-7)
prep(hanging-4, from-8)
det(ladder-10, a-9)
pobj(from-8, ladder-10)
punct(bounces-12, ,-11)
root(ROOT-0, bounces-12)
poss(weight-14, his-13)
dobj(bounces-12, weight-14)
prep(bounces-12, on-15)
det(wrench-18, a-16)
amod(wrench-18, three-foot-17)
pobj(on-15, wrench-18)
aux(loosen-20, to-19)
vmod(bounces-12, loosen-20)
det(fitting-23, a-21)
amod(fitting-23, stuck-22)
dobj(loosen-20, fitting-23)
punct(bounces-12, .-24)

punct(putting-5, ``-1)
dep(putting-5, We-2)
aux(putting-5, 've-3)
aux(putting-5, been-4)
root(ROOT-0, putting-5)
dep(putting-5, in-6)
amod(hours-8, long-7)
dobj(putting-5, hours-8)
punct(hours-8, ,-9)
punct(hours-8, ''-10)
nn(Ramirez-12, Mr.-11)
nsubj(says-13, Ramirez-12)
dep(hours-8, says-13)
punct(hours-8, ---14)
amod(weeks-16, six-day-15)
dep(hours-8, weeks-16)
cc(weeks-16, and-17)
amod(days-19, 13-hour-18)
conj(weeks-16, days-19)
prep(weeks-16, for-20)
det(months-24, the-21)
amod(months-24, last-22)
num(months-24, two-23)
pobj(for-20, months-24)
punct(putting-5, .-25)

det(year-2, A-1)
npadvmod(ago-3, year-2)
advmod(spend-18, ago-3)
punct(spend-18, ,-4)
advmod(happening-9, when-5)
advmod(nothing-7, almost-6)
nsubj(happening-9, nothing-7)
aux(happening-9, was-8)
dep(spend-18, happening-9)
prep(happening-9, amid-10)
det(dunes-13, these-11)
amod(dunes-13, desolate-12)
pobj(amid-10, dunes-13)
punct(spend-18, ,-14)
punct(spend-18, ``-15)
dep(spend-18, you-16)
aux(spend-18, 'd-17)
ccomp(recalls-31, spend-18)
num(days-20, two-19)
tmod(spend-18, days-20)
dep(spend-18, working-21)
cc(spend-18, and-22)
num(days-24, two-23)
conj(spend-18, days-24)
prep(days-24, in-25)
det(yard-27, the-26)
pobj(in-25, yard-27)
punct(recalls-31, ,-28)
punct(recalls-31, ''-29)
dep(recalls-31, he-30)
root(ROOT-0, recalls-31)
punct(recalls-31, .-32)

prep(leaving-20, After-1)
det(nightmare-4, a-2)
amod(nightmare-4, three-year-3)
pobj(After-1, nightmare-4)
prep(nightmare-4, of-5)
amod(prices-8, uncertain-6)
nn(prices-8, oil-7)
pobj(of-5, prices-8)
punct(prices-8, ,-9)
amod(cuts-12, draconian-10)
nn(cuts-12, budget-11)
conj(prices-8, cuts-12)
cc(prices-8, and-13)
amod(layoffs-15, sweeping-14)
conj(prices-8, layoffs-15)
punct(leaving-20, ,-16)
dep(leaving-20, fear-17)
aux(leaving-20, is-18)
advmod(leaving-20, finally-19)
root(ROOT-0, leaving-20)
det(patch-23, the-21)
nn(patch-23, oil-22)
dobj(leaving-20, patch-23)
punct(leaving-20, .-24)

amod(drillers-2, Independent-1)
nsubj(sinking-5, drillers-2)
aux(sinking-5, are-3)
advmod(sinking-5, gingerly-4)
root(ROOT-0, sinking-5)
dep(sinking-5, bits-6)
prep(sinking-5, into-7)
det(Earth-9, the-8)
poss(crust-11, Earth-9)
possessive(Earth-9, 's-10)
pobj(into-7, crust-11)
advmod(sinking-5, again-12)
punct(sinking-5, .-13)

nsubj(easing-6, Some-1)
prep(Some-1, in-2)
amod(Oil-4, Big-3)
pobj(in-2, Oil-4)
aux(easing-6, are-5)
root(ROOT-0, easing-6)
det(grip-8, the-7)
dobj(easing-6, grip-8)
prep(grip-8, on-9)
poss(wallets-11, their-10)
pobj(on-9, wallets-11)
punct(easing-6, .-12)

nn(capital-2, Investment-1)
nsubj(creeping-4, capital-2)
aux(creeping-4, is-3)
root(ROOT-0, creeping-4)
advmod(creeping-4, back-5)
punct(creeping-4, ,-6)
cc(creeping-4, and-7)
nn(properties-9, oil-8)
nsubj(fetching-11, properties-9)
aux(fetching-11, are-10)
conj(creeping-4, fetching-11)
dep(fetching-11, more-12)
punct(creeping-4, .-13)

nn(prices-2, Oil-tool-1)
nsubj(edging-5, prices-2)
aux(edging-5, are-3)
advmod(edging-5, even-4)
root(ROOT-0, edging-5)
dep(edging-5, up-6)
punct(edging-5, .-7)

dep(happened-2, What-1)
root(ROOT-0, happened-2)
punct(happened-2, ?-3)

prep(settled-8, In-1)
amod(terms-3, broadest-2)
pobj(In-1, terms-3)
punct(settled-8, ,-4)
dep(settled-8, stability-5)
aux(settled-8, has-6)
advmod(settled-8, quietly-7)
root(ROOT-0, settled-8)
prep(settled-8, into-9)
amod(markets-12, international-10)
nn(markets-12, oil-11)
pobj(into-9, markets-12)
punct(settled-8, .-13)

nn(politics-2, Mideast-1)
nsubj(calmed-4, politics-2)
aux(calmed-4, have-3)
root(ROOT-0, calmed-4)
dep(calmed-4, down-5)
cc(calmed-4, and-6)
det(squabbling-8, the-7)
nsubj(seems-16, squabbling-8)
prep(squabbling-8, within-9)
det(Organization-11, the-10)
pobj(within-9, Organization-11)
prep(Organization-11, of-12)
nn(Countries-15, Petroleum-13)
nn(Countries-15, Exporting-14)
pobj(of-12, Countries-15)
conj(calmed-4, seems-16)
prep(seems-16, under-17)
dep(under-17, control-18)
prep(seems-16, for-19)
dep(for-19, now-20)
punct(calmed-4, .-21)

punct(setting-11, ``-1)
det(fundamentals-3, The-2)
nsubj(setting-11, fundamentals-3)
prep(fundamentals-3, of-4)
pobj(of-4, supply-5)
cc(supply-5, and-6)
conj(supply-5, demand-7)
advmod(again-9, once-8)
advmod(setting-11, again-9)
aux(setting-11, are-10)
dep(says-16, setting-11)
nn(prices-13, oil-12)
dobj(setting-11, prices-13)
punct(setting-11, ,-14)
punct(setting-11, ''-15)
root(ROOT-0, says-16)
nn(Burk-18, Victor-17)
nsubj(says-16, Burk-18)
punct(Burk-18, ,-19)
det(Andersen-22, an-20)
nn(Andersen-22, Arthur-21)
appos(Burk-18, Andersen-22)
cc(Andersen-22, &-23)
nn(expert-26, Co.-24)
nn(expert-26, oil-25)
conj(Andersen-22, expert-26)
punct(says-16, .-27)

prep(settled-15, After-1)
pobj(After-1, years-2)
prep(years-2, of-3)
amod(swings-5, wild-4)
pobj(of-3, swings-5)
punct(settled-15, ,-6)
nn(prices-8, oil-7)
nsubj(settled-15, prices-8)
prep(settled-15, over-9)
det(months-13, the-10)
amod(months-13, last-11)
num(months-13, 12-12)
pobj(over-9, months-13)
aux(settled-15, have-14)
root(ROOT-0, settled-15)
prep(settled-15, at-16)
quantmod($-21, around-17)
dep($-21, $-18)
number($-21, 15-19)
dep($-21, to-20)
pobj(at-16, $-21)
num($-21, 20-22)
det(barrel-24, a-23)
dep($-21, barrel-24)
punct(settled-15, .-25)

dep($-5, That-1)
cop($-5, is-2)
neg($-5, n't-3)
det($-5, the-4)
root(ROOT-0, $-5)
num($-5, 40-6)
dep(delighted-8, that-7)
dep($-5, delighted-8)
dep(delighted-8, producers-9)
det(decade-11, a-10)
npadvmod(ago-12, decade-11)
advmod(delighted-8, ago-12)
cc($-5, or-13)
det($-15, the-14)
conj($-5, $-15)
num($-15, 10-16)
dep(pleased-18, that-17)
dep($-15, pleased-18)
dep(pleased-18, users-19)
det(year-21, a-20)
npadvmod(ago-22, year-21)
advmod(pleased-18, ago-22)
punct($-5, .-23)

cc(high-4, But-1)
dep(high-4, it-2)
cop(high-4, is-3)
root(ROOT-0, high-4)
advmod(high-4, enough-5)
aux(prod-7, to-6)
xcomp(high-4, prod-7)
det(search-9, the-8)
dobj(prod-7, search-9)
prep(search-9, for-10)
amod(supplies-12, future-11)
pobj(for-10, supplies-12)
punct(high-4, ,-13)
advmod(enough-15, low-14)
conj(high-4, enough-15)
aux(promote-17, to-16)
xcomp(enough-15, promote-17)
dep(promote-17, consumption-18)
cc(high-4, and-19)
punct(important-22, ,-20)
advmod(important-22, most-21)
dep(steady-24, important-22)
punct(important-22, ,-23)
conj(high-4, steady-24)
advmod(steady-24, enough-25)
mark(believe-32, for-26)
preconj(producers-28, both-27)
nsubj(believe-32, producers-28)
cc(producers-28, and-29)
conj(producers-28, users-30)
aux(believe-32, to-31)
ccomp(steady-24, believe-32)
prep(believe-32, in-33)
punct(high-4, .-34)

dep(thing-8, Not-1)
mark(thing-8, that-2)
dep(thing-8, oil-3)
advmod(thing-8, suddenly-4)
cop(thing-8, is-5)
det(thing-8, a-6)
amod(thing-8, sure-7)
root(ROOT-0, thing-8)
advmod(thing-8, again-9)
punct(thing-8, .-10)

det(equilibrium-3, The-1)
amod(equilibrium-3, current-2)
nsubj(is-4, equilibrium-3)
root(ROOT-0, is-4)
dep(is-4, fragile-5)
cc(is-4, and-6)
conj(is-4, depends-7)
prep(depends-7, on-8)
amod(demand-12, steady-9)
punct(demand-12, ,-10)
amod(demand-12, strong-11)
pobj(on-8, demand-12)
cc(demand-12, and-13)
amod(harmony-16, continued-14)
amod(harmony-16, relative-15)
conj(demand-12, harmony-16)
prep(harmony-16, within-17)
pobj(within-17, OPEC-18)
punct(OPEC-18, ,-19)
dep(OPEC-18, producer-20)
prep(producer-20, of-21)
mwe(than-23, more-22)
quantmod(40-24, than-23)
num(%-25, 40-24)
pobj(of-21, %-25)
prep(%-25, of-26)
det(world-29, the-27)
amod(world-29, non-Communist-28)
poss(crude-31, world-29)
possessive(world-29, 's-30)
pobj(of-26, crude-31)
punct(is-4, .-32)

det(recession-2, A-1)
nsubj(put-8, recession-2)
cc(recession-2, or-3)
amod(blowup-6, new-4)
nn(blowup-6, OPEC-5)
conj(recession-2, blowup-6)
aux(put-8, could-7)
root(ROOT-0, put-8)
nn(markets-10, oil-9)
dobj(put-8, markets-10)
advmod(back-12, right-11)
advmod(put-8, back-12)
prep(back-12, in-13)
det(soup-15, the-14)
pobj(in-13, soup-15)
punct(put-8, .-16)

advmod(are-6, Also-1)
punct(are-6, ,-2)
det(stirrings-5, the-3)
amod(stirrings-5, new-4)
nsubj(are-6, stirrings-5)
root(ROOT-0, are-6)
dep(are-6, faint-7)
punct(are-6, ,-8)
cc(are-6, and-9)
dep(question-11, some-10)
conj(are-6, question-11)
poss(extent-13, their-12)
dobj(question-11, extent-13)
punct(are-6, .-14)

nn(activity-2, Drilling-1)
nsubj(is-3, activity-2)
root(ROOT-0, is-3)
advmod(is-3, still-4)
advmod(below-6, far-5)
prep(is-3, below-6)
num(years-8, eight-7)
pobj(below-6, years-8)
advmod(years-8, ago-9)
punct(is-3, ,-10)
dep('s-12, there-11)
conj(is-3, 's-12)
neg(surge-15, no-13)
nn(surge-15, hiring-14)
dep('s-12, surge-15)
cc(is-3, and-16)
det(companies-18, some-17)
nsubj(continue-19, companies-18)
conj(is-3, continue-19)
xcomp(continue-19, to-20)
dep(to-20, shrink-21)
punct(is-3, .-22)

prep(agree-11, With-1)
predet(this-3, all-2)
pobj(With-1, this-3)
punct(agree-11, ,-4)
advmod(men-10, even-5)
det(men-10, the-6)
advmod(wary-8, most-7)
amod(men-10, wary-8)
nn(men-10, oil-9)
nsubj(agree-11, men-10)
root(ROOT-0, agree-11)
dep(changed-14, something-12)
dep(changed-14, has-13)
ccomp(agree-11, changed-14)
punct(agree-11, .-15)

punct(appear-5, ``-1)
dep(appear-5, It-2)
aux(appear-5, does-3)
neg(appear-5, n't-4)
root(ROOT-0, appear-5)
aux(getting-8, to-6)
aux(getting-8, be-7)
xcomp(appear-5, getting-8)
advmod(getting-8, worse-9)
punct(appear-5, .-10)

nsubj(got-5, That-1)
prep(That-1, in-2)
dep(in-2, itself-3)
aux(got-5, has-4)
dep(says-17, got-5)
aux(cause-7, to-6)
xcomp(got-5, cause-7)
dep(feel-10, people-8)
aux(feel-10, to-9)
xcomp(cause-7, feel-10)
det(little-12, a-11)
npadvmod(more-13, little-12)
advmod(optimistic-14, more-13)
acomp(feel-10, optimistic-14)
punct(got-5, ,-15)
punct(got-5, ''-16)
root(ROOT-0, says-17)
nn(Cox-19, Glenn-18)
nsubj(says-17, Cox-19)
punct(Cox-19, ,-20)
det(president-22, the-21)
appos(Cox-19, president-22)
prep(president-22, of-23)
nn(Co-26, Phillips-24)
nn(Co-26, Petroleum-25)
pobj(of-23, Co-26)
punct(says-17, .-27)

mark(modest-2, Though-1)
advcl(reaches-6, modest-2)
punct(reaches-6, ,-3)
det(change-5, the-4)
nsubj(reaches-6, change-5)
root(ROOT-0, reaches-6)
prep(reaches-6, beyond-7)
det(patch-10, the-8)
nn(patch-10, oil-9)
pobj(beyond-7, patch-10)
punct(reaches-6, ,-11)
advmod(reaches-6, too-12)
punct(reaches-6, .-13)

det(prices-4, The-1)
amod(prices-4, same-2)
nn(prices-4, roller-coaster-3)
nsubj(played-23, prices-4)
dep(halted-6, that-5)
dep(prices-4, halted-6)
nn(exploration-9, U.S.-7)
nn(exploration-9, oil-8)
dobj(halted-6, exploration-9)
cc(halted-6, and-10)
conj(halted-6, drove-11)
amod(men-15, many-12)
amod(men-15, veteran-13)
nn(men-15, oil-14)
dep(drove-11, men-15)
cc(men-15, and-16)
conj(men-15, companies-17)
dep(men-15, out-18)
pcomp(out-18, of-19)
det(business-21, the-20)
pobj(of-19, business-21)
advmod(played-23, also-22)
root(ROOT-0, played-23)
dep(played-23, havoc-24)
prep(played-23, with-25)
det(nation-27, the-26)
poss(rate-30, nation-27)
possessive(nation-27, 's-28)
nn(rate-30, inflation-29)
pobj(with-25, rate-30)
punct(rate-30, ,-31)
det(deficit-34, the-32)
nn(deficit-34, trade-33)
conj(rate-30, deficit-34)
cc(rate-30, and-35)
nn(users-37, oil-36)
npadvmod(corporate-39, users-37)
possessive(users-37, '-38)
conj(rate-30, corporate-39)
cc(corporate-39, and-40)
amod(budgets-42, personal-41)
conj(corporate-39, budgets-42)
punct(played-23, .-43)

advmod(returned-8, Now-1)
punct(returned-8, ,-2)
prep(returned-8, at-3)
mwe(at-3, least-4)
det(predictability-6, some-5)
nsubj(returned-8, predictability-6)
dep(returned-8, has-7)
root(ROOT-0, returned-8)
punct(returned-8, ,-9)
prep(returned-8, for-10)
pobj(for-10, everyone-11)
prep(everyone-11, from-12)
dep(from-12, economists-13)
prep(from-12, to-14)
dep(to-14, motorists-15)
punct(returned-8, .-16)

amod(planners-2, Corporate-1)
nsubj(plan-4, planners-2)
aux(plan-4, can-3)
root(ROOT-0, plan-4)
advmod(plan-4, again-5)
punct(plan-4, .-6)

punct(want-5, ``-1)
dep(want-5, Management-2)
aux(want-5, does-3)
neg(want-5, n't-4)
dep(notes-9, want-5)
dep(want-5, surprises-6)
punct(want-5, ,-7)
punct(want-5, ''-8)
root(ROOT-0, notes-9)
nn(Zaves-11, Jack-10)
nsubj(notes-9, Zaves-11)
punct(Zaves-11, ,-12)
dep(buys-22, who-13)
punct(buys-22, ,-14)
prep(buys-22, as-15)
nn(director-17, fuel-services-16)
pobj(as-15, director-17)
prep(director-17, at-18)
nn(Airlines-20, American-19)
pobj(at-18, Airlines-20)
punct(buys-22, ,-21)
dep(Zaves-11, buys-22)
quantmod(billion-25, some-23)
number(billion-25, 2.4-24)
num(gallons-26, billion-25)
dobj(buys-22, gallons-26)
prep(gallons-26, of-27)
nn(fuel-29, jet-28)
pobj(of-27, fuel-29)
det(year-31, a-30)
dep(gallons-26, year-31)
punct(notes-9, .-32)

dep(unstable-5, Prices-1)
aux(unstable-5, had-2)
cop(unstable-5, been-3)
advmod(unstable-5, so-4)
root(ROOT-0, unstable-5)
mark(gave-12, that-6)
num(years-8, two-7)
tmod(gave-12, years-8)
advmod(years-8, ago-9)
nn(Zaves-11, Mr.-10)
nsubj(gave-12, Zaves-11)
ccomp(unstable-5, gave-12)
dep(gave-12, up-13)
prep(gave-12, on-14)
amod(forecasts-16, long-term-15)
pobj(on-14, forecasts-16)
punct(unstable-5, .-17)

cc(be-5, And-1)
dep(be-5, consumers-2)
punct(be-5, ``-3)
aux(be-5, should-4)
dep(adds-9, be-5)
dep(be-5, comfortable-6)
punct(be-5, ,-7)
punct(be-5, ''-8)
root(ROOT-0, adds-9)
nn(Moore-12, W.-10)
nn(Moore-12, Henson-11)
nsubj(adds-9, Moore-12)
punct(Moore-12, ,-13)
nn(secretary-16, U.S.-14)
nn(secretary-16, deputy-15)
appos(Moore-12, secretary-16)
prep(secretary-16, of-17)
dep(of-17, energy-18)
punct(adds-9, .-19)

punct(see-5, ``-1)
dep(see-5, I-2)
aux(see-5, do-3)
neg(see-5, n't-4)
root(ROOT-0, see-5)
dobj(see-5, anything-6)
prep(anything-6, on-7)
det(horizon-9, the-8)
pobj(on-7, horizon-9)
dep(lead-12, that-10)
aux(lead-12, could-11)
ccomp(anything-6, lead-12)
prep(lead-12, to-13)
det(rise-16, a-14)
amod(rise-16, precipitous-15)
pobj(to-13, rise-16)
prep(rise-16, in-17)
det(price-19, the-18)
pobj(in-17, price-19)
punct(see-5, .-20)
punct(see-5, ''-21)

det(catalyst-2, The-1)
nsubj(been-7, catalyst-2)
prep(catalyst-2, for-3)
predet(this-5, all-4)
pobj(for-3, this-5)
aux(been-7, has-6)
root(ROOT-0, been-7)
dep(been-7, OPEC-8)
punct(been-7, .-9)

amod(year-3, About-1)
det(year-3, a-2)
npadvmod(ago-4, year-3)
advmod(ended-7, ago-4)
punct(ended-7, ,-5)
dep(ended-7, it-6)
root(ROOT-0, ended-7)
det(war-14, an-8)
amod(war-14, on-again-9)
punct(war-14, ,-10)
amod(war-14, off-again-11)
amod(war-14, internal-12)
nn(war-14, production-13)
dobj(ended-7, war-14)
dep(put-17, that-15)
aux(put-17, had-16)
dep(war-14, put-17)
dep(put-17, prices-18)
prep(put-17, on-19)
det(coaster-22, a-20)
nn(coaster-22, roller-21)
pobj(on-19, coaster-22)
cc(put-17, and-23)
conj(put-17, pitched-24)
nn(towns-26, oil-25)
dobj(pitched-24, towns-26)
prep(towns-26, from-27)
dep(from-27, Houston-28)
prep(from-27, to-29)
dep(to-29, Caracas-30)
prep(pitched-24, into-31)
dep(into-31, recession-32)
punct(ended-7, .-33)

nn(Arabia-2, Saudi-1)
nsubj(abandoned-8, Arabia-2)
punct(Arabia-2, ,-3)
poss(kingpin-6, OPEC-4)
possessive(OPEC-4, 's-5)
appos(Arabia-2, kingpin-6)
punct(Arabia-2, ,-7)
root(ROOT-0, abandoned-8)
det(policy-10, a-9)
dobj(abandoned-8, policy-10)
prep(policy-10, of-11)
pcomp(of-11, flooding-12)
det(market-14, the-13)
dobj(flooding-12, market-14)
aux(punish-16, to-15)
vmod(flooding-12, punish-16)
dep(punish-16, quota-cheaters-17)
punct(abandoned-8, .-18)

dep(war-8, About-1)
det(time-4, the-2)
amod(time-4, same-3)
pobj(About-1, time-4)
punct(war-8, ,-5)
det(war-8, the-6)
nn(war-8, Iran-Iraq-7)
root(ROOT-0, war-8)
punct(war-8, ,-9)
dep(roiling-12, which-10)
aux(roiling-12, was-11)
dep(war-8, roiling-12)
nn(markets-14, oil-13)
dobj(roiling-12, markets-14)
punct(war-8, ,-15)
dep(war-8, ended-16)
punct(war-8, .-17)

prep(been-8, In-1)
dep(In-1, addition-2)
punct(been-8, ,-3)
amod(demand-6, global-4)
nn(demand-6, petroleum-5)
nsubj(been-8, demand-6)
aux(been-8, has-7)
root(ROOT-0, been-8)
dep(been-8, climbing-9)
punct(been-8, .-10)

dep(projected-3, It-1)
auxpass(projected-3, is-2)
root(ROOT-0, projected-3)
aux(keep-5, to-4)
xcomp(projected-3, keep-5)
xcomp(keep-5, growing-6)
prep(growing-6, by-7)
det(barrels-10, a-8)
num(barrels-10, million-9)
pobj(by-7, barrels-10)
det(day-12, a-11)
dep(barrels-10, day-12)
punct(barrels-10, ,-13)
cc(barrels-10, or-14)
quantmod(2-17, up-15)
dep(2-17, to-16)
num(%-18, 2-17)
conj(barrels-10, %-18)
advmod(%-18, annually-19)
punct(growing-6, ,-20)
prep(growing-6, for-21)
pobj(for-21, years-22)
vmod(years-22, to-23)
dep(to-23, come-24)
punct(projected-3, .-25)

prep('s-5, For-1)
dep(For-1, OPEC-2)
punct('s-5, ,-3)
dep('s-5, that-4)
root(ROOT-0, 's-5)
dep('s-5, ideal-6)
punct('s-5, .-7)

det(prices-4, The-1)
amod(prices-4, resulting-2)
amod(prices-4, firm-3)
nsubj(allow-9, prices-4)
cc(prices-4, and-5)
conj(prices-4, stability-6)
punct(allow-9, ``-7)
aux(allow-9, will-8)
dep(says-19, allow-9)
preconj(producers-11, both-10)
dobj(allow-9, producers-11)
cc(producers-11, and-12)
conj(producers-11, consumers-13)
aux(plan-15, to-14)
xcomp(allow-9, plan-15)
advmod(plan-15, confidently-16)
punct(allow-9, ,-17)
punct(allow-9, ''-18)
root(ROOT-0, says-19)
nn(Nazer-25, Saudi-20)
nn(Nazer-25, Arabian-21)
nn(Nazer-25, Oil-22)
nn(Nazer-25, Minister-23)
nn(Nazer-25, Hisham-24)
nsubj(says-19, Nazer-25)
punct(says-19, .-26)

nn(Subroto-3, OPEC-1)
nn(Subroto-3, Secretary-General-2)
nsubj(explains-4, Subroto-3)
root(ROOT-0, explains-4)
punct(explains-4, :-5)
dep(offer-7, Consumers-6)
ccomp(explains-4, offer-7)
dobj(offer-7, security-8)
prep(security-8, of-9)
dep(of-9, markets-10)
punct(offer-7, ,-11)
mark(provides-14, while-12)
dep(provides-14, OPEC-13)
advcl(offer-7, provides-14)
dobj(provides-14, security-15)
prep(security-15, of-16)
dep(of-16, supply-17)
punct(explains-4, .-18)

punct(time-6, ``-1)
dep(time-6, This-2)
cop(time-6, is-3)
det(time-6, an-4)
amod(time-6, opportune-5)
csubj(says-23, time-6)
aux(find-8, to-7)
vmod(time-6, find-8)
amod(ways-10, mutual-9)
dobj(find-8, ways-10)
punct(prevent-13, -LCB--11)
aux(prevent-13, to-12)
vmod(ways-10, prevent-13)
punct(prevent-13, -RCB--14)
nn(shocks-16, price-15)
dobj(prevent-13, shocks-16)
prep(prevent-13, from-17)
pcomp(from-17, happening-18)
advmod(happening-18, again-19)
punct(time-6, ,-20)
punct(time-6, ''-21)
dep(says-23, he-22)
root(ROOT-0, says-23)
punct(says-23, .-24)

aux(promote-2, To-1)
dep(confronting-10, promote-2)
det(balance-4, this-3)
dobj(promote-2, balance-4)
punct(confronting-10, ,-5)
dep(confronting-10, OPEC-6)
advmod(confronting-10, now-7)
aux(confronting-10, is-8)
advmod(confronting-10, finally-9)
root(ROOT-0, confronting-10)
det(problem-14, a-11)
amod(problem-14, long-simmering-12)
amod(problem-14, internal-13)
dobj(confronting-10, problem-14)
punct(confronting-10, .-15)

prep(try-8, At-1)
poss(meeting-4, its-2)
nn(meeting-4, November-3)
pobj(At-1, meeting-4)
punct(try-8, ,-5)
dep(try-8, it-6)
aux(try-8, will-7)
root(ROOT-0, try-8)
aux(revise-10, to-9)
xcomp(try-8, revise-10)
poss(quotas-12, its-11)
dobj(revise-10, quotas-12)
aux(satisfy-14, to-13)
vmod(revise-10, satisfy-14)
nn(members-17, Persian-15)
nn(members-17, Gulf-16)
dobj(satisfy-14, members-17)
dep(produce-20, that-18)
aux(produce-20, can-19)
dep(members-17, produce-20)
advmod(more-22, far-21)
amod(oil-23, more-22)
dobj(produce-20, oil-23)
prep(oil-23, than-24)
poss(allotments-26, their-25)
pobj(than-24, allotments-26)
punct(try-8, .-27)

auxpass(held-2, Being-1)
csubj(irritates-7, held-2)
advmod(below-4, well-3)
prep(held-2, below-4)
dep(below-4, capacity-5)
advmod(irritates-7, greatly-6)
root(ROOT-0, irritates-7)
dep(irritates-7, them-8)
punct(irritates-7, ,-9)
cc(irritates-7, and-10)
aux(led-12, has-11)
conj(irritates-7, led-12)
prep(led-12, to-13)
amod(cheating-15, widespread-14)
pobj(to-13, cheating-15)
punct(irritates-7, .-16)

dep(raised-4, OPEC-1)
aux(raised-4, has-2)
advmod(raised-4, repeatedly-3)
root(ROOT-0, raised-4)
poss(ceiling-8, its-5)
amod(ceiling-8, self-imposed-6)
nn(ceiling-8, production-7)
dobj(raised-4, ceiling-8)
aux(legitimize-10, to-9)
