nsubjpass(expected-7, Confidence-1)
prep(selected-7, by-8)
dep(by-8, users-9)
punct(display-4, .-10)

nsubjpass(rumored-9, Lotus-1)
punct(Lotus-1, ,-2)
nn(Mass.-5, Cambridge-3)
punct(Mass.-5, ,-4)
dep(Lotus-1, Mass.-5)
punct(Lotus-1, ,-6)
aux(rumored-9, has-7)
auxpass(rumored-9, been-8)
root(ROOT-0, rumored-9)
aux(have-11, to-10)
xcomp(rumored-9, have-11)
det(sale-13, the-12)
dobj(have-11, sale-13)
prep(sale-13, of-14)
det(unit-17, the-15)
amod(unit-17, four-year-old-16)
pobj(of-14, unit-17)
prep(have-11, under-18)
dep(under-18, consideration-19)
prep(have-11, for-20)
det(year-22, a-21)
pobj(for-20, year-22)
punct(rumored-9, .-23)

det(business-2, The-1)
nsubjpass(related-5, business-2)
auxpass(related-5, is-3)
neg(related-5, n't-4)
root(ROOT-0, related-5)
prep(related-5, to-6)
poss(businesses-10, Lotus-7)
possessive(Lotus-7, 's-8)
amod(businesses-10, main-9)
pobj(to-6, businesses-10)
prep(businesses-10, of-11)
pcomp(of-11, making-12)
nn(software-14, computer-13)
dobj(making-12, software-14)
cc(making-12, and-15)
conj(making-12, publishing-16)
dep(publishing-16, information-17)
prep(publishing-16, on-18)
amod(disks-20, compact-19)
pobj(on-18, disks-20)
punct(related-5, .-21)

punct(says-8, ``-1)
dep(submit-3, Please-2)
ccomp(says-8, submit-3)
poss(offers-5, your-4)
dobj(submit-3, offers-5)
punct(says-8, ,-6)
punct(says-8, ''-7)
root(ROOT-0, says-8)
nn(Jr-11, Felipe-9)
nn(Jr-11, Bince-10)
nsubj(says-8, Jr-11)
punct(says-8, .-12)

dep(surveys-2, He-1)
root(ROOT-0, surveys-2)
det(investors-5, the-3)
amod(investors-5, prospective-4)
dobj(surveys-2, investors-5)
vmod(investors-5, gathered-6)
prep(gathered-6, in-7)
det(room-10, the-8)
nn(room-10, board-9)
pobj(in-7, room-10)
prep(room-10, of-11)
det(government-14, the-12)
amod(government-14, Philippine-13)
poss(Trust-18, government-14)
possessive(government-14, 's-15)
nn(Trust-18, Asset-16)
nn(Trust-18, Privatization-17)
pobj(of-11, Trust-18)
prep(gathered-6, for-19)
det(sale-21, the-20)
pobj(for-19, sale-21)
prep(sale-21, of-22)
det(interest-26, a-23)
number(%-25, 36-24)
amod(interest-26, %-25)
pobj(of-22, interest-26)
prep(interest-26, in-27)
det(country-29, the-28)
poss(mill-33, country-29)
possessive(country-29, 's-30)
amod(mill-33, largest-31)
nn(mill-33, paper-32)
pobj(in-27, mill-33)
punct(surveys-2, .-34)

det(agency-2, The-1)
nsubj(expects-3, agency-2)
root(ROOT-0, expects-3)
det(bids-5, the-4)
dobj(expects-3, bids-5)
aux(equivalent-8, to-6)
cop(equivalent-8, be-7)
xcomp(expects-3, equivalent-8)
prep(equivalent-8, of-9)
quantmod($-12, more-10)
quantmod($-12, than-11)
pobj(of-9, $-12)
number(million-14, 80-13)
num($-12, million-14)
punct(expects-3, .-15)

quantmod(a-2, Not-1)
num(peso-3, a-2)
nsubjpass(offered-5, peso-3)
auxpass(offered-5, is-4)
root(ROOT-0, offered-5)
punct(offered-5, .-6)

nn(Bince-2, Mr.-1)
nsubj(declares-11, Bince-2)
punct(Bince-2, ,-3)
det(trust-5, the-4)
poss(trustee-9, trust-5)
possessive(trust-5, 's-6)
amod(trustee-9, associate-7)
amod(trustee-9, executive-8)
appos(Bince-2, trustee-9)
punct(declares-11, ,-10)
root(ROOT-0, declares-11)
det(bidding-13, the-12)
nsubj(failure-15, bidding-13)
det(failure-15, a-14)
xcomp(declares-11, failure-15)
punct(declares-11, .-16)

punct(mutters-11, ``-1)
nsubj(getting-4, It-2)
aux(getting-4, 's-3)
ccomp(mutters-11, getting-4)
advmod(getting-4, harder-5)
xcomp(getting-4, to-6)
dep(to-6, sell-7)
punct(mutters-11, ,-8)
punct(mutters-11, ''-9)
dep(mutters-11, he-10)
root(ROOT-0, mutters-11)
mark(leaves-14, as-12)
dep(leaves-14, he-13)
advcl(mutters-11, leaves-14)
det(room-16, the-15)
dobj(leaves-14, room-16)
punct(mutters-11, .-17)

dep(failed-7, Indeed-1)
punct(failed-7, .-2)
advmod(failed-7, Recently-3)
punct(failed-7, ,-4)
det(trust-6, the-5)
nsubj(failed-7, trust-6)
root(ROOT-0, failed-7)
aux(auction-9, to-8)
xcomp(failed-7, auction-9)
dep(auction-9, off-10)
det(mill-13, the-11)
nn(mill-13, paper-12)
dobj(auction-9, mill-13)
punct(mill-13, ,-14)
det(bank-16, a-15)
conj(mill-13, bank-16)
punct(mill-13, ,-17)
det(building-20, an-18)
nn(building-20, office-19)
conj(mill-13, building-20)
cc(mill-13, and-21)
det(plant-25, a-22)
amod(plant-25, small-23)
amod(plant-25, cotton-ginning-24)
conj(mill-13, plant-25)
punct(failed-7, .-26)

prep(drew-11, Of-1)
det(four-3, the-2)
pobj(Of-1, four-3)
punct(drew-11, ,-4)
advmod(bank-7, only-5)
det(bank-7, the-6)
nsubj(drew-11, bank-7)
cc(bank-7, and-8)
det(plant-10, the-9)
conj(bank-7, plant-10)
root(ROOT-0, drew-11)
dobj(drew-11, bids-12)
punct(bids-12, ---13)
dep(bids-12, one-14)
advmod(one-14, apiece-15)
punct(drew-11, .-16)

prep(vowed-8, In-1)
pobj(In-1, October-2)
num(October-2, 1987-3)
punct(vowed-8, ,-4)
nn(Aquino-7, President-5)
nn(Aquino-7, Corazon-6)
nsubj(vowed-8, Aquino-7)
root(ROOT-0, vowed-8)
mark(get-14, that-9)
poss(government-11, her-10)
nsubj(get-14, government-11)
aux(get-14, would-12)
punct(get-14, ``-13)
ccomp(vowed-8, get-14)
advmod(get-14, out-15)
prep(out-15, of-16)
dep(of-16, business-17)
punct(get-14, ''-18)
prep(get-14, by-19)
pcomp(by-19, selling-20)
dobj(selling-20, all-21)
cc(all-21, or-22)
conj(all-21, part-23)
prep(all-21, of-24)
det(state-26, the-25)
poss(holdings-28, state-26)
possessive(state-26, 's-27)
pobj(of-24, holdings-28)
prep(holdings-28, in-29)
det(companies-32, the-30)
amod(companies-32, many-31)
pobj(in-29, companies-32)
vmod(companies-32, taken-33)
dep(taken-33, over-34)
prep(taken-33, by-35)
det(government-37, the-36)
pobj(by-35, government-37)
prep(taken-33, during-38)
det(rule-41, the-39)
amod(rule-41, 20-year-40)
pobj(during-38, rule-41)
prep(rule-41, of-42)
nn(Marcos-44, Ferdinand-43)
pobj(of-42, Marcos-44)
punct(vowed-8, .-45)

num(years-2, Two-1)
npadvmod(later-3, years-2)
advmod(remains-9, later-3)
punct(remains-9, ,-4)
nn(Aquino-6, Mrs.-5)
poss(promise-8, Aquino-6)
possessive(Aquino-6, 's-7)
nsubj(remains-9, promise-8)
root(ROOT-0, remains-9)
advmod(unfulfilled-11, largely-10)
acomp(remains-9, unfulfilled-11)
punct(remains-9, .-12)

dep(month-5, October-1)
cop(month-5, is-2)
det(month-5, a-3)
amod(month-5, critical-4)
root(ROOT-0, month-5)
prep(month-5, for-6)
det(program-9, the-7)
nn(program-9, privatization-8)
pobj(for-6, program-9)
punct(month-5, .-10)

dep(offering-3, Manila-1)
aux(offering-3, is-2)
root(ROOT-0, offering-3)
amod(assets-6, several-4)
amod(assets-6, major-5)
dobj(offering-3, assets-6)
prep(offering-3, for-7)
det(time-10, the-8)
amod(time-10, first-9)
pobj(for-7, time-10)
cc(offering-3, and-11)
aux(trying-13, is-12)
conj(offering-3, trying-13)
aux(conclude-15, to-14)
xcomp(trying-13, conclude-15)
dobj(conclude-15, sales-16)
advmod(arranged-18, already-17)
dep(sales-16, arranged-18)
punct(offering-3, .-19)

prep(scheduled-7, In-1)
dep(In-1, addition-2)
punct(scheduled-7, ,-3)
det(government-5, the-4)
nsubjpass(scheduled-7, government-5)
auxpass(scheduled-7, is-6)
root(ROOT-0, scheduled-7)
aux(unveil-9, to-8)
xcomp(scheduled-7, unveil-9)
dobj(unveil-9, plans-10)
prep(plans-10, for-11)
dep(effort-21, privatizing-12)
nn(Airlines-14, Philippine-13)
dobj(privatizing-12, Airlines-14)
punct(Airlines-14, ,-15)
det(carrier-18, the-16)
amod(carrier-18, national-17)
appos(Airlines-14, carrier-18)
punct(effort-21, ,-19)
det(effort-21, an-20)
pobj(for-11, effort-21)
mark(calls-29, that-22)
nn(Romero-28, lawyer-23)
cc(lawyer-23, and-24)
conj(lawyer-23, business-25)
nn(Romero-28, columnist-26)
nn(Romero-28, Rodolfo-27)
nsubj(calls-29, Romero-28)
rcmod(effort-21, calls-29)
punct(bellwether-32, ``-30)
det(bellwether-32, the-31)
dep(calls-29, bellwether-32)
prep(bellwether-32, of-33)
dep(of-33, privatization-34)
punct(scheduled-7, .-35)
punct(scheduled-7, ''-36)

dep(told-2, All-1)
ccomp(are-5, told-2)
punct(are-5, ,-3)
dep(are-5, there-4)
root(ROOT-0, are-5)
dep(are-5, assets-6)
prep(assets-6, on-7)
det(line-9, the-8)
pobj(on-7, line-9)
vmod(assets-6, valued-10)
prep(valued-10, at-11)
quantmod($-14, up-12)
dep($-14, to-13)
pobj(at-11, $-14)
number(billion-16, 1.03-15)
num($-14, billion-16)
punct(are-5, .-17)

det(program-3, The-1)
nn(program-3, privatization-2)
nsubjpass(designed-5, program-3)
auxpass(designed-5, is-4)
root(ROOT-0, designed-5)
aux(rid-7, to-6)
ccomp(designed-5, rid-7)
det(government-9, the-8)
dobj(rid-7, government-9)
prep(rid-7, of-10)
pobj(of-10, hundreds-11)
prep(hundreds-11, of-12)
dep(of-12, assets-13)
cc(rid-7, and-14)
aux(raise-16, to-15)
conj(rid-7, raise-16)
advmod(needed-18, critically-17)
amod(funds-19, needed-18)
dobj(raise-16, funds-19)
punct(designed-5, .-20)

nsubjpass(earmarked-9, Much-1)
prep(Much-1, of-2)
det(money-4, the-3)
pobj(of-2, money-4)
prep(money-4, from-5)
det(sales-7, the-6)
pobj(from-5, sales-7)
auxpass(earmarked-9, is-8)
root(ROOT-0, earmarked-9)
prep(earmarked-9, for-10)
det(program-14, a-11)
amod(program-14, multibillion-dollar-12)
amod(program-14, agrarian-reform-13)
pobj(for-10, program-14)
punct(earmarked-9, .-15)

cc(thwarted-5, But-1)
dep(thwarted-5, efforts-2)
aux(thwarted-5, have-3)
auxpass(thwarted-5, been-4)
root(ROOT-0, thwarted-5)
prep(thwarted-5, by-6)
amod(indifference-8, official-7)
pobj(by-6, indifference-8)
punct(indifference-8, ,-9)
amod(resistance-11, bureaucratic-10)
conj(indifference-8, resistance-11)
punct(indifference-8, ,-12)
det(system-15, a-13)
amod(system-15, legal-14)
conj(indifference-8, system-15)
dep(operates-17, that-16)
dep(system-15, operates-17)
prep(operates-17, at-18)
det(snail-20, a-19)
poss(pace-22, snail-20)
possessive(snail-20, 's-21)
pobj(at-18, pace-22)
punct(indifference-8, ,-23)
amod(opposition-25, political-24)
conj(indifference-8, opposition-25)
cc(indifference-8, and-26)
nn(misjudgments-28, government-27)
conj(indifference-8, misjudgments-28)
punct(thwarted-5, .-29)

advmod(recently-2, Most-1)
advmod(added-10, recently-2)
punct(added-10, ,-3)
det(lack-5, a-4)
nsubjpass(added-10, lack-5)
prep(lack-5, of-6)
dep(of-6, buyers-7)
aux(added-10, has-8)
auxpass(added-10, been-9)
root(ROOT-0, added-10)
prep(added-10, to-11)
det(list-13, the-12)
pobj(to-11, list-13)
punct(added-10, .-14)

advmod(than-2, Rather-1)
prep(is-8, than-2)
pcomp(than-2, gathering-3)
dep(gathering-3, momentum-4)
punct(is-8, ,-5)
det(program-7, the-6)
nsubj(is-8, program-7)
root(ROOT-0, is-8)
prep(is-8, in-9)
pobj(in-9, danger-10)
prep(danger-10, of-11)
pcomp(of-11, slowing-12)
advmod(more-14, even-13)
advmod(slowing-12, more-14)
mark(tackles-18, as-15)
det(government-17, the-16)
nsubj(tackles-18, government-17)
advcl(slowing-12, tackles-18)
amod(assets-21, several-19)
amod(assets-21, big-20)
dobj(tackles-18, assets-21)
punct(is-8, .-22)

det(axiom-2, The-1)
nsubj(appears-3, axiom-2)
root(ROOT-0, appears-3)
aux(be-5, to-4)
xcomp(appears-3, be-5)
mark(asset-11, that-6)
det(valuable-9, the-7)
dep(valuable-9, more-8)
dep(asset-11, valuable-9)
det(asset-11, the-10)
dep(be-5, asset-11)
punct(asset-11, ,-12)
det(harder-14, the-13)
dep(process-17, harder-14)
det(process-17, the-15)
nn(process-17, privatization-16)
dep(asset-11, process-17)
punct(appears-3, .-18)

punct(says-13, ``-1)
dep(see-6, You-2)
advmod(see-6, just-3)
aux(see-6, do-4)
neg(see-6, n't-5)
ccomp(says-13, see-6)
det(lot-9, a-7)
amod(lot-9, whole-8)
dep(see-6, lot-9)
dep(lot-9, happening-10)
punct(says-13, ,-11)
punct(says-13, ''-12)
root(ROOT-0, says-13)
det(economist-16, an-14)
amod(economist-16, international-15)
dep(says-13, economist-16)
punct(says-13, .-17)

aux(be-2, To-1)
advcl(stalled-10, be-2)
dep(be-2, sure-3)
punct(stalled-10, ,-4)
det(program-6, the-5)
nsubj(stalled-10, program-6)
aux(stalled-10, has-7)
neg(stalled-10, n't-8)
advmod(stalled-10, completely-9)
root(ROOT-0, stalled-10)
punct(stalled-10, .-11)

det(Trust-4, The-1)
nn(Trust-4, Asset-2)
nn(Trust-4, Privatization-3)
nsubj(recorded-16, Trust-4)
punct(Trust-4, ,-5)
det(agency-7, the-6)
appos(Trust-4, agency-7)
advmod(responsible-9, chiefly-8)
amod(agency-7, responsible-9)
prep(responsible-9, for-10)
pcomp(for-10, selling-11)
amod(properties-13, government-held-12)
dobj(selling-11, properties-13)
punct(Trust-4, ,-14)
aux(recorded-16, has-15)
root(ROOT-0, recorded-16)
dobj(recorded-16, sales-17)
prep(sales-17, of-18)
quantmod($-21, more-19)
quantmod($-21, than-20)
pobj(of-18, $-21)
number(million-23, 500-22)
num($-21, million-23)
mark(began-26, since-24)
dep(began-26, it-25)
advcl(recorded-16, began-26)
dep(began-26, functioning-27)
prep(began-26, in-28)
pobj(in-28, December-29)
num(December-29, 1986-30)
punct(recorded-16, .-31)

cc(been-5, But-1)
poss(success-3, its-2)
nsubj(been-5, success-3)
aux(been-5, has-4)
root(ROOT-0, been-5)
advmod(been-5, largely-6)
prep(been-5, in-7)
det(sale-9, the-8)
pobj(in-7, sale-9)
prep(sale-9, of-10)
amod(companies-14, small-11)
punct(companies-14, ,-12)
amod(companies-14, nonperforming-13)
pobj(of-10, companies-14)
punct(companies-14, ,-15)
dep(valued-18, which-16)
auxpass(valued-18, are-17)
dep(companies-14, valued-18)
prep(valued-18, for-19)
poss(assets-21, their-20)
pobj(for-19, assets-21)
punct(been-5, .-22)

csubj(challenging-10, Dealing-1)
prep(Dealing-1, with-2)
det(sales-4, the-3)
pobj(with-2, sales-4)
det(month-6, this-5)
tmod(Dealing-1, month-6)
aux(challenging-10, could-7)
cop(challenging-10, be-8)
advmod(challenging-10, particularly-9)
root(ROOT-0, challenging-10)
mark(popping-24, because-11)
advmod(every-13, almost-12)
amod(problem-14, every-13)
nsubj(popping-24, problem-14)
dep(hobbled-17, that-15)
aux(hobbled-17, has-16)
dep(problem-14, hobbled-17)
det(program-19, the-18)
dobj(hobbled-17, program-19)
prep(hobbled-17, in-20)
det(past-22, the-21)
pobj(in-20, past-22)
aux(popping-24, is-23)
advcl(challenging-10, popping-24)
dep(popping-24, up-25)
advmod(popping-24, again-26)
punct(challenging-10, .-27)

nn(Garcia-2, Ramon-1)
nsubj(admits-11, Garcia-2)
punct(Garcia-2, ,-3)
det(Trust-6, the-4)
nn(Trust-6, Asset-5)
poss(trustee-9, Trust-6)
possessive(Trust-6, 's-7)
nn(trustee-9, executive-8)
appos(Garcia-2, trustee-9)
punct(Garcia-2, ,-10)
root(ROOT-0, admits-11)
prep(admits-11, to-12)
dep(calls-15, what-13)
dep(calls-15, he-14)
pcomp(to-12, calls-15)
punct(setbacks-18, ``-16)
amod(setbacks-18, temporary-17)
dep(calls-15, setbacks-18)
punct(admits-11, .-19)
punct(admits-11, ''-20)

prep(adopting-15, In-1)
pobj(In-1, light-2)
prep(light-2, of-3)
det(results-6, the-4)
amod(results-6, poor-5)
pobj(of-3, results-6)
advmod(results-6, recently-7)
punct(says-10, ,-8)
dep(says-10, he-9)
parataxis(adopting-15, says-10)
punct(says-10, ,-11)
det(agency-13, the-12)
nsubj(adopting-15, agency-13)
aux(adopting-15, is-14)
root(ROOT-0, adopting-15)
det(attitude-18, an-16)
punct(attitude-18, ``-17)
dobj(adopting-15, attitude-18)
prep(attitude-18, of-19)
dep(of-19, flexibility-20)
punct(adopting-15, .-21)
punct(adopting-15, ''-22)

poss(troubles-3, October-1)
possessive(October-1, 's-2)
nsubj(began-4, troubles-3)
root(ROOT-0, began-4)
advmod(failed-8, when-5)
det(trust-7, the-6)
nsubj(failed-8, trust-7)
ccomp(began-4, failed-8)
aux(sell-10, to-9)
xcomp(failed-8, sell-10)
det(bank-14, a-11)
amod(bank-14, state-owned-12)
amod(bank-14, commercial-13)
dobj(sell-10, bank-14)
punct(bank-14, ,-15)
nn(Bank-17, Associated-16)
appos(bank-14, Bank-17)
punct(bank-14, ,-18)
prep(sell-10, for-19)
det(price-22, the-20)
nn(price-22, minimum-21)
pobj(for-19, price-22)
prep(price-22, of-23)
number(million-25, 671-24)
num(pesos-26, million-25)
pobj(of-23, pesos-26)
punct($-28, -LRB--27)
dep(pesos-26, $-28)
number(million-30, 31-29)
num($-28, million-30)
punct($-28, -RRB--31)
punct(began-4, .-32)

prep(offer-12, At-1)
det(end-3, the-2)
pobj(At-1, end-3)
prep(end-3, of-4)
det(month-6, the-5)
pobj(of-4, month-6)
punct(offer-12, ,-7)
det(agency-9, the-8)
nsubj(offer-12, agency-9)
advmod(offer-12, again-10)
aux(offer-12, will-11)
root(ROOT-0, offer-12)
det(bank-14, the-13)
dobj(offer-12, bank-14)
punct(offer-12, .-15)

cc(established-14, But-1)
advmod(of-3, instead-2)
prep(established-14, of-3)
det(price-6, a-4)
nn(price-6, minimum-5)
pobj(of-3, price-6)
punct(established-14, ,-7)
advmod(price-11, only-8)
det(price-11, a-9)
nn(price-11, target-10)
nsubjpass(established-14, price-11)
aux(established-14, will-12)
auxpass(established-14, be-13)
root(ROOT-0, established-14)
punct(established-14, .-15)

dep(say-2, Bankers-1)
root(ROOT-0, say-2)
punct(say-2, ,-3)
advmod(say-2, however-4)
punct(say-2, ,-5)
mark(have-10, that-6)
det(government-8, the-7)
nsubj(have-10, government-8)
aux(have-10, may-9)
ccomp(say-2, have-10)
dep(have-10, difficulty-11)
xcomp(have-10, selling-12)
det(institution-14, the-13)
dobj(selling-12, institution-14)
advmod(without-16, even-15)
prep(selling-12, without-16)
det(price-19, a-17)
nn(price-19, floor-18)
pobj(without-16, price-19)
punct(say-2, .-20)

det(bank-2, The-1)
nsubj(has-3, bank-2)
ccomp(say-10, has-3)
det(worth-7, a-4)
amod(worth-7, negative-5)
amod(worth-7, net-6)
dobj(has-3, worth-7)
punct(say-10, ,-8)
dep(say-10, they-9)
root(ROOT-0, say-10)
punct(say-10, .-11)

prep(give-7, In-1)
dep(In-1, addition-2)
punct(give-7, ,-3)
amod(rules-6, special-4)
nn(rules-6, bidding-5)
nsubj(give-7, rules-6)
root(ROOT-0, give-7)
det(bank-9, the-8)
poss(owner-12, bank-9)
possessive(bank-9, 's-10)
amod(owner-12, former-11)
iobj(give-7, owner-12)
punct(owner-12, ,-13)
nn(Ty-15, Leonardo-14)
appos(owner-12, Ty-15)
punct(owner-12, ,-16)
det(right-18, the-17)
dobj(give-7, right-18)
aux(match-20, to-19)
vmod(right-18, match-20)
det(bid-23, the-21)
amod(bid-23, highest-22)
dobj(match-20, bid-23)
punct(give-7, .-24)

nn(Ty-2, Mr.-1)
nsubj(lost-3, Ty-2)
root(ROOT-0, lost-3)
dep(lost-3, control-4)
prep(lost-3, to-5)
det(government-7, the-6)
pobj(to-5, government-7)
prep(lost-3, in-8)
dep(in-8, 1980-9)
advmod(made-14, when-10)
det(bank-13, a-11)
nn(bank-13, government-12)
nsubj(made-14, bank-13)
ccomp(lost-3, made-14)
nn(loans-16, emergency-15)
dobj(made-14, loans-16)
prep(made-14, to-17)
det(institution-20, the-18)
amod(institution-20, cash-strapped-19)
pobj(to-17, institution-20)
punct(lost-3, .-21)

prep(converted-7, In-1)
dep(In-1, 1983-2)
punct(converted-7, ,-3)
det(loans-5, the-4)
nsubjpass(converted-7, loans-5)
auxpass(converted-7, were-6)
root(ROOT-0, converted-7)
prep(converted-7, into-8)
dep(into-8, equity-9)
punct(converted-7, ,-10)
xcomp(converted-7, giving-11)
dep(giving-11, Manila-12)
num(%-14, 98-13)
dobj(giving-11, %-14)
prep(%-14, of-15)
det(bank-17, the-16)
pobj(of-15, bank-17)
punct(giving-11, ,-18)
dep(giving-11, but-19)
prep(but-19, with-20)
det(understanding-22, the-21)
pobj(with-20, understanding-22)
mark(had-26, that-23)
nn(Ty-25, Mr.-24)
nsubj(had-26, Ty-25)
ccomp(understanding-22, had-26)
amod(rights-28, repurchase-27)
dobj(had-26, rights-28)
punct(converted-7, .-29)

poss(ability-2, His-1)
nsubj(scared-8, ability-2)
aux(match-4, to-3)
vmod(ability-2, match-4)
det(bid-6, any-5)
dobj(match-4, bid-6)
aux(scared-8, has-7)
root(ROOT-0, scared-8)
dep(scared-8, off-9)
amod(buyers-12, many-10)
amod(buyers-12, potential-11)
dobj(scared-8, buyers-12)
punct(scared-8, .-13)

advmod(try-6, Separately-1)
punct(try-6, ,-2)
det(government-4, the-3)
nsubj(try-6, government-4)
aux(try-6, will-5)
root(ROOT-0, try-6)
advmod(try-6, again-7)
prep(try-6, within-8)
det(month-10, a-9)
pobj(within-8, month-10)
aux(sell-12, to-11)
xcomp(try-6, sell-12)
det(stake-16, the-13)
num(stake-16, 36-14)
nn(stake-16, %-15)
dobj(sell-12, stake-16)
prep(stake-16, in-17)
nn(Corp.-20, Paper-18)
nn(Corp.-20, Industries-19)
pobj(in-17, Corp.-20)
prep(Corp.-20, of-21)
det(Philippines-23, the-22)
pobj(of-21, Philippines-23)
punct(Corp.-20, ,-24)
cc(Corp.-20, or-25)
conj(Corp.-20, Picop-26)
punct(Picop-26, ,-27)
mark(known-33, as-28)
det(mill-31, the-29)
nn(mill-31, paper-30)
nsubjpass(known-33, mill-31)
auxpass(known-33, is-32)
dep(Picop-26, known-33)
punct(try-6, .-34)

det(price-2, The-1)
nsubj(depend-4, price-2)
aux(depend-4, will-3)
root(ROOT-0, depend-4)
prep(depend-4, on-5)
advmod(much-7, how-6)
advmod(fetch-10, much-7)
nn(shares-9, Picop-8)
nsubj(fetch-10, shares-9)
pcomp(on-5, fetch-10)
prep(fetch-10, on-11)
det(market-15, the-12)
amod(market-15, local-13)
nn(market-15, stock-14)
pobj(on-11, market-15)
punct(depend-4, .-16)

cc(consideration-20, But-1)
prep(consideration-20, according-2)
pcomp(according-2, to-3)
pobj(to-3, bankers-4)
cc(bankers-4, and-5)
nn(analysts-7, stock-6)
conj(bankers-4, analysts-7)
dep(studied-10, who-8)
aux(studied-10, have-9)
dep(bankers-4, studied-10)
det(mill-13, the-11)
nn(mill-13, paper-12)
dobj(studied-10, mill-13)
punct(consideration-20, ,-14)
dep(consideration-20, price-15)
cop(consideration-20, is-16)
neg(consideration-20, n't-17)
det(consideration-20, the-18)
amod(consideration-20, only-19)
root(ROOT-0, consideration-20)
punct(consideration-20, .-21)

mark(stands-3, As-1)
dep(stands-3, it-2)
advcl(continue-9, stands-3)
advmod(stands-3, now-4)
punct(continue-9, ,-5)
det(government-7, the-6)
nsubj(continue-9, government-7)
aux(continue-9, would-8)
root(ROOT-0, continue-9)
aux(hold-11, to-10)
xcomp(continue-9, hold-11)
num(%-13, 45-12)
dobj(hold-11, %-13)
prep(%-13, of-14)
dep(of-14, Picop-15)
mark(sold-22, after-16)
det(stake-20, the-17)
number(%-19, 36-18)
amod(stake-20, %-19)
nsubjpass(sold-22, stake-20)
auxpass(sold-22, is-21)
advcl(continue-9, sold-22)
punct(continue-9, .-23)

punct(traded-9, -LRB--1)
quantmod(7.5-3, About-2)
num(%-4, 7.5-3)
nsubjpass(traded-9, %-4)
prep(%-4, of-5)
dep(of-5, Picop-6)
auxpass(traded-9, is-7)
advmod(traded-9, publicly-8)
root(ROOT-0, traded-9)
cc(traded-9, and-10)
amod(shareholders-12, other-11)
nsubj(own-13, shareholders-12)
conj(traded-9, own-13)
det(rest-15, the-14)
dobj(own-13, rest-15)
prep(rest-15, of-16)
det(equity-18, the-17)
pobj(of-16, equity-18)
punct(traded-9, .-19)
punct(traded-9, -RRB--20)

amod(buyers-2, Potential-1)
nsubj(reluctant-9, buyers-2)
punct(buyers-2, ,-3)
advmod(buyers-2, mostly-4)
amod(companies-6, foreign-5)
dep(buyers-2, companies-6)
punct(buyers-2, ,-7)
cop(reluctant-9, are-8)
root(ROOT-0, reluctant-9)
aux(take-11, to-10)
xcomp(reluctant-9, take-11)
det(stake-14, a-12)
amod(stake-14, non-controlling-13)
dobj(take-11, stake-14)
prep(stake-14, in-15)
det(company-17, a-16)
pobj(in-15, company-17)
mark(needs-27, that-18)
punct(needs-27, ,-19)
prep(needs-27, by-20)
det(government-22, the-21)
poss(reckoning-25, government-22)
possessive(government-22, 's-23)
amod(reckoning-25, own-24)
pobj(by-20, reckoning-25)
punct(needs-27, ,-26)
dep(company-17, needs-27)
quantmod($-29, some-28)
dobj(needs-27, $-29)
number(million-31, 100-30)
num($-29, million-31)
prep($-29, in-32)
amod(capital-34, new-33)
pobj(in-32, capital-34)
prep(needs-27, for-35)
dep(for-35, rehabilitation-36)
punct(reluctant-9, .-37)

det(prospect-2, The-1)
nsubj(persuaded-13, prospect-2)
prep(prospect-2, of-3)
pcomp(of-3, buying-4)
prep(buying-4, into-5)
det(company-8, a-6)
amod(company-8, cash-hungry-7)
pobj(into-5, company-8)
prep(buying-4, without-9)
pcomp(without-9, getting-10)
nn(control-12, management-11)
dobj(getting-10, control-12)
ccomp(say-41, persuaded-13)
quantmod(three-16, at-14)
mwe(at-14, least-15)
num(buyers-18, three-16)
amod(buyers-18, foreign-17)
dobj(persuaded-13, buyers-18)
punct(buyers-18, ,-19)
prep(buyers-18, including-20)
det(member-22, a-21)
pobj(including-20, member-22)
prep(member-22, of-23)
det(group-26, the-24)
nn(group-26, Elders-25)
pobj(of-23, group-26)
prep(group-26, of-27)
dep(of-27, Australia-28)
punct(buyers-18, ,-29)
aux(pull-31, to-30)
xcomp(persuaded-13, pull-31)
advmod(pull-31, out-32)
prep(out-32, of-33)
det(bidding-35, the-34)
pobj(of-33, bidding-35)
punct(say-41, ,-36)
det(bankers-38, the-37)
nsubj(say-41, bankers-38)
cc(bankers-38, and-39)
conj(bankers-38, analysts-40)
root(ROOT-0, say-41)
punct(say-41, .-42)

nn(Garcia-2, Mr.-1)
nsubj(acknowledges-3, Garcia-2)
root(ROOT-0, acknowledges-3)
det(problem-5, the-4)
dobj(acknowledges-3, problem-5)
cc(acknowledges-3, and-6)
conj(acknowledges-3, says-7)
det(Trust-10, the-8)
nn(Trust-10, Asset-9)
nsubj(study-12, Trust-10)
aux(study-12, will-11)
ccomp(says-7, study-12)
advmod(failed-16, why-13)
det(bidding-15, the-14)
nsubj(failed-16, bidding-15)
dep(study-12, failed-16)
cc(failed-16, and-17)
det(changes-19, what-18)
dobj(able-24, changes-19)
det(agency-21, the-20)
nsubj(able-24, agency-21)
aux(able-24, may-22)
cop(able-24, be-23)
conj(failed-16, able-24)
aux(offer-26, to-25)
xcomp(able-24, offer-26)
