dep(want-3, Consumers-1)
possessive(Board-12, 's-15)
appos(Donovan-9, president-16)
punct(Donovan-9, ,-17)
root(ROOT-0, told-18)
nn(lawyers-20, commodity-19)
dobj(told-18, lawyers-20)
punct(told-18, :-21)
punct(is-25, ``-22)
amod(trading-24, Dual-23)
nsubj(is-25, trading-24)
parataxis(told-18, is-25)
advmod(is-25, definitely-26)
prep(is-25, worth-27)
dep(worth-27, saving-28)
punct(told-18, .-29)

dep(adds-2, It-1)
root(ROOT-0, adds-2)
dep(adds-2, something-3)
prep(adds-2, to-4)
det(market-6, the-5)
pobj(to-4, market-6)
punct(adds-2, .-7)

amod(Firms-2, Japanese-1)
nsubj(Push-3, Firms-2)
root(ROOT-0, Push-3)
amod(Showrooms-6, Posh-4)
nn(Showrooms-6, Car-5)
dobj(Push-3, Showrooms-6)

amod(makers-3, JAPANESE-1)
nn(makers-3, luxury-car-2)
nsubj(trying-5, makers-3)
aux(trying-5, are-4)
root(ROOT-0, trying-5)
aux(set-7, to-6)
xcomp(trying-5, set-7)
amod(standards-10, strict-8)
nn(standards-10, design-9)
dobj(set-7, standards-10)
prep(standards-10, for-11)
poss(dealerships-13, their-12)
pobj(for-11, dealerships-13)
punct(trying-5, .-14)

cc(negotiating-5, But-1)
det(dealers-3, some-2)
nsubj(negotiating-5, dealers-3)
aux(negotiating-5, are-4)
root(ROOT-0, negotiating-5)
amod(terms-7, looser-6)
dobj(negotiating-5, terms-7)
punct(negotiating-5, ,-8)
mark(decline-11, while-9)
dep(decline-11, others-10)
advcl(negotiating-5, decline-11)
aux(deal-13, to-12)
xcomp(decline-11, deal-13)
advmod(deal-13, at-14)
pobj(at-14, all-15)
punct(negotiating-5, .-16)

nn(Co.-3, Nissan-1)
nn(Co.-3, Motor-2)
poss(division-6, Co.-3)
possessive(Co.-3, 's-4)
nn(division-6, Infiniti-5)
nsubj(likes-7, division-6)
root(ROOT-0, likes-7)
aux(insist-9, to-8)
xcomp(likes-7, insist-9)
mark(construct-13, that-10)
det(dealer-12, every-11)
nsubj(construct-13, dealer-12)
ccomp(insist-9, construct-13)
cc(construct-13, and-14)
conj(construct-13, furnish-15)
det(building-17, a-16)
dobj(construct-13, building-17)
prep(construct-13, in-18)
det(style-21, a-19)
amod(style-21, Japanese-20)
pobj(in-18, style-21)
punct(likes-7, .-22)

dep(include-2, Specifications-1)
root(ROOT-0, include-2)
det(sculpture-6, a-3)
amod(sculpture-6, polished-4)
nn(sculpture-6, bronze-5)
dobj(include-2, sculpture-6)
prep(sculpture-6, at-7)
det(center-9, the-8)
pobj(at-7, center-9)
prep(center-9, of-10)
det(showroom-12, each-11)
pobj(of-10, showroom-12)
cc(sculpture-6, and-13)
det(bridge-16, a-14)
nn(bridge-16, tile-15)
conj(sculpture-6, bridge-16)
vmod(bridge-16, spanning-17)
det(stream-19, a-18)
dobj(spanning-17, stream-19)
dep(flows-21, that-20)
dep(stream-19, flows-21)
prep(flows-21, into-22)
det(building-24, the-23)
pobj(into-22, building-24)
prep(flows-21, from-25)
dep(from-25, outside-26)
punct(include-2, .-27)

punct(says-11, ``-1)
dep(has-3, Infiniti-2)
ccomp(says-11, has-3)
dep(has-3, it-4)
advmod(has-3, down-5)
prep(down-5, to-6)
det(ashtrays-8, the-7)
pobj(to-6, ashtrays-8)
punct(says-11, ,-9)
punct(says-11, ''-10)
root(ROOT-0, says-11)
nn(Ferron-13, Jay-12)
nsubj(says-11, Ferron-13)
punct(Ferron-13, ,-14)
det(partner-16, a-15)
appos(Ferron-13, partner-16)
prep(partner-16, at-17)
nn(Power-19, J.D.-18)
pobj(at-17, Power-19)
cc(Power-19, &-20)
conj(Power-19, Associates-21)
punct(Power-19, ,-22)
det(firm-26, an-23)
nn(firm-26, auto-24)
nn(firm-26, research-25)
appos(Power-19, firm-26)
punct(says-11, .-27)

nn(Corp.-3, Toyota-1)
nn(Corp.-3, Motor-2)
poss(division-6, Corp.-3)
possessive(Corp.-3, 's-4)
nn(division-6, Lexus-5)
nsubj(provides-8, division-6)
advmod(provides-8, also-7)
root(ROOT-0, provides-8)
dep(provides-8, specifications-9)
punct(provides-8, .-10)

cc(constructing-8, But-1)
quantmod(two-thirds-3, only-2)
nsubj(constructing-8, two-thirds-3)
prep(two-thirds-3, of-4)
nn(dealers-6, Lexus-5)
pobj(of-4, dealers-6)
aux(constructing-8, are-7)
root(ROOT-0, constructing-8)
amod(buildings-10, new-9)
dobj(constructing-8, buildings-10)
prep(constructing-8, according-11)
pcomp(according-11, to-12)
det(specs-15, the-13)
nn(specs-15, Lexus-14)
pobj(to-12, specs-15)
punct(constructing-8, .-16)

dep(coming-4, Some-1)
aux(coming-4, are-2)
advmod(coming-4, even-3)
root(ROOT-0, coming-4)
dep(coming-4, up-5)
prep(coming-4, with-6)
poss(designs-10, their-7)
amod(designs-10, own-8)
nn(designs-10, novel-9)
pobj(with-6, designs-10)
punct(coming-4, .-11)

prep(built-12, In-1)
nn(Ky.-4, Louisville-2)
punct(Ky.-4, ,-3)
pobj(In-1, Ky.-4)
punct(Ky.-4, ,-5)
prep(built-12, for-6)
dep(for-6, example-7)
punct(built-12, ,-8)
nn(Peterson-10, David-9)
nsubj(built-12, Peterson-10)
aux(built-12, has-11)
root(ROOT-0, built-12)
det(dealership-15, a-13)
nn(dealership-15, Lexus-14)
dobj(built-12, dealership-15)
prep(dealership-15, with-16)
det(showroom-18, the-17)
pobj(with-16, showroom-18)
prep(showroom-18, on-19)
det(floor-22, the-20)
amod(floor-22, second-21)
pobj(on-19, floor-22)
punct(built-12, .-23)

cc(turned-5, Yet-1)
det(dealers-3, some-2)
nsubj(turned-5, dealers-3)
aux(turned-5, have-4)
root(ROOT-0, turned-5)
dep(turned-5, down-6)
nn(franchises-10, Infiniti-7)
cc(Infiniti-7, or-8)
conj(Infiniti-7, Lexus-9)
dobj(turned-5, franchises-10)
mark(unwilling-14, because-11)
dep(unwilling-14, they-12)
cop(unwilling-14, were-13)
advcl(turned-5, unwilling-14)
cc(unwilling-14, or-15)
conj(unwilling-14, unable-16)
aux(meet-18, to-17)
xcomp(unwilling-14, meet-18)
det(requirements-21, the-19)
nn(requirements-21, design-20)
dobj(meet-18, requirements-21)
punct(turned-5, .-22)

nn(Seidman-2, Lee-1)
nsubj(says-5, Seidman-2)
prep(Seidman-2, of-3)
dep(of-3, Cleveland-4)
root(ROOT-0, says-5)
dep(bear-10, Infiniti-6)
punct(bear-10, ``-7)
cop(bear-10, was-8)
det(bear-10, a-9)
ccomp(says-5, bear-10)
prep(bear-10, on-11)
dep(on-11, interiors-12)
punct(bear-10, ''-13)
cc(bear-10, but-14)
advmod(let-17, at-15)
pobj(at-15, least-16)
conj(bear-10, let-17)
dep(retrofit-19, him-18)
ccomp(let-17, retrofit-19)
det(building-22, an-20)
amod(building-22, existing-21)
dobj(retrofit-19, building-22)
punct(retrofit-19, ---23)
prep(retrofit-19, without-24)
det(stream-26, the-25)
pobj(without-24, stream-26)
punct(says-5, .-27)

nn(Seidman-2, Mr.-1)
nsubj(says-3, Seidman-2)
root(ROOT-0, says-3)
dep(turned-5, he-4)
ccomp(says-3, turned-5)
dep(turned-5, down-6)
det(franchise-9, a-7)
nn(franchise-9, Lexus-8)
dobj(turned-5, franchise-9)
prep(gorgeous-17, in-10)
dep(in-10, part-11)
mark(gorgeous-17, because-12)
punct(gorgeous-17, ``-13)
det(building-15, the-14)
nsubj(gorgeous-17, building-15)
cop(gorgeous-17, was-16)
advcl(turned-5, gorgeous-17)
cc(gorgeous-17, but-18)
advmod(expensive-20, very-19)
conj(gorgeous-17, expensive-20)
punct(says-3, .-21)
punct(says-3, ''-22)

aux(head-2, To-1)
dep(offers-7, head-2)
dep(head-2, off-3)
dep(head-2, arguments-4)
punct(offers-7, ,-5)
dep(offers-7, Infiniti-6)
root(ROOT-0, offers-7)
dep(offers-7, dealers-8)
nn(bonuses-10, cash-9)
dobj(offers-7, bonuses-10)
cc(bonuses-10, and-11)
amod(loans-14, low-interest-12)
nn(loans-14, construction-13)
conj(bonuses-10, loans-14)
punct(offers-7, .-15)

nn(Device-2, Dictation-1)
poss(Saga-4, Device-2)
possessive(Device-2, 's-3)
nsubj(Plays-5, Saga-4)
root(ROOT-0, Plays-5)
dep(Plays-5, Back-6)
det(Lesson-8, a-7)
dobj(Plays-5, Lesson-8)

dep(DON'T-2, PRODUCTS-1)
root(ROOT-0, DON'T-2)
dep(DON'T-2, have-3)
aux(be-5, to-4)
xcomp(have-3, be-5)
dep(be-5, first-6)
aux(be-8, to-7)
xcomp(be-5, be-8)
dep(be-8, winners-9)
punct(DON'T-2, .-10)

dep(lesson-4, That-1)
cop(lesson-4, 's-2)
det(lesson-4, the-3)
root(ROOT-0, lesson-4)
vmod(lesson-4, offered-5)
prep(offered-5, through-6)
num(study-9, one-7)
nn(study-9, case-8)
pobj(through-6, study-9)
vmod(study-9, featured-10)
prep(featured-10, in-11)
det(exhibit-14, a-12)
nn(exhibit-14, design-13)
pobj(in-11, exhibit-14)
punct(lesson-4, .-15)

nn(Corp.-2, Dictaphone-1)
nsubjpass(caught-4, Corp.-2)
auxpass(caught-4, was-3)
root(ROOT-0, caught-4)
prep(caught-4, off-5)
dep(off-5, guard-6)
prep(caught-4, in-7)
pobj(in-7, 1974-8)
advmod(introduced-20, when-9)
poss(competitor-12, its-10)
amod(competitor-12, main-11)
nsubj(introduced-20, competitor-12)
punct(competitor-12, ,-13)
nn(Products-16, Lanier-14)
nn(Products-16, Office-15)
appos(competitor-12, Products-16)
prep(Products-16, of-17)
dep(of-17, Japan-18)
punct(competitor-12, ,-19)
dep(1974-8, introduced-20)
det(recorder-24, a-21)
nn(recorder-24, microcassette-22)
nn(recorder-24, dictation-23)
dobj(introduced-20, recorder-24)
predet(size-27, half-25)
det(size-27, the-26)
dep(recorder-24, size-27)
prep(size-27, of-28)
amod(devices-31, standard-29)
nn(devices-31, cassette-30)
pobj(of-28, devices-31)
punct(caught-4, .-32)

dep(decided-10, Blocked-1)
prep(Blocked-1, by-2)
nn(protection-4, patent-3)
pobj(by-2, protection-4)
prep(Blocked-1, from-5)
pcomp(from-5, following-6)
advmod(following-6, suit-7)
punct(decided-10, ,-8)
dep(decided-10, Dictaphone-9)
root(ROOT-0, decided-10)
aux(go-12, to-11)
xcomp(decided-10, go-12)
det(step-14, a-13)
dobj(go-12, step-14)
advmod(step-14, further-15)
cc(go-12, and-16)
conj(go-12, cut-17)
det(cassette-19, the-18)
dobj(cut-17, cassette-19)
dep(cut-17, in-20)
dep(in-20, half-21)
advmod(cut-17, again-22)
punct(cut-17, ---23)
advmod(cut-17, down-24)
prep(down-24, to-25)
det(length-27, the-26)
pobj(to-25, length-27)
prep(length-27, of-28)
det(paperclip-30, a-29)
pobj(of-28, paperclip-30)
punct(decided-10, .-31)

prep(produced-16, By-1)
dep(By-1, 1979-2)
punct(produced-16, ,-3)
nsubj(produced-16, designers-4)
cc(designers-4, and-5)
conj(designers-4, engineers-6)
prep(designers-4, at-7)
pobj(at-7, Dictaphone-8)
punct(Dictaphone-8, ,-9)
det(subsidiary-13, a-10)
nn(subsidiary-13, Pitney-11)
nn(subsidiary-13, Bowes-12)
dep(Dictaphone-8, subsidiary-13)
punct(Dictaphone-8, ,-14)
aux(produced-16, had-15)
root(ROOT-0, produced-16)
det(model-19, a-17)
amod(model-19, working-18)
dobj(produced-16, model-19)
prep(model-19, of-20)
det(recorder-25, a-21)
punct(recorder-25, ``-22)
nn(recorder-25, picocassette-23)
punct(recorder-25, ''-24)
pobj(of-20, recorder-25)
punct(produced-16, .-26)

prep(changed-14, By-1)
dep(By-1, 1982-2)
punct(changed-14, ,-3)
advmod(changed-14, however-4)
punct(changed-14, ,-5)
det(status-8, the-6)
nn(status-8, patent-7)
nsubj(changed-14, status-8)
prep(status-8, of-9)
det(microcassette-12, the-10)
nn(microcassette-12, Lanier-11)
pobj(of-9, microcassette-12)
aux(changed-14, had-13)
root(ROOT-0, changed-14)
punct(changed-14, ,-15)
xcomp(changed-14, permitting-16)
dep(develop-19, Dictaphone-17)
aux(develop-19, to-18)
xcomp(permitting-16, develop-19)
poss(system-24, its-20)
amod(system-24, own-21)
amod(system-24, competitive-22)
amod(system-24, micro-23)
dobj(develop-19, system-24)
punct(develop-19, ,-25)
dep(did-28, which-26)
dep(did-28, it-27)
ccomp(develop-19, did-28)
punct(changed-14, .-29)

nn(departments-4, Marketing-1)
cc(Marketing-1, and-2)
conj(Marketing-1, sales-3)
nsubj(urged-6, departments-4)
advmod(urged-6, then-5)
root(ROOT-0, urged-6)
dobj(urged-6, abandonment-7)
prep(abandonment-7, of-8)
det(project-11, the-9)
nn(project-11, pico-10)
pobj(of-8, project-11)
punct(urged-6, .-12)

cc(said-3, But-1)
dep(said-3, others-2)
root(ROOT-0, said-3)
dep(should-5, pico-4)
ccomp(said-3, should-5)
dep(should-5, proceed-6)
punct(said-3, .-7)

dep(were-2, Both-1)
root(ROOT-0, were-2)
dep(were-2, right-3)
punct(were-2, .-4)

dep(went-2, Dictaphone-1)
root(ROOT-0, went-2)
advmod(went-2, ahead-3)
cc(went-2, and-4)
conj(went-2, introduced-5)
det(pico-7, the-6)
dobj(introduced-5, pico-7)
prep(went-2, in-8)
dep(in-8, 1985-9)
punct(went-2, ,-10)
cc(went-2, but-11)
dep(sold-15, it-12)
aux(sold-15, has-13)
neg(sold-15, n't-14)
conj(went-2, sold-15)
advmod(sold-15, well-16)
punct(went-2, .-17)

prep(broken-16, To-1)
dep(To-1, date-2)
punct(broken-16, ,-3)
dep(broken-16, says-4)
nn(Jachmann-6, Emil-5)
nsubj(says-4, Jachmann-6)
punct(Jachmann-6, ,-7)
det(president-11, a-8)
nn(president-11, Dictaphone-9)
nn(president-11, vice-10)
appos(Jachmann-6, president-11)
punct(Jachmann-6, ,-12)
dep(broken-16, it-13)
aux(broken-16, has-14)
punct(broken-16, ``-15)
root(ROOT-0, broken-16)
advmod(broken-16, even-17)
cc(broken-16, or-18)
conj(broken-16, shown-19)
det(loss-22, a-20)
amod(loss-22, small-21)
dobj(shown-19, loss-22)
punct(broken-16, .-23)
punct(broken-16, ''-24)

advmod(been-6, Nevertheless-1)
punct(been-6, ,-2)
det(device-4, the-3)
nsubj(been-6, device-4)
aux(been-6, has-5)
root(ROOT-0, been-6)
dep(been-6, successful-7)
prep(been-6, in-8)
amod(ways-10, other-9)
pobj(in-8, ways-10)
punct(been-6, .-11)

dep(helped-2, It-1)
root(ROOT-0, helped-2)
dep(attract-4, Dictaphone-3)
ccomp(helped-2, attract-4)
amod(engineers-6, better-5)
dobj(attract-4, engineers-6)
punct(helped-2, ,-7)
cc(helped-2, and-8)
dep(provided-10, it-9)
conj(helped-2, provided-10)
amod(technology-12, new-11)
dobj(provided-10, technology-12)
prep(provided-10, for-13)
amod(products-16, other-14)
nn(products-16, company-15)
pobj(for-13, products-16)
punct(helped-2, .-17)

det(recorder-3, The-1)
nn(recorder-3, picocassette-2)
nsubj(helped-5, recorder-3)
advmod(helped-5, also-4)
root(ROOT-0, helped-5)
ccomp(helped-5, transform-6)
det(company-8, the-7)
poss(reputation-10, company-8)
possessive(company-8, 's-9)
dobj(transform-6, reputation-10)
prep(transform-6, from-11)
dep(from-11, follower-12)
prep(transform-6, to-13)
amod(innovator-15, leading-edge-14)
pobj(to-13, innovator-15)
punct(helped-5, .-16)

punct(says-31, ``-1)
nsubj(gave-3, It-2)
ccomp(says-31, gave-3)
dep(gave-3, me-4)
amod(pride-6, great-5)
dobj(gave-3, pride-6)
aux(see-8, to-7)
vmod(gave-3, see-8)
det(inventor-10, the-9)
nsubj(look-16, inventor-10)
prep(inventor-10, of-11)
det(microcassette-13, the-12)
pobj(of-11, microcassette-13)
prep(inventor-10, in-14)
dep(in-14, Japan-15)
ccomp(see-8, look-16)
prep(look-16, at-17)
det(pico-19, the-18)
pobj(at-17, pico-19)
cc(look-16, and-20)
conj(look-16, shake-21)
poss(head-23, his-22)
dobj(shake-21, head-23)
cc(look-16, and-24)
conj(look-16, say-25)
punct(unbelievable-27, `-26)
acomp(say-25, unbelievable-27)
punct(says-31, ,-28)
punct(says-31, '-29)
punct(says-31, ''-30)
root(ROOT-0, says-31)
nn(Jachmann-33, Mr.-32)
nsubj(says-31, Jachmann-33)
punct(says-31, .-34)

poss(recorder-4, Dictaphone-1)
possessive(Dictaphone-1, 's-2)
nn(recorder-4, picocassette-3)
nsubj(one-6, recorder-4)
cop(one-6, is-5)
root(ROOT-0, one-6)
prep(one-6, of-7)
num(studies-10, 13-8)
nn(studies-10, case-9)
pobj(of-7, studies-10)
prep(studies-10, in-11)
det(Project-15, the-12)
nn(Project-15, TRIAD-13)
nn(Project-15, Design-14)
pobj(in-11, Project-15)
punct(Project-15, ,-16)
vmod(Project-15, sponsored-17)
prep(sponsored-17, by-18)
det(Institute-22, the-19)
nn(Institute-22, Design-20)
nn(Institute-22, Management-21)
pobj(by-18, Institute-22)
prep(Institute-22, of-23)
dep(of-23, Boston-24)
cc(Institute-22, and-25)
nn(School-28, Harvard-26)
nn(School-28, Business-27)
conj(Institute-22, School-28)
punct(one-6, .-29)

det(studies-2, The-1)
nsubj(month-9, studies-2)
cop(month-9, are-3)
prep(month-9, on-4)
dep(on-4, exhibit-5)
prep(month-9, at-6)
dep(at-6, Harvard-7)
det(month-9, this-8)
root(ROOT-0, month-9)
cc(month-9, and-10)
aux(travel-12, will-11)
conj(month-9, travel-12)
prep(travel-12, to-13)
poss(Institute-16, Chicago-14)
possessive(Chicago-14, 's-15)
pobj(to-13, Institute-16)
prep(Institute-16, of-17)
dep(of-17, Design-18)
cc(Institute-16, and-19)
det(University-21, the-20)
conj(Institute-16, University-21)
prep(University-21, of-22)
dep(of-22, California-23)
prep(University-21, at-24)
dep(at-24, Berkeley-25)
punct(month-9, .-26)

det(Rake-2, A-1)
poss(Progress-4, Rake-2)
possessive(Rake-2, 's-3)
nsubj(Means-5, Progress-4)
root(ROOT-0, Means-5)
ccomp(Means-5, Branching-6)
advmod(Branching-6, Out-7)

num(DAY-2, ONE-1)
tmod(raking-11, DAY-2)
nn(Barrett-4, Carl-3)
nsubj(raking-11, Barrett-4)
prep(Barrett-4, of-5)
nn(Ala.-8, Mobile-6)
punct(Ala.-8, ,-7)
pobj(of-5, Ala.-8)
punct(Ala.-8, ,-9)
aux(raking-11, was-10)
root(ROOT-0, raking-11)
det(leaves-14, some-12)
nn(leaves-14, sycamore-13)
dobj(raking-11, leaves-14)
punct(raking-11, ,-15)
cc(raking-11, but-16)
det(rake-18, the-17)
nsubj(kept-19, rake-18)
conj(raking-11, kept-19)
xcomp(kept-19, riding-20)
dep(riding-20, up-21)
prep(riding-20, over-22)
det(piles-24, the-23)
pobj(over-22, piles-24)
punct(raking-11, .-25)

det(harder-2, The-1)
dep(tried-4, harder-2)
dep(tried-4, he-3)
dep(came-15, tried-4)
aux(push-6, to-5)
xcomp(tried-4, push-6)
dep(push-6, them-7)
prep(push-6, into-8)
amod(piles-10, large-9)
pobj(into-8, piles-10)
punct(came-15, ,-11)
det(closer-13, the-12)
dep(came-15, closer-13)
dep(came-15, he-14)
root(ROOT-0, came-15)
prep(came-15, to-16)
pcomp(to-16, breaking-17)
det(rake-19, the-18)
dobj(breaking-17, rake-19)
cc(breaking-17, and-20)
conj(breaking-17, straining-21)
poss(back-23, his-22)
dobj(straining-21, back-23)
punct(came-15, .-24)

advmod(took-14, So-1)
nn(Barrett-3, Mr.-2)
nsubj(took-14, Barrett-3)
punct(Barrett-3, ,-4)
advmod(president-7, then-5)
nn(president-7, vice-6)
appos(Barrett-3, president-7)
prep(president-7, of-8)
det(Association-12, the-9)
nn(Association-12, Alabama-10)
nn(Association-12, Steamship-11)
pobj(of-8, Association-12)
punct(Barrett-3, ,-13)
root(ROOT-0, took-14)
det(rake-18, a-15)
amod(rake-18, steel-toothed-16)
nn(rake-18, garden-17)
dobj(took-14, rake-18)
cc(took-14, and-19)
conj(took-14, taped-20)
dep(taped-20, it-21)
prep(taped-20, to-22)
det(underside-24, the-23)
pobj(to-22, underside-24)
prep(underside-24, of-25)
det(rake-28, a-26)
nn(rake-28, leaf-27)
pobj(of-25, rake-28)
amod(inches-31, about-29)
num(inches-31, nine-30)
npadvmod(up-32, inches-31)
advmod(underside-24, up-32)
punct(took-14, .-33)

poss(device-3, His-1)
amod(device-3, crude-2)
root(ROOT-0, device-3)
dep(device-3, worked-4)
punct(device-3, :-5)
det(teeth-8, The-6)
amod(teeth-8, lower-7)
nsubj(gathered-9, teeth-8)
parataxis(device-3, gathered-9)
det(leaves-11, the-10)
dobj(gathered-9, leaves-11)
prep(gathered-9, into-12)
det(pile-14, a-13)
pobj(into-12, pile-14)
punct(gathered-9, ,-15)
mark(moved-22, while-16)
det(teeth-21, the-17)
dep(harder-20, higher-18)
punct(harder-20, ,-19)
amod(teeth-21, harder-20)
nsubj(moved-22, teeth-21)
advcl(gathered-9, moved-22)
det(top-24, the-23)
dobj(moved-22, top-24)
prep(top-24, of-25)
det(pile-27, the-26)
pobj(of-25, pile-27)
punct(device-3, .-28)

advmod(incorporated-2, Now-1)
ccomp(supposed-19, incorporated-2)
prep(incorporated-2, into-3)
det(rake-6, a-4)
nn(rake-6, polypropylene-5)
pobj(into-3, rake-6)
punct(supposed-19, ,-7)
det(prongs-10, the-8)
amod(prongs-10, four-inch-9)
nsubjpass(supposed-19, prongs-10)
punct(prongs-10, ,-11)
cc(prongs-10, or-12)
punct(wonderbars-14, ``-13)
conj(prongs-10, wonderbars-14)
punct(prongs-10, ,-15)
punct(prongs-10, ''-16)
advmod(supposed-19, also-17)
auxpass(supposed-19, are-18)
root(ROOT-0, supposed-19)
aux(aid-21, to-20)
xcomp(supposed-19, aid-21)
prep(aid-21, in-22)
pcomp(in-22, picking-23)
dep(picking-23, up-24)
dep(picking-23, leaves-25)
punct(supposed-19, .-26)

num(customer-2, One-1)
nsubj(says-9, customer-2)
punct(customer-2, ,-3)
nn(Blaggs-5, Donald-4)
appos(customer-2, Blaggs-5)
prep(Blaggs-5, of-6)
dep(of-6, Mobile-7)
punct(customer-2, ,-8)
root(ROOT-0, says-9)
det(Rake-12, the-10)
nn(Rake-12, Barrett-11)
nsubj(allowed-13, Rake-12)
ccomp(says-9, allowed-13)
dep(do-16, him-14)
aux(do-16, to-15)
xcomp(allowed-13, do-16)
poss(lawn-18, his-17)
dobj(do-16, lawn-18)
prep(do-16, in-19)
number(1/2-21, 2-20)
num(hours-22, 1/2-21)
pobj(in-19, hours-22)
punct(hours-22, ,-23)
num(hours-25, two-24)
npadvmod(less-26, hours-25)
amod(hours-22, less-26)
prep(less-26, than-27)
dep(than-27, usual-28)
punct(says-9, .-29)

cc(have-5, But-1)
amod(makers-4, other-2)
nn(makers-4, rake-3)
nsubj(have-5, makers-4)
root(ROOT-0, have-5)
poss(doubts-7, their-6)
dobj(have-5, doubts-7)
punct(have-5, .-8)

nn(Mason-2, Richard-1)
nsubj(says-14, Mason-2)
punct(Mason-2, ,-3)
appos(Mason-2, president-4)
prep(president-4, of-5)
nn(Co.-7, Ames-6)
pobj(of-5, Co.-7)
prep(Co.-7, in-8)
pobj(in-8, Parkersburg-9)
punct(Parkersburg-9, ,-10)
nn(Va.-12, W.-11)
dep(Parkersburg-9, Va.-12)
punct(Mason-2, ,-13)
root(ROOT-0, says-14)
det(rake-17, the-15)
nn(rake-17, Barrett-16)
nsubj(makes-19, rake-17)
punct(makes-19, ``-18)
dep(says-14, makes-19)
dep(makes-19, sense-20)
punct(makes-19, ,-21)
punct(makes-19, ''-22)
cc(makes-19, but-23)
dep(tough-28, it-24)
aux(tough-28, would-25)
cop(tough-28, be-26)
punct(tough-28, ``-27)
conj(makes-19, tough-28)
punct(tough-28, ''-29)
aux(explain-31, to-30)
ccomp(tough-28, explain-31)
prep(explain-31, to-32)
dep(to-32, consumers-33)
punct(says-14, .-34)

nn(Stoner-2, John-1)
nsubj(says-18, Stoner-2)
punct(Stoner-2, ,-3)
nn(director-5, marketing-4)
appos(Stoner-2, director-5)
prep(director-5, for-6)
nn(Corp.-9, True-7)
nn(Corp.-9, Temper-8)
pobj(for-6, Corp.-9)
punct(Corp.-9, ,-10)
det(subsidiary-12, a-11)
appos(Corp.-9, subsidiary-12)
prep(subsidiary-12, of-13)
pobj(of-13, Black-14)
cc(Black-14, &-15)
conj(Black-14, Decker-16)
punct(Stoner-2, ,-17)
root(ROOT-0, says-18)
dep(want-22, people-19)
aux(want-22, do-20)
neg(want-22, n't-21)
ccomp(says-18, want-22)
aux(move-24, to-23)
xcomp(want-22, move-24)
det(pile-27, a-25)
nn(pile-27, leaf-26)
dobj(move-24, pile-27)
punct(says-18, .-28)

punct(pick-4, ``-1)
dep(pick-4, They-2)
advmod(pick-4, either-3)
root(ROOT-0, pick-4)
dep(pick-4, it-5)
dep(pick-4, up-6)
punct(says-10, ,-7)
punct(says-10, ''-8)
dep(says-10, he-9)
dep(pick-4, says-10)
punct(says-10, ,-11)
punct(pick-4, ``-12)
cc(start-15, or-13)
dep(start-15, they-14)
parataxis(pick-4, start-15)
xcomp(start-15, pulling-16)
prep(pulling-16, from-17)
det(direction-20, a-18)
amod(direction-20, fresh-19)
pobj(from-17, direction-20)
punct(pick-4, .-21)
punct(pick-4, ''-22)

root(ROOT-0, Odds-1)
cc(Odds-1, and-2)
conj(Odds-1, Ends-3)

neg(toes-4, NO-1)
advmod(toes-4, MORE-2)
amod(toes-4, STUBBED-3)
dep(promises-9, toes-4)
cc(toes-4, or-5)
amod(shins-7, bruised-6)
conj(toes-4, shins-7)
punct(promises-9, ,-8)
root(ROOT-0, promises-9)
nn(Corp.-11, Geste-10)
nsubj(promises-9, Corp.-11)
prep(Corp.-11, of-12)
nn(Ind.-15, Goshen-13)
punct(Ind.-15, ,-14)
pobj(of-12, Ind.-15)
punct(Ind.-15, ,-16)
det(designer-18, the-17)
dep(Corp.-11, designer-18)
prep(designer-18, of-19)
det(support-22, a-20)
nn(support-22, bed-21)
pobj(of-19, support-22)
aux(replace-24, to-23)
vmod(support-22, replace-24)
amod(frames-26, traditional-25)
dobj(replace-24, frames-26)
punct(promises-9, .-27)

num(Bedfellows-5, Four-1)
amod(Bedfellows-5, tubular-2)
nn(Bedfellows-5, steel-3)
punct(Bedfellows-5, ``-4)
nsubjpass(attached-20, Bedfellows-5)
punct(Bedfellows-5, ,-6)
punct(Bedfellows-5, ''-7)
dep(Bedfellows-5, each-8)
advmod(in-10, roughly-9)
prep(each-8, in-10)
det(shape-12, the-11)
pobj(in-10, shape-12)
prep(shape-12, of-13)
det(W-16, a-14)
punct(W-16, ``-15)
pobj(of-13, W-16)
punct(Bedfellows-5, ,-17)
punct(Bedfellows-5, ''-18)
auxpass(attached-20, are-19)
root(ROOT-0, attached-20)
prep(attached-20, to-21)
det(bottom-23, the-22)
pobj(to-21, bottom-23)
prep(bottom-23, of-24)
det(spring-27, the-25)
nn(spring-27, box-26)
pobj(of-24, spring-27)
prep(attached-20, in-28)
det(position-31, a-29)
amod(position-31, recessed-30)
pobj(in-28, position-31)
punct(attached-20, ...-32)
punct(attached-20, .-33)

quantmod(half-2, Nearly-1)
nsubj(say-6, half-2)
prep(half-2, of-3)
nn(consumers-5, U.S.-4)
pobj(of-3, consumers-5)
root(ROOT-0, say-6)
dep(pay-9, they-7)
aux(pay-9, 'll-8)
ccomp(say-6, pay-9)
quantmod(5-12, up-10)
dep(5-12, to-11)
dep(%-13, 5-12)
dep(more-14, %-13)
dobj(pay-9, more-14)
prep(pay-9, for-15)
pobj(for-15, packaging-16)
mark(recycled-20, that-17)
aux(recycled-20, can-18)
