nummod(put, 3)
punct(Laboratories, ,)
nsubj(means, which)
acl:relcl(Laboratories, means)
nsubj(safe, it)
cop(safe, is)
ccomp(means, safe)
punct(has, .)
det(unit, The)
nsubj(consists, unit)
root(ROOT, consists)
case(motor, of)
det(motor, a)
amod(motor, small)
obl(consists, motor)
nsubj(goes, that)
acl:relcl(motor, goes)
advmod(goes, on)
advmod(soon, as)
advmod(goes, soon)
mark(plugged, as)
nsubj:pass(plugged, it)
aux:pass(plugged, is)
advcl(soon, plugged)
obl(plugged, in)
punct(consists, .)
det(speed, The)
nsubj:pass(controlled, speed)
aux:pass(controlled, is)
parataxis(consists, controlled)
mark(pressing, by)
advcl(controlled, pressing)
case(buttons, on)
det(buttons, the)
nummod(buttons, two)
compound(buttons, brake)
obl(pressing, buttons)
acl(buttons, located)
advmod(placed, where)
det(finger, the)
compound(finger, index)
nsubj:pass(placed, finger)
cc(thumb, and)
conj(finger, thumb)
aux:pass(placed, are)
acl:relcl(buttons, placed)
mark(holding, when)
advcl(placed, holding)
det(motor, the)
obj(holding, motor)
punct(consists, .)
det(brushes, The)
nsubj:pass(cleaned, brushes)
aux(cleaned, can)
aux:pass(cleaned, be)
root(ROOT, cleaned)
cc(sterilized, and)
conj(cleaned, sterilized)
case(boiling, by)
obl(cleaned, boiling)
cc(detachable, and)
cop(detachable, are)
conj(cleaned, detachable)
mark(have, so)
fixed(so, that)
det(member, every)
nsubj(have, member)
case(family, of)
det(family, the)
nmod(member, family)
aux(have, can)
advcl(detachable, have)
nmod:poss(own, his)
obj(have, own)
punct(cleaned, .)
nsubj(brush, Most)
case(us, of)
nmod(Most, us)
root(ROOT, brush)
nmod:poss(teeth, our)
obj(brush, teeth)
case(hand, by)
obl(brush, hand)
punct(brush, .)
det(same, The)
nsubj:pass(said, same)
aux(said, can)
aux:pass(said, be)
root(ROOT, said)
case(shaving, of)
obl(said, shaving)
cc(proved, yet)
det(razor, the)
amod(razor, electric)
nsubj(proved, razor)
aux(proved, has)
conj(said, proved)
xcomp(proved, useful)
case(men, to)
amod(men, many)
obl(useful, men)
punct(said, .)
det(toothbrush, The)
amod(toothbrush, electric)
nsubj(moves, toothbrush)
root(ROOT, moves)
case(direction, in)
det(direction, a)
amod(direction, vertical)
obl(moves, direction)
punct(moves, ,)
det(way, the)
parataxis(moves, way)
nsubj(recommend, dentists)
acl:relcl(way, recommend)
punct(moves, .)
case(addition, In)
obl(small, addition)
punct(small, ,)
expl(small, it)
cop(small, is)
root(ROOT, small)
nsubj(small, enough)
mark(get, to)
ccomp(enough, get)
case(crevices, into)
obl(get, crevices)
punct(jacket, ,)
conj(crevices, jacket)
cc(crown, and)
conj(jacket, crown)
conj(crevices, margins)
punct(anteriors, ,)
amod(anteriors, malposed)
conj(crevices, anteriors)
punct(teeth, ,)
cc(teeth, and)
det(teeth, the)
compound(teeth, back)
conj(crevices, teeth)
punct(small, .)
det(bristles, The)
nsubj(soft, bristles)
cop(soft, are)
root(ROOT, soft)
advmod(soft, enough)
mark(massage, to)
advcl(soft, massage)
det(gums, the)
obj(massage, gums)
cc(scratch, and)
advmod(scratch, not)
conj(massage, scratch)
det(enamel, the)
obj(scratch, enamel)
punct(soft, .)
expl(conceivable, It)
cop(conceivable, is)
root(ROOT, conceivable)
mark(do, that)
nsubj(do, Broxodent)
aux(do, could)
csubj(conceivable, do)
det(job, a)
amod(job, better)
obj(do, job)
case(brushing, than)
amod(brushing, ordinary)
obl(do, brushing)
punct(do, ,)
advmod(those, especially)
case(those, in)
obl(do, those)
nsubj(brush, who)
aux(brush, do)
advmod(brush, not)
acl:relcl(those, brush)
nmod:poss(teeth, their)
obj(brush, teeth)
advmod(brush, properly)
punct(conceivable, .)
amod(dentists, Several)
nsubj(experimented, dentists)
cc(patients, and)
conj(dentists, patients)
case(problems, with)
amod(problems, special)
amod(problems, dental)
nmod(dentists, problems)
aux(experimented, have)
root(ROOT, experimented)
case(device, with)
det(device, the)
obl(experimented, device)
punct(experimented, .)
det(results, The)
nsubj(good, results)
cop(good, were)
root(ROOT, good)
mark(difficult, although)
nsubj(difficult, they)
cop(difficult, are)
advcl(good, difficult)
mark(compare, to)
xcomp(difficult, compare)
case(brushing, with)
compound(brushing, hand)
obl(compare, brushing)
punct(compare, ,)
advmod(knows, particularly)
mark(knows, when)
det(individual, the)
nsubj(knows, individual)
advcl(good, knows)
advmod(brush, how)
mark(brush, to)
ccomp(knows, brush)
nmod:poss(teeth, his)
obj(brush, teeth)
advmod(brush, properly)
punct(good, .)
det(gadget, The)
amod(gadget, electric)
nsubj(helpful, gadget)
cop(helpful, is)
advmod(helpful, most)
root(ROOT, helpful)
mark(are, when)
expl(are, there)
advcl(helpful, are)
amod(teeth, many)
amod(teeth, crowned)
nsubj(are, teeth)
cc(individuals, and)
case(individuals, in)
conj(teeth, individuals)
nsubj(elderly, who)
cop(elderly, are)
acl:relcl(individuals, elderly)
punct(bedfast, ,)
conj(elderly, bedfast)
case(disease, with)
det(disease, a)
amod(disease, chronic)
obl(elderly, disease)
punct(handicapped, ,)
cc(handicapped, or)
aux:pass(handicapped, are)
conj(elderly, handicapped)
case(disorders, by)
obl(handicapped, disorders)
case(palsy, such)
fixed(such, as)
amod(palsy, cerebral)
nmod(disorders, palsy)
cc(dystrophy, or)
amod(dystrophy, muscular)
conj(palsy, dystrophy)
punct(helpful, .)
cc(prove, But)
case(many, for)
obl(prove, many)
case(us, of)
nmod(many, us)
punct(prove, ,)
nsubj(prove, it)
aux(prove, will)
root(ROOT, prove)
det(luxury, an)
amod(luxury, enjoyable)
obj(prove, luxury)
punct(prove, .)
nsubj(convenient, It)
cop(convenient, is)
advmod(convenient, not)
advmod(convenient, as)
root(ROOT, convenient)
case(toothbrush, as)
det(toothbrush, the)
amod(toothbrush, old)
compound(toothbrush, type)
obl(convenient, toothbrush)
cc(tends, and)
det(paste, the)
nsubj(tends, paste)
conj(convenient, tends)
mark(shimmy, to)
xcomp(tends, shimmy)
compound:prt(shimmy, off)
det(bristles, the)
obj(shimmy, bristles)
punct(convenient, .)
mark(new, Since)
det(apparatus, the)
nsubj(new, apparatus)
cop(new, is)
advcl(requires, new)
punct(requires, ,)
nsubj(requires, it)
root(ROOT, requires)
obj(requires, experimentation)
cc(changes, and)
conj(experimentation, changes)
case(technique, in)
obl(requires, technique)
punct(requires, . )
root(ROOT, Turn)
compound:prt(Turn, over)
obj(Turn, writes)
punct(Turn, :)
aux(indicate, Does)
nsubj(indicate, numbness)
case(hand, in)
det(hand, the)
amod(hand, left)
nmod(numbness, hand)
case(night, at)
nmod(hand, night)
punct(hand, ,)
nsubj(awakens, which)
acl:relcl(hand, awakens)
det(person, the)
obj(awakens, person)
punct(indicate, ,)
root(ROOT, indicate)
compound(tumor, brain)
obj(indicate, tumor)
punct(indicate, ?)
punct(indicate, ?)
root(ROOT, Reply)
punct(Reply, :)
discourse(symptom, no)
punct(Reply, .)
nsubj(symptom, This)
cop(symptom, is)
det(symptom, a)
amod(symptom, common)
parataxis(Reply, symptom)
cc(pressure, and)
det(cause, the)
nsubj(pressure, cause)
advmod(pressure, usually)
cop(pressure, is)
conj(symptom, pressure)
case(nerve, on)
det(nerve, the)
nmod(pressure, nerve)
acl(nerve, leading)
case(hand, to)
det(hand, the)
amod(hand, affected)
obl(leading, hand)
punct(Reply, .)
det(pressure, The)
nsubj(come, pressure)
aux(come, may)
root(ROOT, come)
case(muscles, from)
obl(come, muscles)
punct(tendons, ,)
conj(muscles, tendons)
punct(bones, ,)
cc(bones, or)
conj(muscles, bones)
advmod(come, anywhere)
case(neck, from)
det(neck, the)
obl(anywhere, neck)
case(hand, to)
det(hand, the)
obl(come, hand)
punct(come, .)
compound(baths, Steam)
nsubj(writes, baths)
root(ROOT, writes)
punct(writes, :)
aux(have, Do)
compound(baths, steam)
nsubj(have, baths)
root(ROOT, have)
det(value, any)
compound(value, health)
obj(have, value)
punct(have, ?)
punct(have, ?)
root(ROOT, Reply)
punct(Reply, : )
discourse(other, No)
punct(other, ,)
root(ROOT, other)
mark(cleaning, than)
advcl(other, cleaning)
compound:prt(cleaning, out)
det(pores, the)
obj(cleaning, pores)
cc(making, and)
conj(cleaning, making)
det(glands, the)
compound(glands, sweat)
nsubj(work, glands)
ccomp(making, work)
xcomp(work, harder)
punct(other, .)
det(bath, An)
amod(bath, ordinary)
amod(bath, hot)
nsubj(do, bath)
cc(shower, or)
conj(bath, shower)
aux(do, will)
root(ROOT, do)
det(same, the)
obj(do, same)
punct(do, .)
nsubj(brings, Sewing)
root(ROOT, brings)
compound(writes, numbness)
obj(brings, writes)
punct(brings, :)
nsubj(makes, What)
root(ROOT, makes)
nmod:poss(hands, my)
obj(makes, hands)
xcomp(makes, numb)
mark(sewing, when)
advcl(makes, sewing)
punct(makes, ?)
punct(makes, ?)
root(ROOT, Reply)
punct(Reply, :)
expl(are, There)
root(ROOT, are)
amod(possibilities, many)
nsubj(are, possibilities)
punct(possibilities, ,)
case(circulation, including)
amod(circulation, poor)
nmod(possibilities, circulation)
punct(variety, ,)
det(variety, a)
conj(circulation, variety)
case(conditions, of)
amod(conditions, neurological)
nmod(variety, conditions)
punct(disorders, ,)
cc(disorders, and)
amod(disorders, functional)
conj(circulation, disorders)
punct(are, .)
det(manifestation, This)
nsubj(sign, manifestation)
aux(sign, may)
cop(sign, be)
det(sign, an)
amod(sign, early)
root(ROOT, sign)
case(sclerosis, of)
amod(sclerosis, multiple)
nmod(sign, sclerosis)
cc(beginning, or)
det(beginning, the)
conj(sclerosis, beginning)
case(cramp, of)
nmod:poss(cramp, sewer)
case(sewer, 's)
nmod(beginning, cramp)
punct(sign, .)
nsubj(writes, Brace)
case(sciatica, for)
nmod(Brace, sciatica)
root(ROOT, writes)
punct(Brace, :)
aux(help, Does)
det(brace, a)
nsubj(help, brace)
root(ROOT, help)
case(sciatica, in)
obl(help, sciatica)
punct(help, ?)
punct(help, ?)
root(ROOT, Reply)
punct(Reply, : )
det(brace, A)
amod(brace, back)
nsubj(help, brace)
aux(help, might)
root(ROOT, help)
punct(help, ,)
case(cause, depending)
case(cause, upon)
det(cause, the)
obl(help, cause)
case(sciatica, of)
nmod(cause, sciatica)
punct(writes, .)
nsubj(writes, Cholesterol)
cc(thyroid, and)
conj(Cholesterol, thyroid)
ccomp(help, writes)
punct(help, :)
aux(go, Does)
det(cholesterol, the)
nsubj(go, cholesterol)
root(ROOT, go)
advmod(go, down)
mark(removed, when)
nsubj:pass(removed, most)
case(gland, of)
det(gland, the)
compound(gland, thyroid)
nmod(most, gland)
aux:pass(removed, is)
advcl(go, removed)
punct(go, ?)
punct(go, ?)
root(ROOT, Reply)
punct(Reply, :)
discourse(Reply, no)
punct(Reply, .)
nsubj(goes, It)
advmod(goes, usually)
root(ROOT, goes)
compound:prt(goes, up)
punct(goes, .)
det(level, The)
compound(level, cholesterol)
nsubj:pass(influenced, level)
case(blood, in)
det(blood, the)
nmod(level, blood)
aux:pass(influenced, is)
root(ROOT, influenced)
case(glands, by)
det(glands, the)
obl(influenced, glands)
case(body, of)
det(body, the)
nmod(glands, body)
punct(influenced, .)
nsubj(low, It)
cop(low, is)
root(ROOT, low)
mark(overactive, when)
det(thyroid, the)
nsubj(overactive, thyroid)
cop(overactive, is)
advcl(low, overactive)
cc(high, and)
conj(overactive, high)
mark(sluggish, when)
det(gland, the)
nsubj(sluggish, gland)
cop(sluggish, is)
advcl(overactive, sluggish)
punct(low, .)
det(latter, The)
nsubj(likely, latter)
cop(likely, is)
root(ROOT, likely)
mark(occur, to)
xcomp(likely, occur)
mark(removed, when)
det(thyroid, the)
nsubj:pass(removed, thyroid)
aux:pass(removed, is)
advcl(occur, removed)
punct(likely, .)
det(gap, The)
nsubj(grows, gap)
case(bookshelf, between)
det(bookshelf, the)
nmod(gap, bookshelf)
cc(cabinet, and)
det(cabinet, the)
amod(cabinet, record)
conj(bookshelf, cabinet)
root(ROOT, grows)
xcomp(grows, smaller)
case(catalogue, with)
det(catalogue, each)
amod(catalogue, new)
compound(catalogue, recording)
obl(smaller, catalogue)
punct(grows, .)
expl('s, There)
root(ROOT, 's)
amod(reading, more)
nsubj('s, reading)
cc(instruction, and)
conj(reading, instruction)
mark(heard, to)
aux:pass(heard, be)
acl(reading, heard)
case(discs, on)
obl(heard, discs)
case(ever, than)
obl(heard, ever)
advmod(heard, before)
punct(heard, ,)
mark(old, although)
det(spoken, the)
advcl(guessed, spoken)
cc(old, rather)
fixed(rather, than)
det(word, the)
amod(word, sung)
nsubj(old, word)
cop(old, is)
advmod(old, as)
advcl(spoken, old)
mark(experiment, as)
nmod:poss(experiment, Thomas)
flat(Thomas, Alva)
nmod:poss(experiment, Edison)
case(Thomas, 's)
amod(experiment, first)
obl(old, experiment)
case(sound, in)
amod(sound, recorded)
nmod(experiment, sound)
punct(guessed, .)
nsubj(guessed, Edison)
aux(guessed, could)
advmod(guessed, hardly)
aux(guessed, have)
parataxis('s, guessed)
punct(guessed, ,)
advmod(guessed, however)
punct(guessed, ,)
mark(appear, that)
nsubj(appear, Sophocles)
aux(appear, would)
nummod(day, one)
nsubj(appear, day)
ccomp(guessed, appear)
case(stereo, in)
obl(appear, stereo)
punct('s, .)
mark(eclectic, If)
det(buyer, the)
amod(buyer, record)
nmod:poss(tastes, buyer)
case(buyer, 's)
nsubj(eclectic, tastes)
cop(eclectic, are)
advmod(eclectic, somewhat)
advcl(find, eclectic)
cc(esoteric, or)
advmod(esoteric, even)
det(bit, the)
amod(bit, slightest)
obl:npmod(esoteric, bit)
conj(eclectic, esoteric)
punct(find, ,)
nsubj(find, he)
aux(find, will)
root(ROOT, find)
obj(find, them)
xcomp(find, satisfied)
case(records, on)
amod(records, educational)
obl(satisfied, records)
punct(find, .)
cc(avoid, And)
nsubj(avoid, he)
aux(avoid, will)
root(ROOT, avoid)
compound(strain, eye)
punct(strain, -)
obj(avoid, strain)
case(process, in)
det(process, the)
obl(avoid, process)
punct(avoid, .)
nsubj:pass(adapted, Everything)
case(poetry, from)
nmod(Everything, poetry)
case(phonetics, to)
nmod(Everything, phonetics)
punct(history, ,)
conj(phonetics, history)
case(histrionics, to)
nmod(phonetics, histrionics)
punct(philosophy, ,)
conj(phonetics, philosophy)
case(games, to)
compound(games, party)
nmod(philosophy, games)
aux(adapted, has)
aux:pass(adapted, been)
root(ROOT, adapted)
case(turntable, to)
det(turntable, the)
obl(adapted, turntable)
punct(adapted, .)
case(ambition, For)
amod(ambition, sheer)
obl(take, ambition)
punct(take, ,)
root(ROOT, take)
det(series, the)
compound(series, Decca)
obj(take, series)
acl(series, titled)
advmod(titled, modestly)
punct(take, ``)
nsubj(contain, Wisdom)
punct(Wisdom, '')
punct(Wisdom, .)
nsubj(contain, Volumes)
nummod(Volumes, One)
cc(Two, and)
conj(One, Two)
punct(Volumes, ,)
acl(Volumes, selected)
case(tracks, from)
det(tracks, the)
compound(tracks, sound)
obl(selected, tracks)
case(series, of)
det(series, a)
compound(series, television)
nmod(tracks, series)
punct(contain, ,)
root(ROOT, contain)
punct(conversations, ``)
obj(contain, conversations)
case(men, with)
det(men, the)
compound(men, elder)
amod(men, wise)
nmod(conversations, men)
case(day, of)
nmod:poss(day, our)
nmod(men, day)
punct(contain, '')
punct(contain, .)
det(sages, These)
nsubj(include, sages)
root(ROOT, include)
compound(Carl, poet)
obj(include, Carl)
flat(Carl, Sandburg)
punct(Carl, ,)
conj(Carl, statesman)
compound(Nehru, Jawaharlal)
appos(Carl, Nehru)
cc(Jacques, and)
compound(Jacques, sculptor)
conj(Carl, Jacques)
flat(Jacques, Lipchitz)
punct(Carl, ,)
case(Volume, in)
obl(include, Volume)
nummod(Volume, One)
punct(Sean, ,)
cc(Sean, and)
compound(Sean, playwright)
conj(Carl, Sean)
flat(Sean, O'Casey)
punct(David, ,)
conj(Sean, David)
flat(David, Ben)
punct(David, -)
flat(David, Gurion)
punct(Bertrand, ,)
compound(Bertrand, philosopher)
conj(Sean, Bertrand)
flat(Bertrand, Russell)
cc(Frank, and)
det(Frank, the)
amod(Frank, late)
conj(Bertrand, Frank)
flat(Frank, Lloyd)
flat(Frank, Wright)
case(set, in)
det(set, the)
amod(set, second)
obl(heard, set)
punct(heard, .)
nsubj:pass(heard, Hugh)
flat(Hugh, Downs)
aux:pass(heard, is)
parataxis(include, heard)
advcl(heard, interviewing)
obj(interviewing, Wright)
punct(heard, ,)
case(fillip, for)
det(fillip, an)
amod(fillip, added)
compound(fillip, prestige)
obl(heard, fillip)
punct(include, .)
expl('s, There)
root(ROOT, 's)
amod(specialization, more)
nsubj('s, specialization)
cc(purpose, and)
det(purpose, a)
amod(purpose, narrower)
conj(specialization, purpose)
case(albums, in)
nummod(albums, two)
nmod(purpose, albums)
advmod(issued, recently)
acl(albums, issued)
case(Publications, by)
compound(Publications, Dover)
obl(issued, Publications)
punct('s, .)
nsubj(publishes, Dover)
punct(publishes, ``)
parataxis('s, publishes)
punct(publishes, '')
obj(calls, what)
det(company, the)
nsubj(calls, company)
ccomp(publishes, calls)
punct(publishes, ``)
root(ROOT, Listen)
cc(Learn, And)
conj(Listen, Learn)
punct(Productions, '')
obj(Learn, Productions)
acl(Productions, designed)
mark(teach, to)
advcl(designed, teach)
amod(languages, foreign)
obj(teach, languages)
punct(Listen, .)
amod(presentations, Previous)
nsubj(French, presentations)
aux(French, have)
cop(French, been)
case(French, on)
root(ROOT, French)
punct(Spanish, ,)
conj(French, Spanish)
punct(Russian, ,)
conj(French, Russian)
punct(Italian, ,)
conj(French, Italian)
punct(German, ,)
conj(French, German)
cc(Japanese, and)
conj(French, Japanese)
punct(French, .)
cc(recognized, But)
det(firm, the)
nsubj(recognized, firm)
aux(recognized, has)
root(ROOT, recognized)
det(dollar, the)
amod(dollar, tight)
obj(recognized, dollar)
cc(desire, and)
det(tourist, the)
nmod:poss(desire, tourist)
case(tourist, 's)
conj(dollar, desire)
mark(visit, to)
acl(desire, visit)
det(countries, the)
punct(traveled, ``)
amod(countries, smaller)
punct(traveled, ,)
advmod(traveled, less)
punct(traveled, -)
conj(smaller, traveled)
cc(inexpensive, and)
advmod(inexpensive, relatively)
conj(smaller, inexpensive)
obj(visit, countries)
punct(countries, '')
punct(prepared, ,)
cc(prepared, and)
aux:pass(prepared, is)
advmod(prepared, now)
conj(recognized, prepared)
mark(teach, to)
xcomp(prepared, teach)
amod(Greek, modern)
obj(teach, Greek)
cc(Portuguese, and)
conj(Greek, Portuguese)
case(recordings, through)
obl(teach, recordings)
punct(recognized, .)
det(vocabularies, The)
amod(vocabularies, respective)
nsubj(available, vocabularies)
punct(essential, ``)
amod(vocabularies, essential)
case(travel, for)
obl(essential, travel)
punct(essential, '')
cop(available, are)
root(ROOT, available)
case(albums, in)
amod(albums, separate)
obl(available, albums)
punct(available, .)
obl:npmod(hear, Thanks)
case(Records, to)
compound(Arts, Spoken)
compound(Records, Arts)
nmod(Thanks, Records)
punct(hear, ,)
compound(buffs, history)
nsubj(hear, buffs)
aux(hear, may)
root(ROOT, hear)
nmod:poss(speeches, Lincoln)
case(Lincoln, 's)
punct(speeches, ``)
advmod(memorable, most)
amod(speeches, memorable)
obj(hear, speeches)
cc(letters, and)
conj(speeches, letters)
punct(speeches, '')
case(set, in)
det(set, a)
nummod(disc, two)
punct(disc, -)
compound(set, disc)
nmod(speeches, set)
punct(set, ,)
acl(set, interpreted)
case(authority, by)
compound(authority, Lincoln)
obl(interpreted, authority)
cc(Roy, and)
compound(Roy, lecturer)
conj(authority, Roy)
flat(Roy, P.)
flat(Roy, Basler)
punct(hear, .)
case(bonus, As)
det(bonus, a)
amod(bonus, contemporary)
obl(includes, bonus)
punct(includes, ,)
det(set, the)
nsubj(includes, set)
root(ROOT, includes)
nmod:poss(address, Carl)
flat(Carl, Sandburg)
case(Carl, 's)
obj(includes, address)
case(session, at)
det(session, a)
amod(session, joint)
obl(includes, session)
case(Congress, of)
nmod(session, Congress)
punct(delivered, ,)
conj(includes, delivered)
case(birthday, on)
nmod:poss(birthday, Lincoln)
case(Lincoln, 's)
obl(delivered, birthday)
nummod(years, two)
obl:npmod(ago, years)
advmod(delivered, ago)
punct(includes, .)
case(those, For)
obl(makes, those)
nsubj(poetry, who)
punct(poetry, ``)
case(poetry, like)
acl:relcl(those, poetry)
cc(get, but)
advmod(get, never)
conj(poetry, get)
advmod(get, around)
mark(reading, to)
advcl(get, reading)
obj(reading, it)
punct(get, '')
punct(makes, ,)
det(Library, the)
nsubj(makes, Library)
case(Congress, of)
nmod(Library, Congress)
root(ROOT, makes)
expl(makes, it)
xcomp(makes, possible)
mark(heard, for)
nsubj:pass(heard, poets)
mark(heard, to)
aux:pass(heard, be)
advcl(possible, heard)
advcl(heard, reading)
nmod:poss(work, their)
amod(work, own)
obj(reading, work)
punct(makes, .)
det(program, The)
nsubj:pass(instituted, program)
aux:pass(instituted, was)
root(ROOT, instituted)
case(1940, in)
obl(instituted, 1940)
punct(available, ,)
cc(available, and)
nsubj(available, releases)
cop(available, are)
conj(instituted, available)
advmod(Laboratory, only)
case(Laboratory, from)
det(Laboratory, the)
compound(Laboratory, Recording)
obl(available, Laboratory)
case(Library, of)
det(Library, the)
nmod(Laboratory, Library)
case(Congress, of)
nmod(Library, Congress)
punct(Congress, ,)
appos(Congress, Washington)
nummod(Washington, 25)
punct(Washington, ,)
appos(Congress, D.C.)
punct(available, .)
det(catalogue, A)
nsubj(available, catalogue)
cop(available, is)
acl:relcl(Laboratory, available)
case(request, on)
obl(available, request)
punct(instituted, .)
nsubj(John, Newest)
case(list, on)
det(list, the)
obl(Newest, list)
cop(John, are)
root(ROOT, John)
flat(John, Ciardi)
punct(W., ,)
conj(John, W.)
flat(W., D.)
flat(W., Snodgrass)
punct(I., ,)
conj(John, I.)
flat(I., A.)
flat(I., Richards)
punct(Oscar, ,)
conj(John, Oscar)
flat(Oscar, Williams)
punct(Robert, ,)
conj(John, Robert)
flat(Robert, Hillyer)
punct(John, ,)
conj(John, John)
flat(John, Hall)
flat(John, Wheelock)
punct(Stephen, ,)
conj(John, Stephen)
flat(Stephen, Vincent)
flat(Stephen, Benet)
punct(Edwin, ,)
conj(John, Edwin)
flat(Edwin, Muir)
punct(John, ,)
conj(John, John)
flat(John, Peal)
flat(Maxwell, Bishop)
cc(Maxwell, and)
conj(John, Maxwell)
flat(Maxwell, Bodenheim)
punct(John, .)
nummod(poets, Two)
nsubj:pass(paired, poets)
aux:pass(paired, are)
root(ROOT, paired)
case(record, on)
det(record, each)
obl(paired, record)
punct(paired, ,)
case(order, in)
det(order, the)
obl(paired, order)
acl(order, given)
advmod(given, above)
punct(paired, .)
nsubj(company, Decca)
cop(company, is)
advmod(company, not)
det(company, the)
amod(company, only)
amod(company, large)
amod(company, commercial)
parataxis(paired, company)
mark(impart, to)
acl(company, impart)
obj(impart, instruction)
punct(company, .)
nsubj(has, RCA)
nsubj(has, Victor)
parataxis(company, has)
det(project, an)
amod(project, ambitious)
cc(useful, and)
conj(ambitious, useful)
obj(has, project)
case(series, in)
det(series, a)
compound(series, stereo)
nmod(project, series)
acl(series, called)
punct(has, ``)
root(ROOT, Adventures)
case(Music, In)
nmod(Adventures, Music)
punct(Adventures, '')
punct(Adventures, ,)
nsubj(library, which)
cop(library, is)
det(library, an)
amod(library, instructional)
compound(library, record)
acl:relcl(Adventures, library)
case(schools, for)
amod(schools, elementary)
nmod(library, schools)
punct(Adventures, .)
nsubj(perform, Howard)
flat(Howard, Mitchell)
cc(Symphony, and)
det(Symphony, the)
compound(Symphony, National)
conj(Howard, Symphony)
root(ROOT, perform)
case(releases, in)
det(releases, the)
amod(releases, first)
nummod(releases, two)
obl(perform, releases)
punct(releases, ,)
acl(releases, designed)
case(grades, for)
obl(designed, grades)
nummod(grades, one)
cc(two, and)
conj(one, two)
punct(two, .)
compound(guides, Teaching)
nsubj:pass(included, guides)
aux:pass(included, are)
conj(perform, included)
case(record, with)
det(record, each)
obl(included, record)
punct(perform, .)
case(effort, In)
det(effort, an)
obl(reflects, effort)
mark(fortify, to)
acl(effort, fortify)
obj(fortify, himself)
case(upsets, against)
det(upsets, the)
amod(upsets, unforseen)
obl(fortify, upsets)
amod(upsets, sure)
mark(arise, to)
xcomp(sure, arise)
case(future, in)
det(future, the)
obl(arise, future)
punct(reflects, ,)
nsubj(reflects, Herbert)
flat(Herbert, A.)
flat(Herbert, Leggett)
punct(Herbert, ,)
compound(editor, banker)
punct(editor, -)
appos(Herbert, editor)
case(Phoenix, of)
det(Phoenix, the)
nmod(editor, Phoenix)
punct(Progress, ``)
compound(Progress, Arizona)
appos(Phoenix, Progress)
punct(Progress, '')
punct(reflects, ,)
root(ROOT, reflects)
case(few, upon)
det(few, a)
obl(reflects, few)
case(experiences, of)
det(experiences, the)
amod(experiences, depressing)
nmod(few, experiences)
case(fifties, of)
det(fifties, the)
amod(fifties, feverish)
nmod(experiences, fifties)
punct(reflects, .)
nsubj(shows, One)
case(roughest, of)
det(roughest, the)
nmod(One, roughest)
cop(shows, was)
det(shows, the)
compound(shows, TV)
compound(shows, quiz)
root(ROOT, shows)
punct(shows, ,)
nsubj(gave, which)
acl:relcl(shows, gave)
iobj(gave, him)
compound(complexes, inferiority)
obj(gave, complexes)
punct(gave, .)
mark(relief, Though)
nsubj(relief, it)
cop(relief, was)
det(relief, a)
amod(relief, great)
advcl(gave, relief)
mark(turned, when)
det(brains, the)
amod(brains, big)
nsubj(turned, brains)
case(shows, on)
det(shows, these)
nmod(brains, shows)
advcl(relief, turned)
compound:prt(turned, out)
mark(frauds, to)
cop(frauds, be)
xcomp(turned, frauds)
cc(phonies, and)
conj(frauds, phonies)
punct(did, ,)
nsubj(did, it)
conj(turned, did)
amod(damage, irreparable)
obj(did, damage)
case(ego, to)
det(ego, the)
nmod(damage, ego)
case(editor, of)
det(editor, the)
nmod(ego, editor)
cc(American, and)
amod(American, many)
det(American, another)
amod(American, intelligent)
punct(American, ,)
advmod(informed, well)
punct(informed, -)
amod(American, informed)
conj(editor, American)
punct(shows, .)
cc(dancer, But)
det(one, the)
nsubj(dancer, one)
nsubj(upset, that)
acl:relcl(one, upset)
det(wise, the)
advmod(wise, financially)
xcomp(upset, wise)
cop(dancer, was)
det(dancer, the)
amod(dancer, professional)
root(ROOT, dancer)
nsubj(related, who)
acl:relcl(dancer, related)
case(book, in)
det(book, a)
obl(related, book)
advmod(parlayed, how)
nsubj(parlayed, he)
acl:relcl(book, parlayed)
nmod:poss(earnings, his)
obj(parlayed, earnings)
case(profit, into)
det(profit, a)
compound(profit, $)
nummod($, 2,000,000)
obl(parlayed, profit)
case(market, on)
det(market, the)
compound(market, stock)
nmod(profit, market)
punct(dancer, .)
det(man, Every)
nsubj(face, man)
nsubj(dabbles, who)
acl:relcl(man, dabbles)
case(market, in)
det(market, the)
obl(dabbles, market)
mark(make, to)
advcl(dabbles, make)
det(money, a)
advmod(easy, little)
amod(money, easy)
obj(make, money)
case(side, on)
det(side, the)
obl(make, side)
cc(suffers, and)
conj(make, suffers)
obj(suffers, losses)
aux(face, could)
case(time, at)
det(time, the)
obl(face, time)
advmod(face, hardly)
root(ROOT, face)
nmod:poss(wife, his)
obj(face, wife)
nsubj(wondering, who)
aux(wondering, was)
acl:relcl(wife, wondering)
advmod(dumb, how)
nmod:poss(husband, her)
nsubj(dumb, husband)
aux(dumb, could)
cop(dumb, be)
advmod(dumb, so)
ccomp(wondering, dumb)
punct(face, .)
nsubj(breathed, Investors)
root(ROOT, breathed)
advmod(freely, more)
advmod(breathed, freely)
mark(learned, when)
nsubj:pass(learned, it)
aux:pass(learned, was)
advcl(breathed, learned)
mark(turned, that)
det(dancer, this)
amod(dancer, acrobatic)
nsubj(turned, dancer)
aux(turned, had)
ccomp(learned, turned)
