amod(Pants-2, Red-1)
cop(sure-9, am-8)
conj(rickety-4, sure-9)
poss(recording-12, my-10)
amod(recording-12, first-11)
nsubjpass(labeled-14, recording-12)
auxpass(labeled-14, was-13)
ccomp(sure-9, labeled-14)
nn(RAMBLE-16, MUSKRAT-15)
xcomp(labeled-14, RAMBLE-16)
punct(sure-9, ,-17)
cc(sure-9, and-18)
nsubj(think-20, I-19)
conj(sure-9, think-20)
punct(think-20, ,-21)
mark(sure-26, though-22)
nsubj(sure-26, I-23)
cop(sure-26, am-24)
advmod(sure-26, less-25)
advcl(think-20, sure-26)
punct(think-20, ,-27)
mark(played-31, that-28)
nsubjpass(played-31, it-29)
auxpass(played-31, was-30)
ccomp(think-20, played-31)
prep(played-31, by-32)
det(Spanier-38, the-33)
amod(Spanier-38, late-34)
punct(Spanier-38, “-35)
nn(Spanier-38, Muggsy-36)
punct(Spanier-38, ”-37)
pobj(by-32, Spanier-38)
punct(Spanier-38, ,-39)
nsubj(one-47, who-40)
cop(one-47, was-41)
punct(one-47, ,-42)
prep(one-47, to-43)
poss(mind-45, my-44)
pobj(to-43, mind-45)
punct(one-47, ,-46)
rcmod(Spanier-38, one-47)
prep(one-47, of-48)
det(greatest-50, the-49)
pobj(of-48, greatest-50)
prep(greatest-50, of-51)
nn(trumpeters-53, jazz-52)
pobj(of-51, trumpeters-53)
punct(rickety-4, .-54)

advmod(got-4, Later-1)
punct(got-4, ,-2)
nsubj(got-4, I-3)
root(ROOT-0, got-4)
det(recording-6, another-5)
dobj(got-4, recording-6)
prep(recording-6, of-7)
det(tune-10, the-8)
amod(tune-10, same-9)
pobj(of-7, tune-10)
punct(recording-6, ,-11)
det(one-13, this-12)
appos(recording-6, one-13)
prep(one-13, by-14)
punct(by-14, ,-15)
nsubj(think-17, I-16)
dep(by-14, think-17)
punct(by-14, ,-18)
nn(Mezzrow-20, Mezz-19)
pobj(by-14, Mezzrow-20)
punct(got-4, .-21)

det(label-2, The-1)
nsubj(said-3, label-2)
root(ROOT-0, said-3)
punct(said-3, ,-4)
nn(RAMBLE-6, MUSKAT-5)
dobj(said-3, RAMBLE-6)
punct(said-3, .-7)

nsubj(thought-2, I-1)
root(ROOT-0, thought-2)
nsubj(time-8, that-3)
cop(time-8, was-4)
advmod(time-8, surely-5)
det(time-8, the-6)
amod(time-8, first-7)
ccomp(thought-2, time-8)
nsubj(seen-12, I-9)
aux(seen-12, had-10)
advmod(seen-12, ever-11)
rcmod(time-8, seen-12)
predet(error-17, such-13)
det(error-17, an-14)
amod(error-17, obvious-15)
amod(error-17, typographical-16)
dobj(seen-12, error-17)
prep(seen-12, in-18)
punct(in-18, ,-19)
prep(in-18, of-20)
det(things-22, all-21)
pobj(of-20, things-22)
punct(in-18, ,-23)
det(title-26, a-24)
amod(title-26, simple-25)
pobj(in-18, title-26)
prep(title-26, on-27)
det(record-33, a-28)
amod(record-33, simple-29)
num(rpm-32, 78-30)
punct(rpm-32, --31)
nn(record-33, rpm-32)
pobj(on-27, record-33)
punct(thought-2, .-34)

punct(was-6, -LRB--1)
nsubj(was-6, This-2)
punct(was-6, ,-3)
parataxis(was-6, remember-4)
punct(was-6, ,-5)
root(ROOT-0, was-6)
prep(was-6, in-7)
poss(youth-9, my-8)
pobj(in-7, youth-9)
punct(was-6, ,-10)
cc(was-6, and-11)
nsubj(time-15, it-12)
cop(time-15, was-13)
det(time-15, a-14)
conj(was-6, time-15)
advmod(called-20, when-16)
amod(errors-18, typographical-17)
nsubjpass(called-20, errors-18)
auxpass(called-20, were-19)
rcmod(time-15, called-20)
amod(errors-22, typographical-21)
xcomp(called-20, errors-22)
punct(errors-22, ,-23)
neg(typos-25, not-24)
appos(errors-22, typos-25)
punct(called-20, —-26)
advmod(by-29, at-27)
pobj(at-27, least-28)
prep(called-20, by-29)
pobj(by-29, kids-30)
prep(kids-30, in-31)
amod(high-33, junior-32)
pobj(in-31, high-33)
punct(was-6, .-34)
punct(was-6, -RRB--35)

det(time-2, Some-1)
npadvmod(later-3, time-2)
advmod(got-6, later-3)
punct(got-6, ,-4)
nsubj(got-6, I-5)
root(ROOT-0, got-6)
advmod(another-8, still-7)
amod(version-9, another-8)
dobj(got-6, version-9)
prep(version-9, of-10)
nn(RAMBLE-12, MUSKRAT-11)
pobj(of-10, RAMBLE-12)
punct(version-9, ,-13)
prep(version-9, with-14)
advmod(another-16, still-15)
amod(version-17, another-16)
pobj(with-14, version-17)
prep(version-17, of-18)
det(title-20, the-19)
pobj(of-18, title-20)
punct(got-6, .-21)

det(time-2, This-1)
tmod(RAMBLE-7, time-2)
punct(RAMBLE-7, ,-3)
nsubj(RAMBLE-7, it-4)
cop(RAMBLE-7, was-5)
nn(RAMBLE-7, MUSCAT-6)
root(ROOT-0, RAMBLE-7)
punct(RAMBLE-7, .-8)

nsubj(absurd-8, That-1)
punct(absurd-8, ,-2)
nsubj(thought-4, I-3)
parataxis(absurd-8, thought-4)
punct(absurd-8, ,-5)
cop(absurd-8, was-6)
advmod(absurd-8, really-7)
root(ROOT-0, absurd-8)
punct(absurd-8, .-9)

neg(only-2, Not-1)
dep(left-5, only-2)
aux(left-5, had-3)
nsubj(left-5, they-4)
dep(changed-14, left-5)
prt(left-5, out-6)
det(R-9, the-7)
punct(R-9, “-8)
dobj(left-5, R-9)
punct(R-9, ”-10)
punct(changed-14, ;-11)
nsubj(changed-14, they-12)
aux(changed-14, 'd-13)
root(ROOT-0, changed-14)
det(K-17, the-15)
punct(K-17, “-16)
dobj(changed-14, K-17)
punct(K-17, ”-18)
prep(changed-14, to-19)
punct(to-19, “-20)
pobj(to-19, C-21)
punct(to-19, ”-22)
punct(changed-14, .-23)

advmod(made-4, Now-1)
punct(made-4, ,-2)
nsubj(made-4, it-3)
root(ROOT-0, made-4)
neg(sense-6, no-5)
dobj(made-4, sense-6)
advmod(sense-6, at-7)
pobj(at-7, all-8)
punct(made-4, .-9)

prep(was-26, On-1)
det(hand-4, the-2)
amod(hand-4, other-3)
pobj(On-1, hand-4)
punct(was-26, ,-5)
nsubj(reasoned-7, I-6)
parataxis(was-26, reasoned-7)
punct(was-26, ,-8)
mark(were-11, if-9)
expl(were-11, there-10)
advcl(was-26, were-11)
punct(were-11, ,-12)
prep(were-11, in-13)
pobj(in-13, fact-14)
punct(were-11, ,-15)
det(sort-17, some-16)
nsubj(were-11, sort-17)
prep(sort-17, of-18)
pobj(of-18, cat-19)
vmod(cat-19, called-20)
det(muscat-22, a-21)
dep(called-20, muscat-22)
punct(was-26, ,-23)
advmod(it-25, perhaps-24)
nsubj(was-26, it-25)
root(ROOT-0, was-26)
neg(was-26, n't-27)
advmod(outrageous-29, so-28)
acomp(was-26, outrageous-29)
punct(was-26, .-30)

nsubj(looked-2, I-1)
root(ROOT-0, looked-2)
prt(looked-2, up-3)
dobj(looked-2, muscat-4)
prep(looked-2, in-5)
poss(Webster-7, my-6)
pobj(in-5, Webster-7)
possessive(Webster-7, 's-8)
cc(looked-2, and-9)
conj(looked-2, found-10)
mark(variety-16, that-11)
nsubj(variety-16, it-12)
cop(variety-16, is-13)
det(variety-16, a-14)
punct(variety-16, `-15)
ccomp(found-10, variety-16)
prep(variety-16, of-17)
pobj(of-17, grape-18)
punct(looked-2, .-19)
punct(looked-2, '-20)

aux(name-2, To-1)
csubj(seemed-10, name-2)
det(ramble-4, a-3)
dobj(name-2, ramble-4)
prep(name-2, after-5)
det(variety-7, a-6)
pobj(after-5, variety-7)
prep(variety-7, of-8)
pobj(of-8, grape-9)
root(ROOT-0, seemed-10)
prep(seemed-10, to-11)
pobj(to-11, me-12)
dep(seemed-10, preposterous-13)
punct(seemed-10, .-14)

nsubj(young-3, I-1)
cop(young-3, was-2)
root(ROOT-0, young-3)
cc(young-3, and-4)
punct(young-3, ,-5)
conj(young-3, by-6)
poss(standards-9, today-7)
possessive(today-7, 's-8)
pobj(by-6, standards-9)
punct(standards-9, ,-10)
advmod(standards-9, at-11)
pobj(at-11, least-12)
punct(young-3, ,-13)
advmod(innocent-15, pathetically-14)
conj(young-3, innocent-15)
punct(young-3, .-16)

prep(had-20, During-1)
poss(time-3, my-2)
pobj(During-1, time-3)
prep(time-3, in-4)
amod(high-6, senior-5)
pobj(in-4, high-6)
punct(in-4, ,-7)
cc(in-4, and-8)
punct(in-4, ,-9)
conj(in-4, after-10)
pobj(after-10, that-11)
punct(in-4, ,-12)
conj(in-4, in-13)
det(Force-17, the-14)
nn(Force-17, Army-15)
nn(Force-17, Air-16)
pobj(in-13, Force-17)
punct(had-20, ,-18)
nsubj(had-20, I-19)
root(ROOT-0, had-20)
amod(things-22, other-21)
dobj(had-20, things-22)
prep(things-22, on-23)
poss(mind-25, my-24)
pobj(on-23, mind-25)
punct(was-28, -LRB--26)
expl(was-28, there-27)
parataxis(had-20, was-28)
det(war-30, a-29)
nsubj(was-28, war-30)
dep(war-30, on-31)
punct(was-28, ,-32)
prep(was-28, after-33)
pobj(after-33, all-34)
punct(was-28, -RRB--35)
cc(had-20, and-36)
nsubj(give-40, I-37)
aux(give-40, did-38)
neg(give-40, n't-39)
conj(had-20, give-40)
det(problem-48, the-41)
nn(MUSCAT-46, MUSKRAT-42)
punct(MUSCAT-46, --43)
nn(MUSCAT-46, MUSKAT-44)
punct(MUSCAT-46, --45)
nn(RAMBLE-47, MUSCAT-46)
nn(problem-48, RAMBLE-47)
iobj(give-40, problem-48)
det(thought-50, any-49)
dobj(give-40, thought-50)
punct(had-20, .-51)

vmod(think-15, Speaking-1)
prep(Speaking-1, of-2)
poss(time-4, my-3)
pobj(of-2, time-4)
prep(time-4, in-5)
det(AAF-7, the-6)
pobj(in-5, AAF-7)
punct(time-4, ,-8)
nsubj(undistinguished-12, which-9)
cop(undistinguished-12, was-10)
advmod(undistinguished-12, utterly-11)
rcmod(time-4, undistinguished-12)
punct(think-15, ,-13)
nsubj(think-15, I-14)
root(ROOT-0, think-15)
nsubj(make-18, I-16)
aux(make-18, must-17)
ccomp(think-15, make-18)
det(confession-20, a-19)
dobj(make-18, confession-20)
punct(think-15, .-21)

nsubj(time-7, Now-1)
aux(time-7, might-2)
cop(time-7, be-3)
advmod(good-5, as-4)
amod(time-7, good-5)
det(time-7, a-6)
root(ROOT-0, time-7)
prep(time-7, as-8)
pobj(as-8, any-9)
aux(reveal-11, to-10)
vmod(time-7, reveal-11)
det(theft-13, a-12)
dobj(reveal-11, theft-13)
nsubj(committed-15, I-14)
rcmod(theft-13, committed-15)
prep(committed-15, at-16)
det(Base-20, an-17)
nn(Force-19, Air-18)
nn(Base-20, Force-19)
pobj(at-16, Base-20)
prep(Base-20, near-21)
pobj(near-21, Seymour-22)
punct(Seymour-22, ,-23)
appos(Seymour-22, Indiana-24)
punct(time-7, .-25)

nsubj(winter-3, It-1)
cop(winter-3, was-2)
root(ROOT-0, winter-3)
cc(winter-3, and-4)
advmod(cold-6, bitterly-5)
conj(winter-3, cold-6)
punct(winter-3, .-7)

det(wind-2, The-1)
nsubj(used-3, wind-2)
root(ROOT-0, used-3)
aux(sweep-5, to-4)
xcomp(used-3, sweep-5)
prep(sweep-5, across-6)
det(airfield-9, that-7)
amod(airfield-9, damned-8)
pobj(across-6, airfield-9)
prep(sweep-5, with-10)
nsubj(seemed-12, what-11)
pcomp(with-10, seemed-12)
det(determination-15, an-13)
amod(determination-15, absolute-14)
dep(seemed-12, determination-15)
aux(crystallize-17, to-16)
vmod(determination-15, crystallize-17)
poss(bodies-19, our-18)
dobj(crystallize-17, bodies-19)
punct(used-3, .-20)

num(day-2, One-1)
tmod(took-14, day-2)
advmod(nearing-9, when-3)
det(factor-7, the-4)
nn(chill-6, wind-5)
nn(factor-7, chill-6)
nsubj(nearing-9, factor-7)
aux(nearing-9, was-8)
rcmod(day-2, nearing-9)
amod(zero-11, absolute-10)
dobj(nearing-9, zero-11)
punct(took-14, ,-12)
nsubj(took-14, I-13)
root(ROOT-0, took-14)
dobj(took-14, shelter-15)
prep(took-14, in-16)
det(club-19, the-17)
nn(club-19, service-18)
pobj(in-16, club-19)
punct(took-14, .-20)

expl(was-2, There-1)
root(ROOT-0, was-2)
det(phonograph-5, the-3)
amod(phonograph-5, omnipresent-4)
nsubj(was-2, phonograph-5)
punct(phonograph-5, ,-6)
cc(phonograph-5, or-7)
conj(phonograph-5, Vic-8)
punct(Vic-8, ,-9)
amod(Vic-8, short-10)
prep(short-10, for-11)
pobj(for-11, Victrola-12)
punct(phonograph-5, ,-13)
cc(phonograph-5, and-14)
det(stack-16, the-15)
conj(phonograph-5, stack-16)
prep(stack-16, of-17)
pobj(of-17, records-18)
advmod(stack-16, next-19)
prep(next-19, to-20)
pobj(to-20, it-21)
punct(was-2, .-22)

prep(take-11, In-1)
det(days-3, those-2)
pobj(In-1, days-3)
punct(take-11, ,-4)
nsubj(take-11, people-5)
prep(take-11, as-6)
det(rule-8, a-7)
pobj(as-6, rule-8)
aux(take-11, did-9)
neg(take-11, not-10)
root(ROOT-0, take-11)
amod(care-13, much-12)
dobj(take-11, care-13)
prep(take-11, of-14)
nn(records-16, phonograph-15)
pobj(of-14, records-16)
punct(take-11, .-17)

advmod(taken-5, Usually-1)
det(records-3, the-2)
nsubjpass(taken-5, records-3)
auxpass(taken-5, were-4)
root(ROOT-0, taken-5)
prep(taken-5, from-6)
poss(jackets-8, their-7)
pobj(from-6, jackets-8)
cc(taken-5, and-9)
conj(taken-5, loaded-10)
acomp(loaded-10, naked-11)
prep(loaded-10, in-12)
pobj(in-12, stacks-13)
punct(stacks-13, ,-14)
advmod(picked-17, where-15)
nsubj(picked-17, they-16)
rcmod(stacks-13, picked-17)
prt(picked-17, up-18)
dobj(picked-17, dust-19)
punct(picked-17, ,-20)
conj(picked-17, scratched-21)
dobj(scratched-21, one-22)
dep(one-22, another-23)
punct(picked-17, ,-24)
cc(picked-17, and-25)
conj(picked-17, traded-26)
amod(electricity-28, static-27)
dobj(traded-26, electricity-28)
punct(taken-5, .-29)

nsubj(shuffling-3, I-1)
aux(shuffling-3, was-2)
root(ROOT-0, shuffling-3)
prep(shuffling-3, through-4)
det(stack-6, a-5)
pobj(through-4, stack-6)
prep(stack-6, of-7)
quantmod(fifty-9, about-8)
num(records-10, fifty-9)
pobj(of-7, records-10)
punct(shuffling-3, ,-11)
cc(shuffling-3, and-12)
nsubj(came-14, I-13)
conj(shuffling-3, came-14)
prep(came-14, across-15)
num(Smiths-18, three-16)
nn(Smiths-18, Bessie-17)
pobj(across-15, Smiths-18)
punct(shuffling-3, .-19)

nsubj(played-2, I-1)
root(ROOT-0, played-2)
det(three-4, all-3)
dobj(played-2, three-4)
punct(played-2, ,-5)
cc(played-2, and-6)
det(G.I.s-10, the-7)
amod(G.I.s-10, few-8)
amod(G.I.s-10, other-9)
nsubj(paid-32, G.I.s-10)
prep(G.I.s-10, in-11)
det(room-13, the-12)
pobj(in-11, room-13)
punct(room-13, ,-14)
nsubj(large-18, which-15)
cop(large-18, was-16)
advmod(large-18, quite-17)
rcmod(room-13, large-18)
punct(large-18, —-19)
dep(large-18, big-20)
advmod(big-20, enough-21)
prep(big-20, for-22)
det(dance-25, a-23)
amod(dance-25, fair-sized-24)
pobj(for-22, dance-25)
prep(dance-25, with-26)
det(orchestra-29, a-27)
amod(orchestra-29, small-28)
pobj(with-26, orchestra-29)
punct(large-18, —-30)
preconj(paid-32, either-31)
conj(played-2, paid-32)
neg(attention-34, no-33)
dobj(paid-32, attention-34)
cc(paid-32, or-35)
conj(paid-32, asked-36)
dobj(asked-36, me-37)
aux(put-39, to-38)
xcomp(asked-36, put-39)
prt(put-39, on-40)
dobj(put-39, something-41)
prep(something-41, by-42)
nn(Miller-44, Glenn-43)
pobj(by-42, Miller-44)
cc(Miller-44, or-45)
nn(Dorsey-49, Jimmy-46)
cc(Jimmy-46, or-47)
conj(Jimmy-46, Tommy-48)
conj(Miller-44, Dorsey-49)
advmod(put-39, instead-50)
punct(played-2, .-51)

prep(were-5, Among-1)
poss(numbers-4, Bessie-2)
possessive(Bessie-2, 's-3)
pobj(Among-1, numbers-4)
root(ROOT-0, were-5)
amod(Gambler-7, Dying-6)
poss(Blues-9, Gambler-7)
possessive(Gambler-7, 's-8)
nsubj(were-5, Blues-9)
punct(Blues-9, ,-10)
nn(Sing-12, Sing-11)
nn(Prison-13, Sing-12)
nn(Blues-14, Prison-13)
conj(Blues-9, Blues-14)
punct(Blues-9, ,-15)
cc(Blues-9, and-16)
conj(Blues-9, one-17)
nsubj(heard-21, I-18)
aux(heard-21, had-19)
neg(heard-21, never-20)
rcmod(one-17, heard-21)
vmod(one-17, called-22)
nn(Mountain-24, Black-23)
nn(Blues-25, Mountain-24)
dep(called-22, Blues-25)
punct(one-17, ,-26)
nsubj(has-28, which-27)
rcmod(one-17, has-28)
det(lines-31, the-29)
amod(lines-31, imcomparable-30)
dobj(has-28, lines-31)
punct(lines-31, ,-32)
advmod(smack-40, Home-33)
prep(Home-33, in-34)
nn(Mountain-36, Black-35)
pobj(in-34, Mountain-36)
det(chile'-38, a-37)
nsubj(smack-40, chile'-38)
aux(smack-40, will-39)
dep(lines-31, smack-40)
poss(face-42, yo'-41)
dobj(smack-40, face-42)
punct(smack-40, ;-43)
advmod(smack-51, Home-44)
prep(Home-44, in-45)
nn(Mountain-47, Black-46)
pobj(in-45, Mountain-47)
det(chile'-49, a-48)
nsubj(smack-51, chile'-49)
aux(smack-51, will-50)
parataxis(smack-40, smack-51)
poss(face-53, yo'-52)
dobj(smack-51, face-53)
punct(smack-40, ;-54)
nsubj(cry-56, Babies-55)
parataxis(smack-40, cry-56)
prep(cry-56, for-57)
pobj(for-57, liquor-58)
cc(cry-56, an'-59)
predet(birds-62, all-60)
det(birds-62, the-61)
nsubj(sing-63, birds-62)
conj(cry-56, sing-63)
dobj(sing-63, bass-64)
punct(smack-40, .-65)
cc(smack-40, and-66)
conj(smack-40, Goin'-67)
advmod(Goin'-67, back-68)
prep(back-68, to-69)
nn(Mountain-71, Black-70)
pobj(to-69, Mountain-71)
punct(Goin'-67, ,-72)
dobj(Goin'-67, me-73)
cc(me-73, an'-74)
poss(razor-76, my-75)
conj(me-73, razor-76)
cc(me-73, an'-77)
poss(gun-79, my-78)
conj(me-73, gun-79)
punct(Goin'-67, ;-80)
parataxis(Goin'-67, Goin'-81)
advmod(Goin'-81, back-82)
prep(back-82, to-83)
nn(Mountain-85, Black-84)
pobj(to-83, Mountain-85)
punct(Goin'-81, ,-86)
dobj(Goin'-81, me-87)
cc(me-87, an'-88)
poss(razor-90, my-89)
conj(me-87, razor-90)
cc(me-87, an-91)
poss(gun-93, my-92)
conj(me-87, gun-93)
punct(Goin'-67, ;-94)
parataxis(Goin'-67, Goin'-95)
ccomp(Goin'-95, cut-96)
dobj(cut-96, him-97)
mark(stan'-100, if-98)
nsubj(stan'-100, he-99)
advcl(cut-96, stan'-100)
advmod(stan'-100, still-101)
punct(Goin'-95, ,-102)
parataxis(Goin'-95, goin'-103)
ccomp(goin'-103, shoot-104)
dobj(shoot-104, him-105)
mark(run-108, if-106)
nsubj(run-108, he-107)
advcl(shoot-104, run-108)
punct(were-5, .-109)

nsubj(was-2, I-1)
root(ROOT-0, was-2)
punct(was-2, ,-3)
cc(was-2, and-4)
advmod(am-6, still-5)
conj(was-2, am-6)
punct(was-2, ,-7)
acomp(was-2, captivated-8)
prep(captivated-8, by-9)
punct(by-9, “-10)
nsubj(cry-12, Babies-11)
dep(by-9, cry-12)
prep(cry-12, for-13)
pobj(for-13, liquor-14)
cc(cry-12, an'-15)
det(birds-17, the-16)
nsubj(sing-18, birds-17)
conj(cry-12, sing-18)
dobj(sing-18, bass-19)
punct(was-2, ,-20)
punct(was-2, ”-21)
cc(was-2, and-22)
prep(certain-32, in-23)
det(arrogance-25, the-24)
pobj(in-23, arrogance-25)
prep(arrogance-25, of-26)
poss(youth-28, my-27)
pobj(of-26, youth-28)
punct(certain-32, ,-29)
nsubj(certain-32, I-30)
cop(certain-32, was-31)
conj(was-2, certain-32)
mark(knew-40, that-33)
nsubj(knew-40, nobody-34)
advmod(nobody-34, else-35)
prep(nobody-34, on-36)
det(airfield-38, the-37)
pobj(on-36, airfield-38)
preconj(knew-40, either-39)
ccomp(certain-32, knew-40)
cc(knew-40, or-41)
conj(knew-40, cared-42)
dobj(was-46, who-43)
nn(Smith-45, Bessie-44)
nsubj(was-46, Smith-45)
ccomp(knew-40, was-46)
punct(certain-32, ,-47)
cc(certain-32, nor-48)
aux(enchanted-55, would-49)
det(I.-53, any-50)
amod(I.-53, other-51)
nn(I.-53, G.-52)
nsubjpass(enchanted-55, I.-53)
auxpass(enchanted-55, be-54)
conj(certain-32, enchanted-55)
prep(enchanted-55, by-56)
nn(birds-58, basso-57)
pobj(by-56, birds-58)
punct(certain-32, ,-59)
cc(certain-32, so-60)
nsubj(turned-62, I-61)
conj(certain-32, turned-62)
dobj(turned-62, thief-63)
punct(was-2, .-64)

nsubj(remember-4, I-1)
aux(remember-4, ca-2)
neg(remember-4, n't-3)
root(ROOT-0, remember-4)
advmod(did-7, how-5)
nsubj(did-7, I-6)
ccomp(remember-4, did-7)
dobj(did-7, it-8)
punct(remember-4, ,-9)
cc(remember-4, but-10)
advmod(smuggled-13, somehow-11)
nsubj(smuggled-13, I-12)
conj(remember-4, smuggled-13)
det(records-15, those-14)
dobj(smuggled-13, records-15)
advmod(smuggled-13, back-16)
prep(back-16, to-17)
poss(barracks-19, my-18)
pobj(to-17, barracks-19)
cc(smuggled-13, and-20)
conj(smuggled-13, got-21)
iobj(got-21, them-22)
dobj(got-21, home-23)
dep(got-21, intact-24)
prep(got-21, on-25)
poss(furlough-28, my-26)
amod(furlough-28, next-27)
pobj(on-25, furlough-28)
punct(remember-4, .-29)

nsubj(kept-2, I-1)
root(ROOT-0, kept-2)
dobj(kept-2, them-3)
prep(kept-2, in-4)
amod(shape-6, good-5)
pobj(in-4, shape-6)
mark(died-14, until-7)
poss(turntable-13, my-8)
amod(turntable-13, last-9)
num(rpm-12, 78-10)
punct(rpm-12, --11)
nn(turntable-13, rpm-12)
nsubj(died-14, turntable-13)
advcl(kept-2, died-14)
punct(kept-2, .-15)

root(ROOT-0, End-1)
prep(End-1, of-2)
pobj(of-2, digression-3)
cc(End-1, and-4)
conj(End-1, back-5)
prep(back-5, to-6)
pobj(to-6, MUSKRAT-KAT-CAT-7)
punct(back-5, :-8)

nn(Ramble-2, Muskrat-1)
nsubjpass(credited-4, Ramble-2)
auxpass(credited-4, is-3)
root(ROOT-0, credited-4)
prep(credited-4, to-5)
nn(Ory-10, Edward-6)
punct(Ory-10, “-7)
nn(Ory-10, Kid-8)
punct(Ory-10, ”-9)
pobj(to-5, Ory-10)
cc(Ory-10, and-11)
nn(Gilbert-13, Ray-12)
conj(Ory-10, Gilbert-13)
punct(credited-4, .-14)

punct(Ory-4, “-1)
nn(Ory-4, Kid-2)
punct(Ory-4, ”-3)
nsubj(played-5, Ory-4)
root(ROOT-0, played-5)
amod(trombone-8, great-6)
nn(trombone-8, jazz-7)
dobj(played-5, trombone-8)
punct(played-5, .-9)

det(thing-3, The-1)
amod(thing-3, only-2)
nsubj(is-8, thing-3)
nsubj(know-5, I-4)
rcmod(thing-3, know-5)
prep(know-5, about-6)
pobj(about-6, Gilbert-7)
root(ROOT-0, is-8)
mark(find-11, that-9)
nsubj(find-11, I-10)
ccomp(is-8, find-11)
nsubj(listed-13, him-12)
dep(find-11, listed-13)
prep(listed-13, as-14)
pobj(as-14, co-author-15)
prep(co-author-15, of-16)
nn(Ramble-18, Muskrat-17)
pobj(of-16, Ramble-18)
punct(is-8, .-19)

quantmod(thirty-2, About-1)
num(years-3, thirty-2)
npadvmod(ago-4, years-3)
advmod(went-24, ago-4)
punct(went-24, ,-5)
advmod(concocting-9, when-6)
nsubj(concocting-9, I-7)
aux(concocting-9, was-8)
advcl(went-24, concocting-9)
det(dish-12, an-10)
amod(dish-12, epicurean-11)
dobj(concocting-9, dish-12)
cc(concocting-9, and-13)
conj(concocting-9, saw-14)
mark(had-17, that-15)
nsubj(had-17, I-16)
ccomp(saw-14, had-17)
neg(sherry-19, no-18)
dobj(had-17, sherry-19)
prep(had-17, on-20)
pobj(on-20, hand-21)
punct(went-24, ,-22)
nsubj(went-24, I-23)
root(ROOT-0, went-24)
prep(went-24, to-25)
det(store-28, the-26)
nn(store-28, liquor-27)
pobj(to-25, store-28)
cc(went-24, and-29)
conj(went-24, bought-30)
det(bottle-32, a-31)
dobj(bought-30, bottle-32)
prep(bottle-32, of-33)
pobj(of-33, muscatel-34)
nsubjpass(sold-38, that-35)
aux(sold-38, was-36)
auxpass(sold-38, being-37)
rcmod(bottle-32, sold-38)
prep(sold-38, for-39)
det(price-43, an-40)
advmod(low-42, absurdly-41)
amod(price-43, low-42)
pobj(for-39, price-43)
cc(sold-38, and-44)
dobj(thought-47, that-45)
nsubj(thought-47, I-46)
conj(sold-38, thought-47)
aux(right-51, might-48)
cop(right-51, be-49)
advmod(right-51, exactly-50)
ccomp(thought-47, right-51)
prep(right-51, for-52)
poss(sauce-54, my-53)
pobj(for-52, sauce-54)
punct(went-24, .-55)

nsubj(bad-4, It-1)
cop(bad-4, was-2)
neg(bad-4, n't-3)
root(ROOT-0, bad-4)
punct(bad-4, ,-5)
det(wine-7, The-6)
nsubj(jogged-8, wine-7)
parataxis(bad-4, jogged-8)
poss(thoughts-10, my-9)
dobj(jogged-8, thoughts-10)
advmod(jogged-8, back-11)
prep(back-11, to-12)
nn(Ramble-14, Muscat-13)
pobj(to-12, Ramble-14)
punct(bad-4, .-15)

nsubjpass(made-3, Muscatel-1)
auxpass(made-3, is-2)
root(ROOT-0, made-3)
prep(made-3, from-4)
nn(grapes-6, muscat-5)
pobj(from-4, grapes-6)
punct(made-3, ,-7)
auxpass(called-10, is-8)
advmod(called-10, sometimes-9)
conj(made-3, called-10)
xcomp(called-10, muscat-11)
punct(made-3, ,-12)
cc(made-3, and-13)
punct(made-3, ,-14)
cop(cheap-17, being-15)
advmod(cheap-17, relatively-16)
conj(made-3, cheap-17)
cc(cheap-17, and-18)
conj(cheap-17, sweet-19)
cc(cheap-17, and-20)
conj(cheap-17, high-21)
prep(high-21, in-22)
nn(content-24, alcohol-23)
pobj(in-22, content-24)
punct(made-3, ,-25)
cop(booze-28, is-26)
det(booze-28, the-27)
conj(made-3, booze-28)
prep(booze-28, of-29)
pobj(of-29, choice-30)
prep(booze-28, for-31)
det(wines-35, a-32)
amod(wines-35, great-33)
amod(wines-35, many-34)
pobj(for-31, wines-35)
punct(made-3, .-36)

det(friend-4, An-1)
amod(friend-4, old-2)
nn(friend-4, college-3)
nsubj(tells-26, friend-4)
prep(friend-4, of-5)
pobj(of-5, mine-6)
nsubj(celebrated-8, who-7)
rcmod(friend-4, celebrated-8)
poss(birthday-11, his-9)
amod(birthday-11, twentieth-10)
dobj(celebrated-8, birthday-11)
punct(birthday-11, —-12)
vmod(birthday-11, meaning-13)
num(years-15, twenty-14)
dobj(meaning-13, years-15)
prep(years-15, of-16)
nn(sobriety-18, AA-17)
pobj(of-16, sobriety-18)
punct(birthday-11, —-19)
det(couple-21, a-20)
npadvmod(ago-24, couple-21)
prep(couple-21, of-22)
pobj(of-22, years-23)
advmod(celebrated-8, ago-24)
punct(tells-26, ,-25)
root(ROOT-0, tells-26)
dobj(tells-26, me-27)
mark(muscadoodle-52, that-28)
advmod(was-31, when-29)
nsubj(was-31, he-30)
advcl(muscadoodle-52, was-31)
dep(was-31, on-32)
det(skids-34, the-33)
pobj(on-32, skids-34)
cc(on-32, and-35)
conj(on-32, riding-36)
det(rails-38, the-37)
dobj(riding-36, rails-38)
