advmod(right-2, all-1)
aux(give-24, to-23)
vmod(took-20, give-24)
det(sentence-26, a-25)
dobj(give-24, sentence-26)
prep(sentence-26, for-27)
nsubjpass(deserved-30, what-28)
auxpass(deserved-30, was-29)
pcomp(for-27, deserved-30)
nsubj(could-32, it-31)
dep(have-35, could-32)
nsubj(have-35, you-33)
aux(have-35, could-34)
ccomp(saw-3, have-35)
dep(have-35, a-36)
det(judge-38, a-37)
dobj(have-35, judge-38)
nsubj(make-42, that-39)
aux(make-42, would-40)
advmod(make-42, really-41)
rcmod(judge-38, make-42)
det(impact-45, a-43)
amod(impact-45, good-44)
dobj(make-42, impact-45)
punct(saw-3, /-46)

cc(have-5, but-1)
advmod(have-5, likewise-2)
nsubj(have-5, you-3)
aux(have-5, could-4)
root(ROOT-0, have-5)
det(side-8, the-6)
nn(side-8, flip-7)
dobj(have-5, side-8)
cc(have-5, and-9)
conj(have-5, have-10)
det(judge-12, some-11)
dobj(have-10, judge-12)
nsubjpass(paid-15, that-13)
auxpass(paid-15, was-14)
rcmod(judge-12, paid-15)
prt(paid-15, off-16)
cc(paid-15, or-17)
nsubj(know-19, you-18)
parataxis(paid-15, know-19)
conj(paid-15, had-20)
dep(had-20, good-21)
det(network-26, a-22)
amod(boy-25, good-23)
amod(boy-25, old-24)
nn(network-26, boy-25)
dobj(had-20, network-26)
cc(paid-15, or-27)
conj(paid-15, for-28)
det(reasons-30, whatever-29)
pobj(for-28, reasons-30)
nsubj(know-32, you-31)
dep(reasons-30, know-32)
dep(reasons-30, politics-33)
advmod(paid-15, just-34)
dep(paid-15, let-35)
det(kinds-37, all-36)
dobj(let-35, kinds-37)
prep(kinds-37, of-38)
pobj(of-38, people-39)
advmod(let-35, through-40)
punct(have-5, /-41)

cc(have-5, so-1)
dep(have-5, he-2)
nsubj(have-5, he-3)
aux(have-5, would-4)
root(ROOT-0, have-5)
det(heck-7, a-6)
dobj(have-5, heck-7)
cc(have-5, or-8)
nsubj(have-11, she-9)
aux(have-11, would-10)
conj(have-5, have-11)
det(heck-13, a-12)
dobj(have-11, heck-13)
prep(have-5, of-14)
det(lot-16, a-15)
pobj(of-14, lot-16)
prep(lot-16, of-17)
pobj(of-17, power-18)
nsubj(know-20, you-19)
dep(have-5, know-20)
mark(used-22, if-21)
conj(have-5, used-22)
advmod(used-22, wrongly-23)
punct(have-5, /-24)

cc(does-7, so-1)
advmod(does-7, at-2)
pobj(at-2, least-3)
det(system-6, the-4)
nn(system-6, jury-5)
nsubj(does-7, system-6)
root(ROOT-0, does-7)
dobj(does-7, something-8)
aux(prevent-10, to-9)
vmod(something-8, prevent-10)
dobj(prevent-10, that-11)
nsubj(know-13, you-12)
parataxis(prevent-10, know-13)
cc(prevent-10, or-14)
conj(prevent-10, help-15)
dep(help-15, it-16)
prep(help-15, with-17)
pobj(with-17, it-18)
advmod(help-15, anyway-19)
punct(does-7, /-20)

nsubj(know-4, i-1)
aux(know-4, do-2)
neg(know-4, n't-3)
root(ROOT-0, know-4)
mark(prevents-7, if-5)
nsubj(prevents-7, it-6)
advcl(know-4, prevents-7)
dobj(prevents-7, it-8)
punct(know-4, /-9)

cc(seems-2, but-1)
root(ROOT-0, seems-2)
mark(have-8, like-3)
det(system-6, the-4)
nn(system-6, jury-5)
nsubj(have-8, system-6)
aux(have-8, does-7)
advcl(seems-2, have-8)
poss(advantages-10, its-9)
dobj(have-8, advantages-10)
punct(seems-2, /-11)

cc(heard-7, but-1)
dep(heard-7, i-2)
advmod(i-2, also-3)
nsubj(heard-7, i-4)
aux(heard-7, 've-5)
advmod(heard-7, also-6)
root(ROOT-0, heard-7)
prep(go-13, on-8)
pobj(on-8, trials-9)
mark(go-13, that-10)
advmod(go-13, sometimes-11)
nsubj(go-13, they-12)
ccomp(heard-7, go-13)
prep(go-13, through-14)
discourse(through-14, like-15)
number(hundred-17, three-16)
num(jurors-18, hundred-17)
pobj(through-14, jurors-18)
mark(hand-21, before-19)
nsubj(hand-21, they-20)
advcl(go-13, hand-21)
dep(hand-21, pick-22)
det(jurors-24, these-23)
dobj(hand-21, jurors-24)
dobj(think-27, that-25)
nsubj(think-27, they-26)
rcmod(jurors-24, think-27)
aux(going-29, are-28)
ccomp(think-27, going-29)
aux(ones-33, to-30)
cop(ones-33, be-31)
det(ones-33, the-32)
xcomp(going-29, ones-33)
nsubj(going-36, that-34)
aux(going-36, are-35)
rcmod(ones-33, going-36)
aux(lenient-41, to-37)
cop(lenient-41, be-38)
det(lenient-41, the-39)
advmod(lenient-41, most-40)
xcomp(going-36, lenient-41)
nsubj(know-43, you-42)
parataxis(lenient-41, know-43)
punct(heard-7, /-44)

cc(know-5, and-1)
nsubj(know-5, i-2)
aux(know-5, do-3)
neg(know-5, n't-4)
root(ROOT-0, know-5)
advmod(much-7, how-6)
dobj(getting-10, much-7)
nsubj(getting-10, they-8)
aux(getting-10, 're-9)
ccomp(know-5, getting-10)
advmod(jury-13, just-11)
det(jury-13, a-12)
dobj(getting-10, jury-13)
prep(jury-13, of-14)
poss(peers-16, their-15)
pobj(of-14, peers-16)
prep(getting-10, at-17)
det(point-19, that-18)
pobj(at-17, point-19)
punct(know-5, /-20)

nsubj(getting-4, they-1)
aux(getting-4, 're-2)
advmod(getting-4, really-3)
root(ROOT-0, getting-4)
det(group-7, a-5)
amod(group-7, select-6)
dobj(getting-4, group-7)
punct(getting-4, /-8)

nsubj(people-6, it-1)
cop(people-6, 's-2)
neg(people-6, not-3)
advmod(people-6, just-4)
amod(people-6, random-5)
root(ROOT-0, people-6)
punct(people-6, /-7)

root(ROOT-0, hm-1)
punct(hm-1, /-2)

nsubj(be-4, it-1)
advmod(be-4, almost-2)
aux(be-4, should-3)
root(ROOT-0, be-4)
det(people-8, the-5)
amod(people-8, first-6)
num(people-8, twelve-7)
nsubj(ones-20, people-8)
dobj(have-14, that-9)
nsubj(have-14, they-10)
nsubj(know-12, you-11)
parataxis(have-14, know-12)
dep(have-14, that-13)
rcmod(people-8, have-14)
prep(have-14, on-15)
det(list-17, a-16)
pobj(on-15, list-17)
cop(ones-20, are-18)
det(ones-20, the-19)
ccomp(be-4, ones-20)
nsubj(are-22, that-21)
rcmod(ones-20, are-22)
prep(are-22, on-23)
det(jury-25, the-24)
pobj(on-23, jury-25)
punct(be-4, /-26)

cc(it-4, and-1)
nsubj(it-4, that-2)
cop(it-4, 's-3)
root(ROOT-0, it-4)
punct(it-4, /-5)

root(ROOT-0, yeah-1)
dep(yeah-1, yeah-2)
punct(yeah-1, /-3)

nsubj(get-2, i-1)
root(ROOT-0, get-2)
advmod(get-2, back-3)
prep(back-3, to-4)
poss(comment-7, Price-5)
possessive(Price-5, 's-6)
pobj(to-4, comment-7)
advmod(found-12, when-8)
nsubjpass(found-12, he-9)
discourse(found-12, uh-10)
auxpass(found-12, was-11)
advcl(get-2, found-12)
xcomp(found-12, guilty-13)
punct(get-2, /-14)

nsubj(said-2, he-1)
root(ROOT-0, said-2)
discourse(have-7, well-3)
nsubj(have-7, he-4)
aux(have-7, did-5)
neg(have-7, n't-6)
ccomp(said-2, have-7)
det(blacks-9, any-8)
dobj(have-7, blacks-9)
discourse(blacks-9, uh-10)
nsubj(know-12, you-11)
dep(blacks-9, know-12)
prep(blacks-9, from-13)
poss(neck-15, his-14)
pobj(from-13, neck-15)
prep(neck-15, of-16)
det(woods-18, the-17)
pobj(of-16, woods-18)
punct(said-2, /-19)

discourse(give-2, well-1)
root(ROOT-0, give-2)
iobj(give-2, me-3)
det(break-5, a-4)
dobj(give-2, break-5)
nsubj(know-7, you-6)
parataxis(give-2, know-7)
punct(give-2, /-8)

nsubj(know-2, you-1)
root(ROOT-0, know-2)
punct(know-2, /-3)

nsubj(have-3, he-1)
aux(have-3, 'd-2)
root(ROOT-0, have-3)
aux(have-5, to-4)
xcomp(have-3, have-5)
poss(family-8, his-6)
amod(family-8, whole-7)
dobj(have-5, family-8)
advmod(there-10, up-9)
advmod(have-5, there-10)
mark(feel-14, for-11)
nsubj(feel-14, him-12)
aux(feel-14, to-13)
advcl(have-3, feel-14)
mark(got-18, like-15)
nsubjpass(got-18, he-16)
auxpass(got-18, 's-17)
advcl(feel-14, got-18)
poss(peers-20, his-19)
dobj(got-18, peers-20)
cc(got-18, or-21)
conj(got-18, something-22)
punct(have-3, /-23)

root(ROOT-0, yeah-1)
punct(yeah-1, /-2)

root(ROOT-0, exactly-1)
punct(exactly-1, /-2)

root(ROOT-0, yeah-1)
dep(yeah-1, yeah-2)
punct(yeah-1, /-3)

nsubj(mean-2, i-1)
parataxis('re-6, mean-2)
nsubj('re-4, you-3)
dep('re-6, 're-4)
nsubj('re-6, you-5)
root(ROOT-0, 're-6)
prep('re-6, in-7)
pobj(in-7, Dallas-8)
punct('re-6, /-9)

cc(everybody-2, so-1)
root(ROOT-0, everybody-2)
punct(everybody-2, /--3)

nsubj(believe-4, i-1)
aux(believe-4, ca-2)
neg(believe-4, n't-3)
root(ROOT-0, believe-4)
nsubj(can-6, they-5)
ccomp(believe-4, can-6)
discourse(can-6, uh-7)
punct(believe-4, /--8)

prep(look-7, like-1)
pcomp(like-1, in-2)
det(situations-5, a-3)
nn(situations-5, murder-4)
pobj(in-2, situations-5)
nsubj(look-7, they-6)
root(ROOT-0, look-7)
prep(look-7, for-8)
pobj(for-8, juries-9)
nsubj(know-13, who-10)
aux(know-13, do-11)
neg(know-13, n't-12)
rcmod(juries-9, know-13)
dobj(know-13, anything-14)
prep(anything-14, about-15)
det(system-17, the-16)
pobj(about-15, system-17)
advmod(know-13, well-18)
cc(know-13, or-19)
conj(know-13, know-20)
dobj(know-20, anything-21)
prep(anything-21, about-22)
dep(about-22, the-23)
det(occurrence-25, the-24)
pobj(about-22, occurrence-25)
punct(look-7, /-26)

nsubj(have-3, you-1)
aux(have-3, 'd-2)
root(ROOT-0, have-3)
aux(dense-7, to-4)
cop(dense-7, be-5)
advmod(dense-7, pretty-6)
xcomp(have-3, dense-7)
punct(have-3, /-8)

root(ROOT-0, yeah-1)
punct(yeah-1, /-2)

nsubj(have-5, you-1)
aux(have-5, 'd-2)
dep(have-5, be-3)
prep(be-3, in-4)
root(ROOT-0, have-5)
aux(be-7, to-6)
xcomp(have-5, be-7)
prep(be-7, in-8)
det(cave-10, a-9)
pobj(in-8, cave-10)
neg(know-13, not-11)
aux(know-13, to-12)
xcomp(have-5, know-13)
nsubj(going-16, what-14)
aux(going-16, 's-15)
ccomp(know-13, going-16)
prt(going-16, on-17)
punct(have-5, /-18)

cc(answer-12, or-1)
csubj(answer-12, moving-2)
dobj(moving-2, it-3)
prep(moving-2, to-4)
pobj(to-4, Lubbock-5)
cc(Lubbock-5, or-6)
advmod(Lubbock-5, somewhere-7)
advmod(answer-12, possibly-8)
cop(answer-12, is-9)
neg(answer-12, not-10)
det(answer-12, the-11)
root(ROOT-0, answer-12)
punct(answer-12, /-13)

root(ROOT-0, yeah-1)
punct(yeah-1, /-2)

discourse(have-4, oh-1)
nsubj(have-4, they-2)
aux(have-4, 'd-3)
root(ROOT-0, have-4)
aux(move-6, to-5)
xcomp(have-4, move-6)
dobj(move-6, it-7)
prep(move-6, to-8)
pobj(to-8, Taiwan-9)
prep(move-6, for-10)
nsubj(know-14, people-11)
neg(know-14, not-12)
aux(know-14, to-13)
pcomp(for-10, know-14)
prep(know-14, about-15)
pobj(about-15, it-16)
advmod(move-6, practically-17)
punct(have-4, /-18)

nsubj(true-3, this-1)
cop(true-3, is-2)
root(ROOT-0, true-3)
advmod(true-5, so-4)
dep(true-3, true-5)
punct(true-3, /-6)

discourse(conversation-7, well-1)
nsubj(conversation-7, this-2)
aux(conversation-7, has-3)
cop(conversation-7, been-4)
det(conversation-7, an-5)
amod(conversation-7, interesting-6)
root(ROOT-0, conversation-7)
punct(conversation-7, /-8)

root(ROOT-0, yeah-1)
dep(yeah-1, yeah-2)
punct(yeah-1, /-3)

discourse(breaks-5, well-1)
advmod(breaks-5, really-2)
nsubj(breaks-5, this-3)
dep(breaks-5, is-4)
root(ROOT-0, breaks-5)
prt(breaks-5, up-6)
poss(afternoon-8, my-7)
dobj(breaks-5, afternoon-8)
prep(breaks-5, from-9)
pcomp(from-9, changing-10)
dobj(changing-10, diapers-11)
cc(changing-10, and-12)
conj(changing-10, mopping-13)
dobj(mopping-13, floors-14)
punct(breaks-5, /-15)

nsubj(mean-2, i-1)
dep(say-6, mean-2)
dobj(say-6, what-3)
aux(say-6, can-4)
nsubj(say-6, i-5)
root(ROOT-0, say-6)
punct(say-6, /-7)

discourse('m-3, no-1)
nsubj('m-3, i-2)
root(ROOT-0, 'm-3)
prep('m-3, at-4)
pobj(at-4, home-5)
prep(at-4, with-6)
num(kids-9, two-7)
amod(kids-9, little-8)
pobj(with-6, kids-9)
dep(kids-9, preschoolers-10)
punct('m-3, /-11)

poss(husband-2, my-1)
nsubj(works-3, husband-2)
root(ROOT-0, works-3)
prep(works-3, for-4)
pobj(for-4, TI-5)
punct(works-3, /-6)

discourse('re-4, oh-1)
cc('re-4, so-2)
conj('re-4, you-3)
root(ROOT-0, 're-4)
prep('re-4, at-5)
det(house-7, the-6)
pobj(at-5, house-7)
punct('re-4, /-8)

nsubj('re-2, you-1)
root(ROOT-0, 're-2)
neg('re-2, not-3)
prep('re-2, at-4)
det(plant-6, the-5)
pobj(at-4, plant-6)
punct('re-2, /-7)

discourse(hold-2, oh-1)
root(ROOT-0, hold-2)
dobj(hold-2, it-3)
punct(hold-2, /-4)

discourse(good-4, oh-1)
nsubj(good-4, that-2)
cop(good-4, 's-3)
root(ROOT-0, good-4)
punct(good-4, /-5)

nsubj(good-3, that-1)
cop(good-3, 's-2)
root(ROOT-0, good-3)
punct(good-3, /-4)

nsubj(thought-2, i-1)
root(ROOT-0, thought-2)
nsubj(heard-4, i-3)
ccomp(thought-2, heard-4)
det(holler-6, a-5)
dobj(heard-4, holler-6)
advmod(heard-4, there-7)
prep(heard-4, in-8)
det(background-10, the-9)
pobj(in-8, background-10)
punct(thought-2, /-11)

cc(sure-5, but-1)
nsubj(sure-5, i-2)
cop(sure-5, was-3)
neg(sure-5, n't-4)
root(ROOT-0, sure-5)
punct(sure-5, /-6)

root(ROOT-0, so-1)
discourse(so-1, yeah-2)
punct(so-1, /-3)

discourse(got-5, oh-1)
dep(oh-1, yeah-2)
nsubj(got-5, i-3)
aux(got-5, 've-4)
root(ROOT-0, got-5)
det(dog-7, the-6)
dobj(got-5, dog-7)
cc(dog-7, and-8)
num(kids-10, two-9)
conj(dog-7, kids-10)
vmod(dog-7, waiting-11)
advmod(waiting-11, here-12)
punct(got-5, /-13)

nsubjpass(locked-3, i-1)
auxpass(locked-3, am-2)
root(ROOT-0, locked-3)
prt(locked-3, up-4)
prep(locked-3, in-5)
det(room-8, the-6)
nn(room-8, laundry-7)
pobj(in-5, room-8)
punct(locked-3, /-9)

discourse(thanks-2, okay-1)
root(ROOT-0, thanks-2)
det(lot-4, a-3)
dep(thanks-2, lot-4)
punct(thanks-2, /-5)

root(ROOT-0, bye-bye-1)
punct(bye-bye-1, /-2)

root(ROOT-0, oh-1)
dep(oh-1, goodness-2)
punct(oh-1, /-3)

discourse(let-4, well-1)
nsubj(let-4, i-2)
aux(let-4, 'll-3)
root(ROOT-0, let-4)
nsubj(get-6, you-5)
ccomp(let-4, get-6)
punct(let-4, /--7)

nsubj(enjoyed-2, i-1)
root(ROOT-0, enjoyed-2)
dobj(enjoyed-2, it-3)
punct(enjoyed-2, /-4)

root(ROOT-0, bye-1)
punct(bye-1, /-2)

