advmod(Go-3, Where-1)
conj(clubs-18, bars-21)
punct(setting-26, ;-22)
nsubj(setting-26, this-23)
cop(setting-26, was-24)
det(setting-26, the-25)
root(ROOT-0, setting-26)
prep(setting-26, for-27)
det(World-29, The-28)
pobj(for-27, World-29)
prep(World-29, of-30)
nn(Wong-32, Suzy-31)
pobj(of-30, Wong-32)
punct(setting-26, .-33)

nsubj(poured-10, Servicemen-1)
vmod(Servicemen-1, relaxing-2)
prep(relaxing-2, from-3)
det(rigors-5, the-4)
pobj(from-3, rigors-5)
prep(rigors-5, of-6)
det(War-9, the-7)
nn(War-9, Vietnam-8)
pobj(of-6, War-9)
root(ROOT-0, poured-10)
dobj(poured-10, millions-11)
prep(millions-11, of-12)
pobj(of-12, dollars-13)
prep(poured-10, into-14)
det(boom-18, the-15)
nn(Chai-17, Wan-16)
nn(boom-18, Chai-17)
pobj(into-14, boom-18)
prep(boom-18, of-19)
det(1960s-21, the-20)
pobj(of-19, 1960s-21)
punct(poured-10, .-22)

expl(are-2, There-1)
root(ROOT-0, are-2)
advmod(are-2, still-3)
nsubj(are-2, bars-4)
cc(bars-4, and-5)
conj(bars-4, clubs-6)
advmod(bars-4, here-7)
punct(are-2, ,-8)
cc(are-2, but-9)
det(area-11, the-10)
nsubj(become-13, area-11)
aux(become-13, has-12)
conj(are-2, become-13)
advmod(mainstream-15, almost-14)
acomp(become-13, mainstream-15)
punct(are-2, ,-16)
cc(are-2, and-17)
nn(towers-19, office-18)
nsubj(replacing-21, towers-19)
aux(replacing-21, are-20)
conj(are-2, replacing-21)
dobj(replacing-21, many-22)
prep(many-22, of-23)
det(premises-27, the-24)
amod(premises-27, sinful-25)
amod(premises-27, old-26)
pobj(of-23, premises-27)
punct(are-2, .-28)

det(waterfront-4, The-1)
nn(Chai-3, Wan-2)
nn(waterfront-4, Chai-3)
nsubjpass(dominated-6, waterfront-4)
auxpass(dominated-6, is-5)
root(ROOT-0, dominated-6)
prep(dominated-6, by-7)
det(Centre-14, the-8)
nn(Kong-10, Hong-9)
nn(Centre-14, Kong-10)
nn(Centre-14, Convention-11)
cc(Convention-11, and-12)
conj(Convention-11, Exhibition-13)
pobj(by-7, Centre-14)
punct(Centre-14, ,-15)
det(largest-17, the-16)
appos(Centre-14, largest-17)
prep(largest-17, in-18)
pobj(in-18, Asia-19)
punct(which-21, ,-20)
nsubj(includes-22, which-21)
rcmod(Centre-14, includes-22)
dobj(includes-22, hotels-23)
punct(hotels-23, ,-24)
conj(hotels-23, theaters-25)
punct(hotels-23, ,-26)
cc(hotels-23, and-27)
nn(halls-29, exhibition-28)
conj(hotels-23, halls-29)
punct(dominated-6, .-30)

det(center-3, The-1)
nn(center-3, convention-2)
nsubj(affords-11, center-3)
punct(center-3, ,-4)
det(extension-6, an-5)
appos(center-3, extension-6)
prep(extension-6, on-7)
amod(land-9, reclaimed-8)
pobj(on-7, land-9)
punct(affords-11, ,-10)
root(ROOT-0, affords-11)
amod(views-13, stunning-12)
dobj(affords-11, views-13)
prep(views-13, of-14)
det(waterfront-18, the-15)
nn(Chai-17, Wan-16)
nn(waterfront-18, Chai-17)
pobj(of-14, waterfront-18)
punct(affords-11, .-19)

dep(is-10, Adjacent-1)
punct(Adjacent-1, ,-2)
advmod(west-4, just-3)
dep(Adjacent-1, west-4)
prep(west-4, of-5)
det(center-8, the-6)
nn(center-8, convention-7)
pobj(of-5, center-8)
punct(is-10, ,-9)
root(ROOT-0, is-10)
det(highlight-13, another-11)
amod(highlight-13, modern-12)
nsubj(is-10, highlight-13)
punct(highlight-13, ,-14)
det(Academy-16, the-15)
appos(highlight-13, Academy-16)
prep(Academy-16, for-17)
det(Arts-20, the-18)
nn(Arts-20, Performing-19)
pobj(for-17, Arts-20)
prep(is-10, on-21)
nn(Road-23, Gloucester-22)
pobj(on-21, Road-23)
punct(is-10, .-24)

prep(place-21, On-1)
nn(Chai-3, Wan-2)
poss(Road-6, Chai-3)
possessive(Chai-3, RSQUOs-4)
nn(Road-6, Bowen-5)
pobj(On-1, Road-6)
punct(place-21, ,-7)
poss(Rock-10, Maiden-8)
possessive(Maiden-8, RSQUOs-9)
nsubj(place-21, Rock-10)
punct(Rock-10, ,-11)
advmod(called-13, also-12)
vmod(Rock-10, called-13)
poss(Rock-16, Lover-14)
possessive(Lover-14, RSQUOs-15)
dep(called-13, Rock-16)
punct(place-21, ,-17)
cop(place-21, is-18)
det(place-21, the-19)
nn(place-21, gathering-20)
root(ROOT-0, place-21)
prep(place-21, for-22)
det(Maiden-25, the-23)
amod(Maiden-25, annual-24)
poss(festival-27, Maiden-25)
possessive(Maiden-25, RSQUOs-26)
pobj(for-22, festival-27)
punct(place-21, .-28)

dep(attraction-7, Although-1)
nsubj(attraction-7, it-2)
cop(attraction-7, is-3)
neg(attraction-7, not-4)
det(attraction-7, a-5)
nn(attraction-7, tourist-6)
ccomp(steeped-12, attraction-7)
punct(steeped-12, ,-8)
det(rock-10, the-9)
nsubjpass(steeped-12, rock-10)
auxpass(steeped-12, is-11)
root(ROOT-0, steeped-12)
prep(steeped-12, in-13)
pobj(in-13, tradition-14)
punct(steeped-12, .-15)

det(August-2, Every-1)
tmod(convene-5, August-2)
amod(women-4, young-3)
nsubj(convene-5, women-4)
root(ROOT-0, convene-5)
aux(light-7, to-6)
xcomp(convene-5, light-7)
nn(sticks-9, joss-8)
dobj(light-7, sticks-9)
cc(convene-5, and-10)
nsubj(climb-13, some-11)
advmod(climb-13, even-12)
conj(convene-5, climb-13)
det(rock-21, the-14)
number(meter-17, nine-15)
punct(meter-17, --16)
num(rock-21, meter-17)
number(ft-20, 30-18)
punct(ft-20, --19)
num(rock-21, ft-20)
dobj(climb-13, rock-21)
aux(pray-23, to-22)
vmod(climb-13, pray-23)
prep(pray-23, for-24)
amod(husbands-26, good-25)
pobj(for-24, husbands-26)
punct(convene-5, .-27)

nn(Bay-2, Causeway-1)
root(ROOT-0, Bay-2)

quantmod(2-2, About-1)
num(km-3, 2-2)
nsubj(second-14, km-3)
det(mile-5, a-4)
dep(km-3, mile-5)
dep(km-3, east-6)
prep(km-3, of-7)
nn(Chai-9, Wan-8)
pobj(of-7, Chai-9)
punct(second-14, ,-10)
nn(Bay-12, Causeway-11)
nsubj(second-14, Bay-12)
cop(second-14, is-13)
root(ROOT-0, second-14)
advmod(to-16, only-15)
prep(second-14, to-16)
nn(Tsui-19, Tsim-17)
nn(Tsui-19, Sha-18)
pobj(to-16, Tsui-19)
prep(second-14, as-20)
nn(Kong-22, Hong-21)
poss(place-24, Kong-22)
possessive(Kong-22, RSQUOs-23)
pobj(as-20, place-24)
aux(shop-26, to-25)
vmod(place-24, shop-26)
punct(second-14, .-27)

det(district-4, A-1)
amod(district-4, prosperous-2)
nn(district-4, tourist-3)
dep(full-8, district-4)
punct(full-8, ,-5)
nsubj(full-8, it-6)
cop(full-8, is-7)
root(ROOT-0, full-8)
prep(full-8, of-9)
nn(centers-11, shopping-10)
pobj(of-9, centers-11)
cc(centers-11, and-12)
nn(stores-14, department-13)
conj(centers-11, stores-14)
punct(centers-11, ,-15)
dep(with-17, along-16)
cc(centers-11, with-17)
det(number-19, a-18)
conj(centers-11, number-19)
prep(number-19, of-20)
amod(restaurants-22, good-21)
pobj(of-20, restaurants-22)
punct(full-8, .-23)

det(crowds-8, The-1)
amod(crowds-8, busy-2)
nn(day-7, night-3)
punct(day-7, --4)
cc(day-7, and-5)
conj(day-7, --6)
nn(crowds-8, day-7)
nsubj(make-9, crowds-8)
root(ROOT-0, make-9)
det(area-11, this-10)
nsubj(vibrant-12, area-11)
xcomp(make-9, vibrant-12)
cc(vibrant-12, and-13)
conj(vibrant-12, lively-14)
punct(make-9, .-15)

prep(is-5, On-1)
det(side-4, the-2)
amod(side-4, nautical-3)
pobj(On-1, side-4)
root(ROOT-0, is-5)
det(shelter-10, the-6)
nn(Bay-8, Causeway-7)
nn(shelter-10, Bay-8)
nn(shelter-10, typhoon-9)
nsubj(is-5, shelter-10)
punct(shelter-10, ,-11)
advmod(anchored-16, where-12)
amod(yachts-14, expensive-13)
nsubjpass(anchored-16, yachts-14)
auxpass(anchored-16, are-15)
rcmod(shelter-10, anchored-16)
advmod(gunwale-18, almost-17)
npadvmod(anchored-16, gunwale-18)
prep(gunwale-18, to-19)
pobj(to-19, gunwale-20)
punct(anchored-16, ,-21)
cc(anchored-16, and-22)
det(Club-27, the-23)
nn(Kong-25, Hong-24)
nn(Club-27, Kong-25)
nn(Club-27, Yacht-26)
nsubj(has-28, Club-27)
conj(anchored-16, has-28)
poss(headquarters-30, its-29)
dobj(has-28, headquarters-30)
punct(is-5, .-31)

prep(is-11, Across-1)
nn(Road-3, Gloucester-2)
pobj(Across-1, Road-3)
punct(Across-1, ,-4)
prep(Across-1, opposite-5)
det(Centre-9, the-6)
nn(Trade-8, World-7)
nn(Centre-9, Trade-8)
pobj(opposite-5, Centre-9)
punct(is-11, ,-10)
root(ROOT-0, is-11)
det(Gun-14, the-12)
nn(Gun-14, Noonday-13)
nsubj(is-11, Gun-14)
punct(Gun-14, ,-15)
nsubjpass(sounded-21, which-16)
prep(sounded-21, under-17)
amod(rule-19, British-18)
pobj(under-17, rule-19)
auxpass(sounded-21, was-20)
rcmod(Gun-14, sounded-21)
prep(sounded-21, on-22)
det(stroke-24, the-23)
pobj(on-22, stroke-24)
prep(stroke-24, of-25)
pobj(of-25, midday-26)
punct(is-11, .-27)

ccomp(revived-10, Silent-1)
dep(Silent-1, for-2)
det(time-4, a-3)
pobj(for-2, time-4)
punct(revived-10, ,-5)
det(tradition-7, the-6)
nsubjpass(revived-10, tradition-7)
aux(revived-10, has-8)
auxpass(revived-10, been-9)
root(ROOT-0, revived-10)
cc(revived-10, and-11)
cop(attraction-15, is-12)
det(attraction-15, a-13)
nn(attraction-15, tourist-14)
conj(revived-10, attraction-15)
punct(revived-10, .-16)

nsubj(RSQUOs-2, It-1)
root(ROOT-0, RSQUOs-2)
neg(RSQUOs-2, not-3)
acomp(RSQUOs-2, clear-4)
advmod(started-8, how-5)
det(custom-7, the-6)
nsubj(started-8, custom-7)
ccomp(RSQUOs-2, started-8)
punct(RSQUOs-2, .-9)

num(story-2, One-1)
nsubj(has-3, story-2)
root(ROOT-0, has-3)
dobj(has-3, it-4)
mark(fired-12, that-5)
nsubj(fired-12, traders-6)
dep(traders-6, Jardine-7)
punct(Jardine-7, ,-8)
conj(Jardine-7, Matheson-9)
cc(Jardine-7, &-10)
conj(Jardine-7, Co-11)
ccomp(has-3, fired-12)
det(salute-15, a-13)
amod(salute-15, private-14)
dobj(fired-12, salute-15)
prep(fired-12, for-16)
det(tycoon-19, a-17)
amod(tycoon-19, visiting-18)
pobj(for-16, tycoon-19)
punct(fired-12, ,-20)
det(act-22, an-21)
npadvmod(fired-12, act-22)
nsubj(incensed-24, that-23)
rcmod(act-22, incensed-24)
det(authorities-27, the-25)
amod(authorities-27, colonial-26)
dobj(incensed-24, authorities-27)
punct(authorities-27, ,-28)
nsubj(felt-30, who-29)
rcmod(authorities-27, felt-30)
mark(had-33, that-31)
nsubj(had-33, they-32)
ccomp(felt-30, had-33)
det(right-36, the-34)
amod(right-36, sole-35)
dobj(had-33, right-36)
aux(issue-38, to-37)
vmod(right-36, issue-38)
predet(welcome-44, such-39)
det(welcome-44, a-40)
num(gun-43, 21-41)
punct(gun-43, --42)
nn(welcome-44, gun-43)
dobj(issue-38, welcome-44)
punct(has-3, .-45)

prep(forced-8, As-1)
det(result-3, a-2)
pobj(As-1, result-3)
punct(forced-8, ,-4)
det(merchants-6, the-5)
nsubjpass(forced-8, merchants-6)
auxpass(forced-8, were-7)
root(ROOT-0, forced-8)
aux(limit-10, to-9)
xcomp(forced-8, limit-10)
poss(salvoes-12, their-11)
dobj(limit-10, salvoes-12)
prep(limit-10, to-13)
pobj(to-13, one-14)
det(day-16, a-15)
tmod(one-14, day-16)
punct(forced-8, ?-17)
cc(forced-8, and-18)
dep(signaled-24, from-19)
pcomp(from-19, then-20)
dep(from-19, on-21)
punct(signaled-24, ,-22)
nsubj(signaled-24, they-23)
conj(forced-8, signaled-24)
det(hour-27, the-25)
nn(hour-27, noon-26)
dobj(signaled-24, hour-27)
advmod(signaled-24, daily-28)
dep(hear-32, for-29)
dep(hear-32, all-30)
aux(hear-32, to-31)
advcl(signaled-24, hear-32)
punct(forced-8, .-33)

det(gun-2, The-1)
nsubjpass(made-4, gun-2)
auxpass(made-4, was-3)
root(ROOT-0, made-4)
xcomp(made-4, famous-5)
prep(made-4, by-6)
nn(Coward-8, Noel-7)
poss(song-11, Coward-8)
possessive(Coward-8, RSQUOs-9)
amod(song-11, satirical-10)
pobj(by-6, song-11)
punct(song-11, ,-12)
dep(song-11, "-13)
amod(Dogs-15, Mad-14)
dep(song-11, Dogs-15)
cc(Dogs-15, and-16)
conj(Dogs-15, Englishmen-17)
punct(made-4, .-18)
dep(made-4, "-19)

amod(east-2, Farther-1)
dep(is-3, east-2)
root(ROOT-0, is-3)
nn(Kong-5, Hong-4)
poss(park-8, Kong-5)
possessive(Kong-5, RSQUOs-6)
amod(park-8, largest-7)
nsubj(is-3, park-8)
punct(park-8, ,-9)
nn(Park-11, Victoria-10)
appos(park-8, Park-11)
punct(is-3, ,-12)
prep(is-3, with-13)
nn(grounds-15, sports-14)
pobj(with-13, grounds-15)
cc(grounds-15, and-16)
amod(facilities-18, other-17)
conj(grounds-15, facilities-18)
punct(is-3, .-19)

prep(is-11, On-1)
det(side-4, the-2)
amod(side-4, eastern-3)
pobj(On-1, side-4)
prep(side-4, of-5)
nn(Park-7, Victoria-6)
pobj(of-5, Park-7)
prep(is-11, on-8)
nn(Road-10, Causeway-9)
pobj(on-8, Road-10)
root(ROOT-0, is-11)
nn(Hau-13, Tin-12)
nn(Temple-14, Hau-13)
nsubj(is-11, Temple-14)
punct(Temple-14, ,-15)
vmod(Temple-14, dedicated-16)
prep(dedicated-16, to-17)
nn(Hau-19, Tin-18)
pobj(to-17, Hau-19)
punct(Hau-19, ,-20)
det(Queen-23, the-21)
amod(Queen-23, Taoist-22)
appos(Hau-19, Queen-23)
prep(Queen-23, of-24)
pobj(of-24, Heaven-25)
cc(Queen-23, and-26)
conj(Queen-23, patroness-27)
prep(patroness-27, of-28)
pobj(of-28, seafarers-29)
punct(is-11, .-30)

advmod(was-4, Originally-1)
det(temple-3, the-2)
nsubj(was-4, temple-3)
root(ROOT-0, was-4)
prep(was-4, on-5)
det(shore-7, the-6)
pobj(on-5, shore-7)
cc(was-4, but-8)
nn(projects-10, reclamation-9)
nsubj(left-13, projects-10)
aux(left-13, have-11)
advmod(left-13, now-12)
conj(was-4, left-13)
dobj(left-13, it-14)
dep(left-13, high-15)
cc(high-15, and-16)
conj(high-15, dry-17)
punct(was-4, .-18)

prep(celebrated-16, On-1)
det(day-4, the-2)
amod(day-4, 23rd-3)
pobj(On-1, day-4)
prep(day-4, of-5)
det(Moon-8, the-6)
amod(Moon-8, Third-7)
pobj(of-5, Moon-8)
punct(celebrated-16, ,-9)
det(birthday-11, the-10)
nsubjpass(celebrated-16, birthday-11)
prep(birthday-11, of-12)
det(goddess-14, the-13)
pobj(of-12, goddess-14)
auxpass(celebrated-16, is-15)
root(ROOT-0, celebrated-16)
advmod(celebrated-16, here-17)
cc(here-17, and-18)
conj(here-17, in-19)
det(communities-24, all-20)
nn(Kong-22, Hong-21)
nn(communities-24, Kong-22)
nn(communities-24, fishing-23)
pobj(in-19, communities-24)
punct(celebrated-16, .-25)

nsubj(Valley-7, Inland-1)
prep(Inland-1, from-2)
det(bay-4, the-3)
pobj(from-2, bay-4)
cop(Valley-7, is-5)
nn(Valley-7, Happy-6)
root(ROOT-0, Valley-7)
punct(Valley-7, .-8)

prep(valley-9, At-1)
num(time-3, one-2)
pobj(At-1, time-3)
nsubj(valley-9, it-4)
cop(valley-9, was-5)
det(valley-9, a-6)
advmod(miserable-8, very-7)
amod(valley-9, miserable-8)
root(ROOT-0, valley-9)
punct(valley-9, ,-10)
det(swampland-12, a-11)
appos(valley-9, swampland-12)
amod(swampland-12, conducive-13)
advmod(to-15, only-14)
prep(conducive-13, to-15)
pcomp(to-15, breeding-16)
amod(mosquitoes-18, malarial-17)
dobj(breeding-16, mosquitoes-18)
punct(valley-9, .-19)

nsubj(home-3, It-1)
cop(home-3, is-2)
root(ROOT-0, home-3)
prep(home-3, to-4)
nn(Kong-6, Hong-5)
poss(racetrack-9, Kong-6)
possessive(Kong-6, RSQUOs-7)
amod(racetrack-9, first-8)
pobj(to-4, racetrack-9)
punct(home-3, .-10)

nn(Kong-2, Hong-1)
poss(gamblers-4, Kong-2)
possessive(Kong-2, RSQUOs-3)
nsubj(eager-7, gamblers-4)
cop(eager-7, are-5)
advmod(eager-7, so-6)
root(ROOT-0, eager-7)
aux(play-9, to-8)
xcomp(eager-7, play-9)
det(horses-11, the-10)
dobj(play-9, horses-11)
mark(thriving-32, that-12)
punct(thriving-32, ,-13)
prep(thriving-32, despite-14)
det(opening-16, the-15)
pobj(despite-14, opening-16)
prep(opening-16, of-17)
det(racetrack-22, a-18)
amod(racetrack-22, bigger-19)
cc(bigger-19, and-20)
conj(bigger-19, better-21)
pobj(of-17, racetrack-22)
prep(opening-16, at-23)
nn(Tin-25, Sha-24)
pobj(at-23, Tin-25)
punct(thriving-32, ,-26)
det(Racecourse-30, the-27)
nn(Valley-29, Happy-28)
nn(Racecourse-30, Valley-29)
nsubj(thriving-32, Racecourse-30)
aux(thriving-32, is-31)
ccomp(eager-7, thriving-32)
punct(eager-7, .-33)

prep(is-8, Up-1)
nn(Hang-3, Tai-2)
nn(Road-4, Hang-3)
pobj(Up-1, Road-4)
prep(Up-1, behind-5)
nn(Bay-7, Causeway-6)
pobj(behind-5, Bay-7)
root(ROOT-0, is-8)
nn(Haw-11, Aw-9)
nn(Haw-11, Boon-10)
nn(Gardens-14, Haw-11)
nn(Balm-13, Tiger-12)
nn(Gardens-14, Balm-13)
nsubj(is-8, Gardens-14)
dep(9:30-17, open-15)
dep(9:30-17, daily-16)
dep(Gardens-14, 9:30-17)
dep(9:30-17, am-18)
prep(9:30-17, ?-19)
num(pm-21, 4-20)
pobj(?-19, pm-21)
punct(Gardens-14, ,-22)
vmod(Gardens-14, founded-23)
prep(founded-23, in-24)
pobj(in-24, 1935-25)
prep(founded-23, by-26)
det(Haw-31, the-27)
amod(Haw-31, late-28)
nn(Haw-31, Aw-29)
nn(Haw-31, Boon-30)
pobj(by-26, Haw-31)
punct(Haw-31, ,-32)
nsubj(became-34, who-33)
rcmod(Haw-31, became-34)
det(millionaire-36, a-35)
xcomp(became-34, millionaire-36)
prep(became-34, by-37)
pcomp(by-37, producing-38)
det(Balm-42, the-39)
amod(Balm-42, medicinal-40)
nn(Balm-42, Tiger-41)
dobj(producing-38, Balm-42)
punct(is-8, .-43)

nsubj(contain-8, It-1)
aux(contain-8, does-2)
neg(contain-8, not-3)
punct(contain-8, ,-4)
prep(contain-8, in-5)
pobj(in-5, fact-6)
punct(contain-8, ,-7)
root(ROOT-0, contain-8)
det(ingredients-10, any-9)
dobj(contain-8, ingredients-10)
prep(ingredients-10, from-11)
pobj(from-11, tigers-12)
punct(contain-8, ,-13)
cc(contain-8, but-14)
aux(promise-16, does-15)
conj(contain-8, promise-16)
aux(cure-18, to-17)
xcomp(promise-16, cure-18)
det(range-21, a-19)
amod(range-21, wide-20)
dobj(cure-18, range-21)
prep(range-21, of-22)
pobj(of-22, problems-23)
mwe(as-25, such-24)
prep(range-21, as-25)
pobj(as-25, colds-26)
punct(colds-26, ,-27)
conj(colds-26, headaches-28)
punct(colds-26, ,-29)
conj(colds-26, rheumatism-30)
punct(colds-26, ,-31)
conj(colds-26, gout-32)
punct(colds-26, ,-33)
conj(colds-26, toothache-34)
punct(colds-26, ,-35)
cc(colds-26, and-36)
nn(bites-38, scorpion-37)
conj(colds-26, bites-38)
punct(contain-8, .-39)

prep(opportunity-28, With-1)
poss(pagodas-4, its-2)
amod(pagodas-4, garish-3)
pobj(With-1, pagodas-4)
punct(caves-7, ,-5)
amod(caves-7, artificial-6)
dep(pagodas-4, caves-7)
punct(pagodas-4, ,-8)
cc(pagodas-4, and-9)
advmod(painted-11, brightly-10)
amod(statues-12, painted-11)
conj(pagodas-4, statues-12)
prep(statues-12, of-13)
advmod(known-16, well-14)
punct(known-16, --15)
amod(legends-20, known-16)
amod(legends-20, Taoist-17)
cc(Taoist-17, and-18)
conj(Taoist-17, Buddhist-19)
pobj(of-13, legends-20)
punct(garden-23, ,-21)
det(garden-23, the-22)
nsubj(opportunity-28, garden-23)
cop(opportunity-28, is-24)
det(opportunity-28, an-25)
amod(opportunity-28, obvious-26)
nn(opportunity-28, photo-27)
root(ROOT-0, opportunity-28)
punct(opportunity-28, .-29)

root(ROOT-0, around-1)
det(Coast-3, the-2)
pobj(around-1, Coast-3)

nsubj(home-15, Aberdeen-1)
punct(Aberdeen-1, ,-2)
det(island-4, the-3)
poss(settlement-7, island-4)
possessive(island-4, RSQUOs-5)
amod(settlement-7, oldest-6)
appos(Aberdeen-1, settlement-7)
punct(Aberdeen-1, ,-8)
advmod(lair-12, once-9)
det(lair-12, a-10)
nn(lair-12, pirate-11)
rcmod(Aberdeen-1, lair-12)
punct(home-15, ,-13)
cop(home-15, is-14)
root(ROOT-0, home-15)
prep(home-15, to-16)
det(population-20, the-17)
dep(population-20, "-18)
amod(population-20, floating-19)
pobj(to-16, population-20)
dep(population-20, "-21)
punct(population-20, ?-22)
det(people-25, the-23)
nn(people-25, boat-24)
appos(population-20, people-25)
nsubj(spend-27, who-26)
rcmod(people-25, spend-27)
poss(lives-30, their-28)
amod(lives-30, entire-29)
dobj(spend-27, lives-30)
prep(spend-27, on-31)
det(junks-33, the-32)
pobj(on-31, junks-33)
prep(spend-27, in-34)
det(harbor-36, the-35)
pobj(in-34, harbor-36)
punct(spend-27, ,-37)
nsubj(claiming-40, some-38)
advmod(claiming-40, proudly-39)
vmod(spend-27, claiming-40)
neg(set-44, never-41)
aux(set-44, to-42)
aux(set-44, have-43)
xcomp(claiming-40, set-44)
dobj(set-44, foot-45)
prep(set-44, on-46)
pobj(on-46, land-47)
prep(set-44, except-48)
pcomp(except-48, for-49)
pobj(for-49, funerals-50)
punct(funerals-50, ,-51)
nsubj(count-55, which-52)
aux(count-55, do-53)
advmod(count-55, n?t-54)
rcmod(funerals-50, count-55)
punct(home-15, .-56)

det(junks-2, The-1)
nsubj(sight-6, junks-2)
cop(sight-6, are-3)
det(sight-6, a-4)
amod(sight-6, picturesque-5)
root(ROOT-0, sight-6)
punct(sight-6, :-7)
nsubj(frolicking-9, children-8)
parataxis(sight-6, frolicking-9)
prep(frolicking-9, on-10)
det(deck-13, the-11)
nn(deck-13, poop-12)
pobj(on-10, deck-13)
punct(frolicking-9, ,-14)
nsubj(preparing-16, women-15)
conj(frolicking-9, preparing-16)
dobj(preparing-16, food-17)
cc(preparing-16, or-18)
conj(preparing-16, playing-19)
dobj(playing-19, mah-jong-20)
punct(frolicking-9, ,-21)
amod(folk-23, elderly-22)
nsubj(watching-24, folk-23)
conj(frolicking-9, watching-24)
det(sunset-26, the-25)
dobj(watching-24, sunset-26)
punct(frolicking-9, ,-27)
dep(underfoot-31, dogs-28)
cc(dogs-28, and-29)
conj(dogs-28, cats-30)
ccomp(frolicking-9, underfoot-31)
punct(frolicking-9, ,-32)
ccomp(frolicking-9, songbirds-33)
dep(songbirds-33, in-34)
nn(cages-36, bamboo-35)
pobj(in-34, cages-36)
advmod(songbirds-33, overhead-37)
punct(frolicking-9, ?-38)
cc(frolicking-9, and-39)
dep(afloat-41, all-40)
conj(frolicking-9, afloat-41)
punct(sight-6, .-42)

det(boats-2, The-1)
nsubj(appear-4, boats-2)
aux(appear-4, may-3)
root(ROOT-0, appear-4)
advmod(primitive-6, deceptively-5)
acomp(appear-4, primitive-6)
punct(appear-4, ,-7)
cc(appear-4, but-8)
nsubj(have-12, many-9)
prep(many-9, of-10)
pobj(of-10, them-11)
conj(appear-4, have-12)
poss(generators-16, their-13)
amod(generators-16, own-14)
amod(generators-16, electric-15)
dobj(have-12, generators-16)
cc(generators-16, and-17)
predet(conveniences-21, all-18)
det(conveniences-21, the-19)
amod(conveniences-21, modern-20)
conj(generators-16, conveniences-21)
punct(appear-4, .-22)

expl(are-2, There-1)
root(ROOT-0, are-2)
amod(boats-4, fewer-3)
nsubj(are-2, boats-4)
advmod(are-2, now-5)
advcl(are-2, than-6)
dep(than-6, in-7)
det(past-9, the-8)
pobj(in-7, past-9)
punct(are-2, ;-10)
amod(people-13, many-11)
nn(people-13, boat-12)
nsubj(moved-21, people-13)
punct(people-13, ,-14)
advmod(generation-18, especially-15)
det(generation-18, the-16)
amod(generation-18, younger-17)
appos(people-13, generation-18)
punct(moved-21, ,-19)
aux(moved-21, have-20)
parataxis(are-2, moved-21)
prep(moved-21, to-22)
nn(projects-24, housing-23)
pobj(to-22, projects-24)
punct(are-2, .-25)

nsubj(take-3, You-1)
aux(take-3, can-2)
root(ROOT-0, take-3)
det(tour-5, a-4)
dobj(take-3, tour-5)
prep(tour-5, of-6)
det(port-8, the-7)
pobj(of-6, port-8)
prep(take-3, in-9)
num(sampans-14, one-10)
quantmod(one-10, of-11)
det(sampans-14, the-12)
amod(sampans-14, small-13)
pobj(in-9, sampans-14)
punct(sampans-14, ,-15)
vmod(sampans-14, propelled-16)
prep(propelled-16, by-17)
pobj(by-17, hand-18)
prep(propelled-16, by-19)
nn(drivers-21, women-20)
pobj(by-19, drivers-21)
punct(take-3, .-22)

det(tour-5, A-1)
amod(hour-4, half-2)
punct(hour-4, --3)
nn(tour-5, hour-4)
nsubj(costs-6, tour-5)
root(ROOT-0, costs-6)
dobj(costs-6, HK$-7)
num(HK$-7, 50-8)
punct(costs-6, ;-9)
conj(costs-6, pay-10)
prep(pay-10, at-11)
det(end-13, the-12)
pobj(at-11, end-13)
punct(costs-6, ,-14)
cc(costs-6, or-15)
det(driver-17, the-16)
nsubj(cut-19, driver-17)
aux(cut-19, may-18)
conj(costs-6, cut-19)
poss(trip-21, your-20)
dobj(cut-19, trip-21)
dep(cut-19, short-22)
punct(costs-6, .-23)

nn(restaurants-5, Aberdeen-1)
possessive(Aberdeen-1, RSQUOs-2)
amod(Aberdeen-1, theatrical-3)
amod(restaurants-5, floating-4)
nsubj(attraction-10, restaurants-5)
aux(attraction-10, have-6)
cop(attraction-10, been-7)
det(attraction-10, a-8)
nn(attraction-10, tourist-9)
root(ROOT-0, attraction-10)
prep(attraction-10, for-11)
amod(years-13, many-12)
pobj(for-11, years-13)
punct(attraction-10, .-14)

det(food-2, The-1)
nsubj(live-5, food-2)
aux(live-5, may-3)
neg(live-5, not-4)
root(ROOT-0, live-5)
prt(live-5, up-6)
prep(live-5, to-7)
pobj(to-7, expectations-8)
punct(live-5, ,-9)
cc(live-5, but-10)
det(environment-13, the-11)
nn(environment-13, fantasy-12)
nsubj(makes-14, environment-13)
conj(live-5, makes-14)
prt(makes-14, up-15)
prep(makes-14, for-16)
pobj(for-16, it-17)
punct(live-5, .-18)

mark(get-4, If-1)
nsubj(get-4, you-2)
aux(get-4, can-3)
advcl(attend-11, get-4)
prt(get-4, up-5)
advmod(enough-7, early-6)
advmod(get-4, enough-7)
punct(attend-11, ,-8)
nsubj(attend-11, you-9)
aux(attend-11, can-10)
root(ROOT-0, attend-11)
det(auction-14, the-12)
amod(auction-14, pre-dawn-13)
dobj(attend-11, auction-14)
vmod(auction-14, held-15)
prep(held-15, at-16)
det(market-22, the-17)
amod(market-22, vast-18)
amod(market-22, local-19)
amod(market-22, wholesale-20)
