nsubj(break, he)
nmod:poss(husband, you)
nsubj(where, husband)
aux(where, could)
cop(where, be)
punct(where, ,)
advmod(where, now)
punct(have, '')
punct(have, ?)
punct(have, ?)
nsubj(shook, she)
root(ROOT, shook)
nmod:poss(head, she)
obj(shook, head)
punct(shook, . )
nsubj(know, I)
root(ROOT, know)
nsubj(lie, she)
aux(lie, be)
ccomp(know, lie)
punct(know, . )
nsubj(stand, I)
root(ROOT, stand)
advmod(stand, there)
punct(stand, ,)
advcl(stand, stare)
case(she, at)
obl(stare, she)
case(moment, for)
det(moment, a)
obl(stare, moment)
punct(stand, --)
advcl(stand, think)
cc:preconj(beauty, mostly)
case(beauty, of)
nmod:poss(beauty, she)
obl(think, beauty)
cc(poverty, and)
nmod:poss(poverty, she)
conj(beauty, poverty)
punct(stand, .)
nsubj(say, Moore)
root(ROOT, say)
punct(say, ,)
punct(say, ``)
root(ROOT, come)
advmod(come, on)
punct(come, ,)
vocative(come, Jed)
punct(have, ,)
nsubj(have, I)
parataxis(come, have)
mark(get, to)
xcomp(have, get)
case(man, to)
nmod:poss(man, my)
obl(get, man)
punct(get, '')
punct(come, .)
case(way, on)
nmod:poss(way, my)
obl(tell, way)
advmod(way, out)
nsubj(tell, I)
parataxis(come, tell)
obj(tell, she)
punct(come, ,)
punct(come, ``)
mark(happen, if)
nsubj(happen, you)
aux(happen, should)
advmod(happen, eh)
advmod(happen, just)
advcl(get, happen)
mark(see, to)
xcomp(happen, see)
nmod:poss(husband, you)
obj(see, husband)
punct(get, ,)
root(ROOT, get)
obj(get, he)
mark(give, to)
xcomp(get, give)
obj(give, himself)
compound:prt(give, up)
punct(get, .)
nsubj(get, he)
aux(get, will)
root(ROOT, get)
det(trial, a)
amod(trial, fair)
obj(get, trial)
punct(get, .)
root(ROOT, hide)
compound:prt(hide, out)
mark(get, like)
nsubj(get, this)
aux(get, will)
advmod(get, not)
advcl(hide, get)
iobj(get, he)
obj(get, anything)
punct(anything, ,)
case(trouble, except)
amod(trouble, more)
nmod(anything, trouble)
punct(bullet, ,)
cc(bullet, or)
det(bullet, a)
conj(anything, bullet)
punct(bullet, '')
punct(hide, .)
punct(hide, ``)
root(ROOT, yes)
punct(yes, . )
nsubj(tell, I)
aux(tell, will)
root(ROOT, tell)
obj(tell, he)
punct(tell, --)
mark(see, if)
nsubj(see, I)
advcl(make, see)
obj(see, he)
punct(make, '')
punct(tell, .)
nsubj(make, we)
ccomp(tell, make)
obj(make, it)
advmod(make, back)
case(Harbor, to)
det(Harbor, the)
obl(back, Harbor)
case(minute, in)
advmod(four, less)
fixed(less, than)
nummod(minute, four)
obl(make, minute)
punct(tell, . )
nsubj(try, I)
root(ROOT, try)
advmod(act, not)
mark(act, to)
xcomp(try, act)
xcomp(act, scared)
punct(try, .)
det(Jaguar, that)
nsubj(barrel, Jaguar)
aux(barrel, could)
advmod(barrel, really)
root(ROOT, barrel)
advmod(barrel, along)
punct(barrel, . )
nsubj(tell, I)
root(ROOT, tell)
obj(tell, Moore)
nsubj(go, I)
aux(go, be)
ccomp(tell, go)
mark(eat, to)
xcomp(go, eat)
punct(get, ,)
conj(eat, get)
det(form, some)
obj(get, form)
acl(form, fill)
compound:prt(fill, out)
case(Doc, by)
obl(fill, Doc)
flat(Doc, Abel)
punct(say, .)
compound(Moore, Chief)
nsubj(say, Moore)
parataxis(tell, say)
punct(tell, ,)
punct(tell, ``)
mark(see, if)
nsubj(see, I)
aux(see, do)
advmod(see, not)
advcl(see, see)
obj(see, you)
mark(return, when)
nsubj(return, I)
advcl(see, return)
punct(see, ,)
root(ROOT, see)
obj(see, you)
case(certain, for)
obl(see, certain)
case(block, at)
nmod:poss(block, my)
compound(block, road)
obl(certain, block)
punct(block, ,)
appos(block, inspector)
punct(see, '')
punct(see, . )
nsubj(have, I)
root(ROOT, have)
det(bowl, a)
obj(have, bowl)
case(chowder, of)
amod(chowder, decent)
nmod(bowl, chowder)
punct(phone, ,)
conj(have, phone)
det(Doc, the)
obj(phone, Doc)
cc(say, and)
nsubj(say, he)
conj(have, say)
nsubj(leave, he)
aux(leave, would)
ccomp(say, leave)
det(statement, the)
compound(statement, death)
obj(leave, statement)
case(girl, with)
nmod:poss(girl, he)
nmod(statement, girl)
punct(leave, --)
case(hour, in)
det(hour, a)
amod(hour, half)
obl(leave, hour)
punct(have, .)
advcl(take, lighting)
nmod:poss(pipe, my)
obj(lighting, pipe)
punct(take, ,)
nsubj(take, I)
root(ROOT, take)
det(walk, a)
obj(take, walk)
punct(take, .)
det(Harbor, the)
nsubj(basin, Harbor)
cop(basin, be)
det(basin, a)
amod(basin, big)
compound(basin, yacht)
parataxis(take, basin)
case(summer, in)
det(summer, the)
nmod(basin, summer)
punct(take, .)
advmod(now, even)
advmod(be, now)
punct(be, ,)
expl(be, there)
root(ROOT, be)
amod(cruiser, several)
amod(cruiser, slick)
nsubj(be, cruiser)
acl(cruiser, tie)
case(dock, to)
det(dock, the)
obl(tie, dock)
punct(dock, ,)
det(yawl, a)
obl:npmod(go, ocean)
punct(go, -)
amod(yawl, go)
appos(dock, yawl)
acl(yawl, anchore)
case(breakwater, inside)
det(breakwater, the)
obl(anchore, breakwater)
punct(be, .)
expl(be, there)
root(ROOT, be)
det(wheeler, a)
nummod(foot, 34)
compound(wheeler, foot)
nsubj(be, wheeler)
case(Bob, with)
compound(Bob, Chief)
nmod(wheeler, Bob)
case(Bob, 's)
case(letter, in)
amod(letter, big)
compound(letter, gold)
nsubj(tie, letter)
case(stern, on)
nmod:poss(stern, its)
nmod(letter, stern)
advmod(tie, also)
conj(be, tie)
compound:prt(tie, up)
case(dock, at)
det(dock, the)
obl(tie, dock)
punct(be, .)
nsubj(boat, it)
cop(boat, be)
advmod(boat, not)
det(boat, a)
amod(boat, new)
root(ROOT, boat)
punct(boat, ,)
advmod(five, about)
nummod(year, five)
obl:npmod(old, year)
amod(boat, old)
punct(fitted, ,)
cc(fitted, but)
conj(boat, fitted)
case(outrigger, with)
compound(outrigger, fishing)
obl(fitted, outrigger)
cc(chair, and)
conj(outrigger, chair)
punct(boat, . )
nsubj(ask, I)
root(ROOT, ask)
det(guy, a)
amod(guy, old)
obj(ask, guy)
acl(guy, run)
det(station, a)
compound(station, fishing)
obj(run, station)
mark(Moore, if)
det(boat, the)
nsubj(Moore, boat)
cop(Moore, be)
advcl(ask, Moore)
case(Moore, 's)
punct(ask, .)
nsubj(say, he)
root(ROOT, say)
punct(say, ,)
punct(say, ``)
nsubj(bet, you)
root(ROOT, bet)
punct(bet, .)
nsubj(plumb, Bob)
flat(Bob, Moore)
aux(plumb, be)
ccomp(bet, plumb)
xcomp(plumb, crazy)
case(fishing, about)
amod(fishing, blue)
obl(crazy, fishing)
punct(plumb, '')
punct(bet, . )
nsubj(drop, I)
root(ROOT, drop)
case(office, into)
det(doctor, the)
nmod:poss(office, doctor)
case(doctor, 's)
obl(drop, office)
punct(drop, ,)
conj(drop, pick)
compound:prt(pick, up)
nmod:poss(form, my)
obj(pick, form)
punct(drop, .)
mark(walk, as)
nsubj(walk, I)
aux(walk, be)
advcl(see, walk)
advmod(walk, back)
case(Station, to)
det(Station, the)
compound(Station, Police)
obl(back, Station)
punct(Station, ,)
nsubj(building, which)
cop(building, be)
case(building, in)
det(building, the)
amod(building, same)
acl:relcl(Station, building)
case(Hall, with)
det(Hall, the)
compound(Hall, City)
nmod(building, Hall)
cc(Office, and)
compound(Office, Post)
conj(Hall, Office)
punct(see, ,)
nsubj(see, I)
root(ROOT, see)
obj(see, Mrs.)
flat(Mrs., Tim)
flat(Mrs., Williams)
advcl(see, sneak)
case(back, into)
det(back, the)
obl(sneak, back)
case(car, of)
nmod:poss(car, my)
nmod(back, car)
punct(see, .)
mark(move, if)
nsubj(move, she)
advcl(clumsy, move)
advmod(move, gracefully)
punct(clumsy, ,)
nsubj(clumsy, she)
cop(clumsy, be)
root(ROOT, clumsy)
case(it, at)
obl(clumsy, it)
cc(get, . )
nsubj(get, I)
conj(clumsy, get)
case(seat, into)
det(seat, the)
amod(seat, front)
obl(get, seat)
punct(clumsy, .)
nsubj(hide, she)
aux(hide, be)
punct(hide, ')
root(ROOT, hide)
punct(hide, ')
case(floor, on)
det(floor, the)
obl(hide, floor)
case(seat, of)
det(seat, the)
amod(seat, back)
nmod(floor, seat)
punct(curve, ,)
det(curve, the)
amod(curve, soft)
parataxis(hide, curve)
case(back, of)
nmod:poss(back, she)
nmod(curve, back)
cc(hip, and)
conj(back, hip)
punct(back, --)
amod(line, rousing)
parataxis(hide, line)
punct(hide, . )
nsubj(drive, I)
root(ROOT, drive)
case(Harbor, out)
case(Harbor, of)
det(Harbor, the)
obl(drive, Harbor)
punct(turn, ,)
conj(drive, turn)
compound:prt(turn, off)
case(road, into)
det(road, a)
compound(road, dirt)
obl(turn, road)
case(tree, among)
det(tree, the)
compound(tree, scrub)
compound(tree, pine)
nmod(road, tree)
cc(stop, and)
conj(drive, stop)
punct(drive, . )
nsubj(wait, I)
root(ROOT, wait)
det(minute, a)
amod(minute, few)
obl:tmod(wait, minute)
cc(sit, and)
nsubj(sit, she)
conj(wait, sit)
compound:prt(sit, up)
punct(wait, .)
case(moment, for)
det(moment, another)
obl(begin, moment)
nsubj(talk, we)
aux(talk, do)
advmod(talk, not)
acl:relcl(moment, talk)
punct(begin, ,)
advmod(begin, then)
nsubj(begin, she)
conj(wait, begin)
mark(weep, to)
xcomp(begin, weep)
punct(wait, .)
nsubj(mumble, she)
root(ROOT, mumble)
punct(mumble, ,)
punct(mumble, ``)
nsubj(know, I)
advmod(know, just)
root(ROOT, know)
mark(out, that)
nsubj(out, Chief)
nsubj(out, Moore)
cop(out, be)
ccomp(know, out)
mark(kill, to)
advcl(out, kill)
nmod:poss(Tim, my)
obj(kill, Tim)
punct(know, '')
punct(know, !)
punct(know, !)
punct(know, ``)
root(ROOT, maybe)
punct(maybe, . )
nsubj(see, I)
advmod(see, never)
root(ROOT, see)
obj(see, he)
advmod(anxious, so)
xcomp(see, anxious)
advmod(see, before)
punct(see, '')
punct(say, ,)
nsubj(say, I)
parataxis(see, say)
punct(say, ,)
xcomp(say, lighting)
nmod:poss(pipe, my)
obj(lighting, pipe)
cc(offer, and)
conj(lighting, offer)
iobj(offer, she)
det(cigarette, a)
obj(offer, cigarette)
punct(see, .)
punct(see, ``)
advmod(be, of)
fixed(of, course)
punct(be, ,)
expl(be, it)
aux(be, could)
root(ROOT, be)
mark(case, because)
nsubj(case, this)
cop(case, be)
nmod:poss(case, he)
amod(case, first)
compound(case, murder)
advcl(be, case)
punct(be, .)
nsubj(know, you)
root(ROOT, know)
ccomp(know, where)
nsubj(where, Tim)
cop(where, be)
punct(know, ,)
aux(where, do)
advmod(Mrs., not)
nsubj(Mrs., you)
punct(Mrs., ,)
parataxis(know, Mrs.)
flat(Mrs., Williams)
punct(know, '')
punct(know, ?)
punct(know, ?)
nsubj(puff, she)
root(ROOT, puff)
case(cigarette, on)
det(cigarette, the)
obl(puff, cigarette)
advmod(puff, slowly)
punct(puff, ,)
advcl(slump, sit)
conj(puff, slump)
case(seat, against)
det(seat, the)
amod(seat, back)
obl(slump, seat)
punct(puff, ;)
punct(puff, ;)
aux(answer, do)
advmod(answer, not)
parataxis(puff, answer)
punct(puff, .)
cc(drop, but)
det(police, the)
nsubj(drop, police)
aux(drop, have)
root(ROOT, drop)
det(case, the)
obj(drop, case)
punct(drop, . )
nsubj(want, I)
root(ROOT, want)
obj(want, you)
mark(go, to)
xcomp(want, go)
case(City, to)
compound(City, Pearson)
obl(go, City)
cc(find, and)
conj(go, find)
compound:prt(find, out)
advmod(stuff, why)
punct(hand, --)
amod(hand, first)
punct(hand, -)
compound(stuff, hand)
obj(find, stuff)
case(series, for)
nmod:poss(series, you)
amod(series, modern)
compound(series, crime)
nmod(stuff, series)
punct(want, .)
root(ROOT, take)
det(train, the)
amod(train, same)
obj(take, train)
nsubj(take, Diana)
flat(Diana, Beauclerk)
acl:relcl(train, take)
cc(get, and)
conj(take, get)
advmod(get, there)
case(time, at)
det(time, the)
amod(time, same)
obl(get, time)
punct(take, .)
root(ROOT, go)
case(hotel, to)
det(hotel, the)
amod(hotel, same)
obl(go, hotel)
cc(occupy, and)
conj(go, occupy)
det(suite, the)
amod(suite, same)
obj(occupy, suite)
punct(suite, --)
appos(suite, 1105)
punct(go, '')
punct(go, .)
punct(go, ``)
aux(rent, will)
det(hotel, the)
nsubj(rent, hotel)
root(ROOT, rent)
obj(rent, it)
advmod(soon, so)
advmod(rent, soon)
case(crime, after)
det(crime, the)
obl(rent, crime)
punct(rent, '')
punct(rent, ?)
punct(rent, ?)
punct(rent, ``)
advmod(not, why)
root(ROOT, not)
punct(not, ?)
punct(not, ?)
det(police, the)
nsubj(finish, police)
aux(finish, have)
root(ROOT, finish)
case(it, with)
obl(finish, it)
punct(finish, .)
advmod(publish, besides)
punct(publish, ,)
det(number, the)
nsubj:pass(publish, number)
case(suite, of)
det(suite, the)
nmod(number, suite)
aux(publish, have)
advmod(publish, not)
aux:pass(publish, be)
parataxis(finish, publish)
case(newspaper, in)
det(newspaper, any)
obl(publish, newspaper)
punct(finish, .)
case(people, to)
det(people, the)
compound(people, hotel)
obl(tourist, people)
punct(tourist, ,)
nsubj(tourist, you)
aux(tourist, will)
advmod(tourist, just)
cop(tourist, be)
det(tourist, a)
amod(tourist, innocent)
root(ROOT, tourist)
nsubj(happen, who)
acl:relcl(tourist, happen)
mark(ask, to)
xcomp(happen, ask)
case(suite, for)
det(suite, that)
amod(suite, particular)
obl(ask, suite)
punct(tourist, '')
punct(tourist, .)
punct(tourist, ``)
advmod(want, still)
punct(want, ,)
nsubj(want, they)
aux(want, may)
advmod(want, not)
root(ROOT, want)
mark(rent, to)
xcomp(want, rent)
obj(rent, it)
punct(want, '')
punct(want, .)
punct(want, ``)
nsubj(headache, that)
cop(headache, be)
nmod:poss(headache, you)
root(ROOT, headache)
punct(headache, .)
advmod(inside, once)
advmod(keep, inside)
punct(keep, ,)
root(ROOT, keep)
nmod:poss(eye, you)
obj(keep, eye)
xcomp(keep, open)
punct(keep, '')
punct(keep, !)
punct(keep, !)
punct(keep, ``)
case(what, for)
root(ROOT, what)
punct(what, '')
punct(what, !)
punct(what, !)
nsubj(grow, Alec)
aux(grow, be)
root(ROOT, grow)
obj(grow, more)
cc(skeptical, and)
advmod(skeptical, more)
conj(more, skeptical)
punct(grow, .)
punct(grow, ``)
det(police, the)
nsubj(go, police)
aux(go, will)
aux(go, have)
root(ROOT, go)
case(inch, over)
det(inch, every)
compound(inch, square)
obl(go, inch)
case(place, of)
det(place, the)
nmod(inch, place)
case(comb, with)
det(comb, a)
amod(tooth, fine)
punct(tooth, -)
compound(comb, tooth)
obl(go, comb)
punct(go, .)
det(people, the)
compound(people, hotel)
nsubj(scour, people)
aux(scour, will)
aux(scour, have)
root(ROOT, scour)
cc(vacuume, and)
conj(scour, vacuume)
obj(vacuume, it)
punct(scour, .)
parataxis(scour, ten)
case(one, to)
nmod(ten, one)
punct(scour, ,)
nsubj:pass(redecorate, it)
aux(redecorate, be)
advmod(redecorate, even)
aux:pass(redecorate, be)
parataxis(scour, redecorate)
punct(redecorate, '')
punct(scour, !)
punct(scour, !)
punct(scour, ``)
expl(be, there)
root(ROOT, be)
advmod(be, always)
det(chance, a)
nsubj(be, chance)
nsubj(overlook, they)
aux(overlook, may)
aux(overlook, have)
acl:relcl(chance, overlook)
obj(overlook, something)
punct(overlook, '')
punct(be, ,)
parataxis(be, return)
det(chief, the)
obj(return, chief)
punct(be, .)
punct(be, ``)
nsubj(bet, I)
aux(bet, be)
root(ROOT, bet)
case(chance, on)
det(chance, that)
obl(bet, chance)
punct(bet, .)
root(ROOT, interview)
det(bellboy, the)
obj(interview, bellboy)
cc(chambermaid, and)
conj(bellboy, chambermaid)
nsubj(wait, who)
acl:relcl(bellboy, wait)
case(Beauclerk, on)
obl(wait, Beauclerk)
punct(study, .)
parataxis(interview, study)
det(topography, the)
obj(study, topography)
case(suite, of)
det(suite, the)
nmod(topography, suite)
punct(interview, .)
root(ROOT, Soak)
compound:prt(Soak, up)
amod(color, local)
obj(Soak, color)
punct(Soak, .)
root(ROOT, reenact)
obj(reenact, everything)
nsubj(do, Beauclerk)
ccomp(reenact, do)
punct(reenact, .)
parataxis(reenact, try)
mark(imagine, to)
xcomp(try, imagine)
nsubj(go, you)
aux(go, be)
ccomp(imagine, go)
mark(murder, to)
aux:pass(murder, be)
xcomp(go, murder)
xcomp(murder, yourself)
punct(p.m., --)
case(p.m., between)
nummod(p.m., eleven)
obl(murder, p.m.)
cc(a.m., and)
nummod(a.m., one)
conj(p.m., a.m.)
det(night, the)
nmod:tmod(p.m., night)
nsubj(arrive, you)
acl:relcl(night, arrive)
punct(smirk, '')
punct(smirk, .)
nsubj(smirk, Alec)
parataxis(reenact, smirk)
punct(smirk, .)
punct(smirk, ``)
amod(way, Cheerful)
root(ROOT, way)
mark(spend, to)
acl(way, spend)
det(evening, a)
obl:tmod(spend, evening)
punct(way, '')
punct(way, !)
punct(way, ! )
det(thought, a)
amod(thought, sudden)
nsubj(wipe, thought)
root(ROOT, wipe)
det(smirk, the)
obj(wipe, smirk)
case(face, from)
nmod:poss(face, he)
obl(wipe, face)
punct(wipe, .)
punct(wipe, ``)
root(ROOT, suppose)
det(murderer, the)
nsubj(return, murderer)
aux(return, should)
ccomp(suppose, return)
case(scene, to)
det(scene, the)
obl(return, scene)
case(crime, of)
det(crime, the)
nmod(scene, crime)
punct(suppose, '')
punct(suppose, !)
punct(suppose, !)
det(chief, the)
nmod:poss(eye, chief)
case(chief, 's)
nsubj(gleam, eye)
root(ROOT, gleam)
punct(gleam, .)
nsubj(speak, he)
root(ROOT, speak)
advmod(speak, softly)
punct(speak, .)
punct(speak, ``)
nsubj(be, that)
root(ROOT, be)
advmod(be, exactly)
ccomp(be, what)
nsubj(hope, I)
aux(hope, be)
acl:relcl(what, hope)
obl(hope, for)
punct(be, .)
advmod(all, after)
obl(large, all)
punct(large, ,)
det(murderer, the)
nsubj(large, murderer)
cop(large, be)
advmod(large, still)
case(large, at)
root(ROOT, large)
punct(large, .)
cc(miss, and)
det(key, the)
nsubj(miss, key)
case(suite, to)
det(suite, the)
nmod(key, suite)
aux(miss, be)
advmod(miss, still)
advcl(actress, miss)
punct(miss, '')
punct(miss, .)
case(train, on)
det(train, the)
obl(miss, train)
nsubj(refresh, Alec)
acl:relcl(train, refresh)
nmod:poss(memory, he)
obj(refresh, memory)
case(Beauclerk, of)
det(Beauclerk, the)
nmod(memory, Beauclerk)
flat(Beauclerk, case)
mark(read, by)
advcl(refresh, read)
amod(flimsy, teletype)
obj(read, flimsy)
punct(story, --)
compound(story, spot-new)
appos(flimsy, story)
case(crime, about)
det(crime, the)
nmod(story, crime)
acl(crime, send)
compound:prt(send, out)
case(Star, by)
det(Star, the)
compound(Star, Pearson)
compound(Star, City)
obl(send, Star)
punct(Star, ,)
det(member, a)
appos(Star, member)
case(Press, of)
det(Press, the)
compound(Press, Syndicate)
nmod(member, Press)
punct(member, .)
nsubj(actress, Diana)
flat(Diana, Beauclerk)
cop(actress, be)
det(actress, a)
amod(rate, second)
punct(rate, -)
compound(actress, rate)
root(ROOT, actress)
advcl(actress, live)
case(York, in)
compound(York, New)
obl(live, York)
punct(actress, .)
nummod(week, two)
obl:npmod(ago, week)
advmod(go, ago)
nsubj(go, she)
aux(go, have)
root(ROOT, go)
advmod(go, west)
case(City, to)
compound(City, Pearson)
obl(go, City)
punct(go, .)
nsubj(live, daniel)
flat(daniel, forbe)
punct(daniel, ,)
nmod:poss(husband, she)
amod(husband, divorced)
appos(daniel, husband)
punct(live, ,)
conj(go, live)
advmod(live, there)
punct(go, .)
advmod(get, so)
aux(get, do)
det(firm, the)
root(ROOT, firm)
case(lawyer, of)
nmod(firm, lawyer)
nsubj(get, who)
aux(get, have)
acl:relcl(firm, get)
iobj(get, she)
det(divorce, the)
obj(get, divorce)
punct(Kimball, ,)
conj(divorce, Kimball)
cc(Stacy, and)
conj(divorce, Stacy)
punct(Kimball, .)
nsubj(reach, she)
root(ROOT, reach)
compound(City, Pearson)
obj(reach, City)
case(p.m., at)
nummod(p.m., nine)
obl(reach, p.m.)
cc(go, and)
conj(reach, go)
advmod(Westmore, straight)
case(Westmore, to)
det(Westmore, the)
compound(Westmore, Hotel)
obl(go, Westmore)
punct(reach, .)
nsubj(telephone, she)
root(ROOT, telephone)
det(partner, the)
amod(partner, junior)
obj(telephone, partner)
case(firm, of)
nmod:poss(firm, she)
compound(firm, law)
nmod(partner, firm)
punct(Martin, ,)
appos(partner, Martin)
flat(Martin, Stacy)
punct(ask, ,)
cc(ask, and)
conj(telephone, ask)
obj(ask, he)
mark(call, to)
xcomp(ask, call)
case(hotel, at)
nmod:poss(hotel, she)
obl(call, hotel)
det(evening, that)
obl:tmod(call, evening)
punct(telephone, .)
case(time, at)
det(time, the)
obl(promise, time)
case(divorce, of)
nmod:poss(divorce, she)
nmod(time, divorce)
nsubj(promise, forbe)
aux(promise, have)
root(ROOT, promise)
mark(pay, to)
xcomp(promise, pay)
iobj(pay, she)
det(sum, a)
compound(sum, lump)
obj(pay, sum)
case(lieu, in)
obl(pay, lieu)
case(alimony, of)
amod(alimony, further)
nmod(lieu, alimony)
mark(remarry, if)
nsubj(remarry, she)
advcl(pay, remarry)
punct(promise, .)
case(Stacy, accord)
case(Stacy, to)
obl(tell, Stacy)
punct(tell, ,)
nsubj(tell, she)
root(ROOT, tell)
obj(tell, he)
nsubj(plan, she)
aux(plan, be)
ccomp(tell, plan)
mark(remarry, to)
xcomp(plan, remarry)
cc(want, and)
nsubj(want, she)
conj(tell, want)
obj(want, he)
mark(ask, to)
xcomp(want, ask)
obj(ask, forbe)
case(sum, for)
det(sum, the)
compound(sum, lump)
obl(ask, sum)
punct(tell, .)
nsubj(reply, Stacy)
root(ROOT, reply)
mark(bankrupt, that)
nsubj(bankrupt, it)
aux(bankrupt, would)
ccomp(reply, bankrupt)
obj(bankrupt, forbe)
punct(forbe, ,)
nsubj(sunk, who)
aux(sunk, have)
advmod(sunk, just)
acl:relcl(forbe, sunk)
det:predet(money, all)
nmod:poss(money, he)
obj(sunk, money)
case(venture, in)
det(venture, a)
amod(venture, real)
compound(venture, estate)
obl(sunk, venture)
punct(reply, .)
nsubj(say, Stacy)
root(ROOT, say)
nsubj(leave, he)
ccomp(say, leave)
nmod:poss(suite, she)
obj(leave, suite)
case(p.m, at)
nummod(p.m, nine)
compound(five, forty)
punct(five, -)
nummod(p.m, five)
obl(leave, p.m)
punct(say, .)
punct(say, .)
nsubj(health, she)
cop(health, be)
case(health, in)
amod(health, good)
root(ROOT, health)
cc(spirit, and)
conj(health, spirit)
punct(determine, ,)
cc(determine, but)
advmod(determine, still)
conj(health, determine)
mark(get, to)
xcomp(determine, get)
det(money, the)
obj(get, money)
case(forbe, from)
obl(get, forbe)
punct(health, .)
det(one, no)
nsubj(see, one)
root(ROOT, see)
obj(see, Stacy)
xcomp(see, leave)
punct(see, .)
det(visitor, no)
amod(visitor, other)
nsubj(inquire, visitor)
root(ROOT, inquire)
case(she, for)
obl(inquire, she)
det(evening, that)
obl:tmod(inquire, evening)
punct(inquire, .)
amod(morning, next)
obl:tmod(find, morning)
nsubj:pass(find, she)
aux:pass(find, be)
root(ROOT, find)
xcomp(find, dead)
case(suite, in)
nmod:poss(suite, she)
obl(find, suite)
case(bullet, with)
det(bullet, a)
nmod(suite, bullet)
case(revolver, from)
det(revolver, a)
compound(revolver, Colt)
nmod(bullet, revolver)
case(brain, in)
nmod:poss(brain, she)
nmod(revolver, brain)
punct(find, .)
case(examiner, accord)
fixed(accord, to)
det(examiner, the)
amod(examiner, medical)
obl(find, examiner)
punct(find, ,)
nsubj:pass(shoot, she)
aux:pass(shoot, be)
acl:relcl(examiner, shoot)
case(p.m., between)
nummod(p.m., eleven)
obl(shoot, p.m.)
cc(a.m., and)
nummod(a.m., one)
conj(p.m., a.m.)
punct(find, .)
nmod:poss(door, she)
nsubj:pass(lock, door)
aux:pass(lock, be)
root(ROOT, lock)
cc(miss, and)
det(key, the)
nsubj(miss, key)
aux(miss, be)
conj(lock, miss)
punct(lock, .)
advmod(sure, so)
cop(sure, be)
det(gun, the)
nsubj(sure, gun)
punct(gun, .)
mark(finish, when)
nsubj(finish, Alec)
advcl(sure, finish)
xcomp(finish, read)
nsubj(sure, he)
cop(sure, be)
root(ROOT, sure)
mark(kill, that)
cc:preconj(forbe, either)
nsubj(kill, forbe)
cc(Stacy, or)
conj(forbe, Stacy)
aux(kill, have)
ccomp(sure, kill)
obj(kill, Diana)
flat(Diana, Beauclerk)
punct(have, .)
nsubj(have, forbe)
ccomp(sure, have)
obj(have, motive)
cc(have, and)
nsubj(have, Stacy)
conj(have, have)
obj(have, opportunity)
punct(sure, .)
root(ROOT, find)
det(motive, a)
obj(find, motive)
case(Stacy, for)
nmod(motive, Stacy)
cc(opportunity, or)
det(opportunity, a)
conj(motive, opportunity)
case(forbe, for)
nmod(opportunity, forbe)
cc(solve, and)
det(case, the)
nsubj:pass(solve, case)
aux(solve, would)
aux:pass(solve, be)
conj(find, solve)
punct(find, .)
det(Westmore, the)
compound(Westmore, Hotel)
nsubj(prove, Westmore)
root(ROOT, prove)
mark(one, to)
cop(one, be)
xcomp(prove, one)
case(hotel, of)
det(hotel, the)
amod(hotel, older)
nmod(one, hotel)
case(City, in)
compound(City, Pearson)
nmod(hotel, City)
punct(rate, ,)
cc(rate, and)
advmod(rate, definitely)
advmod(rate, second)
punct(rate, -)
compound(impression, rate)
punct(prove, .)
nmod:poss(impression, Alec)
case(Alec, 's)
amod(impression, first)
nsubj(gloomy, impression)
case(lobby, of)
det(lobby, the)
nmod(impression, lobby)
cop(gloomy, be)
conj(prove, gloomy)
punct(dignity, ,)
amod(dignity, victorian)
conj(gloomy, dignity)
punct(dignity, --)
amod(walnut, black)
compound(plush, walnut)
cc(red, and)
conj(walnut, red)
appos(dignity, plush)
punct(plush, ,)
det(floor, a)
amod(floor, black)
cc(white, and)
conj(black, white)
amod(floor, tile)
conj(plush, floor)
punct(rug, ,)
cc(rug, and)
amod(rug, Persian)
conj(plush, rug)
punct(prove, .)
nsubj(study, he)
root(ROOT, study)
det(clerk, the)
compound(clerk, night)
obj(study, clerk)
case(man, as)
det(man, a)
obl(study, man)
advcl(study, measure)
det(adversary, a)
obj(measure, adversary)
punct(study, .)
punct(study, ``)
nsubj(like, I)
aux(like, would)
root(ROOT, like)
det(room, the)
obj(like, room)
nsubj(have, I)
acl:relcl(room, have)
det(time, the)
amod(time, last)
obl:tmod(have, time)
punct(like, '')
punct(like, .)
punct(like, ``)
advmod(young, certainly)
punct(young, ,)
nsubj(young, sir)
punct(sir, '')
punct(young, .)
det(clerk, the)
nsubj(young, clerk)
cop(young, be)
root(ROOT, young)
cc(limp, and)
conj(young, limp)
punct(young, ,)
case(smile, with)
det(smile, a)
amod(smile, tired)
obl(young, smile)
punct(young, .)
punct(young, ``)
aux(recall, do)
nsubj(recall, you)
root(ROOT, recall)
det(number, the)
obj(recall, number)
punct(number, '')
punct(recall, ?)
punct(recall, ?)
punct(recall, ``)
nsubj(1105, it)
cop(1105, be)
root(ROOT, 1105)
punct(1105, '')
punct(1105, .)
det(clerk, the)
nmod:poss(smile, clerk)
case(clerk, 's)
nsubj(congeal, smile)
parataxis(1105, congeal)
punct(1105, .)
punct(1105, ``)
det(suite, that)
nsubj:pass(take, suite)
aux:pass(take, be)
root(ROOT, take)
punct(take, '')
punct(take, .)
nmod:poss(glance, Alec)
case(Alec, 's)
nsubj(go, glance)
ccomp(take, go)
case(chart, to)
det(chart, a)
obl(go, chart)
case(name, of)
